time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.091,1.072,1.091,1.065,17508.0,星期五,-0.0037,-0.0174
2026-06-25,1.096,1.095,1.11,1.093,4772.0,星期四,0.0111,-0.0009
2026-06-24,1.072,1.084,1.084,1.072,2004.0,星期三,0.0,0.0112
2026-06-23,1.104,1.072,1.105,1.072,4494.0,星期二,-0.0045,-0.029
2026-06-22,1.093,1.109,1.109,1.082,12708.0,星期一,0.0149,0.0146
2026-06-18,1.077,1.077,1.082,1.076,8088.0,星期四,0.0009,0.0
2026-06-17,1.076,1.076,1.077,1.069,8439.0,星期三,0.0019,0.0
2026-06-16,1.081,1.074,1.085,1.072,4793.0,星期二,0.0075,-0.0065
2026-06-15,1.078,1.073,1.083,1.061,7568.0,星期一,0.0151,-0.0046
2026-06-12,1.043,1.062,1.062,1.043,25616.0,星期五,0.0077,0.0182
2026-06-11,1.04,1.035,1.042,1.029,7945.0,星期四,0.0029,-0.0048
2026-06-10,1.053,1.037,1.053,1.032,5907.0,星期三,-0.0066,-0.0152
2026-06-09,1.04,1.06,1.062,1.04,7219.0,星期二,0.0068,0.0192
2026-06-08,1.061,1.033,1.061,1.026,4761.0,星期一,-0.0066,-0.0264
2026-06-05,1.083,1.068,1.088,1.065,22401.0,星期五,-0.0046,-0.0139
2026-06-04,1.091,1.088,1.091,1.084,9359.0,星期四,-0.0073,-0.0027
2026-06-03,1.107,1.099,1.113,1.092,12040.0,星期三,0.0018,-0.0072
2026-06-02,1.099,1.105,1.106,1.083,11389.0,星期二,0.0009,0.0055
2026-06-01,1.109,1.098,1.114,1.098,7626.0,星期一,0.0027,-0.0099
2026-05-29,1.118,1.106,1.118,1.1,7547.0,星期五,0.0072,-0.0107
2026-05-28,1.12,1.11,1.12,1.095,4002.0,星期四,0.0072,-0.0089
2026-05-27,1.096,1.112,1.125,1.09,9930.0,星期三,-0.0072,0.0146
2026-05-26,1.088,1.104,1.104,1.088,6972.0,星期二,-0.0009,0.0147
2026-05-25,1.089,1.089,1.091,1.078,2146.0,星期一,0.0083,0.0
2026-05-22,1.066,1.08,1.084,1.066,8888.0,星期五,-0.0019,0.0131
2026-05-21,1.087,1.068,1.103,1.068,13816.0,星期四,0.0168,-0.0175
2026-05-20,1.064,1.069,1.07,1.058,27675.0,星期三,-0.0075,0.0047
2026-05-19,1.068,1.072,1.074,1.053,30046.0,星期二,0.0056,0.0037
2026-05-18,1.058,1.062,1.068,1.058,8571.0,星期一,-0.0094,0.0038
2026-05-15,1.073,1.068,1.08,1.058,20694.0,星期五,0.0009,-0.0047
2026-05-14,1.1,1.072,1.104,1.072,6450.0,星期四,0.0027,-0.0255
2026-05-13,1.084,1.097,1.099,1.083,12329.0,星期三,0.0037,0.012
2026-05-12,1.071,1.08,1.085,1.071,27006.0,星期二,-0.0083,0.0084
2026-05-11,1.068,1.08,1.082,1.068,16908.0,星期一,0.0038,0.0112
2026-05-08,1.067,1.064,1.069,1.062,25899.0,星期五,-0.0056,-0.0028
2026-05-07,1.078,1.073,1.078,1.067,2784.0,星期四,-0.0019,-0.0046
2026-05-06,1.063,1.08,1.084,1.063,2356.0,星期三,0.0028,0.016
2026-04-30,1.062,1.06,1.063,1.055,3719.0,星期四,0.0,-0.0019
2026-04-29,1.05,1.062,1.064,1.05,84.0,星期三,-0.001,0.0114
2026-04-28,1.048,1.051,1.058,1.048,70.0,星期二,-0.0066,0.0029
2026-04-27,1.054,1.055,1.056,1.053,401.0,星期一,0.0009,0.0009
