time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.985,0.936,0.988,0.932,810638.0,星期五,0.001,-0.0497
2026-06-25,0.985,0.984,0.999,0.975,665851.0,星期四,-0.5112,-0.001
2026-06-24,1.98,2.015,2.019,1.945,502530.0,星期三,-0.0222,0.0177
2026-06-23,2.189,2.025,2.189,1.993,468798.0,星期二,0.0005,-0.0749
2026-06-22,2.058,2.188,2.19,2.048,734572.0,星期一,-0.0058,0.0632
2026-06-18,2.029,2.07,2.118,2.024,453726.0,星期四,-0.0155,0.0202
2026-06-17,2.053,2.061,2.088,2.037,323513.0,星期三,-0.0125,0.0039
2026-06-16,2.095,2.079,2.104,2.04,527265.0,星期二,0.0038,-0.0076
2026-06-15,2.075,2.087,2.09,2.022,518756.0,星期一,0.0385,0.0058
2026-06-12,1.934,1.998,2.026,1.911,467431.0,星期五,0.026,0.0331
2026-06-11,1.816,1.885,1.898,1.816,297766.0,星期四,-0.0136,0.038
2026-06-10,1.82,1.841,1.863,1.816,231995.0,星期三,-0.0252,0.0115
2026-06-09,1.821,1.867,1.875,1.791,311259.0,星期二,0.005,0.0253
2026-06-08,1.861,1.812,1.875,1.788,744973.0,星期一,-0.0348,-0.0263
2026-06-05,1.969,1.928,1.992,1.918,310555.0,星期五,-0.0046,-0.0208
2026-06-04,2.014,1.978,2.014,1.965,325799.0,星期四,-0.0137,-0.0179
2026-06-03,2.006,2.042,2.063,1.991,449252.0,星期三,-0.0079,0.0179
2026-06-02,1.955,2.022,2.029,1.928,443248.0,星期二,0.0021,0.0343
2026-06-01,1.96,1.951,1.994,1.946,295424.0,星期一,-0.0051,-0.0046
2026-05-29,2.018,1.97,2.035,1.957,413422.0,星期五,0.0115,-0.0238
2026-05-28,1.986,1.995,2.012,1.938,684602.0,星期四,-0.0154,0.0045
2026-05-27,2.077,2.017,2.092,2.0,526390.0,星期三,-0.011,-0.0289
2026-05-26,2.01,2.1,2.1,1.987,737936.0,星期二,-0.0099,0.0448
2026-05-25,2.049,2.03,2.066,2.014,276856.0,星期一,0.0149,-0.0093
2026-05-22,1.943,2.019,2.032,1.943,331301.0,星期五,-0.0036,0.0391
2026-05-21,2.018,1.95,2.044,1.946,298427.0,星期四,0.0095,-0.0337
2026-05-20,1.969,1.999,2.009,1.94,596850.0,星期三,-0.012,0.0152
2026-05-19,2.025,1.993,2.025,1.956,400696.0,星期二,-0.0015,-0.0158
2026-05-18,1.994,2.028,2.037,1.991,341527.0,星期一,-0.0311,0.0171
2026-05-15,2.12,2.058,2.134,2.041,529356.0,星期五,-0.0153,-0.0292
2026-05-14,2.216,2.153,2.236,2.152,356543.0,星期四,-0.0089,-0.0284
2026-05-13,2.219,2.236,2.258,2.216,292517.0,星期三,-0.0014,0.0077
2026-05-12,2.279,2.222,2.28,2.208,341999.0,星期二,0.0174,-0.025
2026-05-11,2.241,2.24,2.258,2.216,352238.0,星期一,0.0,-0.0004
2026-05-08,2.219,2.241,2.25,2.196,452742.0,星期五,-0.008,0.0099
2026-05-07,2.253,2.237,2.266,2.204,445036.0,星期四,0.0121,-0.0071
2026-05-06,2.142,2.226,2.228,2.133,646750.0,星期三,0.0037,0.0392
2026-04-30,2.138,2.134,2.172,2.114,374734.0,星期四,-0.0065,-0.0019
2026-04-29,2.038,2.152,2.154,2.038,448412.0,星期三,-0.0078,0.0559
2026-04-28,2.099,2.054,2.099,2.048,333342.0,星期二,-0.0043,-0.0214
2026-04-27,2.124,2.108,2.139,2.104,352722.0,星期一,-0.0079,-0.0075
2026-04-24,2.097,2.141,2.148,2.081,520396.0,星期五,-0.008,0.021
2026-04-23,2.195,2.114,2.205,2.099,536214.0,星期四,-0.0027,-0.0369
2026-04-22,2.176,2.201,2.206,2.169,502379.0,星期三,-0.0105,0.0115
2026-04-21,2.199,2.199,2.203,2.163,177634.0,星期二,0.0005,0.0
2026-04-20,2.177,2.198,2.215,2.17,347156.0,星期一,-0.0009,0.0096
2026-04-17,2.168,2.179,2.196,2.161,220404.0,星期五,-0.0041,0.0051
2026-04-16,2.12,2.177,2.179,2.12,372748.0,星期四,0.0019,0.0269
2026-04-15,2.177,2.116,2.189,2.106,483996.0,星期三,0.0135,-0.028
2026-04-14,2.146,2.148,2.153,2.118,833754.0,星期二,0.0171,0.0009
2026-04-13,2.091,2.11,2.115,2.088,243733.0,星期一,-0.0095,0.0091
2026-04-10,2.13,2.111,2.143,2.105,351491.0,星期五,0.0071,-0.0089
2026-04-09,2.097,2.115,2.138,2.089,307272.0,星期四,-0.0192,0.0086
2026-04-08,2.074,2.138,2.139,2.074,552119.0,星期三,0.0349,0.0309
2026-04-07,1.985,2.004,2.012,1.983,227699.0,星期二,-0.002,0.0096
2026-04-03,2.007,1.989,2.016,1.979,193228.0,星期五,0.0005,-0.009
2026-04-02,2.035,2.006,2.046,1.984,446650.0,星期四,-0.0073,-0.0143
2026-04-01,2.049,2.05,2.057,2.022,433217.0,星期三,0.023,0.0005
2026-03-31,2.028,2.003,2.049,1.987,376486.0,星期二,0.0005,-0.0123
2026-03-30,1.989,2.027,2.028,1.971,398228.0,星期一,-0.002,0.0191
2026-03-27,1.901,1.993,2.011,1.9,424135.0,星期五,-0.015,0.0484
2026-03-26,1.971,1.93,1.976,1.924,305398.0,星期四,-0.0015,-0.0208
2026-03-25,1.965,1.974,1.997,1.953,581394.0,星期三,0.0293,0.0046
