time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.955,0.907,0.957,0.905,2287812.0,星期五,-0.0062,-0.0503
2026-06-25,0.96,0.961,0.969,0.939,1456396.0,星期四,-0.5954,0.001
2026-06-24,2.355,2.373,2.383,2.323,986045.0,星期三,-0.0088,0.0076
2026-06-23,2.44,2.376,2.456,2.362,1031400.0,星期二,-0.0008,-0.0262
2026-06-22,2.355,2.442,2.447,2.355,1212721.0,星期一,0.0056,0.0369
2026-06-18,2.3,2.342,2.364,2.295,828703.0,星期四,-0.0043,0.0183
2026-06-17,2.285,2.31,2.324,2.277,715818.0,星期三,-0.0074,0.0109
2026-06-16,2.234,2.302,2.314,2.227,1132290.0,星期二,0.0013,0.0304
2026-06-15,2.167,2.231,2.232,2.163,689504.0,星期一,0.007,0.0295
2026-06-12,2.178,2.152,2.211,2.142,1249931.0,星期五,0.0121,-0.0119
2026-06-11,2.159,2.152,2.18,2.125,1572937.0,星期四,-0.0092,-0.0032
2026-06-10,2.232,2.179,2.245,2.15,1329485.0,星期三,-0.015,-0.0237
2026-06-09,2.199,2.266,2.268,2.174,1293903.0,星期二,0.0069,0.0305
2026-06-08,2.165,2.184,2.248,2.163,987314.0,星期一,-0.0305,0.0088
2026-06-05,2.26,2.233,2.291,2.221,1026362.0,星期五,-0.007,-0.0119
2026-06-04,2.249,2.276,2.294,2.228,1354341.0,星期四,-0.0088,0.012
2026-06-03,2.237,2.269,2.288,2.232,1565151.0,星期三,0.0004,0.0143
2026-06-02,2.222,2.236,2.248,2.174,862796.0,星期二,-0.0004,0.0063
2026-06-01,2.215,2.223,2.28,2.196,963098.0,星期一,0.0009,0.0036
2026-05-29,2.229,2.213,2.252,2.189,913587.0,星期五,0.0,-0.0072
2026-05-28,2.211,2.229,2.234,2.17,952809.0,星期四,-0.0009,0.0081
2026-05-27,2.209,2.213,2.255,2.201,943500.0,星期三,-0.0027,0.0018
2026-05-26,2.259,2.215,2.261,2.181,1374083.0,星期二,-0.0101,-0.0195
2026-05-25,2.259,2.282,2.289,2.245,838744.0,星期一,0.0009,0.0102
2026-05-22,2.218,2.257,2.258,2.217,1021303.0,星期五,0.0005,0.0176
2026-05-21,2.331,2.217,2.335,2.21,1606488.0,星期四,0.0013,-0.0489
2026-05-20,2.313,2.328,2.33,2.287,854420.0,星期三,-0.0009,0.0065
2026-05-19,2.266,2.315,2.316,2.212,1024687.0,星期二,0.0,0.0216
2026-05-18,2.199,2.266,2.275,2.19,920867.0,星期一,-0.0081,0.0305
2026-05-15,2.279,2.217,2.295,2.186,2000727.0,星期五,-0.0031,-0.0272
2026-05-14,2.365,2.286,2.384,2.284,2162858.0,星期四,0.0008,-0.0334
2026-05-13,2.297,2.363,2.366,2.285,1436335.0,星期三,-0.0013,0.0287
2026-05-12,2.274,2.3,2.32,2.27,1389109.0,星期二,0.0,0.0114
2026-05-11,2.254,2.274,2.3,2.254,1107250.0,星期一,0.0094,0.0089
2026-05-08,2.22,2.233,2.24,2.203,980976.0,星期五,-0.008,0.0059
2026-05-07,2.206,2.238,2.245,2.178,1367509.0,星期四,0.0119,0.0145
2026-05-06,2.105,2.18,2.186,2.104,1308410.0,星期三,0.0053,0.0356
2026-04-30,2.112,2.094,2.115,2.075,1108144.0,星期四,0.0,-0.0085
2026-04-29,2.085,2.112,2.115,2.073,757291.0,星期三,-0.0033,0.0129
2026-04-28,2.128,2.092,2.129,2.085,1024461.0,星期二,-0.0056,-0.0169
2026-04-27,2.135,2.14,2.161,2.129,1033106.0,星期一,-0.0051,0.0023
2026-04-24,2.174,2.146,2.19,2.13,1430723.0,星期五,-0.0069,-0.0129
2026-04-23,2.198,2.189,2.228,2.145,1893415.0,星期四,0.0059,-0.0041
2026-04-22,2.104,2.185,2.191,2.104,1415369.0,星期三,-0.008,0.0385
2026-04-21,2.142,2.121,2.142,2.088,1003258.0,星期二,0.0019,-0.0098
2026-04-20,2.077,2.138,2.14,2.062,1372165.0,星期一,0.0048,0.0294
2026-04-17,2.054,2.067,2.067,2.031,749506.0,星期五,-0.0005,0.0063
2026-04-16,2.034,2.055,2.056,2.001,1232180.0,星期四,-0.0005,0.0103
2026-04-15,2.015,2.035,2.066,2.015,1423723.0,星期三,0.006,0.0099
2026-04-14,1.991,2.003,2.007,1.984,690196.0,星期二,0.0045,0.006
2026-04-13,2.001,1.982,2.001,1.963,766756.0,星期一,-0.0109,-0.0095
2026-04-10,2.025,2.023,2.05,2.021,766352.0,星期五,0.0015,-0.001
2026-04-09,2.004,2.022,2.04,1.982,642764.0,星期四,-0.0138,0.009
2026-04-08,1.99,2.032,2.034,1.99,1700919.0,星期三,0.0242,0.0211
2026-04-07,1.96,1.943,1.98,1.936,570838.0,星期二,-0.0015,-0.0087
2026-04-03,1.971,1.963,1.998,1.955,562409.0,星期五,0.0031,-0.0041
2026-04-02,1.997,1.965,2.021,1.955,796400.0,星期四,-0.001,-0.016
2026-04-01,2.007,1.999,2.017,1.978,716764.0,星期三,0.0152,-0.004
2026-03-31,2.018,1.977,2.036,1.97,904232.0,星期二,-0.002,-0.0203
2026-03-30,1.984,2.022,2.023,1.962,709354.0,星期一,-0.0124,0.0192
2026-03-27,1.955,2.009,2.024,1.955,836428.0,星期五,-0.0225,0.0276
2026-03-26,2.044,2.0,2.044,1.99,1130100.0,星期四,-0.001,-0.0215
2026-03-25,1.999,2.046,2.056,1.999,1413182.0,星期三,0.0065,0.0235
2026-03-24,1.978,1.986,1.988,1.917,1112877.0,星期二,0.0191,0.004
2026-03-23,1.95,1.941,2.006,1.922,1164633.0,星期一,-0.0201,-0.0046
2026-03-20,2.021,1.99,2.05,1.988,809517.0,星期五,-0.0015,-0.0153
2026-03-19,2.03,2.024,2.061,2.01,1199066.0,星期四,-0.0273,-0.003
2026-03-18,2.054,2.087,2.092,2.033,1097308.0,星期三,0.0,0.0161
2026-03-17,2.12,2.054,2.133,2.052,1717412.0,星期二,0.0014,-0.0311
2026-03-16,2.168,2.117,2.18,2.095,1847257.0,星期一,-0.0023,-0.0235
2026-03-13,2.216,2.173,2.241,2.166,1908259.0,星期五,-0.0089,-0.0194
2026-03-12,2.266,2.236,2.269,2.21,1439737.0,星期四,0.0,-0.0132
2026-03-11,2.275,2.266,2.292,2.248,1487475.0,星期三,0.0013,-0.004
2026-03-10,2.258,2.272,2.281,2.229,1407890.0,星期二,0.0022,0.0062
2026-03-09,2.2,2.253,2.262,2.164,2515799.0,星期一,-0.0183,0.0241
2026-03-06,2.24,2.241,2.288,2.2,2295677.0,星期五,0.0009,0.0004
2026-03-05,2.18,2.238,2.245,2.175,2291271.0,星期四,0.0144,0.0266
2026-03-04,2.049,2.149,2.18,2.045,2951560.0,星期三,-0.0206,0.0488
2026-03-03,2.184,2.092,2.189,2.084,1805519.0,星期二,0.0005,-0.0421
2026-03-02,2.135,2.183,2.203,2.111,1427286.0,星期一,-0.0023,0.0225
2026-02-27,2.139,2.14,2.14,2.09,1368077.0,星期五,-0.0005,0.0005
2026-02-26,2.07,2.14,2.146,2.068,1227804.0,星期四,-0.0014,0.0338
