time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.921,0.914,0.929,0.914,13047.0,星期五,-0.0043,-0.0076
2026-06-25,0.935,0.925,0.935,0.923,11786.0,星期四,0.0021,-0.0107
2026-06-24,0.952,0.933,0.952,0.931,13451.0,星期三,0.0021,-0.02
2026-06-23,0.949,0.95,0.961,0.949,9851.0,星期二,0.0,0.0011
2026-06-22,0.94,0.949,0.952,0.93,11151.0,星期一,0.0,0.0096
2026-06-18,0.955,0.94,0.965,0.94,32885.0,星期四,-0.0042,-0.0157
2026-06-17,0.965,0.959,0.967,0.957,8636.0,星期三,0.001,-0.0062
2026-06-16,0.974,0.964,0.974,0.964,9561.0,星期二,-0.002,-0.0103
2026-06-15,0.984,0.976,0.984,0.972,2539.0,星期一,0.001,-0.0081
2026-06-12,0.97,0.983,0.983,0.97,13643.0,星期五,-0.0072,0.0134
2026-06-11,0.971,0.977,0.982,0.971,6522.0,星期四,-0.0102,0.0062
2026-06-10,0.973,0.981,0.982,0.972,25418.0,星期三,-0.001,0.0082
2026-06-09,0.974,0.974,0.977,0.971,7190.0,星期二,-0.001,0.0
2026-06-08,0.977,0.975,0.98,0.97,9152.0,星期一,0.0,-0.002
2026-06-05,0.974,0.977,0.985,0.974,13842.0,星期五,-0.002,0.0031
2026-06-04,0.982,0.976,0.982,0.973,2115.0,星期四,-0.003,-0.0061
2026-06-03,0.984,0.985,0.986,0.977,6131.0,星期三,-0.004,0.001
2026-06-02,0.988,0.988,0.998,0.985,6378.0,星期二,0.0,0.0
2026-06-01,0.985,0.988,0.988,0.975,7100.0,星期一,0.0051,0.003
2026-05-29,0.971,0.98,0.983,0.965,17491.0,星期五,0.0073,0.0093
2026-05-28,0.969,0.964,0.972,0.964,3507.0,星期四,-0.0031,-0.0052
2026-05-27,0.97,0.972,0.982,0.965,14686.0,星期三,-0.0051,0.0021
2026-05-26,0.972,0.975,0.985,0.97,10136.0,星期二,0.0,0.0031
2026-05-25,0.979,0.972,0.985,0.97,6876.0,星期一,0.0072,-0.0072
2026-05-22,0.976,0.972,0.976,0.969,5682.0,星期五,0.0,-0.0041
2026-05-21,0.985,0.976,0.985,0.974,10136.0,星期四,0.002,-0.0091
2026-05-20,0.988,0.983,0.991,0.982,12102.0,星期三,-0.003,-0.0051
2026-05-19,0.99,0.991,0.993,0.988,7872.0,星期二,0.0051,0.001
2026-05-18,0.99,0.985,0.99,0.983,19579.0,星期一,0.0,-0.0051
2026-05-15,0.997,0.99,0.997,0.989,64114.0,星期五,0.001,-0.007
2026-05-14,1.0,0.996,1.004,0.996,11869.0,星期四,-0.004,-0.004
2026-05-13,1.004,1.004,1.007,0.998,50533.0,星期三,0.001,0.0
2026-05-12,1.008,1.003,1.009,1.003,7400.0,星期二,0.001,-0.005
