time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.5,2.55,2.583,2.487,143738.0,星期五,-0.0181,0.02
2026-06-25,2.58,2.546,2.58,2.487,135345.0,星期四,0.0366,-0.0132
2026-06-24,2.352,2.489,2.497,2.352,126719.0,星期三,-0.0159,0.0582
2026-06-23,2.434,2.39,2.45,2.358,96222.0,星期二,-0.0008,-0.0181
2026-06-22,2.415,2.436,2.448,2.342,136159.0,星期一,0.0008,0.0087
2026-06-18,2.378,2.413,2.426,2.361,102911.0,星期四,0.0,0.0147
2026-06-17,2.3,2.378,2.38,2.277,108721.0,星期三,-0.0026,0.0339
2026-06-16,2.285,2.306,2.31,2.261,89524.0,星期二,0.0093,0.0092
2026-06-15,2.152,2.264,2.265,2.142,110475.0,星期一,0.0023,0.052
2026-06-12,2.209,2.147,2.22,2.138,111129.0,星期五,0.0294,-0.0281
2026-06-11,2.113,2.146,2.151,2.101,72013.0,星期四,-0.0061,0.0156
2026-06-10,2.12,2.126,2.15,2.092,83625.0,星期三,-0.0107,0.0028
2026-06-09,2.076,2.143,2.143,2.06,97996.0,星期二,0.0212,0.0323
2026-06-08,1.95,2.033,2.077,1.95,78213.0,星期一,-0.0683,0.0426
2026-06-05,2.101,2.093,2.143,2.076,76484.0,星期五,-0.0178,-0.0038
2026-06-04,2.059,2.139,2.144,2.058,94963.0,星期四,-0.0167,0.0389
2026-06-03,2.056,2.094,2.138,2.05,111395.0,星期三,0.0,0.0185
2026-06-02,2.028,2.056,2.075,1.997,118158.0,星期二,0.0,0.0138
2026-06-01,2.104,2.028,2.129,2.026,124786.0,星期一,-0.0108,-0.0361
2026-05-29,2.21,2.127,2.228,2.105,165258.0,星期五,-0.0036,-0.0376
2026-05-28,2.181,2.218,2.231,1.989,128468.0,星期四,-0.0131,0.017
2026-05-27,2.293,2.21,2.305,2.195,210115.0,星期三,0.0155,-0.0362
2026-05-26,2.294,2.258,2.294,2.203,159475.0,星期二,-0.0022,-0.0157
2026-05-25,2.197,2.299,2.31,2.182,144217.0,星期一,0.0005,0.0464
2026-05-22,2.15,2.196,2.197,2.119,150809.0,星期五,0.0103,0.0214
2026-05-21,2.27,2.128,2.271,2.126,188757.0,星期四,0.0193,-0.0626
2026-05-20,2.163,2.227,2.229,2.15,119964.0,星期三,0.0019,0.0296
2026-05-19,2.116,2.159,2.16,2.072,94568.0,星期二,-0.0098,0.0203
2026-05-18,2.114,2.137,2.167,2.101,78610.0,星期一,-0.0014,0.0109
2026-05-15,2.115,2.117,2.173,2.064,113303.0,星期五,0.0048,0.0009
2026-05-14,2.145,2.105,2.162,2.102,79877.0,星期四,0.0005,-0.0186
2026-05-13,2.03,2.144,2.148,2.028,92515.0,星期三,-0.0222,0.0562
2026-05-12,2.07,2.076,2.081,2.043,93078.0,星期二,-0.0053,0.0029
2026-05-11,2.051,2.081,2.09,2.018,118158.0,星期一,0.025,0.0146
2026-05-08,1.986,2.001,2.007,1.967,65029.0,星期五,-0.0114,0.0076
2026-05-07,1.966,2.009,2.01,1.95,90380.0,星期四,-0.0005,0.0219
2026-05-06,1.936,1.967,1.985,1.902,131325.0,星期三,0.0254,0.016
2026-04-30,1.839,1.888,1.893,1.83,72722.0,星期四,0.0071,0.0266
2026-04-29,1.805,1.826,1.832,1.789,43315.0,星期三,-0.0082,0.0116
2026-04-28,1.855,1.82,1.855,1.811,36982.0,星期二,0.0027,-0.0189
2026-04-27,1.81,1.85,1.86,1.81,51785.0,星期一,0.0011,0.0221
2026-04-24,1.801,1.808,1.825,1.788,59728.0,星期五,-0.0044,0.0039
2026-04-23,1.865,1.809,1.866,1.795,65036.0,星期四,0.0076,-0.03
2026-04-22,1.812,1.851,1.851,1.81,57380.0,星期三,-0.0006,0.0215
2026-04-21,1.806,1.813,1.815,1.784,46534.0,星期二,-0.0006,0.0039
2026-04-20,1.789,1.807,1.819,1.789,65286.0,星期一,-0.0089,0.0101
2026-04-17,1.789,1.805,1.808,1.775,63585.0,星期五,-0.0033,0.0089
2026-04-16,1.763,1.795,1.797,1.758,66985.0,星期四,-0.0045,0.0182
2026-04-15,1.83,1.771,1.83,1.759,96495.0,星期三,0.0275,-0.0322
2026-04-14,1.742,1.781,1.785,1.742,105783.0,星期二,0.0064,0.0224
2026-04-13,1.706,1.731,1.743,1.701,57292.0,星期一,-0.0099,0.0147
2026-04-10,1.71,1.723,1.736,1.705,92796.0,星期五,0.0083,0.0076
2026-04-09,1.67,1.696,1.71,1.664,72837.0,星期四,-0.013,0.0156
2026-04-08,1.65,1.692,1.694,1.631,105571.0,星期三,0.0338,0.0255
2026-04-07,1.585,1.596,1.615,1.585,35683.0,星期二,0.0013,0.0069
2026-04-03,1.594,1.583,1.608,1.58,40189.0,星期五,0.0,-0.0069
2026-04-02,1.628,1.594,1.628,1.586,62267.0,星期四,-0.0049,-0.0209
2026-04-01,1.635,1.636,1.647,1.619,55345.0,星期三,0.0219,0.0006
2026-03-31,1.63,1.6,1.638,1.598,40470.0,星期二,-0.0049,-0.0184
2026-03-30,1.613,1.638,1.642,1.602,43308.0,星期一,-0.011,0.0155
2026-03-27,1.581,1.631,1.639,1.569,63771.0,星期五,-0.0137,0.0316
2026-03-26,1.612,1.603,1.633,1.597,57147.0,星期四,-0.008,-0.0056
2026-03-25,1.585,1.625,1.643,1.578,108287.0,星期三,0.0051,0.0252
2026-03-24,1.58,1.577,1.585,1.521,102121.0,星期二,0.0227,-0.0019
2026-03-23,1.58,1.545,1.609,1.532,85563.0,星期一,-0.0259,-0.0222
2026-03-20,1.639,1.622,1.659,1.617,83897.0,星期五,-0.0006,-0.0104
2026-03-19,1.642,1.64,1.683,1.63,109197.0,星期四,-0.0284,-0.0012
2026-03-18,1.671,1.69,1.692,1.655,77494.0,星期三,0.0115,0.0114
2026-03-17,1.699,1.652,1.7,1.648,126177.0,星期二,0.0018,-0.0277
2026-03-16,1.662,1.696,1.697,1.632,101360.0,星期一,0.0036,0.0205
2026-03-13,1.666,1.656,1.687,1.646,54248.0,星期五,-0.0066,-0.006
2026-03-12,1.717,1.677,1.717,1.662,66205.0,星期四,0.0076,-0.0233
2026-03-11,1.72,1.704,1.728,1.699,83398.0,星期三,0.0041,-0.0093
2026-03-10,1.677,1.713,1.714,1.677,202205.0,星期二,0.0084,0.0215
2026-03-09,1.657,1.663,1.668,1.608,88319.0,星期一,-0.016,0.0036
2026-03-06,1.66,1.684,1.698,1.658,49072.0,星期五,-0.006,0.0145
2026-03-05,1.668,1.67,1.704,1.657,105501.0,星期四,0.0158,0.0012
2026-03-04,1.617,1.642,1.671,1.617,88127.0,星期三,-0.011,0.0155
2026-03-03,1.73,1.635,1.747,1.629,144536.0,星期二,-0.0046,-0.0549
2026-03-02,1.736,1.738,1.77,1.734,77783.0,星期一,-0.0209,0.0012
2026-02-27,1.749,1.773,1.775,1.749,53371.0,星期五,-0.0158,0.0137
2026-02-26,1.755,1.777,1.787,1.734,87500.0,星期四,0.0006,0.0125
2026-02-25,1.74,1.754,1.763,1.711,130700.0,星期三,0.0029,0.008
2026-02-24,1.76,1.735,1.777,1.712,74878.0,星期二,0.0109,-0.0142
2026-02-13,1.71,1.741,1.758,1.708,68705.0,星期五,-0.0144,0.0181
2026-02-12,1.707,1.735,1.736,1.707,88842.0,星期四,0.0,0.0164
2026-02-11,1.71,1.707,1.725,1.705,50160.0,星期三,-0.0064,-0.0018
2026-02-10,1.723,1.721,1.737,1.714,50395.0,星期二,-0.0006,-0.0012
2026-02-09,1.7,1.724,1.727,1.699,85868.0,星期一,0.0113,0.0141
2026-02-06,1.641,1.681,1.706,1.641,75974.0,星期五,-0.0301,0.0244
2026-02-05,1.66,1.692,1.699,1.65,101314.0,星期四,-0.0292,0.0193
2026-02-04,1.719,1.71,1.719,1.682,63668.0,星期三,-0.0029,-0.0052
2026-02-03,1.689,1.724,1.727,1.681,119264.0,星期二,0.0175,0.0207
2026-02-02,1.7,1.66,1.756,1.656,124743.0,星期一,-0.0297,-0.0235
2026-01-30,1.743,1.752,1.778,1.703,126759.0,星期五,-0.0125,0.0052
2026-01-29,1.812,1.765,1.83,1.759,127310.0,星期四,-0.0006,-0.0259
2026-01-28,1.815,1.813,1.832,1.802,140236.0,星期三,0.005,-0.0011
2026-01-27,1.76,1.806,1.814,1.738,134113.0,星期二,-0.0045,0.0261
2026-01-26,1.812,1.768,1.812,1.748,160989.0,星期一,0.0,-0.0243
2026-01-23,1.777,1.812,1.814,1.776,168059.0,星期五,-0.01,0.0197
2026-01-22,1.848,1.795,1.848,1.777,190368.0,星期四,0.0284,-0.0287
2026-01-21,1.763,1.797,1.803,1.753,226033.0,星期三,0.0,0.0193
2026-01-20,1.768,1.763,1.795,1.752,192916.0,星期二,-0.0117,-0.0028
2026-01-19,1.82,1.789,1.82,1.773,296420.0,星期一,0.0028,-0.017
2026-01-16,1.75,1.815,1.898,1.739,344789.0,星期五,0.011,0.0371
2026-01-15,1.675,1.731,1.731,1.668,95951.0,星期四,-0.0095,0.0334
