time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.913,0.906,0.914,0.904,30574.0,星期五,-0.0022,-0.0077
2026-06-25,0.926,0.915,0.926,0.915,2331.0,星期四,0.0022,-0.0119
2026-06-24,0.939,0.924,0.939,0.923,33037.0,星期三,-0.0032,-0.016
2026-06-23,0.946,0.942,0.953,0.942,15239.0,星期二,0.0053,-0.0042
2026-06-22,0.932,0.941,0.945,0.923,20654.0,星期一,-0.0064,0.0097
2026-06-18,0.951,0.938,0.953,0.937,34253.0,星期四,-0.0063,-0.0137
2026-06-17,0.962,0.957,0.963,0.955,39556.0,星期三,-0.001,-0.0052
2026-06-16,0.971,0.963,0.971,0.962,40653.0,星期二,-0.001,-0.0082
2026-06-15,0.978,0.972,0.981,0.971,64084.0,星期一,-0.001,-0.0061
2026-06-12,0.967,0.979,0.979,0.967,40816.0,星期五,-0.0062,0.0124
2026-06-11,0.978,0.973,0.98,0.97,22280.0,星期四,0.0,-0.0051
2026-06-10,0.976,0.978,0.979,0.973,19748.0,星期三,-0.001,0.002
2026-06-09,0.971,0.977,0.99,0.971,30695.0,星期二,-0.0051,0.0062
2026-06-08,0.98,0.976,0.981,0.972,38135.0,星期一,0.0,-0.0041
2026-06-05,0.99,0.98,0.994,0.98,31097.0,星期五,0.003,-0.0101
2026-06-04,0.99,0.987,0.993,0.983,46383.0,星期四,-0.006,-0.003
2026-06-03,0.998,0.996,0.998,0.982,44511.0,星期三,0.0,-0.002
2026-06-02,1.001,0.998,1.008,0.995,105132.0,星期二,0.002,-0.003
2026-06-01,0.984,0.999,1.001,0.98,95352.0,星期一,0.0,0.0152
2026-05-29,0.97,0.984,0.988,0.969,81092.0,星期五,0.001,0.0144
2026-05-28,0.974,0.969,0.98,0.969,24240.0,星期四,-0.001,-0.0051
2026-05-27,0.974,0.975,0.976,0.968,49742.0,星期三,-0.0031,0.001
2026-05-26,0.97,0.977,0.977,0.969,43715.0,星期二,-0.0031,0.0072
2026-05-25,0.968,0.973,0.974,0.968,2701.0,星期一,-0.001,0.0052
2026-05-22,0.977,0.969,0.978,0.963,28220.0,星期五,0.0062,-0.0082
2026-05-21,0.984,0.971,0.984,0.971,29929.0,星期四,0.002,-0.0132
2026-05-20,0.99,0.982,0.99,0.98,36430.0,星期三,-0.001,-0.0081
2026-05-19,0.98,0.991,0.992,0.98,34031.0,星期二,0.0,0.0112
2026-05-18,0.982,0.98,0.982,0.976,49903.0,星期一,-0.0041,-0.002
2026-05-15,0.989,0.986,0.989,0.982,10028.0,星期五,-0.001,-0.003
2026-05-14,0.993,0.99,0.995,0.989,51371.0,星期四,-0.002,-0.003
2026-05-13,0.996,0.995,0.998,0.991,26116.0,星期三,0.001,-0.001
2026-05-12,0.995,0.995,0.999,0.994,24309.0,星期二,0.001,0.0
2026-05-11,0.99,0.994,0.995,0.987,41603.0,星期一,0.0,0.004
2026-05-08,0.989,0.99,0.996,0.988,31453.0,星期五,0.0,0.001
2026-05-07,0.996,0.989,0.996,0.989,40580.0,星期四,0.0,-0.007
2026-05-06,0.999,0.996,0.999,0.988,41920.0,星期三,0.001,-0.003
2026-04-30,1.005,0.998,1.005,0.995,30117.0,星期四,0.001,-0.007
2026-04-29,1.0,1.004,1.007,0.999,33595.0,星期三,0.0,0.004
2026-04-28,0.994,1.0,1.0,0.991,81525.0,星期二,0.0,0.006
2026-04-27,0.999,0.994,1.001,0.992,51127.0,星期一,-0.001,-0.005
2026-04-24,1.002,1.0,1.004,0.999,82159.0,星期五,-0.001,-0.002
2026-04-23,0.993,1.003,1.004,0.993,43810.0,星期四,-0.002,0.0101
2026-04-22,0.998,0.995,0.998,0.992,35066.0,星期三,0.0,-0.003
2026-04-21,0.991,0.998,0.999,0.991,43273.0,星期二,0.002,0.0071
2026-04-20,0.989,0.989,0.991,0.987,29106.0,星期一,0.0,0.0
2026-04-17,0.992,0.989,0.992,0.988,23341.0,星期五,-0.002,-0.003
2026-04-16,0.994,0.994,0.995,0.99,25995.0,星期四,0.001,0.0
2026-04-15,0.987,0.993,0.994,0.985,17319.0,星期三,-0.001,0.0061
2026-04-14,0.984,0.988,0.988,0.983,21532.0,星期二,0.0,0.0041
2026-04-13,0.987,0.984,0.987,0.982,11721.0,星期一,-0.003,-0.003
2026-04-10,0.992,0.99,0.992,0.988,25014.0,星期五,0.002,-0.002
2026-04-09,0.997,0.99,0.998,0.989,15196.0,星期四,0.0,-0.007
2026-04-08,0.99,0.997,0.997,0.989,21037.0,星期三,-0.001,0.0071
2026-04-07,0.993,0.991,0.993,0.988,23572.0,星期二,0.0,-0.002
2026-04-03,1.004,0.993,1.004,0.99,58015.0,星期五,-0.003,-0.011
2026-04-02,1.001,1.007,1.007,1.001,37429.0,星期四,0.0,0.006
2026-04-01,1.006,1.001,1.009,1.001,35737.0,星期三,0.001,-0.005
2026-03-31,1.006,1.005,1.014,1.005,53836.0,星期二,0.0,-0.001
2026-03-30,1.0,1.006,1.008,0.999,75231.0,星期一,-0.0079,0.006
2026-03-27,1.01,1.008,1.011,1.003,65081.0,星期五,-0.001,-0.002
2026-03-26,1.007,1.011,1.015,1.007,44309.0,星期四,-0.004,0.004
2026-03-25,0.999,1.011,1.011,0.996,55622.0,星期三,-0.003,0.012
2026-03-24,0.985,1.002,1.002,0.985,35801.0,星期二,0.002,0.0173
2026-03-23,1.013,0.983,1.013,0.98,69455.0,星期一,-0.002,-0.0296
2026-03-20,1.015,1.015,1.023,1.014,14086.0,星期五,-0.002,0.0
2026-03-19,1.01,1.017,1.025,1.01,108114.0,星期四,-0.0088,0.0069
2026-03-18,1.02,1.019,1.022,1.01,146374.0,星期三,-0.0039,-0.001
2026-03-17,1.022,1.024,1.029,1.022,54020.0,星期二,-0.002,0.002
2026-03-16,1.03,1.024,1.03,1.022,110385.0,星期一,0.0,-0.0058
2026-03-13,1.032,1.03,1.036,1.028,68903.0,星期五,-0.0019,-0.0019
2026-03-12,1.019,1.034,1.034,1.019,62596.0,星期四,-0.001,0.0147
2026-03-11,1.006,1.02,1.023,1.003,103852.0,星期三,-0.003,0.0139
2026-03-10,1.009,1.009,1.009,1.0,49652.0,星期二,0.0,0.0
2026-03-09,1.009,1.009,1.019,1.009,85178.0,星期一,0.002,0.0
2026-03-06,0.994,1.007,1.01,0.994,75772.0,星期五,-0.007,0.0131
2026-03-05,1.0,1.001,1.005,0.995,286517.0,星期四,0.001,0.001
2026-03-04,1.003,0.999,1.003,0.99,50140.0,星期三,-0.0089,-0.004
2026-03-03,1.003,1.012,1.021,0.99,112616.0,星期二,0.0,0.009
2026-03-02,0.988,1.003,1.003,0.988,85117.0,星期一,-0.003,0.0152
2026-02-27,0.971,0.991,0.991,0.971,33910.0,星期五,-0.0142,0.0206
2026-02-26,0.982,0.985,0.988,0.98,17910.0,星期四,-0.002,0.0031
2026-02-25,0.985,0.984,0.993,0.982,30265.0,星期三,0.002,-0.001
2026-02-24,0.974,0.983,0.985,0.974,17988.0,星期二,-0.001,0.0092
2026-02-13,0.981,0.975,0.988,0.974,45600.0,星期五,-0.0051,-0.0061
2026-02-12,0.987,0.986,0.99,0.984,43808.0,星期四,-0.003,-0.001
2026-02-11,0.986,0.99,0.991,0.982,38054.0,星期三,-0.001,0.0041
2026-02-10,0.982,0.987,0.987,0.982,13056.0,星期二,-0.003,0.0051
2026-02-09,0.987,0.985,0.987,0.98,9099.0,星期一,0.0082,-0.002
2026-02-06,0.983,0.979,0.984,0.975,38925.0,星期五,0.002,-0.0041
2026-02-05,0.975,0.981,0.983,0.974,39816.0,星期四,-0.002,0.0062
2026-02-04,0.96,0.977,0.978,0.96,50763.0,星期三,0.0,0.0177
2026-02-03,0.956,0.96,0.964,0.953,43900.0,星期二,0.0,0.0042
2026-02-02,0.971,0.956,0.973,0.955,38713.0,星期一,0.0,-0.0154
2026-01-30,0.977,0.971,0.982,0.965,44510.0,星期五,0.0051,-0.0061
2026-01-29,0.966,0.972,0.977,0.962,12165.0,星期四,-0.001,0.0062
2026-01-28,0.962,0.967,0.972,0.959,31057.0,星期三,-0.0031,0.0052
2026-01-27,0.967,0.965,0.967,0.96,14752.0,星期二,-0.0031,-0.0021
2026-01-26,0.958,0.97,0.97,0.958,18992.0,星期一,0.0,0.0125
2026-01-23,0.964,0.958,0.965,0.958,60516.0,星期五,0.0021,-0.0062
2026-01-22,0.958,0.962,0.966,0.958,55059.0,星期四,0.0,0.0042
2026-01-21,0.965,0.958,0.966,0.956,56672.0,星期三,0.0,-0.0073
2026-01-20,0.952,0.965,0.966,0.952,166325.0,星期二,0.0,0.0137
2026-01-19,0.952,0.952,0.954,0.947,28926.0,星期一,0.0,0.0
2026-01-16,0.956,0.952,0.96,0.949,23131.0,星期五,0.0,-0.0042
2026-01-15,0.961,0.956,0.962,0.955,17039.0,星期四,0.0,-0.0052
2026-01-14,0.968,0.961,0.973,0.958,57643.0,星期三,0.0,-0.0072
2026-01-13,0.969,0.968,0.974,0.966,18937.0,星期二,0.001,-0.001
2026-01-12,0.963,0.968,0.97,0.962,26927.0,星期一,-0.001,0.0052
2026-01-09,0.962,0.964,0.965,0.961,55621.0,星期五,0.0,0.0021
2026-01-08,0.963,0.962,0.964,0.96,87195.0,星期四,0.0,-0.001
2026-01-07,0.968,0.963,0.968,0.962,191119.0,星期三,0.0,-0.0052
2026-01-06,0.96,0.968,0.968,0.959,73434.0,星期二,-0.0021,0.0083
2026-01-05,0.96,0.962,0.962,0.955,162226.0,星期一,0.0,0.0021
2025-12-31,0.961,0.96,0.965,0.959,701406.0,星期三,0.0,-0.001
2025-12-30,0.965,0.961,0.965,0.958,82152.0,星期二,0.001,-0.0041
2025-12-29,0.967,0.964,0.967,0.962,142322.0,星期一,0.001,-0.0031
2025-12-26,0.968,0.966,0.968,0.964,44561.0,星期五,0.0031,-0.0021
2025-12-25,0.965,0.965,0.967,0.963,60303.0,星期四,0.001,0.0
2025-12-24,0.961,0.964,0.964,0.958,25495.0,星期三,-0.0021,0.0031
2025-12-23,0.965,0.963,0.968,0.962,92323.0,星期二,0.0,-0.0021
2025-12-22,0.968,0.965,0.968,0.963,21967.0,星期一,-0.001,-0.0031
2025-12-19,0.97,0.969,0.971,0.965,33609.0,星期五,0.001,-0.001
2025-12-18,0.961,0.969,0.97,0.959,27288.0,星期四,-0.001,0.0083
2025-12-17,0.961,0.962,0.964,0.956,63984.0,星期三,-0.001,0.001
2025-12-16,0.963,0.962,0.965,0.958,49532.0,星期二,-0.0021,-0.001
2025-12-15,0.963,0.965,0.969,0.96,23991.0,星期一,-0.001,0.0021
2025-12-12,0.962,0.964,0.965,0.961,28138.0,星期五,0.0,0.0021
2025-12-11,0.975,0.962,0.975,0.961,42169.0,星期四,0.0104,-0.0133
2025-12-10,0.972,0.965,0.972,0.962,41262.0,星期三,0.001,-0.0072
2025-12-09,0.981,0.971,0.981,0.97,16328.0,星期二,0.002,-0.0102
2025-12-08,0.985,0.979,0.985,0.977,52666.0,星期一,0.002,-0.0061
2025-12-05,0.984,0.983,0.985,0.976,255723.0,星期五,0.001,-0.001
2025-12-04,0.988,0.983,0.988,0.982,33026.0,星期四,0.001,-0.0051
2025-12-03,0.991,0.987,0.995,0.986,373680.0,星期三,0.0051,-0.004
2025-12-02,0.987,0.986,0.988,0.984,239964.0,星期二,0.002,-0.001
2025-12-01,0.98,0.985,0.988,0.978,546639.0,星期一,0.0,0.0051
2025-11-28,0.981,0.98,0.983,0.976,54606.0,星期五,-0.002,-0.001
2025-11-27,0.98,0.983,0.986,0.979,18471.0,星期四,-0.0031,0.0031
2025-11-26,0.986,0.983,0.988,0.98,30389.0,星期三,0.001,-0.003
2025-11-25,0.98,0.985,0.985,0.978,14765.0,星期二,0.0,0.0051
2025-11-24,0.979,0.98,0.987,0.979,90557.0,星期一,-0.0061,0.001
2025-11-21,0.999,0.985,0.999,0.985,35838.0,星期五,0.0,-0.014
2025-11-20,0.999,0.999,1.007,0.996,15574.0,星期四,0.001,0.0
2025-11-19,0.995,0.998,1.0,0.993,48557.0,星期三,0.002,0.003
2025-11-18,0.999,0.993,0.999,0.99,26756.0,星期二,0.0,-0.006
2025-11-17,1.007,0.999,1.007,0.996,25548.0,星期一,-0.001,-0.0079
2025-11-14,1.012,1.008,1.018,1.007,39566.0,星期五,-0.002,-0.004
2025-11-13,1.016,1.014,1.016,1.006,40469.0,星期四,0.0,-0.002
2025-11-12,1.013,1.016,1.019,1.013,195632.0,星期三,0.0,0.003
2025-11-11,1.013,1.013,1.013,1.008,189214.0,星期二,0.001,0.0
2025-11-10,1.002,1.012,1.012,1.002,336227.0,星期一,-0.004,0.01
2025-11-07,1.001,1.006,1.008,1.001,884152.0,星期五,,0.005
