time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.572,3.71,3.773,3.533,2423013.0,星期五,-0.007,0.0386
2026-06-25,3.582,3.597,3.644,3.493,2276309.0,星期四,0.0228,0.0042
2026-06-24,3.255,3.502,3.519,3.242,1854425.0,星期三,-0.0178,0.0759
2026-06-23,3.28,3.314,3.387,3.193,1988413.0,星期二,-0.0091,0.0104
2026-06-22,3.272,3.31,3.339,3.188,1643718.0,星期一,0.0184,0.0116
2026-06-18,3.144,3.213,3.22,3.123,1753339.0,星期四,-0.0057,0.0219
2026-06-17,2.87,3.162,3.165,2.852,1810467.0,星期三,-0.0158,0.1017
2026-06-16,2.897,2.916,2.958,2.869,1364415.0,星期二,0.001,0.0066
2026-06-15,2.776,2.894,2.898,2.668,1391360.0,星期一,0.0117,0.0425
2026-06-12,2.988,2.744,2.99,2.723,2265712.0,星期五,0.0555,-0.0817
2026-06-11,2.668,2.831,2.833,2.662,1548200.0,星期四,-0.0037,0.0611
2026-06-10,2.587,2.678,2.738,2.587,1985010.0,星期三,-0.0182,0.0352
2026-06-09,2.481,2.635,2.636,2.472,1529673.0,星期二,0.0197,0.0621
2026-06-08,2.355,2.433,2.499,2.355,1567209.0,星期一,-0.0603,0.0331
2026-06-05,2.544,2.506,2.601,2.487,1494467.0,星期五,-0.0212,-0.0149
2026-06-04,2.425,2.599,2.615,2.425,2203442.0,星期四,-0.0241,0.0718
2026-06-03,2.415,2.485,2.559,2.415,1796276.0,星期三,-0.0008,0.029
2026-06-02,2.383,2.417,2.456,2.348,1727690.0,星期二,-0.0013,0.0143
2026-06-01,2.499,2.386,2.535,2.382,1890558.0,星期一,-0.0119,-0.0452
2026-05-29,2.701,2.529,2.718,2.495,2334036.0,星期五,0.0022,-0.0637
2026-05-28,2.608,2.695,2.71,2.6,1904732.0,星期四,-0.0177,0.0334
2026-05-27,2.757,2.655,2.818,2.646,1954185.0,星期三,0.0018,-0.037
2026-05-26,2.797,2.752,2.797,2.667,2518749.0,星期二,-0.0036,-0.0161
2026-05-25,2.624,2.807,2.856,2.555,2943915.0,星期一,-0.0132,0.0697
2026-05-22,2.619,2.659,2.68,2.543,3347022.0,星期五,-0.0231,0.0153
2026-05-21,2.866,2.681,2.896,2.608,4134843.0,星期四,0.0185,-0.0645
2026-05-20,2.629,2.814,2.816,2.618,2123904.0,星期三,-0.0034,0.0704
2026-05-19,2.46,2.638,2.642,2.429,2060597.0,星期二,-0.0207,0.0724
2026-05-18,2.539,2.512,2.596,2.463,1912757.0,星期一,0.0152,-0.0106
2026-05-15,2.388,2.501,2.6,2.315,2172421.0,星期五,0.0025,0.0473
2026-05-14,2.43,2.382,2.448,2.363,2076202.0,星期四,0.0121,-0.0198
2026-05-13,2.237,2.401,2.408,2.236,1308894.0,星期三,-0.0244,0.0733
2026-05-12,2.217,2.293,2.314,2.171,1205755.0,星期二,0.0032,0.0343
2026-05-11,2.12,2.21,2.235,2.114,1021631.0,星期一,0.0197,0.0425
2026-05-08,2.085,2.079,2.121,2.06,963135.0,星期五,-0.0156,-0.0029
2026-05-07,2.071,2.118,2.122,2.058,742204.0,星期四,0.0005,0.0227
2026-05-06,2.095,2.07,2.174,2.068,1086395.0,星期三,0.028,-0.0119
2026-04-30,1.971,2.038,2.064,1.952,1202122.0,星期四,0.0,0.034
2026-04-29,1.934,1.971,1.972,1.896,920496.0,星期三,-0.0153,0.0191
2026-04-28,1.953,1.964,2.019,1.935,1037352.0,星期二,-0.0106,0.0056
2026-04-27,1.874,1.974,1.995,1.867,1372154.0,星期一,0.0108,0.0534
2026-04-24,1.838,1.854,1.876,1.832,915272.0,星期五,-0.0005,0.0087
2026-04-23,1.87,1.839,1.876,1.816,1075148.0,星期四,0.0021,-0.0166
2026-04-22,1.805,1.866,1.868,1.805,1007734.0,星期三,-0.0033,0.0338
2026-04-21,1.813,1.811,1.821,1.78,586039.0,星期二,-0.006,-0.0011
2026-04-20,1.8,1.824,1.829,1.776,847577.0,星期一,-0.0017,0.0133
2026-04-17,1.793,1.803,1.814,1.77,695343.0,星期五,-0.005,0.0056
2026-04-16,1.783,1.802,1.803,1.762,706296.0,星期四,0.0,0.0107
2026-04-15,1.84,1.783,1.841,1.773,965061.0,星期三,0.0149,-0.031
2026-04-14,1.775,1.813,1.831,1.77,1279640.0,星期二,0.0125,0.0214
2026-04-13,1.767,1.753,1.781,1.747,902984.0,星期一,-0.0101,-0.0079
2026-04-10,1.796,1.785,1.812,1.781,988652.0,星期五,0.0193,-0.0061
2026-04-09,1.728,1.762,1.794,1.721,1050489.0,星期四,-0.0126,0.0197
2026-04-08,1.699,1.75,1.751,1.681,1193098.0,星期三,0.0366,0.03
2026-04-07,1.642,1.639,1.657,1.633,374360.0,星期二,0.0074,-0.0018
2026-04-03,1.633,1.63,1.651,1.625,522252.0,星期五,0.0055,-0.0018
2026-04-02,1.66,1.624,1.67,1.607,595657.0,星期四,-0.0072,-0.0217
