time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.879,1.915,1.92,1.826,45678.0,星期五,-0.0142,0.0192
2026-06-25,1.846,1.906,1.919,1.84,41494.0,星期四,0.0038,0.0325
2026-06-24,1.772,1.839,1.844,1.743,38423.0,星期三,-0.0039,0.0378
2026-06-23,1.783,1.779,1.832,1.748,36494.0,星期二,-0.0094,-0.0022
2026-06-22,1.771,1.8,1.816,1.739,32265.0,星期一,0.0,0.0164
2026-06-18,1.697,1.771,1.79,1.697,40021.0,星期四,-0.0006,0.0436
2026-06-17,1.609,1.698,1.704,1.598,26575.0,星期三,-0.0098,0.0553
2026-06-16,1.621,1.625,1.653,1.601,18142.0,星期二,0.0,0.0025
2026-06-15,1.563,1.621,1.621,1.538,21525.0,星期一,0.0117,0.0371
2026-06-12,1.582,1.545,1.605,1.538,17962.0,星期五,0.022,-0.0234
2026-06-11,1.5,1.548,1.55,1.46,15264.0,星期四,-0.0241,0.032
2026-06-10,1.545,1.537,1.597,1.516,21314.0,星期三,-0.0006,-0.0052
2026-06-09,1.498,1.546,1.546,1.494,17990.0,星期二,0.0115,0.032
2026-06-08,1.458,1.481,1.576,1.458,24988.0,星期一,-0.0575,0.0158
2026-06-05,1.58,1.547,1.607,1.54,24331.0,星期五,-0.018,-0.0209
2026-06-04,1.596,1.609,1.632,1.568,18859.0,星期四,-0.005,0.0081
2026-06-03,1.564,1.604,1.643,1.564,36149.0,星期三,-0.0006,0.0256
2026-06-02,1.54,1.565,1.584,1.52,35878.0,星期二,0.002,0.0162
2026-06-01,1.62,1.537,1.62,1.537,29157.0,星期一,-0.0012,-0.0512
2026-05-29,1.708,1.622,1.718,1.602,43256.0,星期五,0.0,-0.0504
2026-05-28,1.67,1.708,1.715,1.664,28121.0,星期四,-0.0083,0.0228
2026-05-27,1.734,1.684,1.759,1.676,35538.0,星期三,0.0,-0.0288
2026-05-26,1.751,1.734,1.751,1.688,36334.0,星期二,-0.0011,-0.0097
2026-05-25,1.658,1.753,1.761,1.628,32811.0,星期一,-0.0018,0.0573
2026-05-22,1.641,1.661,1.675,1.62,20147.0,星期五,0.0037,0.0122
2026-05-21,1.721,1.635,1.753,1.628,57194.0,星期四,0.0141,-0.05
2026-05-20,1.638,1.697,1.699,1.631,32258.0,星期三,-0.0049,0.036
2026-05-19,1.587,1.646,1.647,1.546,36759.0,星期二,-0.0013,0.0372
2026-05-18,1.557,1.589,1.62,1.557,30595.0,星期一,-0.0133,0.0206
2026-05-15,1.588,1.578,1.637,1.547,47639.0,星期五,-0.005,-0.0063
2026-05-14,1.648,1.596,1.668,1.594,25793.0,星期四,0.0055,-0.0316
2026-05-13,1.586,1.639,1.641,1.556,30691.0,星期三,-0.0088,0.0334
2026-05-12,1.584,1.6,1.616,1.562,36967.0,星期二,-0.0038,0.0101
2026-05-11,1.561,1.59,1.603,1.55,67324.0,星期一,0.025,0.0186
2026-05-08,1.545,1.523,1.545,1.507,21253.0,星期五,-0.0058,-0.0142
2026-05-07,1.537,1.554,1.558,1.525,30240.0,星期四,0.0007,0.0111
2026-05-06,1.491,1.536,1.595,1.491,59135.0,星期三,0.0247,0.0302
2026-04-30,1.419,1.455,1.465,1.39,46655.0,星期四,0.0245,0.0254
2026-04-29,1.368,1.385,1.386,1.348,16745.0,星期三,-0.008,0.0124
2026-04-28,1.39,1.379,1.415,1.374,19028.0,星期二,-0.0071,-0.0079
2026-04-27,1.373,1.4,1.404,1.352,26612.0,星期一,0.0178,0.0197
2026-04-24,1.331,1.349,1.365,1.316,18596.0,星期五,0.0023,0.0135
2026-04-23,1.346,1.328,1.359,1.315,33766.0,星期四,-0.0015,-0.0134
2026-04-22,1.324,1.348,1.348,1.322,15456.0,星期三,-0.0008,0.0181
2026-04-21,1.344,1.325,1.344,1.314,14648.0,星期二,-0.0007,-0.0141
2026-04-20,1.327,1.345,1.345,1.325,16408.0,星期一,0.0053,0.0136
2026-04-17,1.311,1.32,1.327,1.31,13885.0,星期五,-0.0053,0.0069
2026-04-16,1.303,1.318,1.32,1.3,14543.0,星期四,0.0,0.0115
2026-04-15,1.311,1.303,1.334,1.296,22343.0,星期三,0.0077,-0.0061
2026-04-14,1.281,1.301,1.306,1.281,22661.0,星期二,0.0047,0.0156
2026-04-13,1.264,1.275,1.293,1.246,19683.0,星期一,-0.0016,0.0087
2026-04-10,1.264,1.266,1.282,1.263,19838.0,星期五,0.0144,0.0016
2026-04-09,1.24,1.246,1.263,1.23,25145.0,星期四,-0.0112,0.0048
2026-04-08,1.21,1.254,1.255,1.21,72164.0,星期三,0.0237,0.0364
2026-04-07,1.176,1.182,1.191,1.173,15084.0,星期二,0.0077,0.0051
2026-04-03,1.176,1.167,1.177,1.165,11028.0,星期五,0.0,-0.0077
2026-04-02,1.202,1.176,1.202,1.163,25565.0,星期四,-0.0008,-0.0216
2026-04-01,1.183,1.203,1.206,1.183,33687.0,星期三,0.0146,0.0169
2026-03-31,1.195,1.166,1.201,1.164,14049.0,星期二,0.0,-0.0243
2026-03-30,1.205,1.195,1.205,1.177,11715.0,星期一,-0.0058,-0.0083
2026-03-27,1.204,1.212,1.212,1.178,17212.0,星期五,-0.0017,0.0066
2026-03-26,1.219,1.206,1.219,1.192,12156.0,星期四,0.0,-0.0107
2026-03-25,1.2,1.219,1.229,1.2,19649.0,星期三,0.0017,0.0158
2026-03-24,1.179,1.198,1.198,1.159,19045.0,星期二,0.0008,0.0161
2026-03-23,1.216,1.178,1.216,1.166,31837.0,星期一,-0.0041,-0.0313
2026-03-20,1.243,1.221,1.255,1.221,13428.0,星期五,0.0,-0.0177
2026-03-19,1.27,1.243,1.27,1.237,16904.0,星期四,-0.0016,-0.0213
2026-03-18,1.257,1.272,1.273,1.249,9286.0,星期三,0.0016,0.0119
2026-03-17,1.283,1.255,1.283,1.255,15858.0,星期二,-0.0016,-0.0218
2026-03-16,1.276,1.285,1.285,1.25,26324.0,星期一,-0.0023,0.0071
2026-03-13,1.282,1.279,1.291,1.268,3635.0,星期五,-0.0016,-0.0023
2026-03-12,1.301,1.284,1.311,1.274,10084.0,星期四,0.0015,-0.0131
2026-03-11,1.315,1.299,1.323,1.298,12118.0,星期三,-0.0008,-0.0122
2026-03-10,1.29,1.316,1.32,1.29,13673.0,星期二,0.0016,0.0202
2026-03-09,1.278,1.288,1.295,1.256,20658.0,星期一,-0.0267,0.0078
2026-03-06,1.294,1.313,1.317,1.294,6699.0,星期五,-0.0061,0.0147
2026-03-05,1.312,1.302,1.328,1.295,14846.0,星期四,0.0226,-0.0076
2026-03-04,1.287,1.283,1.305,1.279,14060.0,星期三,-0.0023,-0.0031
2026-03-03,1.357,1.29,1.36,1.284,35761.0,星期二,-0.0007,-0.0494
2026-03-02,1.37,1.358,1.376,1.35,29609.0,星期一,-0.0051,-0.0088
2026-02-27,1.374,1.377,1.383,1.154,8675.0,星期五,-0.0015,0.0022
2026-02-26,1.366,1.376,1.383,1.35,26849.0,星期四,0.0015,0.0073
2026-02-25,1.356,1.364,1.371,1.348,10876.0,星期三,-0.0015,0.0059
2026-02-24,1.373,1.358,1.383,1.348,67953.0,星期二,0.0073,-0.0109
2026-02-13,1.37,1.363,1.382,1.361,67339.0,星期五,-0.0015,-0.0051
2026-02-12,1.354,1.372,1.373,1.349,37044.0,星期四,0.0015,0.0133
2026-02-11,1.36,1.352,1.36,1.347,21874.0,星期三,-0.0015,-0.0059
2026-02-10,1.349,1.362,1.373,1.349,237983.0,星期二,0.0015,0.0096
2026-02-09,1.32,1.347,1.35,1.32,55419.0,星期一,0.0015,0.0205
2026-02-06,1.325,1.318,1.332,1.3,25343.0,星期五,-0.0015,-0.0053
2026-02-05,1.344,1.327,1.344,1.31,49403.0,星期四,-0.0015,-0.0126
2026-02-04,1.356,1.346,1.356,1.327,19647.0,星期三,-0.0015,-0.0074
2026-02-03,1.352,1.358,1.39,1.325,33454.0,星期二,0.0052,0.0044
2026-02-02,1.366,1.345,1.394,1.34,33956.0,星期一,-0.0208,-0.0154
2026-01-30,1.375,1.395,1.407,1.355,30097.0,星期五,-0.0143,0.0145
2026-01-29,1.427,1.395,1.441,1.391,44229.0,星期四,-0.0083,-0.0224
2026-01-28,1.434,1.439,1.451,1.419,53912.0,星期三,-0.0021,0.0035
2026-01-27,1.416,1.437,1.441,1.39,32231.0,星期二,-0.0021,0.0148
2026-01-26,1.435,1.419,1.453,1.412,25088.0,星期一,0.0007,-0.0111
2026-01-23,1.41,1.434,1.436,1.407,26699.0,星期五,-0.0077,0.017
2026-01-22,1.43,1.421,1.455,1.413,56520.0,星期四,0.0106,-0.0063
2026-01-21,1.374,1.415,1.426,1.373,83211.0,星期三,0.0015,0.0298
2026-01-20,1.392,1.372,1.407,1.361,40271.0,星期二,0.0014,-0.0144
2026-01-19,1.396,1.39,1.407,1.388,59671.0,星期一,0.0,-0.0043
2026-01-16,1.382,1.396,1.41,1.382,58787.0,星期五,0.0044,0.0101
2026-01-15,1.386,1.376,1.389,1.356,60083.0,星期四,0.0,-0.0072
2026-01-14,1.358,1.386,1.413,1.358,93091.0,星期三,0.0,0.0206
2026-01-13,1.39,1.358,1.395,1.345,70769.0,星期二,-0.0022,-0.023
2026-01-12,1.366,1.393,1.399,1.363,72907.0,星期一,0.0029,0.0198
2026-01-09,1.345,1.362,1.363,1.325,52084.0,星期五,0.0037,0.0126
2026-01-08,1.333,1.34,1.368,1.333,122276.0,星期四,-0.0015,0.0053
2026-01-07,1.323,1.335,1.339,1.319,89933.0,星期三,0.003,0.0091
2026-01-06,1.295,1.319,1.333,1.291,73267.0,星期二,-0.0015,0.0185
2026-01-05,1.26,1.297,1.297,1.26,36171.0,星期一,0.0104,0.0294
2025-12-31,1.255,1.247,1.262,1.241,19046.0,星期三,0.0,-0.0064
2025-12-30,1.245,1.255,1.263,1.245,29374.0,星期二,0.0016,0.008
2025-12-29,1.244,1.243,1.26,1.241,42067.0,星期一,0.0,-0.0008
2025-12-26,1.246,1.244,1.253,1.237,19743.0,星期五,0.0,-0.0016
2025-12-25,1.246,1.246,1.253,1.237,19621.0,星期四,-0.0016,0.0
2025-12-24,1.237,1.248,1.249,1.231,25213.0,星期三,0.0016,0.0089
2025-12-23,1.232,1.235,1.244,1.231,14791.0,星期二,0.0,0.0024
2025-12-22,1.213,1.232,1.235,1.213,22591.0,星期一,0.0017,0.0157
2025-12-19,1.208,1.211,1.223,1.207,11338.0,星期五,0.0017,0.0025
2025-12-18,1.215,1.206,1.22,1.204,28742.0,星期四,-0.0065,-0.0074
2025-12-17,1.197,1.223,1.226,1.192,30046.0,星期三,0.0017,0.0217
2025-12-16,1.221,1.195,1.222,1.19,21994.0,星期二,0.0,-0.0213
2025-12-15,1.241,1.221,1.241,1.218,17708.0,星期一,-0.0032,-0.0161
2025-12-12,1.225,1.245,1.248,1.215,22203.0,星期五,-0.0008,0.0163
2025-12-11,1.244,1.226,1.245,1.225,15967.0,星期四,0.0016,-0.0145
2025-12-10,1.245,1.242,1.247,1.216,36645.0,星期三,0.0,-0.0024
2025-12-09,1.239,1.245,1.254,1.223,16600.0,星期二,-0.0064,0.0048
2025-12-08,1.216,1.247,1.254,1.216,35207.0,星期一,-0.0065,0.0255
2025-12-05,1.22,1.224,1.227,1.201,140047.0,星期五,-0.0008,0.0033
2025-12-04,1.207,1.221,1.221,1.192,29671.0,星期四,0.0017,0.0116
2025-12-03,1.213,1.205,1.22,1.2,34466.0,星期三,-0.0016,-0.0066
2025-12-02,1.232,1.215,1.232,1.212,19536.0,星期二,-0.0016,-0.0138
2025-12-01,1.219,1.234,1.235,1.208,29743.0,星期一,0.0,0.0123
2025-11-28,1.208,1.219,1.225,1.2,37461.0,星期五,0.0,0.0091
2025-11-27,1.214,1.208,1.244,1.205,36013.0,星期四,0.0008,-0.0049
2025-11-26,1.2,1.213,1.222,1.192,46890.0,星期三,0.0008,0.0108
2025-11-25,1.199,1.199,1.217,1.195,35742.0,星期二,0.0067,0.0
2025-11-24,1.185,1.191,1.209,1.173,49961.0,星期一,0.0,0.0051
2025-11-21,1.197,1.185,1.223,1.182,71280.0,星期五,-0.0221,-0.01
2025-11-20,1.246,1.224,1.255,1.222,62540.0,星期四,0.0016,-0.0177
2025-11-19,1.25,1.244,1.255,1.233,45822.0,星期三,-0.0016,-0.0048
2025-11-18,1.245,1.252,1.265,1.238,123189.0,星期二,-0.0016,0.0056
2025-11-17,1.256,1.247,1.276,1.238,53308.0,星期一,0.0,-0.0072
