time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.067,2.042,2.078,2.003,18233.0,星期五,-0.0067,-0.0121
2026-06-25,2.061,2.081,2.105,2.036,27382.0,星期四,0.0098,0.0097
2026-06-24,1.988,2.041,2.046,1.956,29233.0,星期三,0.0,0.0267
2026-06-23,2.008,1.988,2.037,1.96,17351.0,星期二,-0.005,-0.01
2026-06-22,2.01,2.018,2.07,1.948,40470.0,星期一,0.0,0.004
2026-06-18,1.94,2.01,2.011,1.94,22199.0,星期四,-0.0036,0.0361
2026-06-17,1.86,1.947,1.947,1.859,21395.0,星期三,-0.0101,0.0468
2026-06-16,1.85,1.879,1.89,1.85,27308.0,星期二,0.0,0.0157
2026-06-15,1.796,1.85,1.853,1.77,20596.0,星期一,0.0141,0.0301
2026-06-12,1.776,1.771,1.828,1.766,34906.0,星期五,0.0028,-0.0028
2026-06-11,1.765,1.771,1.778,1.748,21238.0,星期四,0.0046,0.0034
2026-06-10,1.82,1.757,1.82,1.729,29505.0,星期三,0.0282,-0.0346
2026-06-09,1.766,1.77,1.771,1.718,22268.0,星期二,0.0376,0.0023
2026-06-08,1.736,1.702,1.742,1.682,8472.0,星期一,-0.0181,-0.0196
2026-06-05,1.792,1.768,1.814,1.757,23693.0,星期五,-0.0121,-0.0134
2026-06-04,1.789,1.814,1.819,1.772,32033.0,星期四,-0.0006,0.014
2026-06-03,1.777,1.79,1.826,1.765,38349.0,星期三,0.0068,0.0073
2026-06-02,1.752,1.765,1.775,1.711,29913.0,星期二,0.0075,0.0074
2026-06-01,1.8,1.739,1.814,1.735,26389.0,星期一,-0.0006,-0.0339
2026-05-29,1.899,1.801,1.899,1.787,18811.0,星期五,0.0,-0.0516
2026-05-28,1.978,1.899,1.978,1.843,29098.0,星期四,0.0595,-0.0399
2026-05-27,1.914,1.867,1.929,1.854,38266.0,星期三,0.0,-0.0246
2026-05-26,1.885,1.914,1.937,1.871,16348.0,星期二,-0.0248,0.0154
2026-05-25,1.914,1.933,1.981,1.869,20646.0,星期一,0.0252,0.0099
2026-05-22,1.853,1.867,1.873,1.825,9237.0,星期五,0.0148,0.0076
2026-05-21,1.939,1.826,1.945,1.825,7539.0,星期四,0.0152,-0.0583
2026-05-20,1.866,1.91,1.912,1.866,13593.0,星期三,0.0,0.0236
2026-05-19,1.819,1.866,1.866,1.784,5710.0,星期二,-0.0022,0.0258
2026-05-18,1.808,1.823,1.847,1.781,3504.0,星期一,0.0,0.0083
2026-05-15,1.838,1.808,1.85,1.775,13799.0,星期五,0.0033,-0.0163
2026-05-14,1.858,1.832,1.866,1.822,23112.0,星期四,-0.0059,-0.014
2026-05-13,1.806,1.869,1.874,1.804,11871.0,星期三,-0.0153,0.0349
2026-05-12,1.839,1.834,1.848,1.812,35995.0,星期二,0.0022,-0.0027
2026-05-11,1.8,1.835,1.856,1.79,26519.0,星期一,0.0152,0.0194
2026-05-08,1.75,1.773,1.778,1.75,7016.0,星期五,-0.0245,0.0131
2026-05-07,1.759,1.794,1.795,1.726,25434.0,星期四,0.0,0.0199
2026-05-06,1.712,1.759,1.796,1.712,23472.0,星期三,0.0041,0.0275
2026-04-30,1.601,1.705,1.705,1.601,5305.0,星期四,-0.025,0.065
2026-04-29,1.611,1.642,1.644,1.602,4227.0,星期三,-0.0153,0.0192
2026-04-28,1.698,1.636,1.704,1.624,12535.0,星期二,0.0247,-0.0365
2026-04-27,1.618,1.657,1.662,1.618,7372.0,星期一,0.0,0.0241
2026-04-24,1.585,1.618,1.624,1.571,24096.0,星期五,-0.0088,0.0208
2026-04-23,1.614,1.599,1.73,1.583,21237.0,星期四,-0.0086,-0.0093
2026-04-22,1.609,1.628,1.63,1.6,16689.0,星期三,0.0069,0.0118
2026-04-21,1.597,1.598,1.603,1.584,3399.0,星期二,-0.0081,0.0006
2026-04-20,1.61,1.61,1.614,1.6,1576.0,星期一,0.0081,0.0
2026-04-17,1.602,1.597,1.605,1.591,3519.0,星期五,0.0095,-0.0031
2026-04-16,1.561,1.587,1.589,1.561,11388.0,星期四,-0.0013,0.0167
2026-04-15,1.588,1.563,1.588,1.56,9224.0,星期三,0.0199,-0.0157
2026-04-14,1.542,1.557,1.56,1.542,7337.0,星期二,0.0118,0.0097
2026-04-13,1.541,1.524,1.541,1.512,1148.0,星期一,0.0152,-0.011
2026-04-10,1.522,1.518,1.532,1.515,7933.0,星期五,0.016,-0.0026
2026-04-09,1.502,1.498,1.515,1.497,8387.0,星期四,-0.0053,-0.0027
2026-04-08,1.46,1.51,1.51,1.46,7574.0,星期三,0.0181,0.0342
2026-04-07,1.428,1.434,1.445,1.427,1748.0,星期二,0.0042,0.0042
2026-04-03,1.428,1.422,1.433,1.416,8713.0,星期五,0.0078,-0.0042
2026-04-02,1.48,1.417,1.48,1.413,6897.0,星期四,0.0193,-0.0426
2026-04-01,1.49,1.452,1.49,1.421,10035.0,星期三,0.053,-0.0255
2026-03-31,1.434,1.415,1.45,1.415,4627.0,星期二,-0.0049,-0.0132
2026-03-30,1.428,1.441,1.445,1.422,24615.0,星期一,-0.0124,0.0091
2026-03-27,1.421,1.446,1.452,1.41,6596.0,星期五,-0.0021,0.0176
2026-03-26,1.447,1.424,1.447,1.421,7132.0,星期四,-0.0041,-0.0159
2026-03-25,1.449,1.453,1.464,1.445,8835.0,星期三,0.0197,0.0028
2026-03-24,1.393,1.421,1.421,1.371,10798.0,星期二,0.0043,0.0201
2026-03-23,1.441,1.387,1.441,1.377,9707.0,星期一,-0.0076,-0.0375
