time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.044,1.034,1.053,1.025,148110.0,星期五,-0.0095,-0.0096
2026-06-25,1.041,1.054,1.055,1.026,217663.0,星期四,0.0048,0.0125
2026-06-24,1.018,1.036,1.04,1.001,273776.0,星期三,0.0,0.0177
2026-06-23,1.034,1.018,1.041,1.008,179264.0,星期二,-0.0039,-0.0155
2026-06-22,1.045,1.038,1.051,1.009,197208.0,星期一,0.0019,-0.0067
2026-06-18,1.02,1.043,1.046,1.019,291934.0,星期四,0.001,0.0225
2026-06-17,0.999,1.019,1.02,0.987,392384.0,星期三,0.0,0.02
2026-06-16,0.98,0.999,1.003,0.98,201716.0,星期二,0.0,0.0194
2026-06-15,0.935,0.98,0.981,0.935,181419.0,星期一,0.0021,0.0481
2026-06-12,0.948,0.933,0.966,0.926,207507.0,星期五,0.0117,-0.0158
2026-06-11,0.926,0.937,0.943,0.923,62447.0,星期四,-0.0011,0.0119
2026-06-10,0.932,0.927,0.938,0.911,76573.0,星期三,-0.0085,-0.0054
2026-06-09,0.909,0.94,0.941,0.907,133969.0,星期二,0.01,0.0341
2026-06-08,0.911,0.9,0.938,0.888,187863.0,星期一,-0.0319,-0.0121
2026-06-05,0.945,0.941,0.963,0.936,99093.0,星期五,-0.0084,-0.0042
2026-06-04,0.933,0.953,0.957,0.927,269923.0,星期四,-0.0096,0.0214
2026-06-03,0.929,0.942,0.96,0.927,156216.0,星期三,0.0011,0.014
2026-06-02,0.921,0.928,0.938,0.898,171209.0,星期二,0.0011,0.0076
2026-06-01,0.947,0.92,0.96,0.918,278394.0,星期一,-0.0011,-0.0285
2026-05-29,1.0,0.948,1.001,0.94,408281.0,星期五,-0.002,-0.052
2026-05-28,1.0,1.002,1.005,0.969,337484.0,星期四,,0.002
