time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.918,1.883,1.922,1.85,113907.0,星期五,-0.001,-0.0182
2026-06-25,1.882,1.92,1.926,1.855,118537.0,星期四,0.0048,0.0202
2026-06-24,1.8,1.873,1.879,1.79,322520.0,星期三,-0.0169,0.0406
2026-06-23,1.82,1.831,1.874,1.801,98814.0,星期二,-0.0162,0.006
2026-06-22,1.845,1.85,1.856,1.785,165203.0,星期一,0.006,0.0027
2026-06-18,1.772,1.834,1.844,1.771,257347.0,星期四,-0.0006,0.035
2026-06-17,1.718,1.773,1.777,1.703,157402.0,星期三,-0.0046,0.032
2026-06-16,1.715,1.726,1.737,1.7,173595.0,星期二,0.0035,0.0064
2026-06-15,1.645,1.709,1.709,1.633,178049.0,星期一,0.0067,0.0389
2026-06-12,1.654,1.634,1.686,1.628,145609.0,星期五,0.0098,-0.0121
2026-06-11,1.598,1.638,1.638,1.598,209252.0,星期四,-0.0099,0.025
2026-06-10,1.631,1.614,1.659,1.595,134879.0,星期三,-0.0006,-0.0104
2026-06-09,1.586,1.632,1.632,1.585,137725.0,星期二,0.0095,0.029
2026-06-08,1.612,1.571,1.613,1.556,214164.0,星期一,-0.0135,-0.0254
2026-06-05,1.657,1.634,1.676,1.624,123437.0,星期五,-0.0102,-0.0139
2026-06-04,1.649,1.674,1.685,1.638,127342.0,星期四,-0.0096,0.0152
2026-06-03,1.632,1.665,1.698,1.632,129176.0,星期三,0.0,0.0202
2026-06-02,1.61,1.632,1.648,1.59,218177.0,星期二,0.0006,0.0137
2026-06-01,1.663,1.609,1.684,1.608,149962.0,星期一,-0.0036,-0.0325
2026-05-29,1.757,1.669,1.767,1.653,239524.0,星期五,-0.0034,-0.0501
2026-05-28,1.716,1.763,1.78,1.716,329307.0,星期四,-0.011,0.0274
2026-05-27,1.777,1.735,1.798,1.723,236557.0,星期三,0.0023,-0.0236
2026-05-26,1.814,1.773,1.827,1.738,381034.0,星期二,0.0095,-0.0226
2026-05-25,1.736,1.797,1.805,1.728,345188.0,星期一,-0.0034,0.0351
2026-05-22,1.7,1.742,1.745,1.698,316130.0,星期五,-0.0035,0.0247
2026-05-21,1.827,1.706,1.827,1.702,339029.0,星期四,0.0247,-0.0662
2026-05-20,1.725,1.783,1.783,1.725,276253.0,星期三,-0.0103,0.0336
2026-05-19,1.691,1.743,1.744,1.663,375583.0,星期二,-0.0029,0.0308
2026-05-18,1.679,1.696,1.723,1.67,284555.0,星期一,-0.0006,0.0101
2026-05-15,1.702,1.68,1.73,1.654,388336.0,星期五,-0.0018,-0.0129
2026-05-14,1.744,1.705,1.761,1.697,364371.0,星期四,-0.0011,-0.0224
2026-05-13,1.679,1.746,1.747,1.674,281901.0,星期三,-0.0181,0.0399
2026-05-12,1.714,1.71,1.725,1.685,288229.0,星期二,0.0035,-0.0023
2026-05-11,1.669,1.708,1.713,1.669,240555.0,星期一,0.0097,0.0234
2026-05-08,1.669,1.653,1.669,1.638,231727.0,星期五,-0.0054,-0.0096
2026-05-07,1.646,1.678,1.68,1.632,217464.0,星期四,0.003,0.0194
2026-05-06,1.601,1.641,1.679,1.601,243604.0,星期三,0.0095,0.025
2026-04-30,1.538,1.586,1.594,1.538,258945.0,星期四,0.0052,0.0312
2026-04-29,1.505,1.53,1.533,1.493,146317.0,星期三,-0.0105,0.0166
2026-04-28,1.544,1.521,1.555,1.515,170580.0,星期二,-0.0006,-0.0149
2026-04-27,1.512,1.545,1.551,1.506,219340.0,星期一,0.0047,0.0218
2026-04-24,1.493,1.505,1.517,1.475,250628.0,星期五,0.0,0.008
2026-04-23,1.519,1.493,1.529,1.478,232759.0,星期四,0.0,-0.0171
2026-04-22,1.498,1.519,1.52,1.493,148121.0,星期三,0.0,0.014
2026-04-21,1.511,1.498,1.511,1.482,193135.0,星期二,0.0,-0.0086
2026-04-20,1.499,1.511,1.514,1.497,151513.0,星期一,0.0,0.008
2026-04-17,1.487,1.499,1.503,1.481,182247.0,星期五,-0.0007,0.0081
2026-04-16,1.469,1.488,1.489,1.462,178821.0,星期四,0.0014,0.0129
2026-04-15,1.46,1.467,1.487,1.459,276336.0,星期三,0.0007,0.0048
2026-04-14,1.435,1.459,1.459,1.435,288322.0,星期二,0.0056,0.0167
2026-04-13,1.414,1.427,1.442,1.414,302069.0,星期一,-0.0042,0.0092
2026-04-10,1.408,1.42,1.436,1.408,240646.0,星期五,0.0036,0.0085
2026-04-09,1.405,1.403,1.418,1.386,200427.0,星期四,-0.0071,-0.0014
2026-04-08,1.369,1.415,1.415,1.369,149978.0,星期三,0.0209,0.0336
2026-04-07,1.329,1.341,1.352,1.329,261007.0,星期二,-0.0015,0.009
2026-04-03,1.341,1.331,1.343,1.328,279904.0,星期五,0.006,-0.0075
2026-04-02,1.359,1.333,1.359,1.325,207696.0,星期四,-0.0051,-0.0191
2026-04-01,1.342,1.366,1.369,1.342,209932.0,星期三,0.0136,0.0179
2026-03-31,1.348,1.324,1.36,1.323,198088.0,星期二,-0.0022,-0.0178
2026-03-30,1.334,1.351,1.354,1.329,174226.0,星期一,-0.0155,0.0127
2026-03-27,1.332,1.355,1.359,1.317,221320.0,星期五,0.0,0.0173
2026-03-26,1.353,1.332,1.356,1.326,257345.0,星期四,0.0,-0.0155
2026-03-25,1.338,1.353,1.367,1.337,354747.0,星期三,0.006,0.0112
2026-03-24,1.321,1.33,1.331,1.282,295857.0,星期二,0.0217,0.0068
2026-03-23,1.354,1.293,1.354,1.283,233794.0,星期一,-0.0007,-0.0451
2026-03-20,1.383,1.355,1.388,1.355,177321.0,星期五,0.0036,-0.0202
2026-03-19,1.402,1.378,1.402,1.371,331936.0,星期四,-0.005,-0.0171
2026-03-18,1.394,1.409,1.411,1.382,346555.0,星期三,0.0022,0.0108
2026-03-17,1.419,1.391,1.422,1.386,270227.0,星期二,0.0007,-0.0197
2026-03-16,1.406,1.418,1.418,1.388,243004.0,星期一,-0.0035,0.0085
2026-03-13,1.429,1.411,1.431,1.406,361557.0,星期五,0.0007,-0.0126
2026-03-12,1.441,1.428,1.449,1.415,289414.0,星期四,0.0,-0.009
2026-03-11,1.458,1.441,1.466,1.438,425767.0,星期三,0.0034,-0.0117
2026-03-10,1.421,1.453,1.454,1.412,464553.0,星期二,0.005,0.0225
2026-03-09,1.402,1.414,1.42,1.371,221236.0,星期一,-0.0203,0.0086
2026-03-06,1.412,1.431,1.438,1.412,217856.0,星期五,-0.0049,0.0135
2026-03-05,1.415,1.419,1.433,1.409,191983.0,星期四,0.0143,0.0028
2026-03-04,1.393,1.395,1.418,1.387,215348.0,星期三,-0.0085,0.0014
2026-03-03,1.477,1.405,1.487,1.4,483252.0,星期二,-0.0047,-0.0487
2026-03-02,1.499,1.484,1.504,1.476,301794.0,星期一,0.0,-0.01
2026-02-27,1.49,1.499,1.504,1.476,294104.0,星期五,-0.0047,0.006
2026-02-26,1.481,1.497,1.503,1.463,366343.0,星期四,0.002,0.0108
2026-02-25,1.465,1.478,1.483,1.455,308994.0,星期三,0.0034,0.0089
2026-02-24,1.48,1.46,1.486,1.45,190946.0,星期二,0.0068,-0.0135
