time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.9,1.886,1.919,1.845,1017025.0,星期五,-0.0084,-0.0074
2026-06-25,1.888,1.916,1.922,1.869,697225.0,星期四,0.0059,0.0148
2026-06-24,1.814,1.877,1.883,1.795,824484.0,星期三,-0.0066,0.0347
2026-06-23,1.836,1.826,1.876,1.806,438780.0,星期二,-0.007,-0.0054
2026-06-22,1.848,1.849,1.866,1.79,1061524.0,星期一,0.0027,0.0005
2026-06-18,1.78,1.843,1.852,1.78,524120.0,星期四,-0.0106,0.0354
2026-06-17,1.701,1.799,1.81,1.701,1012002.0,星期三,-0.0145,0.0576
2026-06-16,1.718,1.726,1.738,1.7,526118.0,星期二,0.0029,0.0047
2026-06-15,1.67,1.713,1.716,1.623,927542.0,星期一,0.0245,0.0257
2026-06-12,1.675,1.63,1.681,1.621,521437.0,星期五,0.0251,-0.0269
2026-06-11,1.593,1.634,1.635,1.593,547707.0,星期四,-0.0118,0.0257
2026-06-10,1.605,1.612,1.656,1.591,709734.0,星期三,-0.0099,0.0044
2026-06-09,1.589,1.621,1.633,1.578,933044.0,星期二,0.0147,0.0201
2026-06-08,1.543,1.566,1.602,1.54,811318.0,星期一,-0.0499,0.0149
2026-06-05,1.641,1.624,1.668,1.613,667998.0,星期五,-0.0114,-0.0104
2026-06-04,1.62,1.66,1.674,1.62,663820.0,星期四,-0.0182,0.0247
2026-06-03,1.618,1.65,1.685,1.618,816873.0,星期三,-0.0049,0.0198
2026-06-02,1.597,1.626,1.633,1.57,977868.0,星期二,0.0,0.0182
2026-06-01,1.646,1.597,1.668,1.595,841429.0,星期一,-0.0078,-0.0298
2026-05-29,1.744,1.659,1.75,1.643,1048311.0,星期五,0.0011,-0.0487
2026-05-28,1.704,1.742,1.749,1.696,808848.0,星期四,-0.0076,0.0223
2026-05-27,1.756,1.717,1.779,1.702,1071517.0,星期三,-0.0023,-0.0222
2026-05-26,1.775,1.76,1.775,1.721,997560.0,星期二,-0.0062,-0.0085
2026-05-25,1.734,1.786,1.788,1.71,951616.0,星期一,0.0058,0.03
2026-05-22,1.685,1.724,1.727,1.68,739865.0,星期五,-0.0018,0.0231
2026-05-21,1.79,1.688,1.795,1.68,978961.0,星期四,0.0153,-0.057
2026-05-20,1.707,1.763,1.764,1.707,754176.0,星期三,-0.011,0.0328
2026-05-19,1.668,1.726,1.726,1.64,1065531.0,星期二,-0.0077,0.0348
2026-05-18,1.659,1.681,1.705,1.65,851271.0,星期一,-0.0006,0.0133
2026-05-15,1.672,1.66,1.714,1.634,966242.0,星期五,-0.0042,-0.0072
2026-05-14,1.728,1.679,1.741,1.678,1004434.0,星期四,0.0029,-0.0284
2026-05-13,1.668,1.723,1.726,1.656,850024.0,星期三,-0.0118,0.033
2026-05-12,1.685,1.688,1.705,1.665,940576.0,星期二,-0.0018,0.0018
2026-05-11,1.648,1.688,1.693,1.648,899936.0,星期一,0.0086,0.0243
2026-05-08,1.636,1.634,1.641,1.616,894337.0,星期五,-0.0115,-0.0012
2026-05-07,1.618,1.655,1.657,1.608,947930.0,星期四,0.0006,0.0229
2026-05-06,1.581,1.617,1.654,1.581,792721.0,星期三,0.0109,0.0228
2026-04-30,1.51,1.564,1.569,1.51,983869.0,星期四,0.0,0.0358
2026-04-29,1.49,1.51,1.515,1.472,727994.0,星期三,-0.0053,0.0134
2026-04-28,1.52,1.498,1.533,1.493,762897.0,星期二,-0.0033,-0.0145
2026-04-27,1.494,1.525,1.529,1.485,724787.0,星期一,0.0054,0.0207
2026-04-24,1.467,1.486,1.497,1.453,996818.0,星期五,-0.0041,0.013
2026-04-23,1.5,1.473,1.509,1.458,1081197.0,星期四,0.0007,-0.018
