time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,991.7,974.62,991.85,971.11,801060.0,星期五,-0.0034,-0.0172
2026-06-25,994.35,995.09,1003.34,990.95,872882.0,星期四,-0.0048,0.0007
2026-06-24,1007.08,999.16,1011.4,998.05,842143.0,星期三,-0.0007,-0.0079
2026-06-23,1028.65,1007.81,1034.74,1004.95,965002.0,星期二,-0.0036,-0.0203
2026-06-22,1008.67,1032.41,1032.92,1002.67,928365.0,星期一,-0.0004,0.0235
2026-06-18,1023.15,1009.08,1023.55,1008.93,884985.0,星期四,-0.0045,-0.0138
2026-06-17,1028.77,1027.79,1030.78,1022.76,747035.0,星期三,-0.0006,-0.001
2026-06-16,1037.06,1029.42,1037.06,1028.1,759248.0,星期二,-0.0012,-0.0074
2026-06-15,1040.33,1038.35,1044.66,1031.38,981117.0,星期一,0.0069,-0.0019
2026-06-12,1020.22,1033.23,1035.83,1016.52,1024001.0,星期五,0.002,0.0128
2026-06-11,1018.17,1018.18,1020.63,1013.38,693462.0,星期四,-0.0017,0.0
2026-06-10,1012.86,1019.95,1021.25,1011.74,732410.0,星期三,-0.0071,0.007
2026-06-09,1015.78,1020.09,1020.49,1012.44,714434.0,星期二,0.0006,0.0042
2026-06-08,1011.42,1015.18,1021.96,1009.14,886223.0,星期一,-0.0127,0.0037
2026-06-05,1026.06,1024.44,1036.13,1022.39,781515.0,星期五,-0.0013,-0.0016
2026-06-04,1032.7,1027.42,1035.62,1025.18,715363.0,星期四,-0.0052,-0.0051
2026-06-03,1039.46,1038.06,1042.5,1034.91,847353.0,星期三,-0.0024,-0.0013
2026-06-02,1036.71,1042.01,1043.75,1034.55,887810.0,星期二,-0.0001,0.0051
2026-06-01,1034.81,1036.83,1038.72,1031.87,928406.0,星期一,-0.001,0.002
2026-05-29,1022.9,1035.88,1039.55,1022.52,990259.0,星期五,0.0011,0.0127
2026-05-28,1027.39,1021.81,1028.29,1017.47,728802.0,星期四,-0.0043,-0.0054
2026-05-27,1038.45,1031.83,1039.92,1024.18,799426.0,星期三,0.0,-0.0064
2026-05-26,1031.95,1038.4,1038.91,1029.46,796075.0,星期二,-0.0018,0.0063
2026-05-25,1033.1,1033.83,1038.08,1029.13,653637.0,星期一,0.0021,0.0007
2026-05-22,1031.8,1030.97,1033.68,1025.42,721645.0,星期五,0.004,-0.0008
2026-05-21,1041.4,1027.71,1047.19,1027.67,859608.0,星期四,0.0037,-0.0131
2026-05-20,1043.08,1037.54,1043.15,1036.92,755690.0,星期三,-0.0037,-0.0053
2026-05-19,1043.34,1046.94,1047.41,1041.52,812064.0,星期二,-0.0022,0.0035
2026-05-18,1048.7,1045.66,1049.19,1041.1,809679.0,星期一,-0.0025,-0.0029
2026-05-15,1062.74,1051.29,1063.18,1047.48,862482.0,星期五,-0.0019,-0.0108
2026-05-14,1078.41,1064.71,1079.41,1064.35,900577.0,星期四,0.0027,-0.0127
2026-05-13,1074.36,1075.5,1076.74,1070.84,867747.0,星期三,-0.0014,0.0011
2026-05-12,1079.02,1075.89,1080.43,1074.35,904455.0,星期二,0.0015,-0.0029
2026-05-11,1072.53,1077.42,1079.74,1069.74,960686.0,星期一,0.0033,0.0046
2026-05-08,1066.52,1068.96,1069.33,1063.34,720234.0,星期五,-0.0023,0.0023
2026-05-07,1071.33,1068.94,1074.38,1066.88,816024.0,星期四,0.0023,-0.0022
2026-05-06,1065.35,1068.87,1069.11,1061.73,886282.0,星期三,0.0016,0.0033
2026-04-30,1068.14,1063.61,1072.14,1061.71,858132.0,星期四,-0.0014,-0.0042
2026-04-29,1057.68,1069.61,1070.0,1057.47,804064.0,星期三,-0.0028,0.0113
2026-04-28,1056.63,1060.68,1061.17,1055.47,700333.0,星期二,-0.0025,0.0038
2026-04-27,1063.24,1059.33,1065.69,1058.33,563891.0,星期一,-0.0027,-0.0037
2026-04-24,1064.43,1066.1,1067.21,1060.38,588749.0,星期五,-0.002,0.0016
2026-04-23,1069.58,1066.61,1070.38,1062.81,711161.0,星期四,0.0007,-0.0028
2026-04-22,1070.49,1068.82,1071.17,1066.38,646436.0,星期三,-0.0012,-0.0016
2026-04-21,1067.33,1071.81,1072.6,1067.03,654651.0,星期二,0.0001,0.0042
2026-04-20,1060.76,1067.2,1068.03,1059.75,666325.0,星期一,-0.0004,0.0061
2026-04-17,1064.82,1061.14,1065.17,1059.67,593634.0,星期五,-0.0065,-0.0035
2026-04-16,1069.81,1071.8,1073.69,1069.23,584591.0,星期四,0.0006,0.0019
2026-04-15,1071.43,1069.17,1074.78,1068.6,640133.0,星期三,0.0044,-0.0021
2026-04-14,1061.81,1066.78,1066.79,1059.08,579736.0,星期二,0.0045,0.0047
2026-04-13,1055.69,1057.05,1057.29,1051.9,535091.0,星期一,-0.0041,0.0013
2026-04-10,1062.58,1060.0,1065.39,1059.08,558962.0,星期五,0.0036,-0.0024
2026-04-09,1062.46,1058.8,1062.5,1056.04,534721.0,星期四,-0.0056,-0.0034
2026-04-08,1056.0,1068.47,1068.47,1056.0,800462.0,星期三,0.0107,0.0118
