time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,753.04,738.01,755.3,736.44,139103.0,星期五,-0.018,-0.02
2026-06-25,761.78,766.83,776.22,758.32,186343.0,星期四,-0.006,0.0066
2026-06-24,759.57,766.39,778.39,758.96,133341.0,星期三,0.0084,0.009
2026-06-23,755.69,753.25,766.39,751.2,138120.0,星期二,0.0049,-0.0032
2026-06-22,730.82,751.99,752.94,724.88,151220.0,星期一,-0.0049,0.029
2026-06-18,747.36,734.43,749.74,731.25,139163.0,星期四,-0.0009,-0.0173
2026-06-17,743.85,748.07,751.09,741.59,141827.0,星期三,0.0042,0.0057
2026-06-16,762.24,740.76,762.69,736.28,170446.0,星期二,0.0034,-0.0282
2026-06-15,768.63,759.63,772.05,756.7,189595.0,星期一,0.0318,-0.0117
2026-06-12,729.55,744.91,745.3,728.51,115215.0,星期五,0.0081,0.0211
2026-06-11,733.43,723.69,733.43,721.45,72298.0,星期四,-0.002,-0.0133
2026-06-10,731.53,734.88,738.1,729.39,65401.0,星期三,-0.0035,0.0046
2026-06-09,726.91,734.12,734.77,724.8,62871.0,星期二,-0.0007,0.0099
2026-06-08,736.84,727.39,740.54,723.82,87008.0,星期一,-0.0098,-0.0128
2026-06-05,742.76,744.14,751.32,741.24,68761.0,星期五,0.0043,0.0019
2026-06-04,746.38,739.6,750.22,737.05,61645.0,星期四,-0.0017,-0.0091
2026-06-03,758.1,747.66,758.1,745.25,83049.0,星期三,-0.0025,-0.0138
2026-06-02,762.65,759.99,764.02,754.28,87707.0,星期二,-0.0008,-0.0035
2026-06-01,762.17,763.25,767.41,754.1,101710.0,星期一,0.0008,0.0014
2026-05-29,755.34,761.56,766.07,755.04,91982.0,星期五,-0.0001,0.0082
2026-05-28,760.16,755.39,763.37,753.39,66862.0,星期四,-0.0011,-0.0063
2026-05-27,770.19,760.98,772.02,756.54,76114.0,星期三,-0.0046,-0.012
2026-05-26,778.67,773.74,785.66,768.76,83649.0,星期二,-0.0035,-0.0063
2026-05-25,789.18,781.42,796.84,780.01,84352.0,星期一,0.0121,-0.0098
2026-05-22,784.64,779.76,785.0,774.61,67277.0,星期五,0.0046,-0.0062
2026-05-21,781.53,781.01,795.79,779.43,89360.0,星期四,0.0035,-0.0007
2026-05-20,772.2,778.84,780.33,771.06,76603.0,星期三,-0.0061,0.0086
2026-05-19,768.34,776.93,779.15,768.34,79450.0,星期二,0.0032,0.0112
2026-05-18,766.17,765.92,768.6,760.69,79937.0,星期一,-0.0098,-0.0003
2026-05-15,782.68,773.72,782.68,771.36,88318.0,星期五,-0.0008,-0.0114
2026-05-14,784.77,783.27,794.87,782.92,88544.0,星期四,-0.0027,-0.0019
2026-05-13,787.82,786.88,791.49,782.3,83130.0,星期三,0.001,-0.0012
2026-05-12,791.97,787.04,798.52,785.88,119158.0,星期二,0.0052,-0.0062
2026-05-11,791.71,787.86,791.71,780.57,91621.0,星期一,-0.0065,-0.0049
2026-05-08,781.04,796.91,799.34,780.75,92533.0,星期五,-0.0047,0.0203
2026-05-07,786.47,784.71,796.47,779.5,88732.0,星期四,0.002,-0.0022
2026-05-06,781.48,784.92,785.0,770.86,92567.0,星期三,0.0082,0.0044
2026-04-30,776.68,775.1,779.13,772.67,90172.0,星期四,-0.0063,-0.002
2026-04-29,774.35,781.59,782.01,773.59,65011.0,星期三,0.0023,0.0093
2026-04-28,771.79,772.6,775.57,768.98,67935.0,星期二,-0.0006,0.001
2026-04-27,778.63,772.24,779.17,771.73,53826.0,星期一,-0.0003,-0.0082
2026-04-24,779.78,778.9,780.93,773.36,53978.0,星期五,-0.0022,-0.0011
2026-04-23,780.07,781.53,785.35,778.44,61930.0,星期四,-0.0073,0.0019
2026-04-22,796.49,785.83,796.8,783.29,64491.0,星期三,-0.0038,-0.0134
2026-04-21,794.65,799.53,804.26,794.65,67287.0,星期二,-0.0011,0.0061
2026-04-20,787.4,795.56,795.7,784.91,64786.0,星期一,-0.0018,0.0104
2026-04-17,787.84,788.85,790.14,783.34,57362.0,星期五,-0.0025,0.0013
2026-04-16,794.08,789.81,796.01,787.82,62996.0,星期四,0.0019,-0.0054
2026-04-15,792.72,792.55,800.51,791.69,60086.0,星期三,0.0007,-0.0002
2026-04-14,788.56,792.13,792.17,780.69,65513.0,星期二,0.0022,0.0045
2026-04-13,791.11,786.84,792.07,782.95,59082.0,星期一,-0.0078,-0.0054
2026-04-10,805.92,797.29,807.11,795.33,69121.0,星期五,0.0014,-0.0107
2026-04-09,813.26,804.79,815.13,799.95,61450.0,星期四,-0.0039,-0.0104
2026-04-08,804.81,816.41,823.33,804.81,93370.0,星期三,0.0024,0.0144
2026-04-07,810.68,802.91,811.15,799.6,56863.0,星期二,0.0029,-0.0096
2026-04-03,815.0,808.31,823.88,806.0,71816.0,星期五,0.0054,-0.0082
2026-04-02,799.28,810.65,815.25,798.41,81941.0,星期四,-0.0014,0.0142
2026-04-01,790.36,800.44,800.71,790.36,82729.0,星期三,0.0118,0.0128
2026-03-31,793.58,781.18,797.45,780.92,75661.0,星期二,0.0038,-0.0156
2026-03-30,783.04,790.56,792.77,781.39,68624.0,星期一,-0.0072,0.0096
2026-03-27,784.74,788.68,793.07,781.37,81299.0,星期五,-0.0041,0.005
2026-03-26,789.07,787.99,795.49,787.14,98353.0,星期四,-0.003,-0.0014
2026-03-25,795.48,791.47,797.15,786.4,97271.0,星期三,0.0064,-0.005
2026-03-24,781.85,790.43,793.34,777.9,97933.0,星期二,0.0115,0.011
2026-03-23,792.08,772.95,792.6,769.27,124846.0,星期一,-0.0028,-0.0242
2026-03-20,804.17,794.32,807.8,793.48,84442.0,星期五,-0.0024,-0.0122
2026-03-19,811.2,806.08,811.86,803.58,93270.0,星期四,-0.0052,-0.0063
2026-03-18,805.54,815.4,818.52,802.54,90706.0,星期三,0.0002,0.0122
2026-03-17,809.85,805.37,817.6,804.72,77636.0,星期二,0.001,-0.0055
2026-03-16,795.93,809.06,809.18,795.52,101042.0,星期一,-0.0005,0.0165
2026-03-13,799.87,796.3,804.62,794.21,91110.0,星期五,-0.0047,-0.0045
2026-03-12,800.97,803.64,805.5,796.96,99296.0,星期四,-0.0016,0.0033
2026-03-11,797.31,802.26,803.16,792.12,101216.0,星期三,-0.0005,0.0062
2026-03-10,789.67,797.68,806.42,789.67,104075.0,星期二,0.0015,0.0101
2026-03-09,810.82,788.45,810.93,785.83,138277.0,星期一,0.0004,-0.0276
2026-03-06,804.79,810.5,811.96,801.57,95230.0,星期五,-0.006,0.0071
2026-03-05,811.57,809.61,821.15,803.89,115330.0,星期四,-0.002,-0.0024
2026-03-04,831.52,813.22,831.52,806.6,169292.0,星期三,-0.0158,-0.022
2026-03-03,828.03,844.86,850.6,821.55,216471.0,星期二,0.0102,0.0203
2026-03-02,815.46,819.67,821.96,800.92,174210.0,星期一,0.0093,0.0052
2026-02-27,805.4,807.94,810.58,801.41,91983.0,星期五,0.0047,0.0032
2026-02-26,793.42,801.6,804.51,793.42,82005.0,星期四,0.0001,0.0103
2026-02-25,788.27,793.33,801.42,787.1,102189.0,星期三,0.0069,0.0064
2026-02-24,784.36,782.83,785.58,781.33,77536.0,星期二,0.0183,-0.002
2026-02-13,786.05,770.25,786.35,769.95,70855.0,星期五,0.0002,-0.0201
2026-02-12,787.01,785.91,792.9,785.4,58433.0,星期四,0.005,-0.0014
2026-02-11,786.86,783.08,787.13,779.43,55106.0,星期三,0.0005,-0.0048
2026-02-10,785.46,786.43,787.31,778.36,55573.0,星期二,-0.0007,0.0012
2026-02-09,780.57,786.03,787.37,780.09,58966.0,星期一,0.0053,0.007
2026-02-06,780.27,776.49,781.04,774.1,74941.0,星期五,-0.0039,-0.0048
2026-02-05,782.41,783.3,786.74,778.55,95046.0,星期四,-0.0007,0.0011
2026-02-04,760.48,782.99,783.58,759.38,136990.0,星期三,0.0012,0.0296
2026-02-03,755.42,759.57,760.69,748.15,88970.0,星期二,0.0063,0.0055
2026-02-02,758.82,750.71,767.27,749.71,113363.0,星期一,-0.0016,-0.0107
2026-01-30,760.08,760.01,768.61,756.54,111400.0,星期五,-0.0004,-0.0001
2026-01-29,758.25,760.38,761.29,751.67,130114.0,星期四,0.0013,0.0028
2026-01-28,762.92,757.26,765.47,755.7,134104.0,星期三,0.0023,-0.0074
2026-01-27,765.56,761.14,772.09,759.76,93777.0,星期二,-0.0018,-0.0058
2026-01-26,762.94,766.94,771.09,760.62,142534.0,星期一,0.0035,0.0052
2026-01-23,766.96,760.3,768.69,757.8,88154.0,星期五,-0.0001,-0.0087
2026-01-22,768.87,767.07,777.07,765.66,72228.0,星期四,0.0006,-0.0023
2026-01-21,776.2,768.38,777.55,766.49,80690.0,星期三,-0.0015,-0.0101
2026-01-20,768.36,777.38,777.74,766.82,87126.0,星期二,0.001,0.0117
2026-01-19,759.4,767.6,771.33,759.4,74015.0,星期一,0.0003,0.0108
2026-01-16,768.35,759.19,771.45,756.17,104199.0,星期五,0.0,-0.0119
2026-01-15,770.51,768.35,776.36,766.94,72434.0,星期四,-0.0009,-0.0028
2026-01-14,781.08,771.24,783.08,770.41,117410.0,星期三,0.001,-0.0126
2026-01-13,781.36,780.28,787.21,778.06,72160.0,星期二,0.0004,-0.0014
2026-01-12,772.35,781.03,782.93,770.67,87217.0,星期一,0.0009,0.0112
2026-01-09,774.07,771.63,775.31,769.03,64508.0,星期五,0.0029,-0.0032
2026-01-08,770.51,771.87,772.48,767.08,66569.0,星期四,0.0052,0.0018
2026-01-07,773.5,766.52,777.92,765.83,82606.0,星期三,0.001,-0.009
2026-01-06,768.68,772.7,774.19,764.65,90928.0,星期二,-0.0006,0.0052
2026-01-05,772.39,769.11,773.33,766.97,75648.0,星期一,-0.0018,-0.0042
2025-12-31,768.95,773.79,775.75,767.96,47698.0,星期三,-0.0009,0.0063
2025-12-30,775.6,769.67,776.89,768.23,57199.0,星期二,-0.002,-0.0076
2025-12-29,771.42,777.14,781.56,770.33,60090.0,星期一,0.0003,0.0074
2025-12-26,771.57,771.21,774.46,767.23,45450.0,星期五,-0.001,-0.0005
2025-12-25,768.98,772.32,775.92,768.84,40577.0,星期四,-0.0004,0.0043
2025-12-24,771.0,769.28,771.0,765.27,49877.0,星期三,-0.0024,-0.0022
2025-12-23,772.5,772.83,776.3,769.52,48708.0,星期二,-0.0024,0.0004
2025-12-22,773.3,774.32,777.64,772.5,55889.0,星期一,-0.0003,0.0013
2025-12-19,771.84,773.5,775.18,768.45,53255.0,星期五,-0.0041,0.0022
2025-12-18,762.09,774.98,776.24,761.72,55974.0,星期四,0.0024,0.0169
2025-12-17,753.1,760.27,763.14,750.97,62718.0,星期三,0.0025,0.0095
2025-12-16,751.98,751.25,756.16,747.85,49778.0,星期二,-0.0004,-0.001
