time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1214.84,1196.21,1217.12,1189.62,879148.0,星期五,-0.0037,-0.0153
2026-06-25,1212.73,1219.3,1229.65,1209.82,999844.0,星期四,-0.0053,0.0054
2026-06-24,1222.0,1219.24,1232.63,1218.49,896847.0,星期三,-0.003,-0.0023
2026-06-23,1251.9,1225.69,1258.59,1221.03,1104645.0,星期二,-0.0016,-0.0209
2026-06-22,1218.84,1253.93,1255.21,1212.37,1114567.0,星期一,-0.0002,0.0288
2026-06-18,1236.81,1219.09,1239.74,1218.62,1037671.0,星期四,-0.0046,-0.0143
2026-06-17,1239.36,1242.47,1244.33,1235.7,821857.0,星期三,-0.0003,0.0025
2026-06-16,1245.74,1239.68,1249.91,1238.16,901037.0,星期二,-0.0017,-0.0049
2026-06-15,1246.27,1247.88,1255.44,1237.84,1065957.0,星期一,0.0092,0.0013
2026-06-12,1217.1,1234.97,1238.72,1214.43,1083604.0,星期五,0.0033,0.0147
2026-06-11,1208.87,1213.06,1213.42,1206.02,741471.0,星期四,-0.0009,0.0035
2026-06-10,1199.25,1209.95,1211.9,1198.3,822070.0,星期三,-0.0065,0.0089
2026-06-09,1199.2,1207.11,1207.61,1195.65,757940.0,星期二,0.0002,0.0066
2026-06-08,1194.12,1198.91,1209.61,1192.11,897511.0,星期一,-0.0158,0.004
2026-06-05,1219.84,1213.3,1230.02,1210.64,819940.0,星期五,-0.002,-0.0054
2026-06-04,1227.15,1222.33,1229.48,1218.93,771396.0,星期四,-0.0068,-0.0039
2026-06-03,1232.84,1235.5,1240.57,1228.14,945941.0,星期三,-0.005,0.0022
2026-06-02,1229.64,1239.03,1240.44,1227.68,994734.0,星期二,-0.0005,0.0076
2026-06-01,1226.86,1230.28,1232.6,1223.69,1077840.0,星期一,-0.0009,0.0028
2026-05-29,1215.6,1227.98,1233.05,1214.43,1071522.0,星期五,0.0012,0.0102
2026-05-28,1217.72,1214.16,1218.83,1207.18,833884.0,星期四,-0.0038,-0.0029
2026-05-27,1228.9,1222.31,1233.22,1213.77,809258.0,星期三,-0.0022,-0.0054
2026-05-26,1216.38,1231.61,1232.19,1214.92,822189.0,星期二,-0.003,0.0125
2026-05-25,1218.68,1220.08,1223.92,1213.53,691277.0,星期一,0.0041,0.0011
2026-05-22,1216.08,1213.74,1216.78,1207.65,702136.0,星期五,0.0037,-0.0019
2026-05-21,1226.71,1211.61,1238.44,1211.3,870127.0,星期四,0.0018,-0.0123
2026-05-20,1226.57,1224.51,1229.7,1220.88,818480.0,星期三,-0.0046,-0.0017
2026-05-19,1222.41,1232.19,1232.59,1221.48,817929.0,星期二,-0.0013,0.008
2026-05-18,1227.22,1224.03,1229.62,1219.03,752605.0,星期一,-0.0037,-0.0026
2026-05-15,1240.19,1231.76,1245.12,1226.9,853812.0,星期五,-0.0016,-0.0068
2026-05-14,1257.43,1242.18,1258.65,1242.11,874875.0,星期四,-0.0003,-0.0121
2026-05-13,1253.75,1257.81,1260.23,1251.6,841258.0,星期三,-0.0008,0.0032
2026-05-12,1259.3,1254.71,1259.98,1252.85,842982.0,星期二,0.0027,-0.0036
2026-05-11,1253.24,1255.93,1257.91,1248.95,883568.0,星期一,-0.0,0.0021
2026-05-08,1251.75,1253.25,1256.26,1246.56,684947.0,星期五,-0.0026,0.0012
2026-05-07,1263.5,1255.04,1264.94,1251.9,798419.0,星期四,0.0016,-0.0067
2026-05-06,1256.53,1261.49,1261.62,1249.31,896220.0,星期三,0.0007,0.0039
2026-04-30,1261.2,1255.63,1266.25,1251.47,830420.0,星期四,-0.0005,-0.0044
2026-04-29,1247.59,1261.79,1262.17,1247.44,755374.0,星期三,-0.0031,0.0114
2026-04-28,1243.78,1251.5,1252.17,1243.78,694686.0,星期二,-0.0012,0.0062
2026-04-27,1248.79,1245.25,1252.73,1243.99,622970.0,星期一,-0.0047,-0.0028
2026-04-24,1249.19,1254.68,1256.12,1245.38,618366.0,星期五,-0.0033,0.0044
2026-04-23,1254.83,1253.37,1255.9,1247.73,777991.0,星期四,-0.0001,-0.0012
2026-04-22,1254.45,1254.99,1258.65,1251.64,637280.0,星期三,-0.0012,0.0004
2026-04-21,1249.23,1255.9,1256.51,1247.19,647665.0,星期二,0.0003,0.0053
2026-04-20,1242.29,1248.86,1249.96,1241.49,658213.0,星期一,-0.0009,0.0053
2026-04-17,1245.83,1243.37,1246.58,1241.56,556839.0,星期五,-0.007,-0.002
2026-04-16,1251.98,1254.64,1257.02,1251.52,591429.0,星期四,0.0016,0.0021
2026-04-15,1253.0,1249.99,1257.52,1248.78,636814.0,星期三,0.0029,-0.0024
2026-04-14,1247.49,1249.4,1249.4,1240.31,592694.0,星期二,0.0046,0.0015
2026-04-13,1238.99,1241.73,1242.12,1234.62,575733.0,星期一,-0.0035,0.0022
2026-04-10,1244.63,1243.38,1249.84,1241.1,633816.0,星期五,0.0053,-0.001
2026-04-09,1240.51,1238.07,1240.69,1234.72,565568.0,星期四,-0.0063,-0.002
2026-04-08,1232.62,1248.36,1248.43,1232.62,832216.0,星期三,0.0091,0.0128
2026-04-07,1222.53,1221.53,1227.58,1218.84,531882.0,星期二,0.0,-0.0008
2026-04-03,1233.7,1222.47,1234.07,1220.32,512319.0,星期五,0.0018,-0.0091
2026-04-02,1236.74,1231.49,1236.74,1225.22,650859.0,星期四,-0.0009,-0.0042
2026-04-01,1237.44,1237.84,1242.43,1235.14,705392.0,星期三,0.011,0.0003
2026-03-31,1235.17,1223.95,1240.42,1223.95,833871.0,星期二,0.0051,-0.0091
2026-03-30,1219.8,1228.93,1230.05,1217.21,756381.0,星期一,-0.005,0.0075
2026-03-27,1213.14,1225.89,1229.23,1213.12,681521.0,星期五,-0.0076,0.0105
2026-03-26,1232.18,1222.43,1235.05,1219.91,763374.0,星期四,-0.002,-0.0079
2026-03-25,1227.93,1234.6,1235.07,1226.54,930474.0,星期三,0.0048,0.0054
2026-03-24,1214.89,1222.11,1222.18,1206.37,855011.0,星期二,0.007,0.0059
2026-03-23,1227.15,1206.5,1227.57,1200.96,1126720.0,星期一,-0.0124,-0.0168
2026-03-20,1251.88,1242.57,1258.02,1241.25,832548.0,星期五,-0.002,-0.0074
2026-03-19,1264.39,1254.4,1269.66,1251.33,867101.0,星期四,-0.0082,-0.0079
2026-03-18,1276.57,1274.78,1277.34,1264.99,747120.0,星期三,-0.0003,-0.0014
2026-03-17,1276.55,1276.96,1291.63,1276.55,831040.0,星期二,0.0,0.0003
2026-03-16,1282.61,1276.54,1283.79,1266.65,873472.0,星期一,-0.0014,-0.0047
2026-03-13,1288.98,1284.41,1297.33,1281.52,933314.0,星期五,-0.0034,-0.0035
2026-03-12,1291.53,1293.39,1298.19,1286.18,850343.0,星期四,-0.0009,0.0014
2026-03-11,1286.77,1292.74,1293.58,1279.84,814891.0,星期三,0.0003,0.0046
2026-03-10,1283.21,1286.44,1290.45,1282.2,760335.0,星期二,-0.0021,0.0025
2026-03-09,1291.43,1285.97,1292.04,1280.12,1041887.0,星期一,-0.0042,-0.0042
2026-03-06,1289.04,1296.86,1299.93,1285.48,739971.0,星期五,-0.0068,0.0061
2026-03-05,1300.24,1297.86,1303.23,1291.92,913328.0,星期四,0.0037,-0.0018
2026-03-04,1296.89,1295.41,1300.76,1286.06,1192660.0,星期三,-0.0116,-0.0011
2026-03-03,1319.9,1312.11,1330.54,1306.43,1374106.0,星期二,0.0003,-0.0059
2026-03-02,1307.99,1319.46,1320.88,1297.39,1171205.0,星期一,0.0059,0.0088
2026-02-27,1292.87,1300.33,1304.28,1292.87,735733.0,星期五,-0.0019,0.0058
2026-02-26,1302.2,1295.38,1302.47,1291.92,685041.0,星期四,0.0005,-0.0052
2026-02-25,1293.94,1301.6,1314.29,1292.48,909150.0,星期三,0.0019,0.0059
2026-02-24,1295.54,1291.54,1295.56,1288.54,655643.0,星期二,0.0159,-0.0031
2026-02-13,1288.22,1275.28,1290.13,1274.52,617972.0,星期五,-0.0067,-0.01
2026-02-12,1301.18,1296.87,1302.18,1295.31,638812.0,星期四,0.0003,-0.0033
2026-02-11,1291.82,1300.74,1302.77,1291.54,516617.0,星期三,-0.0004,0.0069
2026-02-10,1293.63,1292.34,1293.63,1288.06,495988.0,星期二,0.0011,-0.001
2026-02-09,1288.78,1292.19,1292.38,1285.59,564416.0,星期一,0.0072,0.0026
2026-02-06,1272.31,1279.59,1286.66,1269.49,659241.0,星期五,-0.0113,0.0057
