time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4010.39,3912.01,4053.55,3909.9,188625.0,星期五,-0.0063,-0.0245
2026-06-25,3953.56,4036.0,4053.02,3911.6,217642.0,星期四,-0.0009,0.0209
2026-06-24,3994.33,3956.93,4065.45,3950.51,184636.0,星期三,-0.0062,-0.0094
2026-06-23,3964.0,4019.32,4088.17,3958.12,245210.0,星期二,-0.0041,0.014
2026-06-22,3809.34,3980.37,3983.07,3801.28,208984.0,星期一,-0.0023,0.0449
2026-06-18,3929.24,3818.26,3930.2,3811.97,135360.0,星期四,-0.0019,-0.0282
2026-06-17,3942.45,3936.77,3978.2,3920.01,116077.0,星期三,-0.0018,-0.0014
2026-06-16,3930.28,3949.38,3960.3,3907.31,147129.0,星期二,-0.0031,0.0049
2026-06-15,3873.5,3942.51,4012.17,3873.5,194014.0,星期一,0.0032,0.0178
2026-06-12,3751.13,3861.12,3864.58,3732.59,137131.0,星期五,0.0025,0.0293
2026-06-11,3785.66,3741.89,3811.49,3726.23,85236.0,星期四,-0.004,-0.0116
2026-06-10,3718.6,3800.75,3803.05,3713.99,114373.0,星期三,-0.0057,0.0221
2026-06-09,3724.66,3739.84,3750.67,3708.98,81661.0,星期二,0.0008,0.0041
2026-06-08,3750.36,3721.6,3782.64,3693.83,89636.0,星期一,-0.0097,-0.0077
2026-06-05,3802.8,3787.2,3832.26,3782.54,83683.0,星期五,-0.0013,-0.0041
2026-06-04,3853.52,3807.94,3877.9,3779.72,96425.0,星期四,-0.0039,-0.0118
2026-06-03,3914.99,3868.45,3916.32,3863.95,103016.0,星期三,-0.0017,-0.0119
2026-06-02,3925.83,3921.77,3941.24,3898.0,86752.0,星期二,-0.0007,-0.001
2026-06-01,3882.43,3928.4,3934.08,3866.25,99404.0,星期一,-0.0009,0.0118
2026-05-29,3863.95,3885.88,3919.41,3862.47,109977.0,星期五,-0.0,0.0057
2026-05-28,3923.9,3864.01,3928.03,3840.31,95130.0,星期四,-0.0014,-0.0153
2026-05-27,3952.18,3929.28,4008.21,3912.22,102643.0,星期三,-0.0034,-0.0058
2026-05-26,3938.73,3965.51,3992.45,3932.08,103001.0,星期二,-0.0026,0.0068
2026-05-25,3948.86,3949.14,3967.52,3911.06,91770.0,星期一,0.0013,0.0001
2026-05-22,3986.57,3943.89,3995.69,3930.33,121686.0,星期五,0.0043,-0.0107
2026-05-21,3993.64,3969.62,4081.8,3969.62,158417.0,星期四,0.004,-0.006
2026-05-20,3978.19,3977.9,3996.21,3968.32,103094.0,星期三,-0.0028,-0.0001
2026-05-19,3953.53,3989.51,3996.27,3948.89,104224.0,星期二,0.003,0.0091
2026-05-18,3959.34,3941.9,3981.94,3921.76,103582.0,星期一,0.0003,-0.0044
2026-05-15,4036.32,3958.34,4041.76,3939.06,106819.0,星期五,-0.0009,-0.0193
2026-05-14,4099.9,4040.0,4105.44,4040.0,110313.0,星期四,0.0001,-0.0146
2026-05-13,4087.44,4099.3,4108.11,4068.9,95102.0,星期三,-0.0024,0.0029
2026-05-12,4091.84,4097.33,4127.8,4071.99,111380.0,星期二,-0.0009,0.0013
2026-05-11,4044.33,4095.71,4108.43,4023.76,126627.0,星期一,-0.0006,0.0127
2026-05-08,4050.89,4046.59,4079.02,4042.03,83356.0,星期五,-0.0025,-0.0011
2026-05-07,4083.12,4060.9,4086.04,4039.25,93961.0,星期四,0.0033,-0.0054
2026-05-06,4049.69,4069.84,4083.74,4041.35,122504.0,星期三,0.0011,0.005
2026-04-30,4032.08,4045.12,4091.65,4026.79,113544.0,星期四,-0.0028,0.0032
2026-04-29,4011.51,4043.59,4047.3,4007.63,101686.0,星期三,-0.0025,0.008
2026-04-28,3997.65,4021.45,4053.8,3995.92,83209.0,星期二,-0.0011,0.006
2026-04-27,4010.31,4002.2,4034.65,3997.87,82215.0,星期一,-0.0032,-0.002
2026-04-24,4047.28,4023.3,4048.6,4005.07,100561.0,星期五,-0.0021,-0.0059
2026-04-23,4052.03,4055.95,4073.5,4043.84,111715.0,星期四,0.001,0.001
2026-04-22,4010.36,4047.82,4062.62,4002.12,81454.0,星期三,-0.0011,0.0093
2026-04-21,4027.31,4014.87,4040.33,4011.21,63085.0,星期二,-0.0005,-0.0031
2026-04-20,4035.28,4029.51,4048.12,4023.33,60386.0,星期一,0.002,-0.0014
2026-04-17,4027.94,4027.12,4040.34,4015.24,56912.0,星期五,-0.0014,-0.0002
2026-04-16,4033.67,4033.46,4050.32,4021.27,65369.0,星期四,0.0021,-0.0001
2026-04-15,4042.96,4025.04,4049.44,4021.12,61575.0,星期三,0.0019,-0.0044
2026-04-14,4020.08,4035.47,4035.47,3992.76,68714.0,星期二,0.0048,0.0038
2026-04-13,3974.62,4001.01,4023.11,3971.35,69401.0,星期一,-0.005,0.0066
2026-04-10,3967.6,3994.64,4052.97,3967.6,106275.0,星期五,0.0067,0.0068
2026-04-09,3986.87,3941.29,3991.67,3936.77,63315.0,星期四,-0.008,-0.0114
2026-04-08,3935.75,4018.87,4018.87,3935.75,102674.0,星期三,0.0111,0.0211
2026-04-07,3889.94,3892.72,3920.08,3878.84,49995.0,星期二,-0.0004,0.0007
2026-04-03,3928.25,3891.36,3938.73,3886.51,53526.0,星期五,0.0013,-0.0094
2026-04-02,3951.18,3923.14,3954.07,3906.94,59510.0,星期四,-0.0022,-0.0071
2026-04-01,3962.18,3960.05,3970.58,3943.2,63983.0,星期三,0.0089,-0.0005
2026-03-31,3934.02,3927.38,3981.34,3925.21,67102.0,星期二,-0.0004,-0.0017
2026-03-30,3894.25,3935.44,3938.23,3875.26,66445.0,星期一,-0.0095,0.0106
2026-03-27,3897.0,3931.42,3942.75,3896.38,65061.0,星期五,-0.0064,0.0088
2026-03-26,3959.88,3922.13,3975.59,3914.02,69554.0,星期四,-0.0019,-0.0095
2026-03-25,3926.19,3967.22,3984.69,3917.73,77703.0,星期三,-0.0,0.0105
2026-03-24,3889.46,3926.31,3927.61,3862.25,85956.0,星期二,0.0106,0.0095
2026-03-23,3997.06,3848.71,3997.06,3831.53,125588.0,星期一,-0.0106,-0.0371
2026-03-20,4093.34,4039.79,4104.3,4039.79,84036.0,星期五,0.0003,-0.0131
2026-03-19,4102.04,4092.09,4125.63,4078.48,92064.0,星期四,-0.0056,-0.0024
2026-03-18,4146.85,4125.04,4146.85,4106.29,73502.0,星期三,0.0003,-0.0053
2026-03-17,4141.49,4145.71,4201.78,4137.07,107550.0,星期二,0.0003,0.001
2026-03-16,4147.13,4140.24,4155.46,4116.07,87889.0,星期一,-0.0029,-0.0017
2026-03-13,4175.91,4159.18,4196.93,4147.78,80605.0,星期五,-0.0021,-0.004
2026-03-12,4152.92,4184.75,4195.51,4150.5,80887.0,星期四,-0.0011,0.0077
2026-03-11,4144.95,4157.64,4166.06,4126.9,64781.0,星期三,0.0001,0.0031
2026-03-10,4132.35,4144.37,4151.46,4121.21,62321.0,星期二,0.004,0.0029
2026-03-09,4131.74,4116.03,4132.25,4095.85,76053.0,星期一,-0.0076,-0.0038
2026-03-06,4112.03,4163.42,4171.0,4110.37,75634.0,星期五,-0.0024,0.0125
2026-03-05,4136.99,4122.01,4147.26,4111.84,72576.0,星期四,0.007,-0.0036
2026-03-04,4149.11,4108.03,4163.13,4104.44,96827.0,星期三,-0.0065,-0.0099
2026-03-03,4229.4,4176.17,4245.81,4170.03,117470.0,星期二,-0.0004,-0.0126
2026-03-02,4226.48,4231.14,4250.7,4196.59,107336.0,星期一,-0.0072,0.0011
2026-02-27,4231.67,4257.25,4270.97,4227.88,81214.0,星期五,0.0003,0.006
2026-02-26,4272.01,4230.38,4272.35,4224.67,77979.0,星期四,0.0007,-0.0097
2026-02-25,4241.39,4268.88,4307.55,4241.39,103739.0,星期三,0.0007,0.0065
2026-02-24,4259.26,4238.22,4262.99,4232.84,67694.0,星期二,0.0044,-0.0049
2026-02-13,4296.58,4240.69,4307.8,4239.45,77851.0,星期五,0.0012,-0.013
2026-02-12,4324.79,4291.51,4325.21,4285.42,75081.0,星期四,-0.0002,-0.0077
2026-02-11,4311.97,4325.74,4338.41,4308.47,73830.0,星期三,-0.0009,0.0032
2026-02-10,4334.29,4315.97,4340.68,4313.77,69214.0,星期二,-0.0004,-0.0042
2026-02-09,4311.57,4336.13,4342.84,4309.75,88078.0,星期一,0.0041,0.0057
2026-02-06,4296.64,4293.97,4341.59,4281.93,98022.0,星期五,-0.0038,-0.0006
2026-02-05,4276.51,4312.83,4330.04,4263.6,118349.0,星期四,0.0002,0.0085
2026-02-04,4210.29,4275.57,4281.6,4206.59,100612.0,星期三,-0.0015,0.0155
2026-02-03,4239.33,4216.81,4248.48,4182.47,98579.0,星期二,0.0052,-0.0053
2026-02-02,4299.4,4217.25,4337.8,4213.67,132922.0,星期一,-0.0018,-0.0191
2026-01-30,4353.79,4307.31,4370.08,4280.58,133172.0,星期五,-0.004,-0.0107
2026-01-29,4316.51,4371.48,4382.29,4290.65,140722.0,星期四,-0.0027,0.0127
2026-01-28,4300.81,4328.3,4356.54,4295.74,120570.0,星期三,-0.001,0.0064
2026-01-27,4327.01,4304.91,4330.54,4262.61,127493.0,星期二,-0.0027,-0.0051
2026-01-26,4320.66,4338.82,4393.06,4310.38,157319.0,星期一,-0.0013,0.0042
2026-01-23,4316.36,4326.36,4340.09,4311.12,115053.0,星期五,0.0018,0.0023
2026-01-22,4274.47,4308.6,4323.33,4274.47,100146.0,星期四,0.0001,0.008
2026-01-21,4276.57,4274.03,4292.84,4262.25,90215.0,星期三,-0.0025,-0.0006
2026-01-20,4251.61,4287.42,4287.42,4248.8,106321.0,星期二,0.0002,0.0084
2026-01-19,4227.31,4250.55,4261.5,4212.32,90840.0,星期一,-0.0022,0.0055
2026-01-16,4295.18,4236.66,4307.34,4230.55,122065.0,星期五,0.0055,-0.0136
2026-01-15,4322.47,4271.6,4329.87,4260.0,141022.0,星期四,-0.0047,-0.0118
2026-01-14,4358.38,4343.03,4450.9,4319.24,240494.0,星期三,-0.0031,-0.0035
2026-01-13,4398.58,4371.91,4431.56,4357.25,225186.0,星期二,0.0014,-0.0061
2026-01-12,4322.3,4392.55,4396.52,4317.02,248413.0,星期一,0.0002,0.0163
2026-01-09,4289.55,4321.65,4339.31,4289.55,132372.0,星期五,-0.0005,0.0075
2026-01-08,4348.44,4291.68,4348.44,4284.16,136700.0,星期四,-0.0033,-0.0131
2026-01-07,4399.54,4362.9,4405.04,4347.77,148151.0,星期三,-0.0017,-0.0083
2026-01-06,4292.52,4406.83,4408.81,4292.52,210835.0,星期二,-0.0026,0.0266
2026-01-05,4258.08,4303.67,4304.15,4247.94,120190.0,星期一,0.0012,0.0107
2025-12-31,4275.92,4253.03,4294.29,4252.65,79160.0,星期三,-0.0005,-0.0054
2025-12-30,4282.03,4278.04,4297.62,4261.75,77276.0,星期二,-0.0017,-0.0009
2025-12-29,4295.2,4289.36,4306.33,4279.22,87577.0,星期一,-0.0009,-0.0014
2025-12-26,4273.15,4299.22,4342.66,4272.6,116597.0,星期五,-0.001,0.0061
2025-12-25,4253.2,4277.51,4292.07,4247.07,77664.0,星期四,-0.0006,0.0057
2025-12-24,4211.99,4255.59,4263.48,4209.84,78249.0,星期三,-0.0019,0.0104
2025-12-23,4233.38,4220.13,4254.91,4210.71,75607.0,星期二,0.0008,-0.0031
2025-12-22,4251.7,4230.07,4262.74,4229.47,71215.0,星期一,-0.0001,-0.0051
2025-12-19,4220.18,4252.07,4269.86,4206.38,92105.0,星期五,-0.0043,0.0076
2025-12-18,4244.3,4238.55,4250.13,4224.64,75730.0,星期四,0.0047,-0.0014
2025-12-17,4189.36,4224.65,4256.45,4157.96,99200.0,星期三,-0.0019,0.0084
2025-12-16,4208.65,4197.35,4223.21,4187.79,76861.0,星期二,-0.0014,-0.0027
2025-12-15,4188.16,4214.58,4244.27,4183.21,78721.0,星期一,-0.0033,0.0063
2025-12-12,4192.87,4202.01,4219.11,4179.32,87937.0,星期五,-0.0003,0.0022
2025-12-11,4219.8,4193.98,4222.58,4189.0,64557.0,星期四,-0.0006,-0.0061
2025-12-10,4208.2,4222.27,4229.12,4189.44,76922.0,星期三,-0.0019,0.0033
2025-12-09,4239.83,4216.23,4248.49,4215.24,70765.0,星期二,-0.0048,-0.0056
2025-12-08,4265.16,4260.39,4306.42,4258.43,124994.0,星期一,0.0079,-0.0011
