time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7424.69,7289.88,7454.93,7245.22,346088.0,星期五,-0.0069,-0.0182
2026-06-25,7433.62,7476.25,7501.32,7336.33,373629.0,星期四,0.0017,0.0057
2026-06-24,7278.19,7420.64,7429.92,7203.1,326766.0,星期三,-0.0044,0.0196
2026-06-23,7458.81,7310.42,7494.19,7262.97,376066.0,星期二,-0.0042,-0.0199
2026-06-22,7426.55,7490.23,7490.23,7252.75,418724.0,星期一,0.0038,0.0086
2026-06-18,7283.55,7398.58,7429.43,7283.55,294919.0,星期四,-0.0051,0.0158
2026-06-17,7156.74,7320.55,7322.83,7156.74,294411.0,星期三,-0.0099,0.0229
2026-06-16,7104.83,7228.03,7249.86,7090.99,327632.0,星期二,0.0037,0.0173
2026-06-15,6807.51,7078.99,7078.99,6801.87,324570.0,星期一,0.0104,0.0399
2026-06-12,6943.36,6737.74,6961.68,6719.6,290843.0,星期五,0.0265,-0.0296
2026-06-11,6693.03,6764.21,6785.72,6664.44,227318.0,星期四,-0.0043,0.0106
2026-06-10,6806.87,6722.19,6826.0,6623.37,224500.0,星期三,-0.0138,-0.0124
2026-06-09,6734.8,6902.25,6904.99,6657.76,252637.0,星期二,0.0139,0.0249
2026-06-08,6657.38,6642.17,6832.43,6574.97,254914.0,星期一,-0.0315,-0.0023
2026-06-05,6898.46,6873.84,7024.04,6795.68,256939.0,星期五,-0.0063,-0.0036
2026-06-04,6847.63,6942.47,6981.02,6845.9,223241.0,星期四,-0.0125,0.0139
2026-06-03,6923.02,6934.62,7062.52,6847.85,257517.0,星期三,0.0012,0.0017
2026-06-02,6884.64,6914.66,6980.01,6773.53,233572.0,星期二,0.0015,0.0044
2026-06-01,6954.61,6874.47,7069.92,6865.85,247764.0,星期一,0.0,-0.0115
2026-05-29,7269.55,6954.58,7280.47,6899.6,273893.0,星期五,0.0023,-0.0433
2026-05-28,7118.29,7252.64,7271.84,7071.68,250244.0,星期四,-0.0024,0.0189
2026-05-27,7206.64,7135.31,7324.43,7076.65,275939.0,星期三,0.0009,-0.0099
2026-05-26,7287.79,7199.92,7287.79,7074.15,260824.0,星期二,-0.0058,-0.0121
2026-05-25,7314.45,7330.16,7336.58,7214.56,285540.0,星期一,0.009,0.0021
2026-05-22,7093.42,7249.41,7259.25,7060.21,257148.0,星期五,0.0098,0.022
2026-05-21,7304.33,7024.25,7394.7,7014.01,306577.0,星期四,0.0086,-0.0383
2026-05-20,7168.8,7241.74,7247.31,7132.56,267246.0,星期三,-0.0054,0.0102
2026-05-19,7046.11,7207.4,7212.22,7003.36,257411.0,星期二,-0.004,0.0229
2026-05-18,7017.68,7074.41,7139.89,6983.84,258837.0,星期一,-0.0037,0.0081
2026-05-15,7068.41,7043.43,7158.21,6929.86,299771.0,星期五,0.0028,-0.0035
2026-05-14,7249.1,7048.47,7254.14,7048.47,279584.0,星期四,0.0035,-0.0277
2026-05-13,6979.09,7223.85,7227.85,6979.09,284010.0,星期三,-0.0086,0.0351
2026-05-12,7080.63,7039.79,7080.63,6976.16,260046.0,星期二,0.0016,-0.0058
2026-05-11,6906.7,7069.5,7081.49,6906.54,290022.0,星期一,0.0122,0.0236
2026-05-08,6763.9,6823.7,6851.54,6758.93,244938.0,星期五,-0.0092,0.0088
2026-05-07,6728.26,6826.5,6826.5,6689.95,258606.0,星期四,0.0047,0.0146
2026-05-06,6595.31,6696.69,6746.83,6595.31,273182.0,星期三,0.0102,0.0154
2026-04-30,6498.75,6528.99,6550.79,6474.1,206374.0,星期四,-0.0003,0.0047
2026-04-29,6396.06,6500.52,6518.18,6381.65,229402.0,星期三,-0.0086,0.0163
2026-04-28,6526.35,6451.3,6545.55,6420.0,232210.0,星期二,-0.0035,-0.0115
2026-04-27,6487.75,6549.37,6586.33,6455.23,240602.0,星期一,-0.0015,0.0095
2026-04-24,6477.27,6497.31,6540.97,6425.46,254489.0,星期五,-0.0026,0.0031
2026-04-23,6580.91,6494.44,6590.99,6436.11,246945.0,星期四,0.0022,-0.0131
2026-04-22,6434.51,6566.16,6568.18,6432.79,239130.0,星期三,-0.0043,0.0205
2026-04-21,6461.2,6462.31,6475.65,6409.46,210701.0,星期二,-0.0045,0.0002
2026-04-20,6444.75,6490.59,6520.13,6444.75,231800.0,星期一,-0.0,0.0071
2026-04-17,6378.7,6444.81,6456.6,6369.46,213803.0,星期五,-0.0027,0.0104
2026-04-16,6304.69,6395.65,6400.21,6283.06,234024.0,星期四,0.0023,0.0144
2026-04-15,6396.39,6290.35,6396.45,6269.52,214032.0,星期三,0.0056,-0.0166
2026-04-14,6304.97,6360.88,6361.02,6281.49,232383.0,星期二,0.0106,0.0089
2026-04-13,6186.98,6238.64,6268.31,6184.52,202472.0,星期一,-0.0064,0.0083
2026-04-10,6170.14,6226.53,6288.35,6170.14,241692.0,星期五,0.0088,0.0091
2026-04-09,6067.57,6116.31,6152.98,6061.4,194153.0,星期四,-0.011,0.008
2026-04-08,5945.35,6134.88,6134.88,5944.02,238864.0,星期三,0.0253,0.0319
2026-04-07,5799.8,5798.76,5856.68,5766.33,133289.0,星期二,0.0046,-0.0002
2026-04-03,5865.19,5773.35,5866.27,5767.41,146074.0,星期五,0.0059,-0.0157
2026-04-02,5947.84,5830.94,5952.0,5791.85,169269.0,星期四,-0.0042,-0.0197
2026-04-01,5973.4,5973.22,5990.38,5922.43,194526.0,星期三,0.0212,-0.0
2026-03-31,5963.05,5849.49,6014.65,5848.75,177413.0,星期二,-0.004,-0.019
2026-03-30,5935.04,5987.28,5997.77,5875.83,170817.0,星期一,-0.0141,0.0088
2026-03-27,5866.55,6020.12,6057.67,5866.46,177771.0,星期五,-0.014,0.0262
2026-03-26,6034.9,5950.03,6059.17,5927.84,180892.0,星期四,-0.0023,-0.0141
2026-03-25,5973.01,6048.65,6096.02,5973.01,205422.0,星期三,0.0087,0.0127
2026-03-24,5901.01,5921.68,5921.68,5739.84,186997.0,星期二,0.0169,0.0035
2026-03-23,5985.56,5802.85,6031.81,5762.71,236880.0,星期一,-0.0177,-0.0305
2026-03-20,6188.79,6093.18,6255.51,6093.18,227268.0,星期五,0.0058,-0.0154
2026-03-19,6185.54,6153.12,6229.64,6126.58,176422.0,星期四,-0.0148,-0.0052
2026-03-18,6209.62,6278.52,6284.18,6176.22,170943.0,星期三,0.0072,0.0111
2026-03-17,6355.74,6165.0,6360.14,6165.0,163602.0,星期二,0.0039,-0.03
2026-03-16,6319.22,6330.93,6331.71,6221.27,179131.0,星期一,-0.0018,0.0019
2026-03-13,6387.53,6330.39,6424.28,6313.77,210045.0,星期五,-0.0063,-0.0089
2026-03-12,6491.05,6427.82,6500.15,6374.97,219272.0,星期四,-0.0021,-0.0097
2026-03-11,6517.91,6504.54,6558.98,6491.45,252900.0,星期三,0.0007,-0.0021
2026-03-10,6427.74,6513.37,6513.37,6427.74,238492.0,星期二,0.0144,0.0133
2026-03-09,6235.34,6336.65,6357.85,6123.15,254821.0,星期一,-0.0176,0.0162
2026-03-06,6274.97,6346.95,6376.65,6254.52,158915.0,星期五,-0.0042,0.0115
2026-03-05,6360.89,6301.52,6371.01,6256.0,180959.0,星期四,0.0212,-0.0093
2026-03-04,6197.59,6228.97,6342.77,6194.28,172358.0,星期三,-0.0106,0.0051
2026-03-03,6599.98,6263.92,6616.63,6256.84,271073.0,星期二,0.0045,-0.0509
2026-03-02,6590.48,6570.27,6678.93,6551.72,260523.0,星期一,-0.0168,-0.0031
2026-02-27,6626.41,6702.93,6702.93,6615.1,241771.0,星期五,-0.0074,0.0115
2026-02-26,6624.12,6676.12,6700.09,6579.54,249753.0,星期四,-0.0005,0.0079
2026-02-25,6575.15,6627.48,6638.3,6539.5,213757.0,星期三,0.0028,0.008
2026-02-24,6605.87,6557.05,6606.92,6493.15,205033.0,星期二,0.012,-0.0074
2026-02-13,6576.49,6527.3,6627.94,6524.46,190394.0,星期五,-0.0055,-0.0075
2026-02-12,6529.28,6612.86,6635.95,6522.85,221533.0,星期四,0.0021,0.0128
2026-02-11,6514.85,6515.66,6582.89,6514.85,211454.0,星期三,-0.0008,0.0001
2026-02-10,6538.16,6519.77,6553.98,6499.65,210546.0,星期二,-0.0019,-0.0028
2026-02-09,6503.42,6550.79,6555.05,6471.01,224842.0,星期一,0.0173,0.0073
2026-02-06,6356.42,6392.84,6475.16,6316.35,220112.0,星期五,-0.0089,0.0057
2026-02-05,6436.56,6413.61,6464.27,6368.78,216858.0,星期四,-0.0121,-0.0036
2026-02-04,6527.43,6515.14,6534.05,6428.5,257922.0,星期三,-0.0064,-0.0019
2026-02-03,6409.43,6569.44,6569.44,6406.48,259637.0,星期二,0.0153,0.025
2026-02-02,6481.49,6313.05,6525.66,6313.05,244757.0,星期一,-0.0009,-0.026
2026-01-30,6494.53,6487.06,6534.34,6341.59,267991.0,星期五,-0.0057,-0.0012
2026-01-29,6608.46,6531.76,6693.18,6519.69,297321.0,星期四,-0.0057,-0.0116
2026-01-28,6734.56,6646.08,6746.79,6626.96,304069.0,星期三,0.0029,-0.0131
2026-01-27,6646.54,6715.17,6741.19,6520.7,292254.0,星期二,-0.0045,0.0103
2026-01-26,6825.52,6676.79,6831.21,6630.82,346675.0,星期一,0.0042,-0.0218
2026-01-23,6630.95,6797.28,6797.28,6630.95,295042.0,星期五,0.0035,0.0251
2026-01-22,6591.84,6607.9,6617.26,6560.86,226139.0,星期四,0.0046,0.0024
2026-01-21,6461.36,6561.79,6579.54,6461.36,222797.0,星期三,-0.0051,0.0155
2026-01-20,6615.59,6494.24,6647.44,6436.21,264881.0,星期二,0.0025,-0.0183
2026-01-19,6600.75,6599.38,6653.8,6584.07,249527.0,星期一,-0.003,-0.0002
2026-01-16,6642.51,6620.33,6673.02,6572.17,298027.0,星期五,0.0071,-0.0033
2026-01-15,6551.21,6595.93,6634.05,6515.71,283811.0,星期四,-0.0088,0.0068
2026-01-14,6534.74,6609.09,6732.18,6508.17,399354.0,星期三,0.0026,0.0114
2026-01-13,6686.93,6517.61,6696.42,6495.51,392479.0,星期二,-0.0007,-0.0253
2026-01-12,6510.78,6691.94,6706.86,6491.97,401369.0,星期一,0.0084,0.0278
2026-01-09,6342.58,6456.48,6464.05,6335.37,326094.0,星期五,-0.0017,0.018
2026-01-08,6281.99,6353.61,6371.14,6274.39,267480.0,星期四,-0.0032,0.0114
2026-01-07,6255.53,6302.45,6317.45,6236.21,278606.0,星期三,0.0035,0.0075
2026-01-06,6158.21,6233.68,6233.68,6148.72,272427.0,星期二,0.0035,0.0123
2026-01-05,6007.01,6137.01,6137.01,6006.01,259815.0,星期一,0.0093,0.0216
2025-12-31,5956.15,5951.85,5967.07,5920.15,199454.0,星期三,0.0027,-0.0007
2025-12-30,5907.84,5939.84,5958.88,5907.48,204465.0,星期二,-0.0044,0.0054
2025-12-29,5936.43,5934.22,5979.2,5911.02,201163.0,星期一,-0.0008,-0.0004
2025-12-26,5948.48,5941.32,5987.05,5905.37,212233.0,星期五,-0.001,-0.0012
2025-12-25,5892.12,5954.64,5972.79,5881.26,192796.0,星期四,-0.0001,0.0106
2025-12-24,5775.91,5892.68,5903.82,5775.91,185336.0,星期三,-0.0012,0.0202
2025-12-23,5786.09,5782.8,5816.34,5758.89,174894.0,星期二,-0.0004,-0.0006
2025-12-22,5738.62,5788.41,5807.1,5738.62,177944.0,星期一,0.0037,0.0087
2025-12-19,5700.72,5717.39,5750.66,5692.61,157588.0,星期五,0.0053,0.0029
2025-12-18,5663.23,5670.56,5730.06,5657.19,154059.0,星期四,-0.0082,0.0013
2025-12-17,5607.74,5709.98,5716.09,5586.06,171772.0,星期三,-0.0018,0.0182
2025-12-16,5715.88,5617.7,5716.06,5587.2,171211.0,星期二,0.0005,-0.0172
2025-12-15,5743.33,5713.2,5773.78,5707.16,190971.0,星期一,-0.0066,-0.0052
2025-12-12,5701.99,5781.76,5791.44,5675.59,218891.0,星期五,0.0009,0.014
2025-12-11,5784.4,5696.8,5802.78,5696.71,187048.0,星期四,0.002,-0.0151
2025-12-10,5759.52,5772.76,5785.57,5689.96,166211.0,星期三,-0.0016,0.0023
2025-12-09,5761.15,5768.85,5823.27,5750.39,161386.0,星期二,-0.0031,0.0013
2025-12-08,5653.69,5778.96,5803.44,5653.69,196864.0,星期一,0.0033,0.0222
2025-12-05,5561.49,5635.17,5639.55,5518.68,160223.0,星期五,0.0011,0.0132
2025-12-04,5536.65,5555.59,5577.88,5489.68,150237.0,星期四,-0.002,0.0034
2025-12-03,5612.71,5548.02,5635.67,5530.01,170047.0,星期三,0.0008,-0.0115
2025-12-02,5662.76,5608.25,5662.76,5591.96,178298.0,星期二,-0.001,-0.0096
2025-12-01,5627.46,5668.36,5671.28,5592.35,194020.0,星期一,0.003,0.0073
2025-11-28,5536.0,5610.72,5617.17,5529.54,151557.0,星期五,-0.0005,0.0135
2025-11-27,5534.68,5538.65,5636.97,5533.32,158518.0,星期四,-0.0,0.0007
2025-11-26,5485.54,5534.85,5593.72,5472.08,165609.0,星期三,-0.0032,0.009
2025-11-25,5471.25,5503.13,5575.6,5466.63,164048.0,星期二,0.0093,0.0058
2025-11-24,5391.72,5420.94,5456.59,5353.13,154610.0,星期一,0.0072,0.0054
2025-11-21,5474.87,5352.95,5503.61,5347.26,188420.0,星期五,-0.0181,-0.0223
2025-11-20,5691.52,5575.93,5698.39,5572.97,148189.0,星期四,0.0116,-0.0203
2025-11-19,5659.13,5626.22,5692.69,5606.82,147044.0,星期三,-0.003,-0.0058
2025-11-18,5735.15,5676.21,5745.53,5651.07,174413.0,星期二,-0.0039,-0.0103
2025-11-17,5782.33,5757.72,5802.46,5725.71,179328.0,星期一,0.0019,-0.0043
2025-11-14,5820.88,5771.19,5870.26,5771.19,195850.0,星期五,-0.0139,-0.0085
2025-11-13,5781.55,5902.65,5929.39,5775.77,220889.0,星期四,-0.0005,0.0209
2025-11-12,5797.98,5784.22,5829.82,5719.87,186489.0,星期三,-0.0029,-0.0024
2025-11-11,5886.43,5814.92,5916.69,5804.52,178964.0,星期二,0.0059,-0.0121
2025-11-10,5902.02,5852.11,5931.49,5789.47,210004.0,星期一,0.0038,-0.0085
2025-11-07,5867.89,5879.93,5936.23,5836.55,210094.0,星期五,-0.0077,0.0021
2025-11-06,5857.89,5913.31,5923.02,5833.78,206368.0,星期四,0.004,0.0095
2025-11-05,5687.17,5834.76,5860.01,5687.11,194078.0,星期三,-0.0195,0.026
2025-11-04,5912.31,5800.18,5924.14,5761.19,184513.0,星期二,-0.0032,-0.019
2025-11-03,5881.05,5931.19,5931.19,5792.98,228854.0,星期一,-0.002,0.0085
2025-10-31,5927.39,5892.83,5994.07,5889.93,263466.0,星期五,-0.0004,-0.0058
2025-10-30,6026.8,5929.67,6040.23,5927.61,271643.0,星期四,-0.0019,-0.0161
2025-10-29,5906.98,6038.2,6038.2,5906.98,262502.0,星期三,0.0038,0.0222
