time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5126.04,4913.85,5128.06,4913.62,182855.0,星期五,0.005,-0.0414
2026-06-25,5109.92,5100.72,5173.97,5061.02,195840.0,星期四,0.002,-0.0018
2026-06-24,5019.18,5099.57,5113.75,4979.5,163866.0,星期三,-0.0093,0.016
2026-06-23,5139.49,5066.31,5174.17,5027.99,174263.0,星期二,-0.0046,-0.0142
2026-06-22,5186.88,5163.18,5205.6,5030.55,203082.0,星期一,0.0034,-0.0046
2026-06-18,5087.98,5169.39,5196.85,5072.63,184881.0,星期四,-0.0024,0.016
2026-06-17,5044.47,5100.27,5115.33,5025.1,171482.0,星期三,-0.0039,0.0111
2026-06-16,4949.65,5064.04,5069.33,4930.93,183704.0,星期二,0.0057,0.0231
2026-06-15,4801.57,4921.81,4921.81,4784.77,167514.0,星期一,0.012,0.025
2026-06-12,4869.2,4744.61,4874.85,4737.41,176273.0,星期五,0.018,-0.0256
2026-06-11,4835.48,4782.97,4881.45,4741.12,145547.0,星期四,-0.0087,-0.0109
2026-06-10,4993.2,4877.89,4993.2,4812.23,169147.0,星期三,-0.0135,-0.0231
2026-06-09,5022.05,5061.52,5064.06,4959.07,156232.0,星期二,0.0149,0.0079
2026-06-08,4906.56,4948.16,5075.61,4905.9,192426.0,星期一,-0.0326,0.0085
2026-06-05,5071.37,5071.97,5187.77,4995.98,200604.0,星期五,-0.0039,0.0001
2026-06-04,5030.66,5091.39,5128.56,5023.54,156226.0,星期四,-0.012,0.0121
2026-06-03,5062.53,5091.87,5200.59,5038.85,178930.0,星期三,0.0027,0.0058
2026-06-02,4998.24,5049.07,5087.44,4955.7,150541.0,星期二,0.0079,0.0102
2026-06-01,5050.15,4959.27,5090.72,4953.23,145327.0,星期一,0.0058,-0.018
2026-05-29,5272.93,5020.9,5283.38,4988.08,191258.0,星期五,0.0057,-0.0478
2026-05-28,5199.83,5242.89,5262.03,5126.16,176511.0,星期四,-0.0031,0.0083
2026-05-27,5298.15,5215.91,5360.33,5186.46,214676.0,星期三,-0.0095,-0.0155
2026-05-26,5362.58,5349.06,5419.21,5269.42,239226.0,星期二,0.0007,-0.0025
2026-05-25,5303.56,5359.09,5359.4,5245.21,191232.0,星期一,0.006,0.0105
2026-05-22,5204.62,5271.75,5289.4,5170.1,186575.0,星期五,0.0019,0.0129
2026-05-21,5313.45,5194.89,5393.97,5181.85,240694.0,星期四,0.0058,-0.0223
2026-05-20,5239.68,5282.79,5309.43,5239.28,195602.0,星期三,-0.0069,0.0082
2026-05-19,5227.51,5276.05,5281.87,5166.15,203846.0,星期二,0.0014,0.0093
2026-05-18,5130.6,5220.32,5240.76,5130.6,220265.0,星期一,-0.0008,0.0175
2026-05-15,5127.89,5134.57,5243.31,5036.7,225809.0,星期五,0.0026,0.0013
2026-05-14,5275.65,5114.63,5278.3,5114.63,183918.0,星期四,0.0105,-0.0305
2026-05-13,5088.69,5221.02,5231.99,5078.37,190031.0,星期三,-0.0046,0.026
2026-05-12,5196.12,5112.01,5196.12,5084.68,195910.0,星期二,0.003,-0.0162
2026-05-11,5064.18,5180.39,5187.19,5064.18,216748.0,星期一,0.0081,0.0229
2026-05-08,4925.96,5023.66,5026.0,4908.59,193171.0,星期五,-0.004,0.0198
2026-05-07,4815.95,4945.74,4949.93,4798.5,170416.0,星期四,0.0042,0.027
2026-05-06,4727.78,4795.75,4819.07,4725.67,171718.0,星期三,0.0096,0.0144
2026-04-30,4659.57,4683.04,4697.61,4635.01,131469.0,星期四,0.0013,0.005
2026-04-29,4536.03,4653.34,4662.43,4535.27,133362.0,星期三,-0.0071,0.0259
2026-04-28,4641.12,4568.48,4641.12,4550.64,128940.0,星期二,-0.0079,-0.0157
2026-04-27,4580.24,4678.09,4696.98,4580.24,123022.0,星期一,-0.004,0.0214
2026-04-24,4609.84,4598.66,4628.69,4563.43,122310.0,星期五,-0.006,-0.0024
2026-04-23,4681.73,4637.6,4692.78,4599.34,134185.0,星期四,0.0032,-0.0094
2026-04-22,4583.79,4666.57,4669.18,4583.79,133226.0,星期三,-0.0054,0.0181
2026-04-21,4601.28,4608.56,4622.47,4556.91,125377.0,星期二,-0.0026,0.0016
2026-04-20,4570.57,4613.05,4628.29,4566.62,142343.0,星期一,0.0001,0.0093
2026-04-17,4523.73,4569.89,4583.11,4513.37,150281.0,星期五,0.0015,0.0102
2026-04-16,4460.84,4516.84,4522.4,4460.84,119526.0,星期四,0.0014,0.0126
2026-04-15,4561.8,4454.6,4561.8,4439.3,134204.0,星期三,0.006,-0.0235
2026-04-14,4487.48,4534.48,4538.68,4477.24,131291.0,星期二,0.005,0.0105
2026-04-13,4394.53,4465.32,4465.76,4394.53,99666.0,星期一,-0.0079,0.0161
2026-04-10,4402.75,4429.68,4458.53,4398.43,132874.0,星期五,0.0109,0.0061
2026-04-09,4306.19,4355.4,4385.47,4296.35,105530.0,星期四,-0.0096,0.0114
2026-04-08,4234.7,4347.95,4347.95,4222.95,122245.0,星期三,0.0255,0.0267
2026-04-07,4124.17,4129.48,4164.61,4104.49,73912.0,星期二,0.0042,0.0013
2026-04-03,4153.95,4106.87,4161.72,4105.82,72790.0,星期五,0.0051,-0.0113
2026-04-02,4214.84,4132.69,4214.84,4114.18,87060.0,星期四,-0.0049,-0.0195
2026-04-01,4242.74,4235.8,4245.66,4201.71,96363.0,星期三,0.021,-0.0016
2026-03-31,4212.73,4155.38,4251.12,4155.33,87417.0,星期二,0.0051,-0.0136
2026-03-30,4176.37,4191.51,4196.71,4130.97,81377.0,星期一,-0.0129,0.0036
2026-03-27,4118.84,4230.76,4253.79,4117.95,80374.0,星期五,-0.0161,0.0272
2026-03-26,4242.83,4186.41,4263.25,4172.55,100343.0,星期四,-0.0075,-0.0133
2026-03-25,4215.25,4274.98,4289.07,4215.25,102243.0,星期三,0.0077,0.0142
2026-03-24,4208.76,4182.85,4210.94,4070.22,105814.0,星期二,0.0163,-0.0062
2026-03-23,4228.87,4141.08,4294.23,4119.26,134574.0,星期一,-0.0192,-0.0208
2026-03-20,4412.69,4311.62,4422.82,4310.26,115387.0,星期五,0.0066,-0.0229
2026-03-19,4398.25,4383.54,4438.28,4366.94,104240.0,星期四,-0.0144,-0.0033
2026-03-18,4440.68,4462.44,4467.73,4396.5,91481.0,星期三,0.0047,0.0049
2026-03-17,4552.51,4419.77,4555.48,4418.45,101174.0,星期二,0.0043,-0.0292
2026-03-16,4537.75,4533.14,4537.75,4464.58,104359.0,星期一,-0.0032,-0.001
2026-03-13,4609.63,4552.47,4617.26,4532.04,118332.0,星期五,-0.0082,-0.0124
2026-03-12,4697.83,4647.57,4735.54,4597.36,137036.0,星期四,-0.003,-0.0107
2026-03-11,4668.18,4712.08,4748.01,4668.18,142785.0,星期三,0.0026,0.0094
2026-03-10,4585.41,4656.11,4656.82,4585.41,125824.0,星期二,0.0108,0.0154
2026-03-09,4481.88,4536.63,4548.94,4402.86,150142.0,星期一,-0.0191,0.0122
2026-03-06,4506.05,4569.31,4593.08,4501.3,105907.0,星期五,-0.0032,0.014
