time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,250.71,250.67,250.71,250.67,5.0,星期五,0.0001,-0.0002
2026-06-25,250.7,250.69,250.7,250.69,80.0,星期四,0.0001,-0.0
2026-06-24,250.68,250.68,250.68,250.68,140.0,星期三,0.0,0.0
2026-06-23,250.68,250.67,250.69,250.67,158.0,星期二,0.0001,-0.0
2026-06-22,250.66,250.66,250.66,250.66,20.0,星期一,0.0002,0.0
2026-06-18,250.6,250.6,250.6,250.6,520.0,星期四,0.0001,0.0
2026-06-17,250.6,250.58,250.6,250.57,480.0,星期三,0.0001,-0.0001
2026-06-16,250.6,250.58,250.6,250.58,432.0,星期二,0.0001,-0.0001
2026-06-15,250.59,250.58,250.6,250.57,78.0,星期一,0.0004,-0.0
2026-06-12,250.5,250.5,250.5,250.5,240.0,星期五,0.0,0.0
2026-06-11,250.46,250.49,250.49,250.45,368.0,星期四,0.0001,0.0001
2026-06-10,250.44,250.44,250.44,250.44,30.0,星期三,0.0,0.0
2026-06-09,250.45,250.43,250.45,250.43,95.0,星期二,0.0001,-0.0001
2026-06-08,250.36,250.43,250.43,250.36,464.0,星期一,0.0002,0.0003
2026-06-05,250.29,250.31,250.31,250.29,8.0,星期五,0.0,0.0001
2026-06-04,250.28,250.28,250.28,250.27,160.0,星期四,0.0001,0.0
2026-06-03,250.26,250.26,250.26,250.26,5.877471754111438e-39,星期三,0.0001,0.0
2026-06-02,250.2,250.24,250.24,250.2,380.0,星期二,0.0,0.0002
2026-06-01,250.12,250.19,250.19,250.12,110.0,星期一,0.0002,0.0003
2026-05-29,250.07,250.07,250.07,250.07,5.877471754111438e-39,星期五,0.0001,0.0
2026-05-28,250.02,250.05,250.05,250.02,190.0,星期四,0.0,0.0001
2026-05-27,250.01,250.01,250.01,250.01,226.0,星期三,0.0001,0.0
2026-05-26,249.61,249.99,250.01,249.61,198.0,星期二,0.0,0.0015
2026-05-25,249.95,249.6,249.95,249.6,2056.0,星期一,0.0002,-0.0014
2026-05-22,249.93,249.9,249.93,249.55,159.0,星期五,0.0001,-0.0001
2026-05-21,249.91,249.91,249.91,249.91,520.0,星期四,0.0,0.0
2026-05-20,249.9,249.9,249.9,249.9,124.0,星期三,0.0001,0.0
2026-05-19,249.75,249.88,249.88,249.73,138.0,星期二,0.0001,0.0005
2026-05-18,249.66,249.73,249.73,249.66,30.0,星期一,0.0002,0.0003
2026-05-15,249.71,249.61,249.71,249.61,73.0,星期五,0.0001,-0.0004
2026-05-14,249.63,249.69,249.69,249.63,146.0,星期四,0.0001,0.0002
2026-05-13,249.6,249.61,249.61,249.6,100.0,星期三,0.0,0.0
2026-05-12,249.59,249.59,249.59,249.59,20.0,星期二,0.0001,0.0
2026-05-11,249.56,249.57,249.57,249.54,224.0,星期一,0.0002,0.0
2026-05-08,249.51,249.51,249.51,249.51,28.0,星期五,0.0,0.0
2026-05-07,249.46,249.5,249.5,249.45,29.0,星期四,0.0001,0.0002
2026-05-06,249.48,249.44,249.51,249.44,98.0,星期三,0.0004,-0.0002
2026-04-30,249.38,249.38,249.38,249.38,5.877471754111438e-39,星期四,0.0001,0.0
2026-04-29,249.36,249.36,249.36,249.36,194.0,星期三,0.0,0.0
2026-04-28,249.3,249.35,249.35,249.3,196.0,星期二,0.0,0.0002
2026-04-27,249.29,249.29,249.29,249.29,70.0,星期一,0.0002,0.0
2026-04-24,249.24,249.24,249.24,249.24,160.0,星期五,0.0001,0.0
2026-04-23,249.2,249.22,249.22,249.2,70.0,星期四,0.0001,0.0001
2026-04-22,249.12,249.18,249.18,249.12,410.0,星期三,0.0001,0.0002
2026-04-21,249.1,249.1,249.1,249.1,175.0,星期二,0.0001,0.0
2026-04-20,249.12,249.08,249.13,249.08,320.0,星期一,0.0002,-0.0002
2026-04-17,248.96,249.07,249.07,248.96,180.0,星期五,0.0,0.0004
2026-04-16,249.03,248.95,249.03,248.95,90.0,星期四,0.0001,-0.0003
2026-04-15,248.99,249.01,249.01,248.99,140.0,星期三,0.0001,0.0001
2026-04-14,248.95,248.97,248.97,248.95,160.0,星期二,0.0001,0.0001
2026-04-13,248.91,248.93,248.93,248.91,238.0,星期一,0.0002,0.0001
2026-04-10,248.86,248.86,248.86,248.86,6.0,星期五,0.0,0.0
2026-04-09,248.85,248.85,248.85,248.85,5.877471754111438e-39,星期四,0.0001,0.0
2026-04-08,248.8,248.83,248.83,248.8,183.0,星期三,0.0001,0.0001
2026-04-07,248.71,248.78,248.78,248.71,464.0,星期二,0.0003,0.0003
2026-04-03,248.64,248.64,248.64,248.64,5.877471754111438e-39,星期五,0.0001,0.0
2026-04-02,248.6,248.62,248.62,248.6,320.0,星期四,0.0001,0.0001
2026-04-01,248.56,248.58,248.59,248.56,160.0,星期三,0.0001,0.0001
2026-03-31,248.55,248.54,248.55,248.54,8194.0,星期二,0.0001,-0.0
2026-03-30,248.53,248.53,248.59,248.52,73.0,星期一,0.0002,0.0
2026-03-27,248.48,248.47,248.48,248.47,1800.0,星期五,0.0001,-0.0
2026-03-26,248.28,248.46,248.46,248.28,250.0,星期四,0.0,0.0007
2026-03-25,248.22,248.27,248.27,248.22,175.0,星期三,0.0001,0.0002
2026-03-24,248.19,248.2,248.2,248.19,178.0,星期二,0.0001,0.0
2026-03-23,248.17,248.17,248.17,248.17,110.0,星期一,0.0002,0.0
2026-03-20,248.12,248.12,248.12,248.11,215.0,星期五,0.0001,0.0
2026-03-19,248.14,248.1,248.14,248.1,220.0,星期四,0.0001,-0.0002
2026-03-18,248.13,248.12,248.13,248.12,302.0,星期三,0.0001,-0.0
2026-03-17,248.06,248.11,248.11,248.06,234.0,星期二,0.0,0.0002
2026-03-16,248.03,248.05,248.05,248.03,190.0,星期一,0.0002,0.0001
2026-03-13,247.97,247.97,247.98,247.95,384.0,星期五,0.0,0.0
2026-03-12,248.04,247.96,248.04,247.96,70.0,星期四,0.0001,-0.0003
2026-03-11,247.96,248.02,248.02,247.95,410.0,星期三,0.0001,0.0002
2026-03-10,247.93,247.94,247.95,247.93,160.0,星期二,0.0,0.0
2026-03-09,247.89,247.92,247.92,247.89,69.0,星期一,0.0002,0.0001
