time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,9529.762,9393.802,9530.153,9344.412,21649554.0,星期五,-0.0048,-0.0143
2026-06-25,9510.113,9575.512,9579.793,9485.713,21604218.0,星期四,-0.0008,0.0069
2026-06-24,9415.193,9517.873,9526.552,9414.182,22850608.0,星期三,-0.0033,0.0109
2026-06-23,9615.413,9446.323,9622.193,9404.993,22135604.0,星期二,-0.0034,-0.0176
2026-06-22,9530.012,9648.233,9648.283,9466.323,23027468.0,星期一,-0.0005,0.0124
2026-06-18,9491.882,9534.792,9564.403,9491.512,20022090.0,星期四,-0.003,0.0045
2026-06-17,9423.962,9520.352,9521.412,9418.962,16727040.0,星期三,-0.0035,0.0102
2026-06-16,9470.452,9457.422,9485.021,9430.311,16473969.0,星期二,0.0003,-0.0014
2026-06-15,9364.972,9467.552,9468.693,9346.153,18854874.0,星期一,0.0093,0.011
2026-06-12,9292.453,9278.783,9344.343,9262.843,20080464.0,星期五,0.0116,-0.0015
2026-06-11,9195.843,9186.043,9247.904,9122.283,18161644.0,星期四,-0.0047,-0.0011
2026-06-10,9255.433,9239.183,9304.873,9185.883,19567692.0,星期三,-0.0084,-0.0018
2026-06-09,9236.223,9333.423,9336.114,9212.353,18814572.0,星期二,0.0044,0.0105
2026-06-08,9227.444,9195.694,9300.393,9142.204,20749478.0,星期一,-0.0188,-0.0034
2026-06-05,9480.904,9404.714,9518.893,9381.544,18486604.0,星期五,-0.0033,-0.008
2026-06-04,9503.654,9512.654,9550.654,9483.813,16337196.0,星期四,-0.007,0.0009
2026-06-03,9556.063,9570.433,9632.334,9518.103,19971688.0,星期三,-0.0009,0.0015
2026-06-02,9476.543,9564.933,9591.553,9440.513,23296916.0,星期二,-0.0001,0.0093
2026-06-01,9511.363,9477.253,9571.903,9461.352,21178328.0,星期一,-0.0005,-0.0036
2026-05-29,9598.053,9516.533,9614.883,9479.913,23583750.0,星期五,0.0035,-0.0085
2026-05-28,9547.003,9564.543,9578.463,9462.083,19917668.0,星期四,-0.004,0.0018
