time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3879.81,3739.17,3879.81,3739.17,245798.0,星期五,-0.0069,-0.0362
2026-06-25,3880.56,3906.78,3918.75,3842.75,239698.0,星期四,0.0029,0.0068
2026-06-24,3851.37,3869.4,3875.47,3799.08,215524.0,星期三,-0.0038,0.0047
2026-06-23,3954.48,3866.18,3988.54,3849.76,217132.0,星期二,-0.0055,-0.0223
2026-06-22,3875.52,3976.32,3977.64,3816.15,252477.0,星期一,-0.0028,0.026
2026-06-18,3834.8,3886.47,3916.08,3819.89,218381.0,星期四,-0.0022,0.0135
2026-06-17,3800.98,3843.36,3860.05,3789.45,194133.0,星期三,-0.0068,0.0111
2026-06-16,3817.7,3826.98,3833.99,3778.46,185076.0,星期二,-0.0017,0.0024
2026-06-15,3729.12,3824.2,3824.75,3729.12,207974.0,星期一,0.0073,0.0255
2026-06-12,3702.75,3701.96,3755.98,3677.29,234560.0,星期五,0.0141,-0.0002
2026-06-11,3725.88,3651.21,3729.67,3632.0,194568.0,星期四,-0.0105,-0.02
2026-06-10,3788.77,3765.27,3879.74,3743.53,199690.0,星期三,-0.0067,-0.0062
2026-06-09,3760.42,3814.24,3819.69,3726.9,173971.0,星期二,0.0069,0.0143
2026-06-08,3760.02,3734.69,3820.44,3703.56,209522.0,星期一,-0.0267,-0.0067
2026-06-05,3872.65,3863.1,3929.89,3828.61,192979.0,星期五,-0.0021,-0.0025
2026-06-04,3917.07,3880.69,3925.52,3860.5,181124.0,星期四,-0.0119,-0.0093
2026-06-03,3961.9,3964.06,4040.66,3933.06,209419.0,星期三,-0.0087,0.0005
2026-06-02,4003.21,3996.49,4013.04,3914.47,207797.0,星期二,0.0049,-0.0017
2026-06-01,3939.13,3983.82,4060.59,3939.13,232629.0,星期一,0.0042,0.0113
2026-05-29,4081.87,3922.84,4108.81,3902.67,241922.0,星期五,0.0112,-0.039
2026-05-28,4027.35,4036.69,4057.98,3927.18,217274.0,星期四,0.0001,0.0023
2026-05-27,4135.35,4027.13,4162.18,4014.35,239190.0,星期三,-0.0037,-0.0262
2026-05-26,4190.29,4150.76,4194.17,4080.81,225678.0,星期二,-0.008,-0.0094
2026-05-25,4189.84,4224.1,4231.9,4143.29,228297.0,星期一,0.0048,0.0082
2026-05-22,4169.52,4169.82,4188.05,4097.85,247527.0,星期五,0.0067,0.0001
2026-05-21,4348.74,4141.7,4378.47,4135.33,338417.0,星期四,0.0091,-0.0476
2026-05-20,4361.83,4309.49,4391.86,4297.46,288115.0,星期三,-0.0087,-0.012
2026-05-19,4326.72,4400.03,4401.66,4299.59,366863.0,星期二,-0.0006,0.0169
2026-05-18,4267.19,4329.29,4356.28,4266.76,332288.0,星期一,-0.0014,0.0146
2026-05-15,4325.25,4273.12,4401.6,4248.69,304432.0,星期五,0.0036,-0.0121
2026-05-14,4527.47,4309.54,4540.5,4309.54,312701.0,星期四,0.0116,-0.0481
2026-05-13,4336.3,4475.65,4480.85,4317.03,330816.0,星期三,-0.0055,0.0321
2026-05-12,4468.91,4360.34,4468.91,4349.18,267390.0,星期二,-0.002,-0.0243
2026-05-11,4483.28,4477.74,4498.29,4419.21,353293.0,星期一,0.0087,-0.0012
2026-05-08,4413.99,4444.4,4487.19,4381.05,307485.0,星期五,-0.0021,0.0069
2026-05-07,4387.59,4423.21,4424.17,4344.1,262705.0,星期四,0.0031,0.0081
2026-05-06,4276.12,4374.2,4424.08,4276.12,336056.0,星期三,0.0145,0.0229
2026-04-30,4190.22,4215.06,4223.27,4166.63,228950.0,星期四,-0.0022,0.0059
2026-04-29,4152.66,4199.37,4208.38,4142.83,214254.0,星期三,-0.0041,0.0112
2026-04-28,4231.29,4169.72,4236.54,4150.53,220455.0,星期二,-0.0059,-0.0146
2026-04-27,4260.53,4256.35,4282.43,4202.15,244485.0,星期一,0.0005,-0.001
2026-04-24,4249.38,4258.22,4291.17,4157.45,281891.0,星期五,-0.0046,0.0021
2026-04-23,4295.12,4269.2,4322.52,4236.11,258605.0,星期四,0.0008,-0.006
2026-04-22,4195.65,4291.61,4296.67,4183.06,277555.0,星期三,-0.003,0.0229
2026-04-21,4255.04,4208.16,4255.04,4174.08,214227.0,星期二,-0.0068,-0.011
2026-04-20,4228.16,4283.96,4311.32,4228.16,245131.0,星期一,0.0034,0.0132
2026-04-17,4200.8,4213.69,4233.73,4192.42,218517.0,星期五,-0.0041,0.0031
2026-04-16,4155.33,4218.2,4227.37,4155.33,238714.0,星期四,0.0034,0.0151
2026-04-15,4199.29,4141.12,4199.29,4127.48,214109.0,星期三,0.005,-0.0139
2026-04-14,4178.09,4178.3,4194.41,4132.06,231909.0,星期二,0.0151,0.0001
2026-04-13,4031.19,4115.82,4143.97,4030.9,193259.0,星期一,-0.0112,0.021
2026-04-10,4063.18,4076.99,4130.88,4060.14,211934.0,星期五,0.0083,0.0034
2026-04-09,4022.23,4029.68,4045.3,4001.33,195538.0,星期四,-0.0152,0.0019
2026-04-08,3939.19,4084.34,4084.53,3939.19,282995.0,星期三,0.0257,0.0368
2026-04-07,3849.2,3840.42,3882.29,3818.76,143280.0,星期二,0.0023,-0.0023
2026-04-03,3880.02,3840.38,3883.98,3821.27,158189.0,星期五,0.0068,-0.0102
2026-04-02,3954.52,3853.96,3954.52,3835.95,175341.0,星期四,-0.0054,-0.0254
2026-04-01,3975.65,3976.14,3989.05,3952.93,181871.0,星期三,0.0217,0.0001
2026-03-31,3929.15,3891.06,3988.07,3888.89,170053.0,星期二,-0.0016,-0.0097
2026-03-30,3872.82,3935.29,3943.67,3828.28,196738.0,星期一,-0.0174,0.0161
2026-03-27,3879.07,3941.35,3964.82,3871.81,161894.0,星期五,-0.0121,0.0161
2026-03-26,4027.47,3926.55,4042.98,3915.78,194059.0,星期四,-0.0021,-0.0251
2026-03-25,3961.7,4035.77,4073.29,3961.7,240522.0,星期三,0.0035,0.0187
2026-03-24,3954.47,3947.8,3958.18,3859.62,205109.0,星期二,0.0162,-0.0017
2026-03-23,4008.57,3891.5,4031.9,3873.15,270888.0,星期一,-0.0181,-0.0292
2026-03-20,4241.33,4082.55,4251.31,4080.49,288674.0,星期五,0.0017,-0.0374
2026-03-19,4210.96,4234.28,4283.18,4210.96,274532.0,星期四,-0.0173,0.0055
2026-03-18,4181.93,4284.9,4290.23,4165.31,237033.0,星期三,0.0032,0.0246
2026-03-17,4259.72,4168.46,4267.31,4168.24,199715.0,星期二,0.0043,-0.0214
2026-03-16,4246.09,4241.51,4249.9,4180.03,212344.0,星期一,-0.0036,-0.0011
2026-03-13,4345.96,4261.31,4346.1,4252.35,301293.0,星期五,-0.0056,-0.0195
2026-03-12,4364.58,4370.42,4446.05,4345.49,265562.0,星期四,-0.0031,0.0013
2026-03-11,4402.01,4378.15,4421.5,4371.11,288571.0,星期三,-0.001,-0.0054
2026-03-10,4417.03,4406.33,4464.08,4347.8,335999.0,星期二,0.0127,-0.0024
2026-03-09,4227.27,4361.61,4382.54,4188.74,345638.0,星期一,-0.0121,0.0318
2026-03-06,4213.84,4279.09,4279.09,4207.73,195862.0,星期五,-0.0052,0.0155
2026-03-05,4273.1,4235.79,4275.42,4209.39,242119.0,星期四,0.0206,-0.0087
2026-03-04,4169.65,4186.81,4262.91,4169.65,230847.0,星期三,-0.0147,0.0041
2026-03-03,4430.77,4231.81,4437.47,4222.89,346455.0,星期二,0.0016,-0.0449
2026-03-02,4454.9,4423.66,4488.01,4404.42,319347.0,星期一,-0.0176,-0.007
