time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,17463.503,17115.013,17593.622,16945.483,843415.0,星期五,-0.0115,-0.02
2026-06-25,17130.881,17666.362,17666.362,17033.551,764784.0,星期四,0.015,0.0313
2026-06-24,16168.402,16878.143,16881.813,16168.402,670384.0,星期三,-0.0094,0.0439
2026-06-23,16711.942,16321.362,16818.692,16183.262,621613.0,星期二,-0.0051,-0.0234
2026-06-22,16719.243,16796.862,16932.833,16268.293,712950.0,星期一,0.0166,0.0046
2026-06-18,16038.792,16445.643,16588.512,16033.231,750319.0,星期四,-0.0018,0.0254
2026-06-17,15430.122,16067.462,16076.662,15430.122,509980.0,星期三,-0.0097,0.0413
2026-06-16,15239.632,15580.512,15640.062,15209.781,591055.0,星期二,0.0072,0.0224
2026-06-15,14586.981,15131.042,15132.332,14364.231,588783.0,星期一,0.0179,0.0373
2026-06-12,14970.431,14331.061,14972.742,14331.061,615394.0,星期五,0.0261,-0.0427
2026-06-11,14590.882,14589.071,14856.472,14396.872,572559.0,星期四,-0.006,-0.0001
2026-06-10,14889.912,14679.012,14975.432,14479.162,604275.0,星期三,-0.0184,-0.0142
2026-06-09,14808.731,15169.031,15169.031,14556.891,694155.0,星期二,0.0216,0.0243
2026-06-08,14505.762,14496.242,14968.822,14400.532,772173.0,星期一,-0.0351,-0.0007
2026-06-05,15097.962,15032.922,15455.602,14953.742,891682.0,星期五,-0.0092,-0.0043
2026-06-04,14779.731,15237.662,15325.441,14779.731,630455.0,星期四,-0.0122,0.031
2026-06-03,14868.502,14962.082,15311.262,14780.462,690434.0,星期三,0.015,0.0063
2026-06-02,14212.672,14648.422,14736.302,14109.022,573110.0,星期二,-0.001,0.0307
2026-06-01,14524.082,14226.432,14792.052,14202.372,623824.0,星期一,-0.0002,-0.0205
2026-05-29,15025.292,14526.762,15073.142,14448.412,730885.0,星期五,0.0082,-0.0332
2026-05-28,14728.811,14902.952,14955.301,14494.551,632198.0,星期四,-0.0054,0.0118
2026-05-27,14862.202,14808.811,15171.952,14690.632,844563.0,星期三,-0.0009,-0.0036
2026-05-26,14881.212,14875.472,14905.802,14602.082,807259.0,星期二,-0.0086,-0.0004
2026-05-25,14845.332,15011.052,15016.401,14606.632,724648.0,星期一,0.0092,0.0112
2026-05-22,14243.142,14709.602,14722.812,14163.522,872868.0,星期五,0.0109,0.0327
2026-05-21,14640.012,14090.172,14744.802,14038.082,453576.0,星期四,0.0112,-0.0376
2026-05-20,14281.682,14478.092,14524.372,14270.462,324049.0,星期三,-0.0064,0.0138
2026-05-19,14068.642,14373.712,14385.993,13792.953,359610.0,星期二,-0.0075,0.0217
2026-05-18,13951.493,14175.192,14312.432,13946.902,360362.0,星期一,0.0013,0.016
2026-05-15,14127.393,13933.803,14258.523,13670.523,413365.0,星期五,0.0019,-0.0137
2026-05-14,14550.283,14100.193,14557.153,14100.193,409102.0,星期四,0.011,-0.0309
2026-05-13,13908.834,14391.983,14403.144,13908.834,369541.0,星期三,-0.0103,0.0347
2026-05-12,14190.154,14053.434,14190.154,13934.284,408132.0,星期二,0.0044,-0.0096
2026-05-11,13977.434,14127.404,14145.874,13895.264,418250.0,星期一,0.021,0.0107
2026-05-08,13482.984,13689.774,13691.434,13452.915,357613.0,星期五,-0.0098,0.0153
2026-05-07,13322.194,13616.694,13616.694,13223.634,360567.0,星期四,0.0079,0.0221
2026-05-06,12981.545,13217.444,13375.574,12981.545,393161.0,星期三,0.0161,0.0182
2026-04-30,12714.025,12775.565,12811.005,12537.075,332314.0,星期四,0.002,0.0048
2026-04-29,12507.496,12688.065,12705.695,12455.336,254296.0,星期三,-0.0098,0.0144
2026-04-28,12735.676,12631.376,12782.865,12559.126,300822.0,星期二,-0.0067,-0.0082
2026-04-27,12647.806,12821.006,12938.056,12647.806,319067.0,星期一,0.0018,0.0137
2026-04-24,12706.536,12625.566,12803.156,12497.007,324835.0,星期五,-0.0053,-0.0064
2026-04-23,12897.127,12774.637,12963.177,12601.637,384327.0,星期四,0.0067,-0.0095
2026-04-22,12423.287,12811.187,12813.958,12423.287,332288.0,星期三,-0.0041,0.0312
2026-04-21,12385.887,12474.407,12540.786,12298.326,387600.0,星期二,-0.0085,0.0071
2026-04-20,12345.167,12491.807,12566.047,12345.167,424504.0,星期一,0.0084,0.0119
2026-04-17,12086.266,12242.366,12270.646,12070.806,330576.0,星期五,-0.0004,0.0129
2026-04-16,11932.616,12091.536,12096.637,11873.036,324060.0,星期四,0.0006,0.0133
2026-04-15,12153.076,11925.186,12153.076,11871.286,324953.0,星期三,0.0091,-0.0188
2026-04-14,11988.337,12042.887,12081.526,11919.177,298603.0,星期二,0.0108,0.0046
2026-04-13,11738.856,11860.236,11914.196,11738.856,280270.0,星期一,-0.0109,0.0103
2026-04-10,11790.746,11868.426,11982.836,11788.806,317250.0,星期五,0.007,0.0066
2026-04-09,11504.106,11708.766,11755.316,11474.856,284680.0,星期四,-0.0132,0.0178
2026-04-08,11454.796,11657.936,11658.136,11373.285,311915.0,星期三,0.023,0.0177
2026-04-07,11225.325,11196.905,11308.565,11127.075,212957.0,星期二,0.0044,-0.0025
2026-04-03,11164.995,11176.015,11291.474,11153.734,210711.0,星期五,0.0084,0.001
2026-04-02,11227.175,11072.364,11280.505,11018.855,220430.0,星期四,-0.0029,-0.0138
2026-04-01,11240.585,11260.265,11271.385,11112.814,239390.0,星期三,0.0255,0.0018
2026-03-31,11122.555,10961.465,11228.775,10953.545,227607.0,星期二,-0.0055,-0.0145
2026-03-30,10947.195,11183.895,11204.605,10936.385,223295.0,星期一,-0.0149,0.0216
2026-03-27,10834.725,11112.815,11202.645,10802.175,198471.0,星期五,-0.0197,0.0257
2026-03-26,11207.984,11052.045,11284.545,11015.085,219628.0,星期四,-0.0032,-0.0139
2026-03-25,11088.184,11243.564,11313.284,11088.184,243910.0,星期三,0.0133,0.014
2026-03-24,10899.714,10942.384,10942.384,10630.924,258439.0,星期二,0.0137,0.0039
2026-03-23,11023.484,10752.524,11110.644,10699.714,281075.0,星期一,-0.0243,-0.0246
2026-03-20,11570.934,11298.394,11601.514,11296.134,235037.0,星期五,0.0124,-0.0236
2026-03-19,11458.594,11428.814,11573.614,11376.764,207384.0,星期四,-0.0164,-0.0026
2026-03-18,11481.754,11649.774,11660.374,11410.214,216467.0,星期三,0.0081,0.0146
2026-03-17,11759.934,11389.164,11766.924,11387.144,242822.0,星期二,-0.0005,-0.0315
2026-03-16,11802.964,11765.874,11806.394,11560.694,276575.0,星期一,-0.0043,-0.0031
2026-03-13,11921.064,11854.394,12002.524,11810.174,270343.0,星期五,-0.0091,-0.0056
2026-03-12,11955.653,12030.544,12158.273,11856.813,297841.0,星期四,-0.0032,0.0063
2026-03-11,12038.143,11994.244,12135.893,11966.873,277764.0,星期三,0.0041,-0.0036
2026-03-10,11809.873,11989.513,11997.402,11809.873,252065.0,星期二,0.0164,0.0152
2026-03-09,11473.333,11619.192,11658.503,11227.463,309264.0,星期一,-0.0244,0.0127
2026-03-06,11727.892,11760.522,11827.413,11638.002,296237.0,星期五,-0.0051,0.0028
2026-03-05,11823.472,11787.572,11894.032,11708.952,293094.0,星期四,0.0217,-0.003
