time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3482.3,3374.26,3482.49,3359.48,687016.0,星期五,-0.0119,-0.031
2026-06-25,3450.93,3524.25,3529.23,3434.42,706084.0,星期四,0.0051,0.0212
2026-06-24,3371.99,3433.4,3441.3,3361.73,656888.0,星期三,-0.0043,0.0182
2026-06-23,3495.37,3386.59,3501.72,3362.73,673762.0,星期二,-0.0025,-0.0311
2026-06-22,3438.63,3503.98,3504.44,3398.45,750030.0,星期一,0.0039,0.019
2026-06-18,3359.5,3425.32,3442.81,3359.23,592669.0,星期四,-0.0025,0.0196
2026-06-17,3286.53,3368.05,3368.95,3286.29,505712.0,星期三,-0.0082,0.0248
2026-06-16,3295.64,3313.61,3336.63,3280.45,576674.0,星期二,0.0044,0.0055
2026-06-15,3193.45,3281.17,3281.17,3151.36,590203.0,星期一,0.015,0.0275
2026-06-12,3193.98,3146.12,3194.7,3141.54,663593.0,星期五,0.0232,-0.015
2026-06-11,3148.59,3121.44,3196.25,3077.8,442817.0,星期四,-0.0039,-0.0086
2026-06-10,3194.06,3160.83,3219.02,3133.45,463545.0,星期三,-0.0161,-0.0104
2026-06-09,3172.03,3246.43,3247.81,3140.8,465687.0,星期二,0.0108,0.0235
2026-06-08,3130.3,3138.13,3205.91,3107.16,516098.0,星期一,-0.0339,0.0025
2026-06-05,3336.69,3240.08,3355.47,3220.0,522281.0,星期五,-0.0043,-0.029
2026-06-04,3329.25,3351.15,3376.91,3316.7,470921.0,星期四,-0.0119,0.0066
2026-06-03,3350.12,3369.44,3438.25,3325.91,519534.0,星期三,0.0072,0.0058
2026-06-02,3268.58,3326.13,3343.55,3228.79,494551.0,星期二,0.0079,0.0176
2026-06-01,3330.25,3242.81,3344.43,3237.86,521980.0,星期一,0.0036,-0.0263
2026-05-29,3393.8,3318.44,3407.38,3303.14,604101.0,星期五,0.0066,-0.0222
2026-05-28,3320.52,3371.46,3377.96,3268.29,573909.0,星期四,-0.0032,0.0153
2026-05-27,3332.4,3331.05,3406.15,3310.29,602279.0,星期三,-0.0018,-0.0004
2026-05-26,3295.4,3338.38,3343.7,3286.89,574063.0,星期二,-0.0047,0.013
2026-05-25,3272.59,3311.1,3311.63,3228.37,532430.0,星期一,0.0098,0.0118
2026-05-22,3192.02,3240.79,3247.94,3178.38,528291.0,星期五,0.0121,0.0153
2026-05-21,3243.02,3153.87,3296.83,3151.4,643366.0,星期四,0.0089,-0.0275
2026-05-20,3194.43,3214.3,3233.89,3182.69,494999.0,星期三,-0.0054,0.0062
2026-05-19,3199.85,3211.85,3216.5,3132.58,495228.0,星期二,-0.0052,0.0038
2026-05-18,3206.52,3216.64,3252.74,3193.23,540045.0,星期一,-0.008,0.0032
2026-05-15,3263.1,3232.49,3293.77,3187.79,628280.0,星期五,0.0009,-0.0094
2026-05-14,3360.23,3260.1,3361.13,3251.47,615263.0,星期四,0.0088,-0.0298
2026-05-13,3233.99,3330.76,3333.85,3232.53,583194.0,星期三,-0.0088,0.0299
2026-05-12,3273.06,3262.73,3281.53,3232.31,591049.0,星期二,0.005,-0.0032
2026-05-11,3199.41,3256.83,3263.88,3177.6,632720.0,星期一,0.009,0.0179
2026-05-08,3163.98,3170.88,3194.67,3156.93,533266.0,星期五,-0.0089,0.0022
2026-05-07,3171.83,3192.53,3196.17,3139.47,574190.0,星期四,0.0047,0.0065
2026-05-06,3153.32,3157.06,3185.28,3121.78,607150.0,星期三,0.0174,0.0012
2026-04-30,3113.97,3099.29,3122.05,3084.26,543244.0,星期四,0.0047,-0.0047
2026-04-29,3019.36,3099.37,3103.09,3019.36,546487.0,星期三,-0.007,0.0265
2026-04-28,3064.97,3040.57,3070.49,3027.63,496554.0,星期二,-0.0059,-0.008
2026-04-27,3084.39,3083.15,3100.84,3067.27,501394.0,星期一,0.0046,-0.0004
2026-04-24,3084.05,3070.25,3095.82,3032.7,502325.0,星期五,-0.0062,-0.0045
2026-04-23,3146.62,3103.18,3154.27,3079.04,479126.0,星期四,0.0048,-0.0138
2026-04-22,3061.89,3131.51,3133.55,3061.89,474184.0,星期三,-0.0057,0.0227
2026-04-21,3059.23,3079.32,3087.33,3024.86,475984.0,星期二,-0.0029,0.0066
2026-04-20,3049.76,3068.05,3078.28,3037.98,508764.0,星期一,-0.0016,0.006
2026-04-17,3034.87,3054.68,3060.93,3023.61,458901.0,星期五,0.0035,0.0065
2026-04-16,2961.56,3024.23,3025.89,2955.26,460537.0,星期四,0.0027,0.0212
