time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5461.71,5353.58,5480.05,5353.02,1190653.0,星期五,-0.0027,-0.0198
2026-06-25,5438.3,5476.3,5511.81,5412.9,1141004.0,星期四,-0.0032,0.007
2026-06-24,5511.87,5455.97,5548.89,5433.8,968697.0,星期三,-0.0021,-0.0101
2026-06-23,5554.54,5523.67,5638.58,5508.31,981220.0,星期二,-0.0023,-0.0056
2026-06-22,5469.08,5567.36,5570.2,5409.41,1102394.0,星期一,-0.0022,0.018
2026-06-18,5563.39,5481.04,5563.39,5480.97,1023489.0,星期四,-0.0019,-0.0148
2026-06-17,5598.74,5573.76,5608.87,5556.93,774897.0,星期三,-0.0029,-0.0045
2026-06-16,5660.7,5615.28,5660.7,5602.68,815034.0,星期二,-0.0034,-0.008
2026-06-15,5656.08,5679.78,5721.99,5637.11,938045.0,星期一,0.0007,0.0042
2026-06-12,5585.67,5652.28,5671.14,5553.48,960675.0,星期五,0.0054,0.0119
2026-06-11,5555.68,5555.92,5576.93,5521.73,816399.0,星期四,-0.0023,0.0
2026-06-10,5551.7,5568.64,5576.05,5524.26,815496.0,星期三,-0.0066,0.0031
2026-06-09,5582.45,5588.64,5591.08,5526.62,899464.0,星期二,0.0029,0.0011
2026-06-08,5618.61,5566.34,5671.12,5527.5,1038915.0,星期一,-0.0115,-0.0093
2026-06-05,5717.92,5684.18,5771.58,5671.47,1149648.0,星期五,0.0004,-0.0059
2026-06-04,5759.76,5715.71,5783.91,5693.83,951612.0,星期四,-0.0045,-0.0076
2026-06-03,5803.88,5786.07,5813.17,5745.04,1039751.0,星期三,-0.0025,-0.0031
2026-06-02,5845.7,5818.63,5845.7,5789.84,832494.0,星期二,-0.0028,-0.0046
2026-06-01,5794.56,5861.88,5861.88,5758.25,913202.0,星期一,0.0014,0.0116
2026-05-29,5754.74,5786.54,5842.96,5753.66,960306.0,星期五,0.0011,0.0055
2026-05-28,5758.09,5748.45,5786.63,5704.56,794578.0,星期四,-0.0041,-0.0017
2026-05-27,5806.41,5781.62,5836.7,5733.68,1048943.0,星期三,-0.0037,-0.0043
2026-05-26,5791.42,5827.83,5829.23,5766.62,1053593.0,星期二,-0.0043,0.0063
2026-05-25,5806.88,5816.29,5821.17,5777.25,912751.0,星期一,0.0013,0.0016
2026-05-22,5813.43,5799.54,5817.77,5767.72,1163188.0,星期五,0.0023,-0.0024
2026-05-21,5891.52,5799.86,5945.12,5799.38,786301.0,星期四,0.0033,-0.0156
2026-05-20,5910.18,5872.35,5910.18,5844.96,477876.0,星期三,-0.0035,-0.0064
2026-05-19,5896.69,5931.16,5932.2,5874.59,519661.0,星期二,-0.0004,0.0058
2026-05-18,5951.0,5899.31,5951.0,5865.41,556414.0,星期一,-0.0037,-0.0087
2026-05-15,6040.91,5973.12,6045.99,5943.81,573562.0,星期五,-0.0014,-0.0112
2026-05-14,6141.63,6049.52,6144.68,6049.52,603001.0,星期四,0.0003,-0.015
2026-05-13,6132.5,6140.02,6156.2,6109.1,561814.0,星期三,-0.0019,0.0012
2026-05-12,6182.99,6144.28,6182.99,6133.89,608357.0,星期二,0.0004,-0.0063
2026-05-11,6142.08,6180.46,6189.2,6132.78,685902.0,星期一,0.0015,0.0062
2026-05-08,6141.54,6133.14,6166.63,6103.96,561893.0,星期五,-0.0015,-0.0014
2026-05-07,6198.37,6150.59,6203.19,6127.93,620924.0,星期四,-0.0005,-0.0077
2026-05-06,6150.74,6201.33,6204.15,6127.45,698502.0,星期三,0.0013,0.0082
2026-04-30,6159.32,6142.95,6199.76,6132.39,697472.0,星期四,-0.003,-0.0027
2026-04-29,6079.11,6177.92,6183.73,6076.83,689148.0,星期三,-0.0033,0.0163
2026-04-28,6041.55,6099.03,6100.9,6041.25,539177.0,星期二,-0.002,0.0095
2026-04-27,6045.92,6053.46,6075.13,6039.76,522062.0,星期一,0.0005,0.0012
2026-04-24,6046.55,6043.01,6061.06,6021.37,461887.0,星期五,-0.0036,-0.0006
2026-04-23,6076.88,6068.23,6090.31,6034.91,519378.0,星期四,0.0001,-0.0014
2026-04-22,6061.25,6076.02,6086.59,6057.38,487330.0,星期三,-0.0016,0.0024
2026-04-21,6051.82,6071.07,6076.55,6029.26,502425.0,星期二,-0.0003,0.0032
2026-04-20,6037.82,6053.89,6068.53,6028.35,562917.0,星期一,0.0006,0.0027
2026-04-17,6067.12,6033.99,6069.16,6026.13,421561.0,星期五,-0.0015,-0.0055
2026-04-16,6046.81,6076.45,6082.33,6039.42,458777.0,星期四,0.0012,0.0049
2026-04-15,6069.13,6039.75,6069.13,6031.23,487568.0,星期三,0.005,-0.0048
2026-04-14,6037.78,6038.71,6040.87,5987.78,492085.0,星期二,0.0044,0.0002
2026-04-13,5989.47,6011.36,6024.07,5977.31,432780.0,星期一,-0.0024,0.0037
2026-04-10,6000.55,6004.18,6042.03,5985.19,422708.0,星期五,0.0036,0.0006
2026-04-09,5995.29,5978.73,6011.57,5974.44,371116.0,星期四,-0.0065,-0.0028
2026-04-08,5953.95,6034.8,6034.8,5950.27,503440.0,星期三,0.0086,0.0136
2026-04-07,5889.24,5903.0,5918.43,5868.04,323965.0,星期二,0.0013,0.0023
2026-04-03,5958.89,5881.43,5959.34,5870.98,322181.0,星期五,0.0001,-0.013
2026-04-02,5963.0,5958.37,5983.58,5928.68,406526.0,星期四,-0.0019,-0.0008
2026-04-01,5985.01,5974.11,5993.01,5950.32,430782.0,星期三,0.0112,-0.0018
2026-03-31,5993.94,5918.94,6027.26,5918.94,447464.0,星期二,-0.0001,-0.0125
2026-03-30,5954.83,5994.57,6008.45,5919.99,459594.0,星期一,-0.0073,0.0067
2026-03-27,5885.49,5998.39,6009.6,5882.39,452600.0,星期五,-0.0104,0.0192
2026-03-26,5991.46,5947.22,6013.83,5934.97,460397.0,星期四,-0.0003,-0.0074
2026-03-25,5928.7,5993.08,5998.52,5912.69,488070.0,星期三,0.0037,0.0109
2026-03-24,5857.04,5907.09,5907.09,5795.97,535047.0,星期二,0.0118,0.0085
2026-03-23,5926.06,5788.46,5926.06,5763.55,725599.0,星期一,-0.0128,-0.0232
2026-03-20,6048.08,6002.76,6096.94,5999.85,487205.0,星期五,0.0015,-0.0075
2026-03-19,6117.02,6038.72,6136.76,6021.08,470713.0,星期四,-0.0063,-0.0128
2026-03-18,6176.59,6155.55,6177.69,6097.23,429169.0,星期三,0.0016,-0.0034
2026-03-17,6210.63,6167.02,6268.74,6167.02,492700.0,星期二,0.0003,-0.007
2026-03-16,6260.06,6208.88,6267.65,6180.91,583198.0,星期一,-0.0003,-0.0082
2026-03-13,6283.41,6261.65,6322.11,6250.44,548463.0,星期五,-0.0025,-0.0035
2026-03-12,6304.38,6298.99,6321.87,6264.34,608184.0,星期四,0.0016,-0.0009
2026-03-11,6241.18,6294.24,6300.13,6205.39,502770.0,星期三,-0.0003,0.0085
2026-03-10,6224.15,6243.36,6255.53,6220.53,478647.0,星期二,0.0004,0.0031
2026-03-09,6272.67,6221.94,6273.82,6181.58,629730.0,星期一,-0.0029,-0.0081
2026-03-06,6188.47,6290.64,6298.71,6181.61,537337.0,星期五,-0.0042,0.0165
2026-03-05,6240.63,6214.48,6243.31,6193.62,554114.0,星期四,0.0088,-0.0042
2026-03-04,6203.19,6185.99,6243.3,6159.88,570239.0,星期三,-0.0085,-0.0028
2026-03-03,6350.19,6256.13,6374.98,6248.5,726429.0,星期二,0.0002,-0.0148
2026-03-02,6320.4,6349.17,6362.33,6267.85,694151.0,星期一,-0.0049,0.0046
2026-02-27,6280.98,6351.25,6354.49,6278.17,604308.0,星期五,-0.0021,0.0112
2026-02-26,6306.51,6294.4,6320.38,6272.61,478100.0,星期四,0.001,-0.0019
2026-02-25,6260.5,6300.16,6342.52,6260.5,557807.0,星期三,0.0017,0.0063
2026-02-24,6223.63,6250.09,6260.96,6213.13,505520.0,星期二,0.0088,0.0043
2026-02-13,6238.02,6169.58,6241.12,6165.23,412072.0,星期五,-0.0028,-0.011
2026-02-12,6280.81,6255.52,6282.41,6248.26,429287.0,星期四,0.0002,-0.004
2026-02-11,6245.58,6279.83,6297.39,6245.58,403563.0,星期三,-0.0009,0.0055
2026-02-10,6250.24,6251.15,6260.38,6212.55,372049.0,星期二,-0.0005,0.0001
2026-02-09,6237.75,6253.63,6254.72,6215.28,434984.0,星期一,0.0065,0.0025
2026-02-06,6183.01,6197.4,6250.17,6154.49,434586.0,星期五,-0.0056,0.0023
2026-02-05,6210.34,6218.07,6246.7,6184.6,509711.0,星期四,-0.0032,0.0012
2026-02-04,6122.13,6230.47,6236.86,6118.53,571840.0,星期三,0.0009,0.0177
2026-02-03,6063.12,6116.58,6118.4,6031.35,535005.0,星期二,0.0068,0.0088
2026-02-02,6150.82,6021.98,6169.95,6017.59,667601.0,星期一,-0.0075,-0.0209
2026-01-30,6263.2,6197.39,6290.74,6127.02,721854.0,星期五,-0.0054,-0.0105
2026-01-29,6240.89,6297.3,6309.19,6233.65,770692.0,星期四,-0.0012,0.009
2026-01-28,6204.74,6248.2,6267.2,6166.13,724320.0,星期三,-0.001,0.007
2026-01-27,6258.33,6211.11,6266.96,6180.92,713098.0,星期二,-0.0022,-0.0075
2026-01-26,6265.68,6272.29,6302.27,6237.53,778372.0,星期一,0.0006,0.0011
2026-01-23,6242.83,6262.13,6275.0,6236.75,742847.0,星期五,0.0016,0.0031
2026-01-22,6204.13,6232.85,6246.06,6204.13,562983.0,星期四,0.001,0.0046
2026-01-21,6197.58,6198.03,6219.49,6168.81,597472.0,星期三,-0.0023,0.0001
2026-01-20,6160.88,6211.78,6213.08,6136.21,648881.0,星期二,0.0023,0.0083
2026-01-19,6064.08,6146.59,6155.09,6061.34,551859.0,星期一,-0.0014,0.0136
2026-01-16,6136.83,6072.73,6150.03,6060.68,628914.0,星期五,0.0028,-0.0104
2026-01-15,6125.36,6119.47,6167.68,6105.3,618879.0,星期四,-0.0027,-0.001
