time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,9027.43,8892.01,9052.55,8859.16,1093583.0,星期五,-0.0055,-0.015
2026-06-25,9013.0,9077.59,9129.02,9013.0,1006946.0,星期四,0.0011,0.0072
2026-06-24,8866.76,9003.33,9035.76,8828.78,873050.0,星期三,-0.0055,0.0154
2026-06-23,9049.4,8916.03,9115.36,8872.26,775095.0,星期二,-0.0026,-0.0147
2026-06-22,8953.261,9073.291,9079.431,8881.631,929328.0,星期一,0.0024,0.0134
2026-06-18,8961.751,8931.841,9012.15,8898.701,951954.0,星期四,-0.0009,-0.0033
2026-06-17,8833.081,8970.141,8976.671,8833.081,695827.0,星期三,-0.0049,0.0155
2026-06-16,8966.59,8876.48,8966.59,8838.08,697472.0,星期二,-0.0029,-0.01
2026-06-15,8968.019,8992.819,9020.059,8914.74,760648.0,星期一,0.0073,0.0028
2026-06-12,8961.119,8903.049,8965.449,8887.579,781153.0,星期五,0.0087,-0.0065
2026-06-11,8878.088,8884.058,8931.508,8816.708,715663.0,星期四,-0.0046,0.0007
2026-06-10,8965.288,8919.178,8980.397,8873.767,726147.0,星期三,-0.0097,-0.0051
2026-06-09,8950.847,9052.687,9053.158,8886.177,810029.0,星期二,0.0053,0.0114
2026-06-08,8907.837,8903.827,9033.237,8831.787,927890.0,星期一,-0.0182,-0.0005
2026-06-05,9130.887,9073.117,9248.817,9051.957,1094438.0,星期五,-0.0038,-0.0063
2026-06-04,9112.538,9166.147,9235.378,9104.437,839051.0,星期四,-0.0062,0.0059
2026-06-03,9197.378,9168.998,9261.618,9117.067,935677.0,星期三,0.0019,-0.0031
2026-06-02,9085.628,9179.648,9192.828,9005.688,718560.0,星期二,-0.0014,0.0103
2026-06-01,9158.398,9098.678,9245.928,9084.329,790406.0,星期一,-0.001,-0.0065
2026-05-29,9271.989,9167.119,9293.528,9152.619,905272.0,星期五,0.0089,-0.0113
2026-05-28,9171.179,9190.419,9200.059,9057.099,738076.0,星期四,-0.0055,0.0021
2026-05-27,9303.99,9221.899,9355.54,9181.04,980980.0,星期三,-0.0024,-0.0088
2026-05-26,9272.399,9326.08,9330.229,9224.389,977189.0,星期二,-0.0047,0.0058
2026-05-25,9233.499,9316.509,9321.119,9191.329,822465.0,星期一,0.0026,0.009
2026-05-22,9143.009,9209.129,9211.659,9061.969,1055670.0,星期五,0.0064,0.0072
2026-05-21,9246.619,9084.499,9381.818,9081.039,677352.0,星期四,0.0107,-0.0175
2026-05-20,9163.719,9148.419,9181.509,9087.059,381264.0,星期三,-0.0048,-0.0017
2026-05-19,9161.91,9207.819,9208.8,9105.069,416221.0,星期二,-0.0019,0.005
2026-05-18,9239.319,9179.45,9265.71,9131.759,445008.0,星期一,-0.0042,-0.0065
2026-05-15,9341.899,9278.029,9423.79,9234.339,455993.0,星期五,0.0004,-0.0068
2026-05-14,9517.779,9338.569,9527.479,9338.569,452384.0,星期四,0.0028,-0.0188
2026-05-13,9371.249,9490.889,9496.369,9361.639,436516.0,星期三,-0.0049,0.0128
2026-05-12,9514.229,9417.809,9514.229,9394.95,461609.0,星期二,0.0016,-0.0101
2026-05-11,9429.089,9499.179,9528.549,9429.089,542411.0,星期一,0.0093,0.0074
2026-05-08,9359.129,9342.369,9371.409,9299.729,423060.0,星期五,-0.0046,-0.0018
2026-05-07,9421.409,9402.528,9424.608,9349.719,464689.0,星期四,0.0034,-0.002
2026-05-06,9378.159,9389.348,9402.098,9338.169,516286.0,星期三,0.0037,0.0012
2026-04-30,9385.279,9343.759,9425.849,9338.009,472871.0,星期四,0.0009,-0.0044
2026-04-29,9257.29,9376.91,9381.34,9252.49,445486.0,星期三,-0.0023,0.0129
2026-04-28,9246.839,9278.269,9304.139,9234.579,352009.0,星期二,-0.0036,0.0034
2026-04-27,9156.479,9280.339,9308.809,9156.479,392719.0,星期一,0.0039,0.0135
2026-04-24,9128.05,9121.04,9148.19,9062.35,336807.0,星期五,-0.002,-0.0008
2026-04-23,9205.819,9146.33,9223.029,9117.179,400348.0,星期四,0.0033,-0.0065
2026-04-22,9076.599,9175.229,9179.589,9069.859,383343.0,星期三,-0.0029,0.0109
2026-04-21,9120.319,9103.41,9130.91,9041.809,395537.0,星期二,-0.0009,-0.0019
2026-04-20,9047.339,9128.349,9140.389,9011.729,453895.0,星期一,0.0023,0.009
2026-04-17,9076.649,9026.149,9081.87,9012.859,312279.0,星期五,-0.0044,-0.0056
2026-04-16,9058.72,9116.45,9126.62,9045.82,349902.0,星期四,0.0014,0.0064
2026-04-15,9092.569,9046.13,9108.259,9033.099,340988.0,星期三,0.0024,-0.0051
2026-04-14,9055.97,9071.08,9078.56,8992.3,362071.0,星期二,0.0053,0.0017
2026-04-13,8928.099,9007.91,9012.879,8913.91,338180.0,星期一,-0.0055,0.0089
2026-04-10,8931.129,8977.509,9010.709,8910.839,391702.0,星期五,0.0035,0.0052
2026-04-09,8830.189,8899.919,8912.359,8811.779,354710.0,星期四,-0.008,0.0079
2026-04-08,8743.549,8901.559,8901.559,8743.549,454783.0,星期三,0.0121,0.0181
2026-04-07,8661.089,8638.799,8683.859,8601.899,308869.0,星期二,0.0009,-0.0026
2026-04-03,8774.509,8653.589,8775.269,8642.509,306084.0,星期五,0.0015,-0.0138
2026-04-02,8793.329,8761.349,8818.239,8724.039,317140.0,星期四,-0.0016,-0.0036
