time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2130.49,2064.26,2133.12,2063.83,138889.0,星期五,0.0009,-0.0311
2026-06-25,2145.22,2128.51,2176.57,2114.27,139720.0,星期四,-0.0093,-0.0078
2026-06-24,2231.31,2165.28,2231.31,2157.76,152897.0,星期三,0.001,-0.0296
2026-06-23,2250.97,2229.14,2291.69,2222.91,144005.0,星期二,-0.0042,-0.0097
2026-06-22,2218.09,2260.54,2260.54,2188.94,162265.0,星期一,0.0001,0.0191
2026-06-18,2277.09,2217.89,2279.91,2215.99,162578.0,星期四,-0.0051,-0.026
2026-06-17,2346.41,2288.66,2346.74,2282.23,155613.0,星期三,-0.0027,-0.0246
2026-06-16,2386.95,2352.69,2387.13,2328.22,194050.0,星期二,-0.008,-0.0144
2026-06-15,2478.39,2406.24,2478.39,2391.69,222842.0,星期一,-0.0208,-0.0291
2026-06-12,2479.43,2530.97,2564.57,2479.43,195362.0,星期五,-0.0137,0.0208
2026-06-11,2521.56,2513.88,2557.55,2487.55,163849.0,星期四,0.004,-0.003
2026-06-10,2590.45,2511.62,2600.69,2496.87,195415.0,星期三,-0.009,-0.0304
2026-06-09,2618.6,2613.91,2645.82,2565.93,225432.0,星期二,-0.0222,-0.0018
2026-06-08,2648.95,2678.03,2737.99,2623.41,249316.0,星期一,-0.0146,0.011
2026-06-05,2715.58,2688.12,2767.39,2679.32,276355.0,星期五,-0.0118,-0.0101
2026-06-04,2659.88,2748.14,2800.43,2629.12,327418.0,星期四,-0.0105,0.0332
2026-06-03,2553.62,2688.03,2711.82,2543.56,310900.0,星期三,-0.0159,0.0526
2026-06-02,2629.68,2594.9,2706.51,2571.68,302171.0,星期二,0.0032,-0.0132
2026-06-01,2470.67,2621.21,2621.89,2450.69,294696.0,星期一,0.0041,0.0609
2026-05-29,2398.26,2460.68,2479.72,2397.91,174435.0,星期五,-0.0022,0.026
2026-05-28,2357.59,2403.46,2450.62,2353.2,165505.0,星期四,-0.0013,0.0195
2026-05-27,2317.87,2360.76,2375.54,2294.92,136085.0,星期三,-0.0004,0.0185
2026-05-26,2320.62,2318.88,2361.33,2302.69,143606.0,星期二,-0.009,-0.0007
2026-05-25,2353.05,2341.78,2402.82,2332.38,175193.0,星期一,0.0379,-0.0048
2026-05-22,2287.78,2267.09,2294.02,2246.48,102431.0,星期五,-0.0001,-0.009
2026-05-21,2343.82,2287.99,2355.44,2284.27,130355.0,星期四,-0.0089,-0.0238
2026-05-20,2399.95,2364.77,2417.34,2360.72,128790.0,星期三,-0.0012,-0.0147
2026-05-19,2392.17,2402.94,2426.56,2388.04,128839.0,星期二,-0.0079,0.0045
2026-05-18,2369.5,2411.19,2414.64,2347.8,148008.0,星期一,0.0016,0.0176
2026-05-15,2328.17,2365.6,2398.61,2313.95,159534.0,星期五,-0.0008,0.0161
2026-05-14,2364.04,2330.03,2383.92,2330.03,171249.0,星期四,0.0005,-0.0144
2026-05-13,2376.04,2362.77,2395.13,2350.59,134624.0,星期三,-0.0015,-0.0056
2026-05-12,2403.83,2379.5,2423.07,2371.38,145404.0,星期二,-0.0011,-0.0101
2026-05-11,2405.3,2406.5,2446.5,2397.69,160487.0,星期一,0.0042,0.0005
2026-05-08,2429.32,2395.23,2445.43,2391.49,160542.0,星期五,0.0033,-0.014
2026-05-07,2512.82,2421.44,2512.99,2415.22,199211.0,星期四,-0.0122,-0.0364
2026-05-06,2509.77,2543.77,2546.47,2486.91,179662.0,星期三,-0.0093,0.0135
2026-04-30,2535.67,2533.36,2552.54,2505.52,168171.0,星期四,-0.0011,-0.0009
2026-04-29,2479.34,2538.56,2562.69,2478.02,208330.0,星期三,-0.0068,0.0239
2026-04-28,2390.05,2496.22,2504.77,2390.05,196223.0,星期二,-0.0082,0.0444
2026-04-27,2367.97,2409.69,2421.69,2352.43,186177.0,星期一,-0.0118,0.0176
2026-04-24,2391.16,2396.3,2426.14,2383.31,177142.0,星期五,-0.0021,0.0021
2026-04-23,2322.35,2396.17,2407.25,2322.35,177509.0,星期四,-0.0025,0.0318
2026-04-22,2322.56,2328.07,2351.15,2317.89,141230.0,星期三,0.0014,0.0024
2026-04-21,2257.56,2319.25,2326.68,2257.43,155085.0,星期二,-0.002,0.0273
2026-04-20,2267.85,2262.1,2283.72,2238.99,113780.0,星期一,0.0003,-0.0025
2026-04-17,2303.89,2267.22,2304.74,2261.7,114941.0,星期五,0.0026,-0.0159
2026-04-16,2295.13,2297.94,2304.75,2284.74,90817.0,星期四,0.0002,0.0012
2026-04-15,2285.78,2294.62,2303.68,2240.76,113972.0,星期三,-0.0042,0.0039
2026-04-14,2304.45,2295.33,2310.11,2276.69,119058.0,星期二,-0.0063,-0.004
2026-04-13,2321.69,2319.08,2337.76,2297.02,122867.0,星期一,0.0109,-0.0011
2026-04-10,2283.28,2296.66,2314.83,2274.38,95025.0,星期五,-0.0035,0.0059
2026-04-09,2299.63,2291.23,2316.53,2286.78,109667.0,星期四,-0.0038,-0.0037
2026-04-08,2285.48,2308.3,2309.13,2264.55,164117.0,星期三,-0.0297,0.01
2026-04-07,2300.27,2355.54,2357.58,2279.96,129913.0,星期二,0.0033,0.024
2026-04-03,2350.03,2292.77,2350.22,2280.33,150101.0,星期五,-0.0017,-0.0244
2026-04-02,2338.77,2353.97,2378.73,2338.77,157184.0,星期四,0.0019,0.0065
2026-04-01,2328.85,2334.23,2368.51,2300.68,201695.0,星期三,-0.0058,0.0023
2026-03-31,2415.4,2342.55,2443.56,2340.55,268131.0,星期二,-0.0097,-0.0302
2026-03-30,2464.32,2439.12,2492.0,2420.9,208591.0,星期一,0.0059,-0.0102
2026-03-27,2434.61,2449.93,2478.36,2426.31,223947.0,星期五,-0.0105,0.0063
2026-03-26,2429.89,2460.53,2472.59,2418.03,291767.0,星期四,-0.0011,0.0126
2026-03-25,2419.28,2432.45,2443.32,2373.27,292277.0,星期三,-0.021,0.0054
2026-03-24,2446.43,2471.1,2481.25,2434.11,273523.0,星期二,-0.0134,0.0101
2026-03-23,2510.21,2479.76,2555.39,2464.12,350451.0,星期一,0.0198,-0.0121
2026-03-20,2410.38,2461.42,2484.62,2403.92,259269.0,星期五,-0.0176,0.0212
2026-03-19,2452.87,2453.45,2477.02,2430.36,242461.0,星期四,0.0205,0.0002
2026-03-18,2411.1,2403.53,2465.06,2372.28,211710.0,星期三,-0.0039,-0.0031
2026-03-17,2451.42,2420.52,2486.6,2409.43,230983.0,星期二,-0.0083,-0.0126
2026-03-16,2546.87,2471.94,2562.15,2461.73,259169.0,星期一,0.0044,-0.0294
2026-03-13,2574.34,2535.79,2597.97,2528.1,283247.0,星期五,0.0055,-0.015
2026-03-12,2471.11,2560.3,2572.74,2442.15,303125.0,星期四,0.0143,0.0361
2026-03-11,2362.95,2436.33,2442.75,2336.45,226699.0,星期三,-0.0042,0.0311
2026-03-10,2351.74,2372.8,2407.01,2351.74,232137.0,星期二,-0.0415,0.009
2026-03-09,2496.18,2453.68,2540.14,2439.11,342016.0,星期一,0.0493,-0.017
2026-03-06,2383.68,2378.82,2391.86,2337.83,158012.0,星期五,-0.0101,-0.002
2026-03-05,2386.09,2408.04,2429.69,2341.37,215927.0,星期四,-0.012,0.0092
2026-03-04,2411.61,2415.14,2437.1,2334.56,266938.0,星期三,-0.0188,0.0015
2026-03-03,2396.57,2457.74,2513.02,2351.58,394880.0,星期二,0.0046,0.0255
2026-03-02,2371.93,2385.48,2394.99,2325.05,259541.0,星期一,0.0259,0.0057
2026-02-27,2243.62,2312.15,2317.17,2235.99,170054.0,星期五,-0.0004,0.0305
2026-02-26,2262.23,2244.53,2289.85,2235.61,112356.0,星期四,-0.0009,-0.0078
2026-02-25,2261.76,2264.25,2305.06,2252.71,158879.0,星期三,-0.0026,0.0011
2026-02-24,2219.35,2267.67,2278.27,2219.35,153064.0,星期二,0.0097,0.0218
2026-02-13,2224.34,2198.11,2241.61,2197.8,123800.0,星期五,-0.0055,-0.0118
2026-02-12,2225.93,2236.57,2260.7,2210.67,139512.0,星期四,-0.0006,0.0048
2026-02-11,2186.62,2227.29,2237.4,2168.22,151557.0,星期三,-0.0044,0.0186
2026-02-10,2175.36,2196.38,2206.69,2148.93,134050.0,星期二,-0.0007,0.0097
2026-02-09,2163.54,2176.86,2188.72,2163.54,144293.0,星期一,-0.0006,0.0062
2026-02-06,2147.03,2164.85,2181.7,2128.38,173369.0,星期五,-0.0115,0.0083
2026-02-05,2193.17,2171.94,2194.88,2154.78,239736.0,星期四,-0.0133,-0.0097
2026-02-04,2058.07,2222.82,2225.71,2058.07,290630.0,星期三,0.0049,0.0801
2026-02-03,2050.59,2048.06,2068.13,2025.48,122106.0,星期二,0.007,-0.0012
2026-02-02,2128.66,2036.4,2129.92,2036.17,222232.0,星期一,-0.019,-0.0433
2026-01-30,2168.54,2169.89,2233.14,2145.35,261352.0,星期五,0.003,0.0006
2026-01-29,2150.65,2161.99,2185.52,2132.53,223957.0,星期四,0.0017,0.0053
2026-01-28,2063.31,2147.05,2165.79,2056.62,226888.0,星期三,0.0019,0.0406
2026-01-27,2106.73,2059.35,2116.9,2056.4,114443.0,星期二,-0.0028,-0.0225
2026-01-26,2069.23,2112.66,2116.95,2066.04,137816.0,星期一,-0.0015,0.021
2026-01-23,2086.34,2072.37,2086.34,2065.76,107882.0,星期五,-0.0006,-0.0067
2026-01-22,2046.04,2087.59,2093.06,2041.6,131381.0,星期四,0.0004,0.0203
2026-01-21,2066.51,2045.14,2066.51,2036.53,96455.0,星期三,-0.0031,-0.0103
2026-01-20,2049.18,2073.04,2073.92,2036.28,115446.0,星期二,-0.0008,0.0116
2026-01-19,2026.02,2050.84,2054.35,2025.39,100156.0,星期一,0.0008,0.0123
2026-01-16,2052.62,2024.41,2062.63,2015.7,105366.0,星期五,0.002,-0.0137
2026-01-15,2053.48,2048.54,2068.07,2043.65,74716.0,星期四,-0.0031,-0.0024
2026-01-14,2077.87,2059.87,2085.37,2047.22,112057.0,星期三,-0.0003,-0.0087
2026-01-13,2098.76,2078.46,2099.58,2072.66,105793.0,星期二,-0.0002,-0.0097
2026-01-12,2100.57,2099.28,2119.42,2086.64,119902.0,星期一,-0.0016,-0.0006
2026-01-09,2079.87,2103.86,2109.06,2074.59,122873.0,星期五,-0.0076,0.0115
2026-01-08,2105.03,2095.74,2117.72,2077.9,169441.0,星期四,0.0053,-0.0044
2026-01-07,2041.3,2093.96,2094.22,2021.58,214489.0,星期三,0.0113,0.0258
2026-01-06,1984.18,2018.58,2020.71,1979.35,95554.0,星期二,0.0006,0.0173
2026-01-05,1976.8,1983.0,1990.55,1974.84,73128.0,星期一,0.0026,0.0031
2025-12-31,1981.8,1971.71,1988.84,1964.31,54430.0,星期三,-0.0019,-0.0051
2025-12-30,1996.07,1985.67,1996.84,1976.16,61473.0,星期二,-0.0013,-0.0052
2025-12-29,1996.15,1998.71,2018.69,1993.09,76962.0,星期一,0.0016,0.0013
2025-12-26,1980.2,1993.04,2000.41,1979.33,69590.0,星期五,-0.0032,0.0065
2025-12-25,1988.74,1986.48,1990.38,1980.73,49385.0,星期四,-0.0013,-0.0011
2025-12-24,1996.97,1991.27,1996.97,1971.53,61681.0,星期三,-0.0009,-0.0029
2025-12-23,2009.3,1998.67,2015.09,1994.11,51824.0,星期二,-0.0,-0.0053
2025-12-22,2015.43,2009.32,2018.41,1996.35,63336.0,星期一,0.0018,-0.003
2025-12-19,2007.58,2011.86,2017.15,1997.42,64429.0,星期五,-0.0057,0.0021
2025-12-18,1996.67,2019.07,2024.28,1992.5,77221.0,星期四,0.0073,0.0112
2025-12-17,1982.31,1982.15,1989.5,1966.54,64589.0,星期三,-0.0009,-0.0001
2025-12-16,2011.6,1984.1,2011.6,1980.63,78940.0,星期二,-0.0025,-0.0137
2025-12-15,2001.34,2016.69,2032.29,2001.34,83320.0,星期一,-0.0024,0.0077
2025-12-12,2016.34,2006.12,2031.09,2000.31,103846.0,星期五,0.0022,-0.0051
2025-12-11,2031.4,2011.86,2040.55,2009.01,81184.0,星期四,0.0011,-0.0096
2025-12-10,2022.35,2029.17,2033.34,2020.5,68130.0,星期三,-0.0009,0.0034
2025-12-09,2049.95,2024.21,2050.96,2022.62,92206.0,星期二,-0.0018,-0.0126
2025-12-08,2076.41,2053.64,2076.41,2040.04,100258.0,星期一,-0.005,-0.011
2025-12-05,2091.88,2086.85,2092.12,2072.76,77314.0,星期五,-0.0012,-0.0024
2025-12-04,2106.73,2094.41,2108.19,2089.28,99094.0,星期四,-0.0025,-0.0058
2025-12-03,2098.02,2112.02,2131.75,2091.9,125255.0,星期三,-0.0021,0.0067
2025-12-02,2105.02,2102.52,2105.47,2078.11,96501.0,星期二,0.0018,-0.0012
2025-12-01,2088.01,2101.28,2101.91,2087.17,88943.0,星期一,0.0033,0.0064
2025-11-28,2076.26,2081.1,2090.09,2068.64,77529.0,星期五,-0.0026,0.0023
2025-11-27,2067.38,2081.68,2087.45,2058.47,74223.0,星期四,-0.0003,0.0069
2025-11-26,2073.66,2068.05,2089.09,2067.34,81951.0,星期三,-0.0045,-0.0027
2025-11-25,2078.68,2082.97,2087.64,2065.04,83533.0,星期二,0.0042,0.0021
2025-11-24,2098.93,2069.99,2103.88,2056.51,95745.0,星期一,0.0036,-0.0138
2025-11-21,2145.21,2091.49,2147.94,2090.91,132144.0,星期五,-0.0022,-0.025
2025-11-20,2194.43,2149.93,2202.3,2148.95,106840.0,星期四,-0.0036,-0.0203
2025-11-19,2192.44,2202.38,2213.46,2178.49,119758.0,星期三,-0.0036,0.0045
2025-11-18,2268.7,2200.34,2269.2,2196.24,198029.0,星期二,-0.0059,-0.0301
2025-11-17,2242.01,2282.16,2290.56,2227.2,198911.0,星期一,0.0002,0.0179
2025-11-14,2268.29,2241.47,2285.22,2237.09,157992.0,星期五,-0.0005,-0.0118
2025-11-13,2242.53,2269.53,2275.33,2227.25,151119.0,星期四,-0.0009,0.012
2025-11-12,2260.18,2244.59,2273.42,2242.44,140075.0,星期三,-0.0047,-0.0069
2025-11-11,2295.68,2270.81,2295.82,2235.51,187594.0,星期二,-0.0033,-0.0108
2025-11-10,2289.75,2303.31,2326.17,2274.12,177933.0,星期一,-0.0,0.0059
2025-11-07,2289.53,2289.79,2319.74,2276.61,170088.0,星期五,-0.0016,0.0001
2025-11-06,2276.23,2293.21,2312.18,2258.65,209330.0,星期四,0.0004,0.0075
2025-11-05,2225.37,2275.25,2300.87,2222.9,204467.0,星期三,-0.005,0.0224
2025-11-04,2237.13,2236.6,2266.89,2225.54,160091.0,星期二,-0.0012,-0.0002
2025-11-03,2191.48,2239.81,2256.78,2191.41,177055.0,星期一,0.0036,0.0221
2025-10-31,2197.68,2183.67,2204.71,2176.63,137951.0,星期五,-0.0026,-0.0064
2025-10-30,2207.35,2203.49,2234.43,2199.73,201331.0,星期四,-0.005,-0.0017
2025-10-29,2178.29,2218.37,2231.47,2164.98,225349.0,星期三,-0.0036,0.0184
2025-10-28,2192.53,2186.06,2207.34,2172.32,201210.0,星期二,-0.0078,-0.003
2025-10-27,2179.42,2209.67,2239.13,2142.37,227219.0,星期一,-0.0069,0.0139
2025-10-24,2209.51,2194.48,2214.16,2178.23,253164.0,星期五,-0.0109,-0.0068
2025-10-23,2184.0,2233.78,2250.63,2184.0,255647.0,星期四,0.0003,0.0228
2025-10-22,2195.87,2183.45,2217.56,2178.41,186846.0,星期三,-0.0111,-0.0057
2025-10-21,2231.06,2220.45,2231.06,2186.1,280674.0,星期二,-0.0085,-0.0048
2025-10-20,2178.34,2250.15,2250.15,2169.74,289204.0,星期一,0.008,0.033
2025-10-17,2171.65,2160.95,2212.47,2157.04,222926.0,星期五,-0.0035,-0.0049
2025-10-16,2117.47,2179.18,2181.13,2117.47,224268.0,星期四,-0.0004,0.0291
2025-10-15,2116.55,2118.31,2130.91,2098.61,170976.0,星期三,0.001,0.0008
2025-10-14,2064.7,2114.43,2127.31,2061.14,195010.0,星期二,0.0021,0.0241
2025-10-13,2027.21,2060.4,2064.59,2026.61,118998.0,星期一,-0.0198,0.0164
2025-10-10,2027.72,2068.22,2088.1,2015.67,147344.0,星期五,-0.0019,0.02
2025-10-09,1975.47,2031.64,2032.26,1971.19,110290.0,星期四,-0.0003,0.0284
2025-09-30,1975.54,1976.05,1984.22,1962.56,65668.0,星期二,-0.0024,0.0003
2025-09-29,1989.01,1980.35,1989.24,1956.79,94051.0,星期一,-0.0053,-0.0044
2025-09-26,2010.84,1999.55,2023.54,1999.55,83938.0,星期五,0.0004,-0.0056
