time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,10.42,10.23,10.47,10.19,1236481.0,星期五,0.0,-0.0182
2026-06-25,10.47,10.42,10.59,10.41,1083999.0,星期四,-0.0038,-0.0048
2026-06-24,10.68,10.51,10.78,10.51,1125841.0,星期三,-0.0028,-0.0159
2026-06-23,10.65,10.71,10.91,10.63,1190604.0,星期二,0.0,0.0056
2026-06-22,10.52,10.65,10.67,10.42,1265316.0,星期一,0.0,0.0124
2026-06-18,10.74,10.52,10.77,10.52,1426893.0,星期四,-0.0037,-0.0205
2026-06-17,10.97,10.78,10.99,10.75,965828.0,星期三,0.0027,-0.0173
2026-06-16,11.05,10.94,11.12,10.91,942708.0,星期二,-0.0009,-0.01
2026-06-15,11.21,11.06,11.21,10.98,1541305.0,星期一,-0.0027,-0.0134
2026-06-12,11.0,11.24,11.25,10.88,2032355.0,星期五,-0.0265,0.0218
2026-06-11,11.32,11.3,11.39,11.25,1156222.0,星期四,0.0,-0.0018
2026-06-10,11.07,11.32,11.35,11.07,1543176.0,星期三,-0.0054,0.0226
2026-06-09,11.01,11.13,11.19,10.96,1149672.0,星期二,-0.0018,0.0109
2026-06-08,10.97,11.03,11.1,10.96,1090926.0,星期一,-0.0009,0.0055
2026-06-05,10.83,10.98,11.03,10.83,1003503.0,星期五,0.0009,0.0139
2026-06-04,10.91,10.82,10.97,10.77,869270.0,星期四,-0.0073,-0.0082
2026-06-03,11.03,10.99,11.06,10.92,825271.0,星期三,-0.0045,-0.0036
2026-06-02,10.98,11.08,11.1,10.94,885428.0,星期二,-0.0009,0.0091
2026-06-01,10.9,10.99,10.99,10.81,954595.0,星期一,-0.0027,0.0083
2026-05-29,10.65,10.93,10.93,10.62,1399367.0,星期五,-0.0009,0.0263
2026-05-28,10.76,10.66,10.79,10.63,900711.0,星期四,0.0,-0.0093
2026-05-27,10.76,10.76,10.85,10.72,839727.0,星期三,-0.0028,0.0
2026-05-26,10.71,10.79,10.83,10.66,837346.0,星期二,0.0028,0.0075
2026-05-25,10.68,10.68,10.76,10.64,663102.0,星期一,0.0,0.0
2026-05-22,10.7,10.68,10.73,10.65,954132.0,星期五,0.0,-0.0019
2026-05-21,10.78,10.7,10.8,10.69,1110211.0,星期四,0.0009,-0.0074
2026-05-20,10.86,10.77,10.88,10.76,747632.0,星期三,0.0,-0.0083
2026-05-19,10.83,10.86,10.92,10.83,793529.0,星期二,-0.0028,0.0028
2026-05-18,10.96,10.86,10.97,10.82,856381.0,星期一,-0.0027,-0.0091
2026-05-15,11.05,10.99,11.11,10.96,974741.0,星期五,0.0,-0.0054
2026-05-14,11.14,11.05,11.15,11.05,794368.0,星期四,0.0,-0.0081
2026-05-13,11.25,11.14,11.28,11.11,1017973.0,星期三,0.0,-0.0098
2026-05-12,11.28,11.25,11.36,11.21,1029038.0,星期二,0.0,-0.0027
2026-05-11,11.29,11.28,11.31,11.16,931865.0,星期一,-0.0009,-0.0009
2026-05-08,11.34,11.3,11.42,11.3,798819.0,星期五,-0.0026,-0.0035
2026-05-07,11.37,11.37,11.39,11.3,936958.0,星期四,0.0009,0.0
2026-05-06,11.5,11.36,11.5,11.3,1216387.0,星期三,0.0009,-0.0122
2026-04-30,11.5,11.49,11.6,11.46,1139241.0,星期四,-0.0017,-0.0009
2026-04-29,11.43,11.52,11.54,11.39,1378423.0,星期三,-0.0026,0.0079
2026-04-28,11.36,11.46,11.46,11.32,1674258.0,星期二,-0.0018,0.0088
2026-04-27,11.33,11.38,11.57,11.29,3401275.0,星期一,0.03,0.0044
2026-04-24,10.98,11.0,11.03,10.92,582710.0,星期五,-0.0018,0.0018
2026-04-23,10.98,11.0,11.03,10.93,648066.0,星期四,0.0,0.0018
2026-04-22,11.08,10.98,11.09,10.95,839054.0,星期三,0.0,-0.009
2026-04-21,11.04,11.08,11.16,11.03,806946.0,星期二,-0.0018,0.0036
2026-04-20,11.01,11.06,11.07,10.96,630033.0,星期一,0.0,0.0045
2026-04-17,11.09,11.01,11.11,10.99,722530.0,星期五,0.0,-0.0072
2026-04-16,11.2,11.09,11.23,11.07,680914.0,星期四,-0.0009,-0.0098
2026-04-15,11.16,11.21,11.22,11.15,503937.0,星期三,-0.0009,0.0045
2026-04-14,11.07,11.17,11.17,11.07,496151.0,星期二,0.0,0.009
2026-04-13,11.05,11.07,11.09,11.03,406104.0,星期一,-0.0036,0.0018
2026-04-10,11.1,11.09,11.13,11.07,481046.0,星期五,0.0,-0.0009
2026-04-09,11.17,11.1,11.22,11.06,602364.0,星期四,-0.0045,-0.0063
2026-04-08,11.11,11.22,11.22,11.05,812975.0,星期三,0.0073,0.0099
2026-04-07,11.12,11.03,11.14,10.97,607955.0,星期二,0.0,-0.0081
2026-04-03,11.28,11.12,11.28,11.09,757757.0,星期五,0.0009,-0.0142
2026-04-02,11.15,11.27,11.32,11.13,1148895.0,星期四,0.0,0.0108
2026-04-01,11.09,11.15,11.23,11.08,918925.0,星期三,0.0009,0.0054
2026-03-31,11.0,11.08,11.18,10.99,1164565.0,星期二,0.0009,0.0073
2026-03-30,10.98,10.99,11.05,10.94,632522.0,星期一,-0.0036,0.0009
2026-03-27,10.91,11.02,11.05,10.83,884128.0,星期五,-0.0027,0.0101
2026-03-26,10.91,10.94,11.05,10.9,827664.0,星期四,-0.0027,0.0027
2026-03-25,10.89,10.94,10.95,10.79,744779.0,星期三,0.0009,0.0046
2026-03-24,10.52,10.88,10.89,10.52,1622251.0,星期二,0.0067,0.0342
2026-03-23,10.68,10.45,10.68,10.43,1580088.0,星期一,-0.0084,-0.0215
2026-03-20,10.87,10.77,10.94,10.76,834082.0,星期五,-0.0009,-0.0092
2026-03-19,10.92,10.88,10.97,10.86,624211.0,星期四,-0.0036,-0.0037
2026-03-18,11.04,10.96,11.04,10.91,791079.0,星期三,0.0009,-0.0072
2026-03-17,10.91,11.03,11.07,10.9,1076656.0,星期二,-0.0009,0.011
2026-03-16,10.93,10.92,10.97,10.88,715603.0,星期一,0.0,-0.0009
2026-03-13,10.93,10.93,11.0,10.87,841939.0,星期五,-0.0009,0.0
2026-03-12,10.87,10.94,10.96,10.85,754905.0,星期四,-0.0018,0.0064
2026-03-11,10.79,10.89,10.9,10.77,720534.0,星期三,-0.0019,0.0093
2026-03-10,10.77,10.81,10.81,10.73,790111.0,星期二,0.0009,0.0037
2026-03-09,10.79,10.76,10.82,10.74,835892.0,星期一,-0.0028,-0.0028
2026-03-06,10.78,10.82,10.84,10.77,476576.0,星期五,-0.0028,0.0037
2026-03-05,10.72,10.81,10.84,10.7,712641.0,星期四,0.0009,0.0084
2026-03-04,10.84,10.71,10.84,10.67,1089713.0,星期三,-0.0037,-0.012
2026-03-03,10.85,10.88,10.95,10.8,1028694.0,星期二,0.0,0.0028
2026-03-02,10.85,10.85,10.89,10.77,838873.0,星期一,-0.0046,0.0
2026-02-27,10.86,10.9,10.92,10.84,612227.0,星期五,-0.0009,0.0037
2026-02-26,10.86,10.87,10.91,10.8,712730.0,星期四,0.0,0.0009
2026-02-25,10.91,10.86,10.95,10.78,1063134.0,星期三,0.0,-0.0046
2026-02-24,10.93,10.91,10.95,10.88,602512.0,星期二,0.0018,-0.0018
2026-02-13,10.96,10.91,10.99,10.9,555047.0,星期五,0.0,-0.0046
2026-02-12,11.07,10.96,11.08,10.93,681340.0,星期四,0.0,-0.0099
2026-02-11,11.06,11.07,11.09,11.02,431040.0,星期三,0.0,0.0009
2026-02-10,11.07,11.06,11.1,11.02,600430.0,星期二,0.0,-0.0009
2026-02-09,11.05,11.07,11.11,11.01,619716.0,星期一,0.0,0.0018
2026-02-06,11.08,11.05,11.14,10.99,727709.0,星期五,-0.0009,-0.0027
2026-02-05,10.98,11.09,11.11,10.96,1177591.0,星期四,0.0009,0.01
2026-02-04,10.85,10.97,10.98,10.84,695415.0,星期三,0.0009,0.0111
2026-02-03,10.89,10.84,10.9,10.77,806628.0,星期二,0.0028,-0.0046
