time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.96,3.01,3.13,2.93,2084130.0,星期五,0.0034,0.0169
2026-06-25,2.94,2.95,3.0,2.88,1383373.0,星期四,-0.0101,0.0034
2026-06-24,3.09,2.97,3.11,2.96,1532114.0,星期三,0.0,-0.0388
2026-06-23,3.1,3.09,3.19,3.07,1562924.0,星期二,-0.0032,-0.0032
2026-06-22,3.02,3.11,3.12,2.98,1658904.0,星期一,-0.0131,0.0298
2026-06-18,3.12,3.06,3.16,3.05,1615083.0,星期四,0.0097,-0.0192
2026-06-17,3.07,3.09,3.14,3.02,1654197.0,星期三,0.0,0.0065
2026-06-16,3.12,3.07,3.13,3.06,1139539.0,星期二,-0.0032,-0.016
2026-06-15,3.17,3.13,3.21,3.1,1274200.0,星期一,0.0032,-0.0126
2026-06-12,3.14,3.16,3.19,3.1,1414476.0,星期五,0.0064,0.0064
2026-06-11,3.12,3.12,3.19,3.1,1173934.0,星期四,-0.0095,0.0
2026-06-10,3.1,3.15,3.15,3.08,1198192.0,星期三,-0.0064,0.0161
2026-06-09,3.16,3.12,3.16,3.07,1280123.0,星期二,0.0064,-0.0127
2026-06-08,3.2,3.14,3.25,3.12,1524904.0,星期一,-0.0154,-0.0188
2026-06-05,3.25,3.25,3.37,3.23,1644370.0,星期五,0.0125,0.0
2026-06-04,3.26,3.21,3.32,3.17,1816544.0,星期四,-0.0061,-0.0153
2026-06-03,3.37,3.28,3.38,3.26,2114604.0,星期三,-0.0059,-0.0267
2026-06-02,3.47,3.39,3.51,3.35,2567079.0,星期二,0.0,-0.0231
2026-06-01,3.45,3.47,3.5,3.41,3284125.0,星期一,-0.0282,0.0058
2026-05-29,3.33,3.55,3.64,3.33,4514928.0,星期五,0.006,0.0661
2026-05-28,3.31,3.31,3.38,3.27,1208694.0,星期四,-0.006,0.0
2026-05-27,3.38,3.33,3.41,3.26,1446503.0,星期三,-0.0029,-0.0148
2026-05-26,3.46,3.39,3.48,3.36,1264629.0,星期二,-0.0086,-0.0202
2026-05-25,3.46,3.49,3.52,3.43,950100.0,星期一,0.0,0.0087
2026-05-22,3.48,3.46,3.5,3.43,866518.0,星期五,0.0029,-0.0057
2026-05-21,3.61,3.47,3.62,3.47,1317370.0,星期四,0.0028,-0.0388
2026-05-20,3.69,3.6,3.7,3.59,1204426.0,星期三,-0.0054,-0.0244
2026-05-19,3.68,3.71,3.73,3.67,1001108.0,星期二,0.0,0.0082
2026-05-18,3.78,3.68,3.79,3.66,1523378.0,星期一,0.0,-0.0265
2026-05-15,3.87,3.78,3.88,3.76,1204343.0,星期五,0.0,-0.0233
2026-05-14,3.99,3.87,4.03,3.86,1253986.0,星期四,0.0,-0.0301
2026-05-13,4.08,3.99,4.1,3.98,1308767.0,星期三,-0.0049,-0.0221
2026-05-12,4.07,4.1,4.16,4.02,1773139.0,星期二,-0.0049,0.0074
2026-05-11,4.0,4.09,4.14,3.98,1930321.0,星期一,0.0,0.0225
2026-05-08,3.97,4.0,4.03,3.95,1109767.0,星期五,-0.0025,0.0076
2026-05-07,4.0,3.98,4.02,3.96,1134745.0,星期四,-0.0025,-0.005
2026-05-06,3.94,4.01,4.03,3.89,1828286.0,星期三,0.0077,0.0178
2026-04-30,3.87,3.91,3.95,3.83,1659541.0,星期四,0.0,0.0103
2026-04-29,3.76,3.87,3.89,3.76,1452255.0,星期三,0.0027,0.0293
2026-04-28,3.73,3.75,3.81,3.72,915100.0,星期二,0.0,0.0054
2026-04-27,3.76,3.73,3.76,3.7,799302.0,星期一,0.0027,-0.008
2026-04-24,3.8,3.75,3.81,3.74,904443.0,星期五,-0.0026,-0.0132
2026-04-23,3.87,3.81,3.88,3.81,1060384.0,星期四,-0.0026,-0.0155
2026-04-22,3.92,3.88,3.92,3.86,764654.0,星期三,0.0051,-0.0102
2026-04-21,3.92,3.9,3.95,3.89,728868.0,星期二,-0.0025,-0.0051
2026-04-20,3.94,3.93,3.95,3.89,805785.0,星期一,-0.0051,-0.0025
2026-04-17,3.96,3.96,4.02,3.94,984424.0,星期五,0.0,0.0
2026-04-16,3.97,3.96,4.0,3.94,689006.0,星期四,0.0,-0.0025
2026-04-15,4.01,3.97,4.05,3.95,1171299.0,星期三,-0.0025,-0.01
2026-04-14,3.93,4.02,4.04,3.91,1822756.0,星期二,0.0051,0.0229
2026-04-13,3.85,3.91,3.92,3.84,811014.0,星期一,-0.0103,0.0156
2026-04-10,3.87,3.89,3.94,3.87,762622.0,星期五,0.0,0.0052
2026-04-09,3.9,3.87,3.91,3.85,857803.0,星期四,-0.0127,-0.0077
2026-04-08,3.85,3.95,3.98,3.84,1220209.0,星期三,0.0105,0.026
2026-04-07,3.8,3.81,3.82,3.76,732911.0,星期二,-0.0052,0.0026
2026-04-03,3.92,3.82,3.93,3.8,1035420.0,星期五,0.0,-0.0255
2026-04-02,4.01,3.92,4.02,3.91,1231610.0,星期四,-0.0074,-0.0224
2026-04-01,4.04,4.04,4.07,3.99,1068469.0,星期三,0.0125,0.0
2026-03-31,4.02,3.99,4.08,3.98,989657.0,星期二,0.0025,-0.0075
2026-03-30,4.0,4.01,4.03,3.96,948481.0,星期一,-0.0148,0.0025
2026-03-27,4.01,4.06,4.07,3.98,657230.0,星期五,-0.0074,0.0125
2026-03-26,4.1,4.04,4.14,4.03,848258.0,星期四,-0.0049,-0.0146
2026-03-25,4.08,4.12,4.14,4.07,865155.0,星期三,-0.0024,0.0098
2026-03-24,4.09,4.09,4.11,4.02,915312.0,星期二,0.0174,0.0
2026-03-23,4.25,4.02,4.26,4.01,2120648.0,星期一,-0.0207,-0.0541
2026-03-20,4.51,4.34,4.53,4.33,1824086.0,星期五,0.0022,-0.0377
2026-03-19,4.61,4.5,4.63,4.5,1406717.0,星期四,-0.0043,-0.0239
2026-03-18,4.68,4.63,4.69,4.61,1087653.0,星期三,-0.0043,-0.0107
2026-03-17,4.68,4.7,4.76,4.66,1558016.0,星期二,0.0043,0.0043
2026-03-16,4.66,4.66,4.72,4.64,900040.0,星期一,0.0,0.0
2026-03-13,4.65,4.66,4.73,4.64,1161301.0,星期五,0.0,0.0022
2026-03-12,4.66,4.65,4.68,4.63,758631.0,星期四,-0.0021,-0.0021
2026-03-11,4.66,4.67,4.69,4.64,770623.0,星期三,-0.0021,0.0021
2026-03-10,4.66,4.67,4.69,4.65,639556.0,星期二,0.0022,0.0021
2026-03-09,4.65,4.65,4.67,4.62,920222.0,星期一,-0.0148,0.0
2026-03-06,4.67,4.72,4.72,4.65,937904.0,星期五,-0.0043,0.0107
2026-03-05,4.65,4.69,4.73,4.65,960742.0,星期四,0.0065,0.0086
2026-03-04,4.64,4.62,4.68,4.59,1176896.0,星期三,-0.0064,-0.0043
2026-03-03,4.75,4.67,4.78,4.66,1596817.0,星期二,0.0,-0.0168
2026-03-02,4.76,4.75,4.82,4.73,1491507.0,星期一,-0.0165,-0.0021
2026-02-27,4.83,4.84,4.84,4.79,1132767.0,星期五,0.0021,0.0021
2026-02-26,4.99,4.82,5.0,4.81,2787386.0,星期四,-0.002,-0.0341
2026-02-25,4.92,5.0,5.07,4.91,2467309.0,星期三,0.0,0.0163
2026-02-24,4.94,4.92,4.96,4.9,1557018.0,星期二,-0.006,-0.004
2026-02-13,4.95,4.97,4.99,4.88,2245731.0,星期五,0.0061,0.004
2026-02-12,4.93,4.92,5.06,4.92,2948565.0,星期四,0.0082,-0.002
2026-02-11,4.88,4.89,4.91,4.83,1359965.0,星期三,0.0,0.002
2026-02-10,4.97,4.88,4.98,4.87,1619554.0,星期二,0.002,-0.0181
