time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,5.05,4.95,5.1,4.94,345177.0,星期五,0.002,-0.0198
2026-06-25,4.99,5.04,5.13,4.93,314179.0,星期四,-0.006,0.01
2026-06-24,5.05,5.02,5.09,4.93,311860.0,星期三,-0.002,-0.0059
2026-06-23,5.21,5.06,5.24,5.02,466655.0,星期二,-0.0057,-0.0288
2026-06-22,5.03,5.24,5.26,4.99,420321.0,星期一,-0.0079,0.0417
2026-06-18,5.09,5.07,5.12,4.99,278130.0,星期四,-0.002,-0.0039
2026-06-17,5.11,5.1,5.23,5.02,354802.0,星期三,0.0,-0.002
2026-06-16,5.0,5.11,5.18,4.94,408244.0,星期二,0.0,0.022
2026-06-15,5.01,5.0,5.08,4.96,308608.0,星期一,0.002,-0.002
2026-06-12,5.02,5.0,5.08,4.92,352172.0,星期五,0.004,-0.004
2026-06-11,4.99,5.0,5.05,4.92,328419.0,星期四,-0.002,0.002
2026-06-10,5.08,5.0,5.08,4.95,316426.0,星期三,-0.002,-0.0157
2026-06-09,5.21,5.09,5.23,5.01,438733.0,星期二,0.0,-0.023
2026-06-08,5.47,5.21,5.51,5.16,580383.0,星期一,-0.0073,-0.0475
2026-06-05,5.69,5.51,5.71,5.48,426149.0,星期五,0.0,-0.0316
2026-06-04,5.87,5.69,5.93,5.66,308478.0,星期四,-0.0068,-0.0307
2026-06-03,5.8,5.91,5.92,5.75,315066.0,星期三,-0.0017,0.019
2026-06-02,5.88,5.81,5.89,5.71,327096.0,星期二,-0.0034,-0.0119
2026-06-01,5.89,5.9,5.96,5.81,315228.0,星期一,0.0,0.0017
2026-05-29,6.09,5.89,6.12,5.87,320888.0,星期五,0.0,-0.0328
2026-05-28,6.02,6.09,6.14,5.95,331879.0,星期四,-0.0033,0.0116
2026-05-27,6.03,6.04,6.16,5.98,378998.0,星期三,-0.0082,0.0017
2026-05-26,5.93,6.08,6.11,5.81,434444.0,星期二,0.0,0.0253
2026-05-25,5.99,5.93,6.02,5.9,342582.0,星期一,0.0,-0.01
2026-05-22,6.05,5.99,6.08,5.97,323145.0,星期五,0.0033,-0.0099
2026-05-21,6.1,6.03,6.31,6.01,466715.0,星期四,-0.0033,-0.0115
2026-05-20,6.16,6.12,6.22,5.96,498923.0,星期三,-0.0065,-0.0065
2026-05-19,6.17,6.2,6.22,6.07,290105.0,星期二,-0.0032,0.0049
2026-05-18,6.15,6.19,6.26,6.06,316560.0,星期一,-0.0065,0.0065
2026-05-15,6.39,6.19,6.43,6.13,531328.0,星期五,-0.0062,-0.0313
2026-05-14,6.69,6.43,6.69,6.42,584308.0,星期四,-0.0015,-0.0389
2026-05-13,6.5,6.7,6.71,6.48,733025.0,星期三,0.0046,0.0308
2026-05-12,6.51,6.47,6.56,6.37,571659.0,星期二,-0.0046,-0.0061
2026-05-11,6.68,6.54,6.72,6.48,594064.0,星期一,0.0137,-0.021
2026-05-08,6.68,6.59,6.77,6.51,535306.0,星期五,-0.0015,-0.0135
2026-05-07,6.59,6.69,6.77,6.57,458766.0,星期四,0.0,0.0152
2026-05-06,6.53,6.59,6.64,6.49,450671.0,星期三,0.0,0.0092
2026-04-30,6.67,6.53,6.69,6.42,541737.0,星期四,-0.0045,-0.021
2026-04-29,6.75,6.7,6.79,6.67,450921.0,星期三,0.0075,-0.0074
2026-04-28,6.76,6.7,6.77,6.66,308245.0,星期二,-0.0029,-0.0089
2026-04-27,6.85,6.78,6.9,6.71,394228.0,星期一,0.0,-0.0102
2026-04-24,6.97,6.85,6.99,6.8,406989.0,星期五,0.0029,-0.0172
2026-04-23,7.04,6.95,7.18,6.92,436661.0,星期四,0.0028,-0.0128
2026-04-22,6.97,7.02,7.06,6.91,428009.0,星期三,-0.0014,0.0072
2026-04-21,7.16,6.98,7.19,6.93,483535.0,星期二,0.0014,-0.0251
2026-04-20,7.1,7.15,7.35,7.05,940435.0,星期一,0.0,0.007
2026-04-17,6.78,7.1,7.26,6.75,965746.0,星期五,-0.0044,0.0472
2026-04-16,6.78,6.81,6.88,6.72,483269.0,星期四,0.0059,0.0044
2026-04-15,6.69,6.74,6.85,6.64,474767.0,星期三,0.0,0.0075
2026-04-14,6.68,6.69,6.76,6.55,493507.0,星期二,0.0,0.0015
2026-04-13,6.56,6.68,6.86,6.55,578096.0,星期一,-0.0091,0.0183
2026-04-10,6.79,6.62,6.81,6.6,539320.0,星期五,0.018,-0.025
2026-04-09,6.83,6.67,6.83,6.62,586929.0,星期四,-0.013,-0.0234
