time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.45,7.24,7.59,7.24,52739.0,星期五,-0.0093,-0.0282
2026-06-25,7.89,7.52,7.89,7.46,66610.0,星期四,0.0,-0.0469
2026-06-24,8.27,7.89,8.38,7.87,72637.0,星期三,0.0036,-0.0459
2026-06-23,7.91,8.24,8.56,7.91,114085.0,星期二,0.0,0.0417
2026-06-22,7.84,7.91,8.05,7.46,94683.0,星期一,0.0,0.0089
2026-06-18,7.84,7.84,8.06,7.67,69594.0,星期四,-0.0051,0.0
2026-06-17,8.16,7.88,8.2,7.83,71559.0,星期三,-0.0049,-0.0343
2026-06-16,8.04,8.2,8.28,7.93,71998.0,星期二,-0.0135,0.0199
2026-06-15,8.43,8.15,8.56,8.07,107006.0,星期一,-0.0059,-0.0332
2026-06-12,8.9,8.48,9.04,8.47,133639.0,星期五,0.0508,-0.0472
2026-06-10,8.28,8.47,8.56,8.2,41763.0,星期三,0.0036,0.0229
2026-06-09,8.28,8.25,8.43,8.12,34453.0,星期二,0.0036,-0.0036
2026-06-08,8.24,8.25,8.34,8.09,65741.0,星期一,-0.0329,0.0012
2026-06-05,8.81,8.52,8.81,8.52,55017.0,星期五,-0.0178,-0.0329
2026-06-04,9.43,8.97,9.43,8.97,53213.0,星期四,-0.0011,-0.0488
2026-06-03,9.65,9.44,9.66,9.44,33344.0,星期三,0.0021,-0.0218
2026-06-02,9.51,9.63,9.64,9.43,31968.0,星期二,-0.0031,0.0126
2026-06-01,9.47,9.54,9.56,9.32,25490.0,星期一,0.0011,0.0074
2026-05-29,9.67,9.46,9.69,9.45,36474.0,星期五,0.001,-0.0217
2026-05-28,9.45,9.66,9.7,9.45,25746.0,星期四,-0.0053,0.0222
2026-05-27,9.65,9.5,9.75,9.47,37899.0,星期三,-0.0103,-0.0155
2026-05-26,9.65,9.75,9.86,9.53,64225.0,星期二,0.0084,0.0104
2026-05-25,9.5,9.57,9.61,9.43,38342.0,星期一,0.0011,0.0074
2026-05-22,9.25,9.49,9.5,9.06,54879.0,星期五,0.0,0.0259
2026-05-21,9.38,9.25,9.5,9.2,39202.0,星期四,0.0021,-0.0139
2026-05-20,9.18,9.36,9.4,9.03,41719.0,星期三,-0.0043,0.0196
2026-05-19,9.27,9.22,9.34,9.16,24436.0,星期二,0.0,-0.0054
2026-05-18,9.2,9.27,9.37,9.15,23426.0,星期一,-0.0065,0.0076
2026-05-15,9.32,9.26,9.35,9.21,25217.0,星期五,0.0,-0.0064
2026-05-14,9.4,9.32,9.42,9.22,41455.0,星期四,-0.0011,-0.0085
2026-05-13,9.25,9.41,9.43,9.23,51037.0,星期三,-0.0032,0.0173
2026-05-12,9.51,9.28,9.55,9.2,55581.0,星期二,0.0011,-0.0242
2026-05-11,9.45,9.5,9.58,9.38,62181.0,星期一,-0.0011,0.0053
2026-05-08,9.27,9.46,9.59,9.16,93485.0,星期五,-0.0043,0.0205
2026-05-07,9.18,9.31,9.36,9.1,71733.0,星期四,-0.0033,0.0142
2026-05-06,9.2,9.21,9.43,9.1,49544.0,星期三,0.0022,0.0011
2026-04-30,9.47,9.18,9.47,9.14,67174.0,星期四,-0.0021,-0.0306
2026-04-29,9.88,9.49,9.88,9.3,74367.0,星期三,0.0123,-0.0395
2026-04-28,9.62,9.76,9.85,9.47,48895.0,星期二,-0.0164,0.0146
2026-04-27,10.07,9.78,10.28,9.69,35196.0,星期一,0.0172,-0.0288
2026-04-24,9.45,9.9,9.9,9.28,33195.0,星期五,0.0021,0.0476
2026-04-23,9.66,9.43,9.67,9.22,28673.0,星期四,-0.0041,-0.0238
2026-04-22,9.79,9.7,9.84,9.66,17599.0,星期三,-0.001,-0.0092
2026-04-21,9.61,9.8,9.85,9.5,27674.0,星期二,-0.0021,0.0198
2026-04-20,9.84,9.63,9.94,9.6,27452.0,星期一,0.0041,-0.0213
2026-04-17,9.81,9.8,9.9,9.75,25549.0,星期五,-0.0071,-0.001
2026-04-16,10.06,9.88,10.1,9.85,31356.0,星期四,0.0,-0.0179
2026-04-15,10.1,10.06,10.17,10.03,22162.0,星期三,0.003,-0.004
2026-04-14,10.22,10.07,10.22,9.98,22062.0,星期二,0.0119,-0.0147
2026-04-13,9.89,10.1,10.33,9.79,27982.0,星期一,-0.001,0.0212
2026-04-10,10.0,9.9,10.08,9.9,16541.0,星期五,0.0,-0.01
2026-04-09,9.86,10.0,10.01,9.86,15973.0,星期四,-0.01,0.0142
2026-04-08,9.86,9.96,10.01,9.83,20542.0,星期三,0.0061,0.0101
2026-04-07,9.79,9.8,9.9,9.65,21229.0,星期二,0.0,0.001
2026-04-03,10.14,9.79,10.14,9.77,32017.0,星期五,0.001,-0.0345
2026-04-02,10.04,10.13,10.14,9.99,23548.0,星期四,-0.004,0.009
2026-04-01,10.26,10.08,10.26,10.04,22822.0,星期三,0.0199,-0.0175
2026-03-31,10.2,10.06,10.27,10.01,23433.0,星期二,0.0059,-0.0137
2026-03-30,10.01,10.14,10.31,9.97,27110.0,星期一,-0.006,0.013
2026-03-27,9.88,10.07,10.18,9.79,24115.0,星期五,0.0071,0.0192
2026-03-26,9.95,9.81,10.05,9.76,18972.0,星期四,0.003,-0.0141
2026-03-25,10.06,9.92,10.15,9.88,24755.0,星期三,0.0111,-0.0139
2026-03-24,9.75,9.95,10.09,9.75,28585.0,星期二,0.0104,0.0205
