time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.27,3.12,3.28,3.09,375849.0,星期五,-0.003,-0.0459
2026-06-25,3.3,3.28,3.35,3.16,459564.0,星期四,-0.012,-0.0061
2026-06-24,3.3,3.34,3.37,3.25,470971.0,星期三,-0.012,0.0121
2026-06-23,3.16,3.34,3.4,3.14,799015.0,星期二,-0.0063,0.057
2026-06-22,3.11,3.18,3.19,3.03,507506.0,星期一,-0.0032,0.0225
2026-06-18,3.14,3.12,3.15,3.09,288322.0,星期四,0.0,-0.0064
2026-06-17,3.21,3.14,3.22,3.07,455304.0,星期三,0.0,-0.0218
2026-06-16,3.18,3.21,3.24,3.11,368106.0,星期二,0.0,0.0094
2026-06-15,3.16,3.18,3.23,3.14,358762.0,星期一,0.0064,0.0063
2026-06-12,3.17,3.14,3.18,3.1,343259.0,星期五,0.0226,-0.0095
2026-06-11,3.19,3.1,3.26,3.09,458450.0,星期四,-0.0124,-0.0282
2026-06-10,3.16,3.23,3.3,3.07,749351.0,星期三,-0.0063,0.0222
2026-06-09,3.26,3.18,3.28,3.13,608289.0,星期二,0.0093,-0.0245
2026-06-08,3.35,3.23,3.46,3.21,967510.0,星期一,-0.0429,-0.0358
2026-06-05,3.65,3.5,3.78,3.5,1124177.0,星期五,0.0027,-0.0411
2026-06-04,3.93,3.64,3.93,3.64,1773803.0,星期四,0.0,-0.0738
2026-06-03,3.53,3.93,3.93,3.53,1953752.0,星期三,-0.0112,0.1133
2026-06-02,3.5,3.57,3.67,3.45,976551.0,星期二,-0.0251,0.02
2026-06-01,3.41,3.59,3.74,3.41,1177963.0,星期一,-0.0257,0.0528
2026-05-29,3.44,3.5,3.67,3.35,1361331.0,星期五,-0.0337,0.0174
2026-05-28,3.67,3.56,3.88,3.54,1587871.0,星期四,-0.0662,-0.03
2026-05-27,3.8,3.93,4.33,3.68,2247063.0,星期三,-0.0709,0.0342
2026-05-26,4.38,4.09,4.52,4.09,2437063.0,星期二,-0.0352,-0.0662
2026-05-25,3.87,4.54,4.54,3.72,3224133.0,星期一,-0.063,0.1731
2026-05-22,4.07,4.13,4.13,3.97,1712634.0,星期五,0.0853,0.0147
2026-05-21,3.5,3.75,3.75,3.38,1843940.0,星期四,0.0264,0.0714
2026-05-20,3.15,3.41,3.41,3.13,681588.0,星期三,0.0161,0.0825
2026-05-18,3.28,3.1,3.29,3.07,269560.0,星期一,0.0155,-0.0549
2026-05-15,3.11,3.23,3.23,3.11,383656.0,星期五,0.0097,0.0386
2026-05-14,3.06,3.08,3.11,3.06,161624.0,星期四,-0.0033,0.0065
2026-05-13,3.07,3.07,3.1,3.0,172044.0,星期三,0.0033,0.0
2026-05-12,3.07,3.06,3.11,3.04,130865.0,星期二,-0.0032,-0.0033
2026-05-11,3.07,3.08,3.13,3.05,141712.0,星期一,-0.0097,0.0033
2026-05-08,3.02,3.1,3.11,3.02,192921.0,星期五,0.0,0.0265
2026-05-07,2.95,3.02,3.04,2.92,167921.0,星期四,0.0,0.0237
2026-05-06,2.93,2.95,2.95,2.9,89420.0,星期三,0.0069,0.0068
