time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.68,7.44,7.8,7.43,375427.0,星期五,0.0052,-0.0312
2026-06-25,7.76,7.64,7.81,7.6,270854.0,星期四,-0.0064,-0.0155
2026-06-24,8.04,7.81,8.04,7.76,286668.0,星期三,0.0,-0.0286
2026-06-23,8.21,8.04,8.31,7.98,325474.0,星期二,0.0098,-0.0207
2026-06-22,8.0,8.13,8.15,7.87,343365.0,星期一,-0.0111,0.0163
2026-06-18,8.49,8.09,8.51,8.06,507732.0,星期四,-0.007,-0.0471
2026-06-17,8.68,8.55,8.76,8.5,329574.0,星期三,-0.0046,-0.015
2026-06-16,8.6,8.72,8.86,8.43,427247.0,星期二,-0.0012,0.014
2026-06-15,8.65,8.61,8.77,8.59,377352.0,星期一,0.0058,-0.0046
2026-06-12,8.59,8.6,8.74,8.41,355411.0,星期五,0.0059,0.0012
2026-06-11,8.63,8.54,8.73,8.47,269705.0,星期四,-0.0058,-0.0104
2026-06-10,8.99,8.68,8.99,8.57,412816.0,星期三,-0.011,-0.0345
2026-06-09,9.43,9.09,9.43,8.9,483961.0,星期二,0.0129,-0.0361
2026-06-08,9.88,9.31,10.09,9.21,593368.0,星期一,-0.0237,-0.0577
2026-06-05,10.8,10.12,11.25,10.11,702003.0,星期五,-0.0119,-0.063
2026-06-04,10.9,10.93,11.32,10.84,686761.0,星期四,-0.0145,0.0028
2026-06-03,10.77,11.06,11.12,10.63,723379.0,星期三,-0.011,0.0269
2026-06-02,10.8,10.89,11.0,10.4,611899.0,星期二,-0.0092,0.0083
2026-06-01,11.03,10.9,11.17,10.4,689696.0,星期一,0.0046,-0.0118
2026-05-29,10.6,10.98,11.14,10.4,926525.0,星期五,-0.0093,0.0358
2026-05-28,10.15,10.7,10.99,10.03,807189.0,星期四,0.005,0.0542
2026-05-27,9.98,10.1,10.28,9.9,422836.0,星期三,-0.0119,0.012
2026-05-26,10.36,10.1,10.36,9.85,446273.0,星期二,-0.0058,-0.0251
2026-05-25,10.26,10.42,10.53,10.25,352120.0,星期一,0.0,0.0156
2026-05-22,10.2,10.26,10.34,10.03,337581.0,星期五,0.001,0.0059
2026-05-21,10.52,10.19,10.75,10.14,531645.0,星期四,0.001,-0.0314
2026-05-20,11.11,10.51,11.11,10.45,589337.0,星期三,-0.0133,-0.054
2026-05-19,11.14,11.26,11.41,10.86,656669.0,星期二,-0.0036,0.0108
2026-05-18,10.5,11.18,11.31,10.37,775120.0,星期一,-0.0047,0.0648
2026-05-15,10.91,10.55,10.96,10.45,676155.0,星期五,0.0,-0.033
2026-05-14,11.46,10.91,11.72,10.91,996143.0,星期四,0.0044,-0.048
2026-05-13,11.08,11.41,11.72,11.05,1116516.0,星期三,-0.0098,0.0298
2026-05-12,10.87,11.19,11.26,10.66,1044638.0,星期二,0.0018,0.0294
2026-05-11,10.85,10.85,10.98,10.73,573243.0,星期一,0.0121,0.0
2026-05-08,10.7,10.72,11.09,10.61,658518.0,星期五,-0.0129,0.0019
2026-05-07,10.55,10.84,10.93,10.45,727210.0,星期四,0.0057,0.0275
2026-05-06,10.0,10.49,10.55,10.0,767215.0,星期三,0.0111,0.049
2026-04-30,10.25,9.89,10.29,9.86,595995.0,星期四,0.0,-0.0351
2026-04-29,10.33,10.25,10.54,10.18,604898.0,星期三,0.0029,-0.0077
2026-04-28,10.6,10.3,10.65,10.0,911284.0,星期二,-0.0149,-0.0283
2026-04-27,10.9,10.76,11.2,10.6,892582.0,星期一,-0.0073,-0.0128
2026-04-24,11.65,10.98,11.65,10.92,1240180.0,星期五,0.0,-0.0575
2026-04-23,10.89,11.65,11.65,10.85,1415796.0,星期四,0.0283,0.0698
2026-04-22,10.35,10.59,10.72,10.29,715270.0,星期三,-0.0038,0.0232
2026-04-21,10.23,10.39,10.57,9.98,842605.0,星期二,0.0,0.0156
2026-04-20,10.06,10.23,10.27,9.96,443539.0,星期一,-0.001,0.0169
2026-04-17,10.02,10.07,10.18,9.97,307325.0,星期五,-0.005,0.005
