time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,9.09,8.85,9.3,8.84,385043.0,星期五,-0.0055,-0.0264
2026-06-25,9.29,9.14,9.32,9.07,386465.0,星期四,-0.0064,-0.0161
2026-06-24,9.78,9.35,9.78,9.28,450575.0,星期三,-0.002,-0.044
2026-06-23,9.76,9.8,10.04,9.59,417181.0,星期二,-0.0071,0.0041
2026-06-22,9.8,9.83,9.9,9.49,551702.0,星期一,-0.002,0.0031
2026-06-18,10.56,9.82,10.69,9.81,749678.0,星期四,-0.0094,-0.0701
2026-06-17,10.41,10.66,10.98,10.18,630724.0,星期三,-0.0095,0.024
2026-06-16,10.29,10.51,10.83,10.18,650788.0,星期二,0.0049,0.0214
2026-06-15,10.29,10.24,10.44,10.09,551006.0,星期一,0.0019,-0.0049
2026-06-12,10.19,10.27,10.42,9.98,495949.0,星期五,0.0119,0.0079
2026-06-11,10.07,10.07,10.22,9.97,348672.0,星期四,-0.0098,0.0
2026-06-10,10.4,10.17,10.42,9.97,537226.0,星期三,-0.0216,-0.0221
2026-06-09,10.85,10.63,10.88,10.4,555275.0,星期二,0.0093,-0.0203
2026-06-08,11.13,10.75,11.56,10.68,714159.0,星期一,-0.0305,-0.0341
2026-06-05,12.31,11.48,12.99,11.34,988470.0,星期五,-0.0207,-0.0674
2026-06-04,12.0,12.57,12.98,11.96,1217313.0,星期四,-0.0361,0.0475
2026-06-03,11.66,12.45,12.74,11.3,1328642.0,星期三,-0.0119,0.0678
2026-06-02,12.0,11.8,12.06,11.34,889357.0,星期二,-0.0172,-0.0167
2026-06-01,12.6,12.21,12.6,11.71,1243019.0,星期一,0.004,-0.031
2026-05-29,12.11,12.55,13.07,12.1,1687713.0,星期五,0.0008,0.0363
2026-05-28,10.8,12.1,12.1,10.71,1313752.0,星期四,-0.0182,0.1204
2026-05-27,10.38,11.0,11.0,10.31,990029.0,星期三,-0.0095,0.0597
2026-05-26,10.13,10.48,10.67,9.96,772980.0,星期二,-0.0146,0.0346
2026-05-25,10.03,10.28,10.3,9.85,637313.0,星期一,-0.0099,0.0249
2026-05-22,10.13,10.13,10.35,9.95,606164.0,星期五,0.0,0.0
2026-05-21,9.99,10.13,10.57,9.91,905115.0,星期四,-0.0167,0.014
2026-05-20,11.0,10.16,11.15,10.13,1282765.0,星期三,0.011,-0.0764
2026-05-19,9.89,10.88,10.88,9.76,990608.0,星期二,0.0,0.1001
2026-05-18,9.75,9.89,9.97,9.65,355181.0,星期一,0.0021,0.0144
2026-05-15,9.83,9.73,9.92,9.46,565144.0,星期五,-0.0091,-0.0102
2026-05-14,10.28,9.92,10.43,9.91,698000.0,星期四,0.0219,-0.035
2026-05-13,9.99,10.06,10.36,9.92,817918.0,星期三,0.0,0.007
2026-05-12,9.95,9.99,10.14,9.83,584366.0,星期二,-0.002,0.004
2026-05-11,9.92,9.97,10.08,9.84,420935.0,星期一,-0.001,0.005
2026-05-08,9.9,9.93,10.14,9.79,477392.0,星期五,-0.01,0.003
2026-05-07,9.65,10.0,10.04,9.62,636308.0,星期四,0.0,0.0363
2026-05-06,9.65,9.65,9.7,9.49,542798.0,星期三,0.0137,0.0
2026-04-30,9.72,9.52,9.76,9.5,567374.0,星期四,-0.0061,-0.0206
2026-04-29,9.36,9.78,10.1,9.35,838690.0,星期三,0.0196,0.0449
2026-04-28,9.1,9.18,9.21,9.02,212168.0,星期二,-0.0055,0.0088
2026-04-27,9.15,9.15,9.28,9.13,190593.0,星期一,-0.0065,0.0
2026-04-24,9.43,9.21,9.44,9.17,233391.0,星期五,-0.0021,-0.0233
2026-04-23,9.32,9.45,9.46,9.16,289102.0,星期四,-0.0075,0.0139
2026-04-22,9.4,9.39,9.49,9.33,199913.0,星期三,-0.0074,-0.0011
2026-04-21,9.27,9.47,9.49,9.07,311672.0,星期二,-0.0022,0.0216
2026-04-20,9.4,9.29,9.53,9.26,224840.0,星期一,-0.0021,-0.0117
2026-04-17,9.3,9.42,9.47,9.26,195219.0,星期五,0.0,0.0129
2026-04-16,9.24,9.3,9.38,9.15,164628.0,星期四,0.0,0.0065
2026-04-15,9.29,9.24,9.35,9.15,174944.0,星期三,0.0,-0.0054
2026-04-14,9.43,9.29,9.7,9.2,277494.0,星期二,0.0086,-0.0148
2026-04-13,8.97,9.35,9.36,8.96,253826.0,星期一,-0.0077,0.0424
2026-04-10,9.03,9.04,9.12,8.94,182429.0,星期五,0.0089,0.0011
2026-04-09,8.9,8.95,9.01,8.82,194404.0,星期四,-0.0133,0.0056
2026-04-08,8.78,9.02,9.02,8.78,277353.0,星期三,0.0139,0.0273
2026-04-07,8.68,8.66,8.77,8.59,187619.0,星期二,-0.0012,-0.0023
2026-04-03,8.9,8.69,8.95,8.67,260641.0,星期五,-0.0045,-0.0236
2026-04-02,9.2,8.94,9.27,8.84,397475.0,星期四,-0.0022,-0.0283
2026-04-01,9.39,9.22,9.48,9.1,353203.0,星期三,0.0207,-0.0181
2026-03-31,9.55,9.2,9.67,9.17,459895.0,星期二,0.0084,-0.0366
