time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,6.19,6.03,6.28,5.99,532921.0,星期五,-0.0048,-0.0258
2026-06-25,6.25,6.22,6.34,6.08,619301.0,星期四,-0.0032,-0.0048
2026-06-24,6.35,6.27,6.44,6.24,824157.0,星期三,0.0079,-0.0126
2026-06-23,6.5,6.3,6.62,6.28,732088.0,星期二,-0.0046,-0.0308
2026-06-22,6.29,6.53,6.57,6.17,1501694.0,星期一,0.0,0.0382
2026-06-18,6.56,6.29,6.56,6.13,983211.0,星期四,-0.0015,-0.0412
2026-06-17,6.78,6.57,6.82,6.5,576791.0,星期三,0.0,-0.031
2026-06-16,6.96,6.78,6.97,6.76,426802.0,星期二,0.0014,-0.0259
2026-06-15,7.0,6.95,7.21,6.87,563514.0,星期一,0.0,-0.0071
2026-06-12,6.69,7.0,7.16,6.64,602536.0,星期五,0.0,0.0463
2026-06-11,6.69,6.69,6.76,6.56,293420.0,星期四,-0.003,0.0
2026-06-10,6.71,6.71,6.78,6.61,295302.0,星期三,-0.0103,0.0
2026-06-09,6.5,6.78,6.82,6.34,722266.0,星期二,0.0062,0.0431
2026-06-08,6.72,6.46,6.79,6.39,800578.0,星期一,-0.0218,-0.0387
2026-06-05,7.0,6.87,7.09,6.83,447718.0,星期五,0.0,-0.0186
2026-06-04,7.24,7.0,7.29,6.96,415452.0,星期四,-0.0028,-0.0331
2026-06-03,7.25,7.26,7.38,7.13,321408.0,星期三,-0.0014,0.0014
2026-06-02,7.29,7.26,7.31,7.14,326302.0,星期二,0.0041,-0.0041
2026-06-01,7.17,7.26,7.37,7.08,462845.0,星期一,-0.0042,0.0126
2026-05-29,7.22,7.2,7.35,7.13,418670.0,星期五,0.0,-0.0028
2026-05-28,7.36,7.22,7.45,7.18,433499.0,星期四,0.0,-0.019
2026-05-27,7.64,7.36,7.71,7.31,421406.0,星期三,-0.0013,-0.0366
2026-05-26,7.5,7.65,7.72,7.38,405511.0,星期二,-0.0027,0.02
2026-05-25,7.57,7.52,7.71,7.42,283114.0,星期一,0.0093,-0.0066
2026-05-22,7.47,7.5,7.62,7.42,415342.0,星期五,0.0,0.004
2026-05-21,7.62,7.47,7.78,7.46,441131.0,星期四,-0.0013,-0.0197
2026-05-20,7.7,7.63,7.73,7.51,515838.0,星期三,-0.0052,-0.0091
2026-05-19,7.82,7.74,7.9,7.61,336376.0,星期二,0.0,-0.0102
2026-05-18,8.2,7.82,8.28,7.71,609210.0,星期一,-0.0024,-0.0463
2026-05-15,8.37,8.22,8.58,8.21,466615.0,星期五,0.0,-0.0179
2026-05-14,8.5,8.37,8.79,8.31,489122.0,星期四,-0.0012,-0.0153
2026-05-13,8.46,8.51,8.63,8.34,388069.0,星期三,-0.0047,0.0059
2026-05-12,8.58,8.5,8.6,8.38,344097.0,星期二,0.0012,-0.0093
2026-05-11,8.74,8.57,8.98,8.45,574470.0,星期一,0.0092,-0.0195
2026-05-08,8.76,8.66,8.83,8.64,281374.0,星期五,-0.0011,-0.0114
2026-05-07,8.95,8.77,8.98,8.68,423194.0,星期四,0.0,-0.0201
2026-05-06,8.97,8.95,8.99,8.73,547359.0,星期三,0.0011,-0.0022
2026-04-30,9.1,8.96,9.29,8.88,398822.0,星期四,0.0,-0.0154
2026-04-29,8.95,9.1,9.17,8.84,352758.0,星期三,-0.0067,0.0168
2026-04-28,8.95,9.01,9.07,8.86,275371.0,星期二,-0.0033,0.0067
2026-04-27,8.93,8.98,9.04,8.86,315270.0,星期一,-0.0033,0.0056
2026-04-24,8.8,8.96,9.1,8.76,486483.0,星期五,-0.0079,0.0182
2026-04-23,8.8,8.87,9.02,8.59,687677.0,星期四,-0.0034,0.008
2026-04-22,9.03,8.83,9.18,8.8,473461.0,星期三,0.0044,-0.0221
2026-04-21,8.56,8.99,9.1,8.5,889728.0,星期二,0.0288,0.0502
2026-04-20,8.43,8.32,8.51,8.22,636493.0,星期一,-0.0012,-0.013
2026-04-17,8.65,8.44,8.65,8.43,463512.0,星期五,-0.0012,-0.0243
2026-04-16,8.59,8.66,8.75,8.49,424430.0,星期四,0.0012,0.0081
2026-04-15,8.58,8.58,8.64,8.45,250842.0,星期三,0.0023,0.0
2026-04-14,8.88,8.56,8.89,8.46,468656.0,星期二,0.0023,-0.036
2026-04-13,8.79,8.86,8.96,8.61,320042.0,星期一,0.0,0.008
2026-04-10,8.96,8.79,8.99,8.77,258361.0,星期五,0.0113,-0.019
2026-04-09,8.86,8.86,9.03,8.84,242115.0,星期四,-0.0089,0.0
2026-04-08,8.66,8.94,9.04,8.55,652155.0,星期三,0.0,0.0323
2026-04-07,8.4,8.66,8.69,8.4,382669.0,星期二,-0.0012,0.031
2026-04-03,8.27,8.41,8.46,8.18,406053.0,星期五,-0.0012,0.0169
2026-04-02,8.5,8.28,8.51,8.24,326443.0,星期四,0.0,-0.0259
2026-04-01,8.51,8.5,8.64,8.42,217891.0,星期三,0.0119,-0.0012
2026-03-31,8.41,8.41,8.64,8.36,353167.0,星期二,-0.0071,0.0
2026-03-30,8.48,8.47,8.57,8.4,379771.0,星期一,-0.0128,-0.0012
2026-03-27,8.53,8.59,8.76,8.51,296224.0,星期五,-0.0081,0.007
2026-03-26,8.48,8.6,8.83,8.43,423740.0,星期四,-0.0024,0.0142
2026-03-25,8.28,8.5,8.7,8.2,528602.0,星期三,-0.0012,0.0266
2026-03-24,8.08,8.29,8.33,7.81,536154.0,星期二,0.0113,0.026
2026-03-23,8.05,7.99,8.33,7.88,685639.0,星期一,-0.0183,-0.0075
2026-03-20,8.47,8.2,8.56,8.18,543011.0,星期五,-0.0012,-0.0319
2026-03-19,8.86,8.48,8.98,8.38,569494.0,星期四,0.0011,-0.0429
2026-03-18,8.7,8.85,8.9,8.57,479694.0,星期三,0.0023,0.0172
2026-03-17,8.9,8.68,9.16,8.65,620026.0,星期二,-0.0078,-0.0247
2026-03-16,9.36,8.97,9.5,8.91,776625.0,星期一,0.0054,-0.0417
2026-03-13,9.71,9.31,9.82,9.29,534612.0,星期五,0.0,-0.0412
2026-03-12,9.91,9.71,9.97,9.53,686375.0,星期四,-0.005,-0.0202
2026-03-11,9.24,9.96,9.98,9.15,984936.0,星期三,-0.0086,0.0779
2026-03-10,9.35,9.32,9.5,9.23,586475.0,星期二,-0.0209,-0.0032
2026-03-09,9.99,9.55,10.0,9.46,738088.0,星期一,0.0406,-0.044
2026-03-06,9.5,9.6,9.75,9.3,656711.0,星期五,-0.0063,0.0105
2026-03-05,9.25,9.56,9.72,9.24,907276.0,星期四,0.0131,0.0335
2026-03-04,9.12,9.13,9.41,9.1,636661.0,星期三,-0.0162,0.0011
2026-03-03,9.52,9.27,9.78,9.22,855492.0,星期二,-0.0073,-0.0263
2026-03-02,9.41,9.59,9.68,9.15,1017221.0,星期一,0.0043,0.0191
2026-02-27,9.31,9.37,9.5,9.19,645677.0,星期五,-0.0106,0.0064
2026-02-26,9.17,9.41,9.5,9.07,886644.0,星期四,0.0121,0.0262
2026-02-25,8.73,9.06,9.4,8.69,1010653.0,星期三,0.0092,0.0378
2026-02-24,8.38,8.65,8.82,8.35,545423.0,星期二,0.006,0.0322
2026-02-13,8.51,8.33,8.55,8.31,334101.0,星期五,-0.0047,-0.0212
2026-02-12,8.7,8.55,8.81,8.53,353557.0,星期四,-0.0034,-0.0172
2026-02-11,8.59,8.73,8.87,8.44,433726.0,星期三,0.0047,0.0163
2026-02-10,8.6,8.55,8.75,8.42,361297.0,星期二,0.0106,-0.0058
2026-02-09,8.29,8.51,8.59,8.25,597182.0,星期一,0.0073,0.0265
2026-02-06,8.08,8.23,8.4,7.93,496395.0,星期五,-0.0025,0.0186
2026-02-05,8.24,8.1,8.39,8.01,369548.0,星期四,-0.0048,-0.017
2026-02-04,8.29,8.28,8.33,8.05,455627.0,星期三,0.0172,-0.0012
2026-02-03,7.87,8.15,8.24,7.87,778299.0,星期二,0.0208,0.0356
2026-02-02,8.32,7.71,8.38,7.69,1096701.0,星期一,-0.0154,-0.0733
2026-01-30,8.6,8.45,8.82,8.2,571975.0,星期五,-0.0081,-0.0174
2026-01-29,8.84,8.67,8.85,8.55,550986.0,星期四,0.0126,-0.0192
2026-01-28,8.48,8.73,8.84,8.48,602046.0,星期三,-0.0035,0.0295
2026-01-27,8.56,8.51,8.74,8.31,747949.0,星期二,-0.007,-0.0058
2026-01-26,8.7,8.62,8.79,8.51,518664.0,星期一,0.0023,-0.0092
2026-01-23,8.81,8.68,8.89,8.59,496264.0,星期五,0.0034,-0.0148
2026-01-22,8.67,8.78,8.86,8.54,534390.0,星期四,0.0,0.0127
2026-01-21,8.63,8.67,8.75,8.51,761083.0,星期三,0.0047,0.0046
2026-01-20,8.13,8.59,8.69,8.13,1221604.0,星期二,-0.0049,0.0566
2026-01-19,7.71,8.17,8.23,7.66,974173.0,星期一,-0.0039,0.0597
2026-01-16,7.82,7.74,7.89,7.64,489921.0,星期五,0.0051,-0.0102
2026-01-15,7.5,7.78,7.96,7.46,719768.0,星期四,0.0,0.0373
2026-01-14,7.34,7.5,7.58,7.29,719447.0,星期三,0.0014,0.0218
2026-01-13,7.37,7.33,7.48,7.28,485053.0,星期二,0.0,-0.0054
2026-01-12,7.57,7.37,7.6,7.3,645350.0,星期一,0.0026,-0.0264
2026-01-09,7.7,7.55,7.74,7.52,515558.0,星期五,0.0052,-0.0195
2026-01-08,7.81,7.66,7.9,7.63,638293.0,星期四,-0.0064,-0.0192
2026-01-07,7.78,7.86,7.96,7.6,825407.0,星期三,0.017,0.0103
2026-01-06,7.3,7.65,7.79,7.29,849040.0,星期二,0.0,0.0479
2026-01-05,7.4,7.3,7.46,7.08,822409.0,星期一,-0.0054,-0.0135
2025-12-31,7.6,7.44,7.67,7.37,349132.0,星期三,0.008,-0.0211
2025-12-30,7.35,7.54,7.64,7.3,517325.0,星期二,0.0,0.0259
2025-12-29,7.41,7.35,7.48,7.31,312017.0,星期一,0.0,-0.0081
2025-12-26,7.37,7.41,7.5,7.28,504774.0,星期五,0.0027,0.0054
2025-12-25,7.27,7.35,7.43,7.22,397226.0,星期四,-0.0014,0.011
2025-12-24,7.16,7.28,7.34,7.02,407771.0,星期三,0.0,0.0168
2025-12-23,7.36,7.16,7.42,7.12,454120.0,星期二,0.0014,-0.0272
2025-12-22,7.18,7.35,7.42,7.16,499577.0,星期一,0.0056,0.0237
2025-12-19,7.01,7.14,7.19,7.0,295842.0,星期五,0.0,0.0185
2025-12-18,6.88,7.01,7.2,6.87,422971.0,星期四,0.0,0.0189
2025-12-17,6.87,6.88,7.0,6.73,518174.0,星期三,-0.0015,0.0015
2025-12-16,7.06,6.88,7.09,6.78,388096.0,星期二,0.0043,-0.0255
2025-12-15,6.88,7.03,7.3,6.82,523833.0,星期一,0.0058,0.0218
2025-12-12,6.9,6.84,7.01,6.82,272121.0,星期五,0.0015,-0.0087
2025-12-11,6.93,6.89,7.07,6.89,281357.0,星期四,0.0043,-0.0058
2025-12-10,6.94,6.9,7.02,6.8,396941.0,星期三,-0.0014,-0.0058
2025-12-09,7.07,6.95,7.16,6.92,435489.0,星期二,-0.0084,-0.017
2025-12-08,7.34,7.13,7.35,6.99,723131.0,星期一,-0.0014,-0.0286
2025-12-05,7.09,7.35,7.39,7.05,430938.0,星期五,0.0,0.0367
2025-12-04,7.21,7.09,7.27,7.05,333084.0,星期四,0.0014,-0.0166
2025-12-03,7.17,7.2,7.34,7.11,309387.0,星期三,0.0,0.0042
2025-12-02,7.23,7.17,7.24,7.09,255842.0,星期二,0.0014,-0.0083
2025-12-01,7.11,7.22,7.33,7.06,433747.0,星期一,0.0014,0.0155
2025-11-28,7.16,7.1,7.24,7.07,262407.0,星期五,0.0014,-0.0084
2025-11-27,6.9,7.15,7.29,6.9,488154.0,星期四,-0.0014,0.0362
2025-11-26,7.0,6.91,7.08,6.9,326497.0,星期三,0.0014,-0.0129
2025-11-25,7.03,6.99,7.1,6.94,311478.0,星期二,0.0043,-0.0057
2025-11-24,7.14,7.0,7.17,6.93,465765.0,星期一,0.0085,-0.0196
2025-11-21,7.18,7.08,7.32,7.05,555376.0,星期五,-0.0097,-0.0139
2025-11-20,7.52,7.25,7.63,7.22,666299.0,星期四,-0.0013,-0.0359
2025-11-19,7.11,7.53,7.62,7.09,1111422.0,星期三,0.0,0.0591
2025-11-18,7.37,7.11,7.48,7.03,655051.0,星期二,-0.0081,-0.0353
2025-11-17,7.57,7.43,7.62,7.35,526823.0,星期一,0.0134,-0.0185
2025-11-14,7.22,7.47,7.69,7.22,816971.0,星期五,-0.0096,0.0346
2025-11-13,7.16,7.29,7.4,7.16,623529.0,星期四,-0.0083,0.0182
2025-11-12,7.26,7.22,7.38,7.16,485588.0,星期三,0.0041,-0.0055
2025-11-11,7.21,7.23,7.3,7.15,421502.0,星期二,-0.0014,0.0028
2025-11-10,7.11,7.22,7.36,7.09,783686.0,星期一,0.0042,0.0155
2025-11-07,6.67,7.08,7.19,6.62,985051.0,星期五,-0.0015,0.0615
2025-11-06,6.45,6.68,6.71,6.44,435265.0,星期四,0.0,0.0357
2025-11-05,6.39,6.45,6.54,6.35,289418.0,星期三,-0.0093,0.0094
2025-11-04,6.59,6.45,6.62,6.4,351463.0,星期二,-0.0015,-0.0212
2025-11-03,6.75,6.6,6.77,6.53,477856.0,星期一,-0.0015,-0.0222
2025-10-31,6.76,6.76,6.86,6.64,592276.0,星期五,-0.0029,0.0
2025-10-30,6.73,6.78,6.81,6.67,635597.0,星期四,-0.0088,0.0074
2025-10-29,6.49,6.79,6.82,6.43,897497.0,星期三,-0.0015,0.0462
2025-10-28,6.27,6.5,6.62,6.24,1299927.0,星期二,0.0113,0.0367
2025-10-27,6.18,6.2,6.3,6.14,518778.0,星期一,0.0049,0.0032
2025-10-24,6.26,6.15,6.26,6.11,338139.0,星期五,0.0,-0.0176
2025-10-23,6.17,6.26,6.27,6.05,467192.0,星期四,0.0016,0.0146
2025-10-22,6.16,6.16,6.24,6.09,256296.0,星期三,0.0,0.0
2025-10-21,6.1,6.16,6.18,6.07,269847.0,星期二,-0.0016,0.0098
2025-10-20,6.11,6.11,6.24,6.03,453061.0,星期一,0.0033,0.0
2025-10-17,6.12,6.09,6.28,6.09,550134.0,星期五,-0.0016,-0.0049
2025-10-16,6.12,6.13,6.2,6.06,409924.0,星期四,0.0016,0.0016
2025-10-15,6.13,6.11,6.22,6.03,478172.0,星期三,0.0099,-0.0033
2025-10-14,6.31,6.07,6.37,6.03,576179.0,星期二,0.0,-0.038
2025-10-13,6.3,6.31,6.36,6.2,486148.0,星期一,-0.0187,0.0016
2025-10-10,6.36,6.42,6.5,6.34,446897.0,星期五,-0.0078,0.0094
2025-10-09,6.39,6.41,6.45,6.22,524862.0,星期四,0.0063,0.0031
2025-09-30,6.29,6.35,6.39,6.19,517184.0,星期二,0.0016,0.0095
2025-09-29,6.25,6.28,6.32,6.08,485874.0,星期一,0.0,0.0048
