time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,13.01,12.36,13.19,12.36,105220.0,星期五,0.0054,-0.05
2026-06-25,13.28,12.94,13.37,12.8,104073.0,星期四,-0.0097,-0.0256
2026-06-24,14.09,13.41,14.15,13.2,131697.0,星期三,0.0079,-0.0483
2026-06-23,14.35,13.98,14.74,13.84,173544.0,星期二,0.0177,-0.0258
2026-06-22,14.1,14.1,14.28,13.35,176802.0,星期一,-0.0049,0.0
2026-06-18,14.32,14.17,14.63,13.43,261781.0,星期四,-0.0104,-0.0105
2026-06-17,13.03,14.47,14.47,12.81,261285.0,星期三,-0.0091,0.1105
2026-06-16,13.04,13.15,13.35,12.92,107797.0,星期二,0.0046,0.0084
2026-06-15,13.0,12.98,13.48,12.77,109186.0,星期一,0.0015,-0.0015
2026-06-12,12.76,12.98,13.26,12.42,93053.0,星期五,0.0063,0.0172
2026-06-11,12.82,12.68,12.92,12.47,71488.0,星期四,-0.0093,-0.0109
2026-06-10,13.09,12.94,13.2,12.64,72988.0,星期三,-0.0136,-0.0115
2026-06-09,13.38,13.27,13.38,12.86,68446.0,星期二,0.019,-0.0082
2026-06-08,13.7,13.13,13.7,12.7,137959.0,星期一,-0.0221,-0.0416
2026-06-05,13.9,14.01,14.18,13.27,143639.0,星期五,-0.0043,0.0079
2026-06-04,14.33,13.96,14.61,13.84,141925.0,星期四,-0.0144,-0.0258
2026-06-03,14.69,14.54,14.77,14.26,119242.0,星期三,-0.0061,-0.0102
2026-06-02,15.38,14.78,15.56,14.6,152309.0,星期二,0.0079,-0.039
2026-06-01,14.88,15.26,16.19,14.85,222293.0,星期一,-0.0172,0.0255
2026-05-29,15.21,15.14,15.59,14.74,183454.0,星期五,-0.0098,-0.0046
2026-05-28,15.7,15.36,16.1,14.96,196647.0,星期四,-0.0101,-0.0217
2026-05-27,15.8,15.86,16.58,15.68,243932.0,星期三,-0.0032,0.0038
2026-05-26,16.19,15.85,16.45,15.54,208214.0,星期二,-0.0104,-0.021
2026-05-25,15.95,16.36,16.5,15.75,270383.0,星期一,-0.0105,0.0257
2026-05-22,15.21,16.12,16.8,15.21,430965.0,星期五,-0.0104,0.0598
2026-05-21,16.14,15.37,16.34,15.34,366670.0,星期四,-0.0031,-0.0477
2026-05-20,14.68,16.19,16.19,14.58,213184.0,星期三,-0.0027,0.1029
2026-05-19,14.86,14.72,15.52,14.43,187059.0,星期二,0.0088,-0.0094
2026-05-18,15.51,14.73,15.84,14.73,289489.0,星期一,0.0013,-0.0503
2026-05-15,14.5,15.49,15.86,14.43,311998.0,星期五,0.0055,0.0683
2026-05-14,14.7,14.42,14.94,14.4,73253.0,星期四,0.0,-0.019
2026-05-13,14.56,14.7,14.97,14.38,102861.0,星期三,0.0007,0.0096
2026-05-12,14.98,14.55,15.03,14.42,99510.0,星期二,-0.0047,-0.0287
2026-05-11,15.02,15.05,15.31,14.83,101369.0,星期一,-0.0033,0.002
2026-05-08,15.3,15.07,15.79,15.05,115291.0,星期五,-0.0046,-0.015
2026-05-07,15.78,15.37,15.88,15.29,112086.0,星期四,-0.0069,-0.026
2026-05-06,15.51,15.89,15.92,15.3,144104.0,星期三,0.0006,0.0245
2026-04-30,15.71,15.5,15.96,15.33,122885.0,星期四,0.0032,-0.0134
2026-04-29,15.01,15.66,15.81,14.76,163583.0,星期三,-0.0033,0.0433
2026-04-28,14.88,15.06,15.41,14.85,108185.0,星期二,-0.0047,0.0121
2026-04-27,14.49,14.95,15.18,14.49,91339.0,星期一,-0.0123,0.0317
2026-04-24,14.48,14.67,14.89,14.3,97915.0,星期五,-0.0062,0.0131
2026-04-23,14.82,14.57,14.85,14.4,120633.0,星期四,0.0,-0.0169
2026-04-22,15.08,14.82,15.34,14.65,125973.0,星期三,0.0007,-0.0172
2026-04-21,15.17,15.07,15.21,14.69,136161.0,星期二,-0.0065,-0.0066
2026-04-20,15.08,15.27,15.35,14.9,126771.0,星期一,0.006,0.0126
2026-04-17,14.73,14.99,15.31,14.72,173116.0,星期五,-0.0054,0.0177
2026-04-16,14.8,14.81,14.99,14.41,164215.0,星期四,0.0007,0.0007
2026-04-15,14.67,14.79,14.97,14.48,228302.0,星期三,0.0195,0.0082
2026-04-14,14.2,14.39,14.39,13.79,210504.0,星期二,0.0172,0.0134
2026-04-13,13.31,13.96,14.1,13.31,195515.0,星期一,-0.0104,0.0488
2026-04-10,13.25,13.45,13.62,13.07,187930.0,星期五,0.0122,0.0151
2026-04-09,13.21,13.09,13.32,12.75,174114.0,星期四,0.0154,-0.0091
2026-04-08,12.9,13.01,13.08,12.65,255239.0,星期三,0.0,0.0085
2026-04-07,11.72,12.9,12.9,11.71,291028.0,星期二,-0.0009,0.1007
2026-04-03,12.87,11.73,12.87,11.61,264988.0,星期五,0.0,-0.0886
2026-04-02,13.0,12.87,13.87,12.76,294016.0,星期四,-0.0008,-0.01
2026-04-01,13.71,13.01,13.76,12.74,277347.0,星期三,0.0332,-0.0511
2026-03-31,13.98,13.27,14.02,13.27,210091.0,星期二,0.0,-0.0508
2026-03-30,14.54,13.98,14.8,13.87,343205.0,星期一,0.0175,-0.0385
2026-03-27,12.93,14.29,14.29,12.85,298876.0,星期五,-0.0046,0.1052
2026-03-26,12.77,12.99,13.43,12.7,183899.0,星期四,-0.0093,0.0172
2026-03-25,13.2,12.89,13.26,12.79,169947.0,星期三,-0.0008,-0.0235
2026-03-24,12.9,13.21,13.21,12.4,138784.0,星期二,0.0149,0.024
2026-03-23,12.91,12.71,13.54,12.54,176738.0,星期一,-0.013,-0.0155
2026-03-20,13.39,13.08,13.74,13.04,147267.0,星期五,-0.0015,-0.0232
2026-03-19,13.91,13.41,14.02,13.34,119706.0,星期四,-0.0029,-0.0359
2026-03-18,14.35,13.95,14.5,13.77,180519.0,星期三,0.0028,-0.0279
2026-03-17,15.28,14.31,15.36,14.3,246433.0,星期二,-0.0013,-0.0635
2026-03-16,15.1,15.3,15.5,14.7,405088.0,星期一,0.0464,0.0132
2026-03-13,13.85,14.43,15.15,13.83,392762.0,星期五,0.0,0.0419
2026-03-12,13.67,13.85,13.88,13.4,183523.0,星期四,0.0051,0.0132
2026-03-11,13.62,13.6,13.83,13.51,138805.0,星期三,0.0,-0.0015
2026-03-10,13.6,13.62,13.89,13.39,151047.0,星期二,0.0059,0.0015
2026-03-09,13.35,13.52,13.66,13.1,160246.0,星期一,0.0038,0.0127
2026-03-06,12.91,13.3,13.45,12.89,115508.0,星期五,-0.0062,0.0302
2026-03-05,12.77,12.99,13.14,12.77,116328.0,星期四,0.02,0.0172
2026-03-04,12.55,12.52,12.73,12.36,84602.0,星期三,-0.0048,-0.0024
2026-03-03,13.05,12.61,13.19,12.6,110548.0,星期二,0.0069,-0.0337
2026-03-02,13.19,12.96,13.33,12.95,100079.0,星期一,-0.0098,-0.0174
2026-02-27,13.07,13.32,13.35,12.95,120233.0,星期五,-0.0015,0.0191
2026-02-26,13.34,13.09,13.38,12.91,112495.0,星期四,0.0053,-0.0187
2026-02-25,12.87,13.27,13.29,12.82,131509.0,星期三,0.0,0.0311
2026-02-24,12.77,12.87,12.94,12.69,72784.0,星期二,0.0047,0.0078
2026-02-13,12.46,12.71,12.79,12.46,69562.0,星期五,-0.0032,0.0201
2026-02-12,12.83,12.5,12.83,12.47,61364.0,星期四,0.0063,-0.0257
2026-02-11,12.7,12.75,12.8,12.56,54887.0,星期三,0.0016,0.0039
2026-02-10,12.78,12.68,12.85,12.67,57776.0,星期二,-0.0039,-0.0078
2026-02-09,12.8,12.83,12.96,12.69,102168.0,星期一,0.0016,0.0023
2026-02-06,12.4,12.78,12.88,12.31,114915.0,星期五,-0.008,0.0306
2026-02-05,12.47,12.5,12.7,12.38,76600.0,星期四,-0.0016,0.0024
2026-02-04,12.17,12.49,12.55,12.06,104136.0,星期三,0.0016,0.0263
