time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.76,1.72,1.78,1.71,316180.0,星期五,-0.0056,-0.0227
2026-06-25,1.79,1.77,1.8,1.75,299604.0,星期四,-0.0056,-0.0112
2026-06-24,1.86,1.8,1.87,1.79,303358.0,星期三,-0.0053,-0.0323
2026-06-23,1.83,1.87,1.89,1.83,329987.0,星期二,-0.0054,0.0219
2026-06-22,1.84,1.84,1.85,1.78,365853.0,星期一,-0.0054,0.0
2026-06-18,1.87,1.85,1.88,1.83,257714.0,星期四,-0.0053,-0.0107
2026-06-17,1.93,1.88,1.94,1.87,488786.0,星期三,-0.0052,-0.0259
2026-06-16,1.99,1.94,1.99,1.93,569359.0,星期二,0.0,-0.0251
2026-06-15,1.99,1.99,2.06,1.98,524261.0,星期一,-0.005,0.0
2026-06-12,2.0,2.0,2.03,1.96,681482.0,星期五,0.005,0.0
2026-06-11,2.04,1.99,2.16,1.99,908437.0,星期四,-0.0049,-0.0245
2026-06-10,2.13,2.05,2.13,2.03,986517.0,星期三,-0.0139,-0.0376
2026-06-09,2.23,2.16,2.37,2.06,1615508.0,星期二,0.0372,-0.0314
2026-06-08,2.24,2.15,2.3,2.12,1900184.0,星期一,-0.0261,-0.0402
2026-06-05,2.38,2.3,2.45,2.29,2161413.0,星期五,0.0673,-0.0336
2026-06-04,2.02,2.23,2.23,2.02,582074.0,星期四,-0.0049,0.104
2026-06-03,2.08,2.03,2.08,1.98,383714.0,星期三,0.0048,-0.024
2026-06-02,2.07,2.07,2.11,2.05,355061.0,星期二,0.0,0.0
2026-06-01,1.99,2.07,2.08,1.96,510447.0,星期一,-0.01,0.0402
2026-05-29,1.98,2.01,2.06,1.97,409603.0,星期五,0.0,0.0152
2026-05-28,1.93,1.98,1.98,1.93,221639.0,星期四,-0.0052,0.0259
2026-05-27,1.99,1.94,2.01,1.91,270724.0,星期三,-0.005,-0.0251
2026-05-26,2.01,2.0,2.04,1.97,279549.0,星期二,-0.005,-0.005
2026-05-25,1.97,2.02,2.03,1.96,238562.0,星期一,0.0,0.0254
2026-05-22,1.96,1.97,1.99,1.95,170483.0,星期五,0.0,0.0051
2026-05-21,2.01,1.96,2.03,1.96,300693.0,星期四,0.0,-0.0249
2026-05-20,2.05,2.01,2.06,2.0,219199.0,星期三,-0.0049,-0.0195
2026-05-19,2.04,2.06,2.06,2.03,214608.0,星期二,0.0,0.0098
2026-05-18,2.01,2.04,2.05,1.98,357729.0,星期一,0.0,0.0149
2026-05-15,2.06,2.01,2.07,2.0,435603.0,星期五,0.0,-0.0243
2026-05-14,2.15,2.06,2.15,2.06,351510.0,星期四,0.0047,-0.0419
2026-05-13,2.15,2.14,2.17,2.13,306793.0,星期三,0.0,-0.0047
2026-05-12,2.18,2.15,2.18,2.14,404143.0,星期二,0.0046,-0.0138
2026-05-11,2.16,2.17,2.19,2.15,430144.0,星期一,0.0,0.0046
2026-05-08,2.15,2.16,2.18,2.14,354019.0,星期五,0.0,0.0047
2026-05-07,2.18,2.15,2.18,2.13,350980.0,星期四,0.0046,-0.0138
2026-05-06,2.19,2.17,2.2,2.14,405390.0,星期三,0.0,-0.0091
2026-04-30,2.15,2.19,2.2,2.13,516596.0,星期四,0.0,0.0186
2026-04-29,2.08,2.15,2.17,2.07,466824.0,星期三,-0.0048,0.0337
2026-04-28,2.09,2.09,2.11,2.07,251286.0,星期二,0.0,0.0
2026-04-27,2.06,2.09,2.09,2.02,267606.0,星期一,-0.0048,0.0146
2026-04-24,2.07,2.07,2.09,2.05,214546.0,星期五,-0.0048,0.0
2026-04-23,2.1,2.08,2.11,2.06,255499.0,星期四,0.0,-0.0095
2026-04-22,2.1,2.1,2.11,2.09,150077.0,星期三,-0.0047,0.0
2026-04-21,2.12,2.11,2.13,2.09,214264.0,星期二,0.0,-0.0047
2026-04-20,2.12,2.12,2.13,2.09,244838.0,星期一,-0.0047,0.0
2026-04-17,2.15,2.13,2.18,2.12,422287.0,星期五,0.0047,-0.0093
2026-04-16,2.13,2.14,2.15,2.11,225865.0,星期四,0.0,0.0047
2026-04-15,2.18,2.13,2.19,2.12,408328.0,星期三,0.0,-0.0229
2026-04-14,2.15,2.18,2.18,2.13,428002.0,星期二,0.0047,0.014
2026-04-13,2.1,2.14,2.14,2.09,333464.0,星期一,0.0,0.019
2026-04-10,2.11,2.1,2.15,2.1,301158.0,星期五,0.0048,-0.0047
2026-04-09,2.1,2.1,2.11,2.08,294640.0,星期四,-0.0047,0.0
2026-04-08,2.08,2.11,2.11,2.07,322796.0,星期三,0.0146,0.0144
2026-04-07,2.0,2.05,2.06,1.99,251319.0,星期二,0.0,0.025
2026-04-03,2.06,2.0,2.07,1.99,314709.0,星期五,0.0,-0.0291
2026-04-02,2.1,2.06,2.11,2.04,329772.0,星期四,-0.0047,-0.019
2026-04-01,2.14,2.11,2.16,2.09,353790.0,星期三,0.0142,-0.014
2026-03-31,2.14,2.11,2.18,2.1,315035.0,星期二,0.0047,-0.014
2026-03-30,2.11,2.13,2.14,2.08,242415.0,星期一,-0.014,0.0095
2026-03-27,2.09,2.14,2.14,2.08,242861.0,星期五,-0.0142,0.0239
2026-03-26,2.13,2.12,2.18,2.1,279306.0,星期四,-0.0047,-0.0047
2026-03-25,2.08,2.14,2.14,2.06,310430.0,星期三,0.0048,0.0288
2026-03-24,2.03,2.07,2.07,2.0,281977.0,星期二,0.015,0.0197
2026-03-23,2.12,2.0,2.12,1.99,520708.0,星期一,-0.0093,-0.0566
2026-03-20,2.18,2.14,2.2,2.14,401731.0,星期五,0.0,-0.0183
2026-03-19,2.23,2.18,2.24,2.18,352737.0,星期四,-0.0045,-0.0224
2026-03-18,2.29,2.24,2.3,2.22,443419.0,星期三,0.0,-0.0218
2026-03-17,2.29,2.29,2.35,2.28,568803.0,星期二,0.0,0.0
2026-03-16,2.27,2.29,2.31,2.27,285853.0,星期一,0.0,0.0088
