time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.5,7.79,8.24,7.36,45251768.0,星期五,-0.0027,0.0387
2026-06-25,7.33,7.52,7.67,7.14,36963548.0,星期四,0.0368,0.0259
2026-06-24,6.7,7.07,7.15,6.57,35877144.0,星期三,-0.0103,0.0552
2026-06-23,6.85,6.77,7.07,6.61,29140578.0,星期二,-0.0115,-0.0117
2026-06-22,6.8,6.93,7.18,6.68,36729052.0,星期一,0.0382,0.0191
2026-06-18,6.86,6.55,6.93,6.49,40032428.0,星期四,0.0224,-0.0452
2026-06-17,6.06,6.71,6.71,6.05,18550206.0,星期三,-0.0066,0.1073
2026-06-16,5.93,6.1,6.23,5.86,26028372.0,星期二,0.0017,0.0287
2026-06-15,5.74,5.92,6.01,5.73,29928308.0,星期一,0.0305,0.0314
2026-06-12,5.95,5.57,6.01,5.56,29146434.0,星期五,0.0206,-0.0639
2026-06-11,6.0,5.83,6.12,5.7,32996828.0,星期四,-0.005,-0.0283
2026-06-10,6.34,6.03,6.38,5.94,32284806.0,星期三,-0.0276,-0.0489
2026-06-09,6.49,6.52,6.64,6.14,40031648.0,星期二,0.0318,0.0046
2026-06-08,6.48,6.29,6.74,6.22,45998760.0,星期一,0.0078,-0.0293
2026-06-05,6.11,6.43,6.77,6.01,55041156.0,星期五,-0.0065,0.0524
2026-06-04,5.69,6.15,6.15,5.69,33229988.0,星期四,0.0179,0.0808
2026-06-03,5.58,5.59,5.92,5.53,36797584.0,星期三,0.0201,0.0018
2026-06-02,5.31,5.47,5.54,5.11,30258456.0,星期二,-0.0093,0.0301
2026-06-01,5.12,5.36,5.59,5.12,33868876.0,星期一,0.002,0.0469
2026-05-29,5.63,5.11,5.64,5.11,36253860.0,星期五,-0.0088,-0.0924
2026-05-28,5.72,5.68,5.78,5.51,32854868.0,星期四,0.0,-0.007
2026-05-27,5.8,5.72,6.09,5.53,50185216.0,星期三,0.0052,-0.0138
2026-05-26,5.22,5.77,5.8,5.18,51377248.0,星期二,-0.0095,0.1054
2026-05-25,5.17,5.27,5.37,5.06,43088756.0,星期一,0.0019,0.0193
2026-05-22,4.7,5.16,5.16,4.47,60110592.0,星期五,0.0021,0.0979
2026-05-21,4.69,4.69,4.69,4.69,10360100.0,星期四,0.1009,0.0
2026-05-20,4.29,4.26,4.31,4.24,5717787.0,星期三,-0.0046,-0.007
2026-05-19,4.2,4.31,4.32,4.17,8801052.0,星期二,-0.0024,0.0262
2026-05-18,4.12,4.21,4.23,4.08,8399587.0,星期一,-0.0048,0.0218
