time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,23.02,22.35,23.52,22.22,1271464.0,星期五,-0.0052,-0.0291
2026-06-25,22.55,23.14,23.62,22.25,1898342.0,星期四,-0.0049,0.0262
2026-06-24,23.17,22.66,23.67,22.42,1977817.0,星期三,-0.0064,-0.022
2026-06-23,23.5,23.32,24.12,23.15,2981826.0,星期二,0.0352,-0.0077
2026-06-22,20.76,22.7,22.7,20.56,1948458.0,星期一,0.0058,0.0934
2026-06-18,21.31,20.64,21.59,20.6,1040994.0,星期四,-0.0051,-0.0314
2026-06-17,21.49,21.42,21.7,21.25,711953.0,星期三,-0.0005,-0.0033
2026-06-16,20.81,21.5,21.55,20.68,1159187.0,星期二,-0.001,0.0332
2026-06-15,20.1,20.83,21.5,20.1,1365126.0,星期一,0.001,0.0363
2026-06-12,19.15,20.08,20.27,19.09,1253573.0,星期五,0.0,0.0486
2026-06-11,19.0,19.15,19.56,18.81,692817.0,星期四,-0.0031,0.0079
2026-06-10,18.57,19.06,19.17,18.51,720209.0,星期三,-0.0054,0.0264
2026-06-09,18.78,18.67,18.84,18.47,375697.0,星期二,0.007,-0.0059
2026-06-08,18.5,18.65,19.05,18.5,682672.0,星期一,-0.0165,0.0081
2026-06-05,19.17,18.81,19.59,18.75,789892.0,星期五,0.001,-0.0188
2026-06-04,19.21,19.15,19.54,18.93,564760.0,星期四,-0.0036,-0.0031
2026-06-03,18.99,19.28,19.43,18.76,821457.0,星期三,0.0,0.0153
2026-06-02,18.93,18.99,19.19,18.66,687815.0,星期二,-0.0037,0.0032
2026-06-01,18.9,19.0,19.38,18.68,769428.0,星期一,0.0005,0.0053
2026-05-29,18.59,18.89,19.26,18.54,875926.0,星期五,0.0022,0.0161
2026-05-28,18.88,18.55,18.93,18.38,468688.0,星期四,0.0005,-0.0175
2026-05-27,19.0,18.87,19.39,18.6,578685.0,星期三,-0.0078,-0.0068
2026-05-26,18.86,19.15,19.63,18.81,789559.0,星期二,-0.0074,0.0154
2026-05-25,19.15,19.0,19.23,18.82,417385.0,星期一,0.0052,-0.0078
2026-05-22,19.65,19.05,19.66,18.91,530072.0,星期五,0.0171,-0.0305
2026-05-21,19.6,19.32,20.3,19.32,847655.0,星期四,0.0087,-0.0143
2026-05-20,19.56,19.43,19.63,19.21,315173.0,星期三,0.0026,-0.0066
2026-05-19,19.64,19.51,19.73,19.0,698644.0,星期二,-0.0015,-0.0066
