time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.75,7.66,7.78,7.6,94681.0,星期五,-0.0026,-0.0116
2026-06-25,7.77,7.77,7.94,7.64,111755.0,星期四,-0.0013,0.0
2026-06-24,7.74,7.78,7.85,7.59,75652.0,星期三,-0.0051,0.0052
2026-06-23,7.67,7.78,7.9,7.65,70711.0,星期二,-0.009,0.0143
2026-06-22,7.66,7.74,7.75,7.37,76433.0,星期一,-0.0065,0.0104
2026-06-18,7.72,7.71,7.83,7.65,60784.0,星期四,-0.0039,-0.0013
2026-06-17,7.69,7.75,7.79,7.57,85930.0,星期三,-0.0052,0.0078
2026-06-16,7.7,7.73,7.74,7.39,85662.0,星期二,0.0013,0.0039
2026-06-15,7.77,7.69,7.82,7.61,83405.0,星期一,0.0104,-0.0103
2026-06-12,7.66,7.69,7.94,7.64,94493.0,星期五,0.0026,0.0039
2026-06-11,7.55,7.64,7.77,7.45,96350.0,星期四,-0.0066,0.0119
2026-06-10,7.54,7.6,7.68,7.5,79378.0,星期三,-0.0013,0.008
2026-06-09,7.51,7.55,7.59,7.42,57044.0,星期二,-0.0013,0.0053
2026-06-08,7.43,7.52,7.6,7.3,73996.0,星期一,-0.012,0.0121
2026-06-05,7.49,7.52,7.67,7.45,61479.0,星期五,-0.0053,0.004
2026-06-04,7.4,7.53,7.55,7.3,74803.0,星期四,-0.0027,0.0176
2026-06-03,7.45,7.42,7.47,7.32,56309.0,星期三,0.0,-0.004
2026-06-02,7.68,7.45,7.72,7.39,56996.0,星期二,0.0,-0.0299
2026-06-01,7.36,7.68,7.71,7.28,90817.0,星期一,0.0,0.0435
2026-05-29,7.36,7.36,7.43,7.31,67063.0,星期五,0.0027,0.0
2026-05-28,7.3,7.34,7.4,7.19,50131.0,星期四,0.0,0.0055
2026-05-27,7.51,7.3,7.53,7.18,82595.0,星期三,-0.0013,-0.028
2026-05-26,7.71,7.52,7.71,7.42,64802.0,星期二,0.0,-0.0246
2026-05-25,7.79,7.71,7.84,7.64,48112.0,星期一,0.0065,-0.0103
2026-05-22,7.7,7.74,7.82,7.62,59171.0,星期五,0.0052,0.0052
2026-05-21,7.91,7.66,8.0,7.65,71315.0,星期四,0.0025,-0.0316
2026-05-20,8.07,7.89,8.07,7.85,59491.0,星期三,-0.0062,-0.0223
2026-05-19,8.01,8.12,8.14,7.93,67267.0,星期二,-0.0025,0.0137
2026-05-18,8.3,8.03,8.35,7.95,126283.0,星期一,0.0012,-0.0325
2026-05-15,8.45,8.29,8.5,8.25,60869.0,星期五,0.0012,-0.0189
2026-05-14,8.75,8.44,8.75,8.43,69012.0,星期四,0.0046,-0.0354
2026-05-13,8.67,8.71,8.82,8.6,57904.0,星期三,0.0035,0.0046
2026-05-12,8.82,8.64,8.82,8.63,53613.0,星期二,0.0,-0.0204
2026-05-11,8.95,8.82,8.95,8.76,60526.0,星期一,0.0067,-0.0145
2026-05-08,8.89,8.89,8.89,8.81,50123.0,星期五,0.0,0.0
2026-05-07,9.01,8.89,9.04,8.86,76495.0,星期四,0.0056,-0.0133
2026-05-06,8.88,8.96,9.07,8.87,73330.0,星期三,0.0023,0.009
2026-04-30,8.76,8.86,8.88,8.75,56542.0,星期四,-0.0057,0.0114
2026-04-29,8.65,8.81,8.85,8.65,66971.0,星期三,-0.0046,0.0185
2026-04-28,8.65,8.69,8.77,8.57,82545.0,星期二,-0.0046,0.0046
2026-04-27,8.44,8.69,8.7,8.4,103221.0,星期一,0.0096,0.0296
2026-04-24,8.58,8.36,8.58,8.23,115199.0,星期五,-0.0081,-0.0256
2026-04-23,8.56,8.65,8.69,8.49,60918.0,星期四,-0.0023,0.0105
2026-04-22,8.72,8.58,8.72,8.57,60800.0,星期三,-0.0023,-0.0161
