time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.89,3.91,4.05,3.84,73509.0,星期五,-0.0051,0.0051
2026-06-25,3.97,3.91,3.99,3.86,34834.0,星期四,0.0,-0.0151
2026-06-24,4.11,3.97,4.11,3.95,40823.0,星期三,0.0,-0.0341
2026-06-23,4.06,4.11,4.2,4.04,37328.0,星期二,0.0,0.0123
2026-06-22,4.09,4.06,4.1,3.96,37260.0,星期一,-0.0049,-0.0073
2026-06-18,4.14,4.11,4.16,4.06,29900.0,星期四,-0.0048,-0.0072
2026-06-17,4.22,4.16,4.24,4.13,43336.0,星期三,0.0024,-0.0142
2026-06-16,4.25,4.21,4.25,4.19,31106.0,星期二,0.0,-0.0094
2026-06-15,4.29,4.25,4.35,4.23,33550.0,星期一,0.007,-0.0093
2026-06-12,4.2,4.26,4.3,4.16,38286.0,星期五,-0.0255,0.0143
2026-06-11,4.34,4.31,4.38,4.3,27560.0,星期四,-0.0091,-0.0069
2026-06-10,4.41,4.38,4.43,4.31,30276.0,星期三,0.0,-0.0068
2026-06-09,4.47,4.41,4.47,4.36,23191.0,星期二,0.0182,-0.0134
2026-06-08,4.47,4.39,4.47,4.35,33739.0,星期一,0.0022,-0.0179
2026-06-05,4.45,4.46,4.51,4.42,22781.0,星期五,0.0023,0.0022
2026-06-04,4.49,4.44,4.51,4.42,21984.0,星期四,-0.0066,-0.0111
2026-06-03,4.57,4.52,4.58,4.49,36173.0,星期三,-0.0065,-0.0109
2026-06-02,4.62,4.6,4.64,4.53,48921.0,星期二,-0.0022,-0.0043
2026-06-01,4.51,4.63,4.64,4.49,45803.0,星期一,-0.0066,0.0266
2026-05-29,4.49,4.54,4.58,4.46,63081.0,星期五,0.0067,0.0111
2026-05-28,4.43,4.46,4.5,4.42,38182.0,星期四,0.0,0.0068
2026-05-27,4.49,4.43,4.51,4.39,42566.0,星期三,0.0,-0.0134
2026-05-26,4.56,4.49,4.56,4.47,37088.0,星期二,-0.0022,-0.0154
2026-05-25,4.57,4.57,4.6,4.53,26104.0,星期一,-0.0022,0.0
2026-05-22,4.58,4.58,4.62,4.51,39728.0,星期五,0.0022,0.0
2026-05-21,4.62,4.57,4.68,4.57,35011.0,星期四,-0.0022,-0.0108
2026-05-20,4.76,4.63,4.76,4.62,53211.0,星期三,-0.0021,-0.0273
2026-05-19,4.78,4.77,4.82,4.74,34407.0,星期二,0.0,-0.0021
2026-05-18,4.79,4.78,4.79,4.71,34147.0,星期一,0.0042,-0.0021
2026-05-15,4.85,4.77,4.85,4.76,43930.0,星期五,0.0021,-0.0165
2026-05-14,4.93,4.84,4.93,4.84,40705.0,星期四,0.0041,-0.0183
2026-05-13,4.92,4.91,4.92,4.89,38381.0,星期三,-0.002,-0.002
2026-05-12,4.99,4.93,5.0,4.92,41438.0,星期二,0.0,-0.012
2026-05-11,4.95,4.99,4.99,4.92,46120.0,星期一,0.002,0.0081
2026-05-08,4.93,4.94,4.96,4.92,38332.0,星期五,-0.002,0.002
2026-05-07,4.96,4.94,5.0,4.93,48550.0,星期四,0.0,-0.004
2026-05-06,4.96,4.96,4.99,4.95,41871.0,星期三,0.0,0.0
2026-04-30,4.97,4.96,5.0,4.94,37356.0,星期四,-0.004,-0.002
2026-04-29,4.93,4.99,5.01,4.93,35125.0,星期三,-0.006,0.0122
2026-04-28,5.04,4.96,5.04,4.93,80592.0,星期二,-0.002,-0.0159
2026-04-27,5.09,5.05,5.09,5.03,47438.0,星期一,0.0,-0.0079
2026-04-24,5.08,5.09,5.1,5.02,54046.0,星期五,-0.002,0.002
2026-04-23,5.04,5.09,5.09,5.0,60199.0,星期四,0.0,0.0099
2026-04-22,5.06,5.04,5.06,5.03,42871.0,星期三,0.0,-0.004
2026-04-21,5.08,5.06,5.1,5.05,44654.0,星期二,0.0,-0.0039
2026-04-20,5.09,5.08,5.1,5.07,38874.0,星期一,0.0,-0.002
2026-04-17,5.13,5.09,5.13,5.08,45374.0,星期五,0.0,-0.0078
2026-04-16,5.09,5.13,5.13,5.07,54156.0,星期四,0.0,0.0079
2026-04-15,5.14,5.09,5.15,5.09,54590.0,星期三,0.0,-0.0097
2026-04-14,5.16,5.14,5.16,5.09,63417.0,星期二,0.0078,-0.0039
2026-04-13,5.17,5.12,5.18,5.08,75183.0,星期一,0.0019,-0.0097
2026-04-10,5.2,5.16,5.24,5.16,63841.0,星期五,0.0078,-0.0077
2026-04-09,5.24,5.16,5.27,5.16,49183.0,星期四,-0.0019,-0.0153
2026-04-08,5.2,5.25,5.25,5.16,82172.0,星期三,0.0117,0.0096
2026-04-07,5.08,5.14,5.15,5.03,66837.0,星期二,0.0,0.0118
2026-04-03,5.32,5.08,5.32,5.07,113702.0,星期五,0.0057,-0.0451
2026-04-02,5.31,5.29,5.37,5.26,80477.0,星期四,0.0,-0.0038
2026-04-01,5.37,5.31,5.4,5.28,99247.0,星期三,0.0132,-0.0112
2026-03-31,5.37,5.3,5.41,5.3,115787.0,星期二,0.0,-0.013
2026-03-30,5.31,5.37,5.39,5.27,152816.0,星期一,-0.0148,0.0113
2026-03-27,5.55,5.39,5.6,5.29,250893.0,星期五,-0.0212,-0.0288
2026-03-26,5.68,5.67,5.76,5.65,75712.0,星期四,0.0018,-0.0018
2026-03-25,5.48,5.67,5.69,5.44,97156.0,星期三,0.0018,0.0347
2026-03-24,5.35,5.47,5.49,5.26,79379.0,星期二,0.0133,0.0224
2026-03-23,5.57,5.28,5.57,5.26,102072.0,星期一,-0.0036,-0.0521
2026-03-20,5.68,5.59,5.68,5.53,68813.0,星期五,0.0089,-0.0158
2026-03-19,5.85,5.63,5.85,5.61,94959.0,星期四,-0.0017,-0.0376
2026-03-18,5.82,5.86,5.88,5.75,103408.0,星期三,0.0087,0.0069
2026-03-17,5.84,5.77,5.89,5.77,101603.0,星期二,0.0034,-0.012
2026-03-16,5.76,5.82,5.82,5.71,104629.0,星期一,0.0017,0.0104
2026-03-13,5.74,5.75,5.81,5.72,90349.0,星期五,-0.0017,0.0017
2026-03-12,5.75,5.75,5.78,5.72,78593.0,星期四,0.0,0.0
2026-03-11,5.71,5.75,5.75,5.65,69585.0,星期三,0.0,0.007
2026-03-10,5.69,5.71,5.74,5.66,61912.0,星期二,0.0018,0.0035
2026-03-09,5.69,5.68,5.77,5.64,63659.0,星期一,-0.007,-0.0018
2026-03-06,5.59,5.73,5.74,5.58,56168.0,星期五,-0.0018,0.025
2026-03-05,5.7,5.6,5.72,5.58,60732.0,星期四,0.0106,-0.0175
2026-03-04,5.66,5.64,5.7,5.59,68256.0,星期三,-0.0018,-0.0035
2026-03-03,5.75,5.67,5.81,5.66,80223.0,星期二,-0.0035,-0.0139
2026-03-02,5.78,5.77,5.85,5.74,97892.0,星期一,-0.0086,-0.0017
2026-02-27,5.72,5.83,5.85,5.7,100074.0,星期五,-0.0052,0.0192
2026-02-26,5.74,5.75,5.76,5.68,80209.0,星期四,-0.0017,0.0017
2026-02-25,5.63,5.75,5.79,5.62,135391.0,星期三,0.0018,0.0213
2026-02-24,5.52,5.62,5.64,5.51,74333.0,星期二,0.0073,0.0181
2026-02-13,5.58,5.48,5.59,5.46,62335.0,星期五,0.0018,-0.0179
2026-02-12,5.7,5.57,5.71,5.56,80466.0,星期四,0.0,-0.0228
2026-02-11,5.66,5.7,5.73,5.65,65447.0,星期三,-0.0035,0.0071
2026-02-10,5.7,5.68,5.72,5.62,76165.0,星期二,0.0018,-0.0035
2026-02-09,5.7,5.69,5.73,5.66,63116.0,星期一,0.0088,-0.0018
2026-02-06,5.66,5.65,5.74,5.62,64252.0,星期五,0.0,-0.0018
2026-02-05,5.68,5.66,5.71,5.65,68313.0,星期四,-0.0018,-0.0035
2026-02-04,5.58,5.69,5.69,5.55,100885.0,星期三,-0.0053,0.0197
2026-02-03,5.47,5.61,5.61,5.47,123100.0,星期二,0.0037,0.0256
2026-02-02,5.48,5.45,5.64,5.43,129562.0,星期一,0.0018,-0.0055
2026-01-30,5.45,5.47,5.49,5.4,60581.0,星期五,-0.0018,0.0037
2026-01-29,5.46,5.46,5.5,5.42,58859.0,星期四,-0.0018,0.0
2026-01-28,5.43,5.47,5.52,5.37,68548.0,星期三,-0.0018,0.0074
2026-01-27,5.49,5.44,5.51,5.36,83284.0,星期二,0.0,-0.0091
2026-01-26,5.5,5.49,5.55,5.42,85319.0,星期一,-0.0054,-0.0018
2026-01-23,5.5,5.53,5.53,5.47,64193.0,星期五,-0.0036,0.0055
2026-01-22,5.4,5.52,5.52,5.38,102998.0,星期四,0.0019,0.0222
2026-01-21,5.4,5.39,5.41,5.36,51519.0,星期三,-0.0018,-0.0019
2026-01-20,5.34,5.41,5.41,5.3,100870.0,星期二,0.0,0.0131
2026-01-19,5.25,5.34,5.34,5.21,53860.0,星期一,-0.0038,0.0171
2026-01-16,5.3,5.27,5.34,5.25,47834.0,星期五,0.0,-0.0057
2026-01-15,5.33,5.3,5.36,5.29,35262.0,星期四,-0.0019,-0.0056
2026-01-14,5.35,5.34,5.39,5.29,83649.0,星期三,-0.0019,-0.0019
2026-01-13,5.36,5.36,5.4,5.33,82280.0,星期二,-0.0019,0.0
2026-01-12,5.35,5.37,5.39,5.35,65041.0,星期一,0.0,0.0037
2026-01-09,5.36,5.35,5.39,5.33,47370.0,星期五,-0.0019,-0.0019
2026-01-08,5.36,5.37,5.39,5.34,44798.0,星期四,0.0,0.0019
2026-01-07,5.34,5.36,5.4,5.3,65358.0,星期三,0.0019,0.0037
2026-01-06,5.29,5.33,5.34,5.27,48499.0,星期二,0.0019,0.0076
2026-01-05,5.23,5.28,5.29,5.2,55642.0,星期一,0.0,0.0096
2025-12-31,5.3,5.23,5.3,5.21,44144.0,星期三,0.0057,-0.0132
2025-12-30,5.35,5.27,5.35,5.26,47621.0,星期二,0.0,-0.015
2025-12-29,5.37,5.35,5.4,5.34,45752.0,星期一,-0.0037,-0.0037
2025-12-26,5.42,5.39,5.43,5.36,48905.0,星期五,-0.0018,-0.0055
2025-12-25,5.36,5.43,5.54,5.35,87871.0,星期四,0.0,0.0131
2025-12-24,5.34,5.36,5.38,5.33,41411.0,星期三,-0.0037,0.0037
2025-12-23,5.38,5.36,5.39,5.33,32972.0,星期二,0.0019,-0.0037
2025-12-22,5.39,5.37,5.41,5.36,31829.0,星期一,0.0,-0.0037
2025-12-19,5.33,5.39,5.39,5.33,34372.0,星期五,0.0,0.0113
2025-12-18,5.29,5.33,5.34,5.26,34849.0,星期四,0.0019,0.0076
2025-12-17,5.29,5.28,5.33,5.24,52630.0,星期三,-0.0019,-0.0019
