time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.67,3.51,3.68,3.45,399603.0,星期五,-0.0081,-0.0436
2026-06-25,3.68,3.7,3.77,3.61,279562.0,星期四,-0.0081,0.0054
2026-06-24,3.99,3.71,4.01,3.67,432387.0,星期三,-0.005,-0.0702
2026-06-23,3.97,4.01,4.11,3.95,332174.0,星期二,-0.0124,0.0101
2026-06-22,4.05,4.02,4.09,3.89,342492.0,星期一,-0.0146,-0.0074
2026-06-18,4.03,4.11,4.14,3.9,348879.0,星期四,0.0,0.0199
2026-06-17,4.08,4.03,4.12,3.98,381973.0,星期三,-0.0121,-0.0123
2026-06-16,4.41,4.13,4.41,4.03,530078.0,星期二,-0.0023,-0.0635
2026-06-15,4.31,4.42,4.63,4.31,418213.0,星期一,-0.0315,0.0255
2026-06-12,4.35,4.45,4.65,4.22,605946.0,星期五,0.0,0.023
2026-06-11,4.85,4.35,4.95,4.35,616525.0,星期四,0.0041,-0.1031
2026-06-10,4.7,4.83,4.94,4.61,535932.0,星期三,-0.0063,0.0277
2026-06-09,4.7,4.73,4.93,4.59,604823.0,星期二,0.0262,0.0064
2026-06-08,4.8,4.58,5.0,4.52,513818.0,星期一,-0.0144,-0.0458
2026-06-05,4.88,4.87,4.92,4.64,774375.0,星期五,0.0124,-0.002
2026-06-04,4.82,4.82,5.42,4.59,1207298.0,星期四,-0.0223,0.0
2026-06-03,5.01,4.93,5.1,4.77,753069.0,星期三,-0.0547,-0.016
2026-06-02,5.18,5.3,5.32,5.03,479576.0,星期二,0.0019,0.0232
2026-06-01,5.08,5.17,5.34,5.05,510533.0,星期一,0.002,0.0177
2026-05-29,5.1,5.07,5.14,4.99,413499.0,星期五,0.002,-0.0059
2026-05-28,5.1,5.09,5.25,5.01,302193.0,星期四,0.002,-0.002
2026-05-27,5.1,5.09,5.18,5.0,348720.0,星期三,0.0079,-0.002
2026-05-26,5.04,5.06,5.17,4.96,270424.0,星期二,-0.0059,0.004
2026-05-25,4.99,5.07,5.21,4.96,392024.0,星期一,0.004,0.016
2026-05-22,5.05,4.97,5.09,4.9,314505.0,星期五,0.01,-0.0158
2026-05-21,5.29,5.0,5.48,4.92,621556.0,星期四,0.0252,-0.0548
2026-05-20,5.15,5.16,5.32,5.09,449043.0,星期三,-0.0077,0.0019
2026-05-19,5.26,5.19,5.5,5.14,447347.0,星期二,0.0038,-0.0133
2026-05-18,5.3,5.24,5.31,5.02,369665.0,星期一,0.0271,-0.0113
2026-05-15,5.0,5.16,5.23,5.0,404414.0,星期五,-0.004,0.032
2026-05-14,5.22,5.02,5.3,5.01,586348.0,星期四,-0.0114,-0.0383
2026-05-13,4.92,5.28,5.38,4.89,1096409.0,星期三,0.0061,0.0732
2026-05-12,4.96,4.89,5.1,4.82,317417.0,星期二,0.0061,-0.0141
2026-05-11,4.82,4.93,5.03,4.82,473263.0,星期一,-0.0163,0.0228
2026-05-08,4.95,4.9,5.14,4.83,661164.0,星期五,0.0206,-0.0101
2026-05-07,4.91,4.85,5.06,4.81,1019264.0,星期四,0.0359,-0.0122
2026-05-06,4.31,4.74,4.74,4.29,934706.0,星期三,0.0,0.0998
2026-04-30,4.28,4.31,4.33,4.25,177294.0,星期四,-0.0023,0.007
2026-04-29,4.32,4.29,4.38,4.26,223420.0,星期三,0.0047,-0.0069
2026-04-28,4.21,4.3,4.35,4.21,272739.0,星期二,-0.0209,0.0214
2026-04-27,4.09,4.3,4.3,4.09,380675.0,星期一,0.0025,0.0513
2026-04-24,4.08,4.08,4.11,4.0,254675.0,星期五,-0.0145,0.0
2026-04-23,4.17,4.14,4.24,4.08,307419.0,星期四,-0.0165,-0.0072
2026-04-22,4.53,4.24,4.7,4.15,755868.0,星期三,0.0157,-0.064
2026-04-21,4.35,4.46,4.46,4.35,329329.0,星期二,0.0741,0.0253
2026-04-20,3.98,4.05,4.13,3.97,142718.0,星期一,0.0051,0.0176
2026-04-17,3.93,3.96,4.0,3.89,120160.0,星期五,-0.0051,0.0076
2026-04-16,3.88,3.95,3.97,3.87,124848.0,星期四,0.0078,0.018
2026-04-15,3.92,3.85,3.92,3.84,76392.0,星期三,0.0,-0.0179
2026-04-14,3.93,3.92,3.94,3.86,82617.0,星期二,0.0077,-0.0025
2026-04-13,3.94,3.9,3.94,3.88,79347.0,星期一,0.0,-0.0102
2026-04-10,3.93,3.94,3.98,3.92,84189.0,星期五,0.0077,0.0025
2026-04-09,3.95,3.9,3.98,3.89,77445.0,星期四,-0.0075,-0.0127
2026-04-08,3.91,3.98,3.98,3.91,88892.0,星期三,0.0077,0.0179
2026-04-07,3.79,3.88,3.88,3.76,84524.0,星期二,0.0026,0.0237
2026-04-03,3.91,3.78,3.91,3.76,89702.0,星期五,0.0077,-0.0332
2026-04-02,3.96,3.88,3.97,3.86,87689.0,星期四,-0.005,-0.0202
2026-04-01,4.02,3.98,4.03,3.94,100504.0,星期三,0.0203,-0.01
2026-03-31,4.0,3.94,4.08,3.94,95277.0,星期二,-0.0025,-0.015
