time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,15.55,13.97,15.75,13.71,958781.0,星期五,0.05,-0.1016
2026-06-25,13.92,14.81,14.81,13.92,205704.0,星期四,0.0342,0.0639
2026-06-24,12.2,13.46,13.46,11.77,460734.0,星期三,-0.0033,0.1033
2026-06-23,12.59,12.24,12.72,12.16,165010.0,星期二,-0.0094,-0.0278
2026-06-22,12.16,12.71,12.74,11.95,271581.0,星期一,-0.0154,0.0452
2026-06-18,12.59,12.35,12.64,12.34,160182.0,星期四,-0.0094,-0.0191
2026-06-17,12.95,12.71,13.09,12.63,159730.0,星期三,0.0023,-0.0185
2026-06-16,12.8,12.92,13.07,12.52,179050.0,星期二,-0.0039,0.0094
2026-06-15,12.4,12.85,12.91,12.33,218735.0,星期一,0.0008,0.0363
2026-06-12,12.5,12.39,12.59,12.14,277597.0,星期五,0.0073,-0.0088
2026-06-11,12.9,12.41,13.12,12.32,202718.0,星期四,0.0008,-0.038
2026-06-10,12.91,12.89,13.34,12.75,154112.0,星期三,-0.0197,-0.0015
2026-06-09,13.01,13.17,13.19,12.54,177577.0,星期二,0.007,0.0123
2026-06-08,13.2,12.92,13.46,12.75,227469.0,星期一,-0.0365,-0.0212
2026-06-05,13.66,13.7,13.96,13.24,208267.0,星期五,0.0,0.0029
2026-06-04,13.8,13.66,13.97,13.55,170198.0,星期四,-0.0164,-0.0101
2026-06-03,14.08,14.03,14.29,13.87,167983.0,星期三,-0.0042,-0.0036
2026-06-02,14.4,14.14,14.4,13.8,206502.0,星期二,-0.0041,-0.0181
2026-06-01,14.54,14.46,14.65,14.26,183930.0,星期一,0.0055,-0.0055
2026-05-29,15.12,14.46,15.37,14.37,262890.0,星期五,-0.0053,-0.0437
2026-05-28,14.96,15.2,15.44,14.8,274066.0,星期四,-0.0033,0.016
2026-05-27,15.7,15.01,15.75,14.89,285031.0,星期三,0.0019,-0.0439
2026-05-26,16.34,15.67,16.35,15.39,319984.0,星期二,0.0,-0.041
2026-05-25,16.78,16.34,16.78,16.09,415576.0,星期一,0.0435,-0.0262
2026-05-22,14.8,16.08,16.08,14.56,472751.0,星期五,0.0123,0.0865
2026-05-21,15.85,14.62,15.85,14.56,376065.0,星期四,0.0108,-0.0776
2026-05-20,16.3,15.68,16.44,15.67,319058.0,星期三,-0.0127,-0.038
2026-05-19,16.32,16.51,16.79,16.1,303764.0,星期二,-0.0012,0.0116
2026-05-18,16.76,16.34,17.2,16.19,366297.0,星期一,0.0006,-0.0251
2026-05-15,17.77,16.75,18.05,16.6,540279.0,星期五,0.0125,-0.0574
2026-05-14,18.0,17.55,18.4,17.51,616631.0,星期四,0.0152,-0.025
2026-05-13,17.46,17.73,17.97,17.15,451776.0,星期三,0.0,0.0155
2026-05-12,18.04,17.46,18.14,17.38,490355.0,星期二,-0.0055,-0.0322
2026-05-11,18.49,18.14,18.67,17.57,748288.0,星期一,-0.0175,-0.0189
2026-05-08,19.0,18.82,19.64,18.61,1137634.0,星期五,0.0248,-0.0095
2026-05-07,17.69,18.54,18.54,17.5,571037.0,星期四,0.0499,0.048
2026-05-06,15.65,16.85,16.85,15.65,535028.0,星期三,0.0215,0.0767
2026-04-30,16.0,15.32,16.41,15.3,754695.0,星期四,0.0376,-0.0425
2026-04-29,14.35,15.42,15.42,14.3,756050.0,星期三,0.0235,0.0746
2026-04-28,13.99,14.02,14.17,13.83,267146.0,星期二,-0.0071,0.0021
2026-04-27,14.42,14.09,14.43,13.18,414242.0,星期一,-0.0096,-0.0229
2026-04-24,14.5,14.56,14.88,14.3,353401.0,星期五,-0.0102,0.0041
2026-04-23,14.51,14.65,14.94,14.43,380979.0,星期四,0.0,0.0096
2026-04-22,14.38,14.51,14.52,13.88,392697.0,星期三,-0.0048,0.009
2026-04-21,14.98,14.45,14.98,14.4,326813.0,星期二,0.0,-0.0354
2026-04-20,14.9,14.98,15.13,14.83,278298.0,星期一,-0.002,0.0054
2026-04-17,14.91,14.93,14.99,14.55,345477.0,星期五,-0.006,0.0013
2026-04-16,14.41,15.0,15.05,14.31,498679.0,星期四,-0.0007,0.0409
2026-04-15,14.85,14.42,14.88,14.41,402563.0,星期三,0.0,-0.029
2026-04-14,15.15,14.85,15.31,14.64,479641.0,星期二,0.004,-0.0198
2026-04-13,14.54,15.09,15.15,14.53,524237.0,星期一,-0.0136,0.0378
2026-04-10,15.02,14.74,15.29,14.6,756509.0,星期五,-0.0221,-0.0186
2026-04-09,15.63,15.36,16.05,15.04,1077434.0,星期四,0.0006,-0.0173
2026-04-08,15.62,15.62,15.62,15.62,198534.0,星期三,-0.1002,0.0
2026-04-07,17.36,17.36,17.36,17.36,30051.0,星期二,-0.1001,0.0
2026-04-03,20.19,19.29,20.4,19.19,225867.0,星期五,0.0156,-0.0446
2026-04-02,21.06,19.88,21.15,19.82,338680.0,星期四,-0.008,-0.056
2026-04-01,21.43,21.23,21.68,21.01,233243.0,星期三,0.0185,-0.0093
2026-03-31,21.3,21.04,21.96,21.04,212192.0,星期二,-0.007,-0.0122
2026-03-30,21.12,21.45,21.98,20.2,294750.0,星期一,-0.0112,0.0156
2026-03-27,20.6,21.36,21.88,20.53,260682.0,星期五,-0.0255,0.0369
2026-03-26,22.28,21.14,22.28,20.91,282435.0,星期四,-0.0013,-0.0512
2026-03-25,21.48,22.31,22.76,21.48,339484.0,星期三,0.0009,0.0386
2026-03-24,21.63,21.46,21.66,20.4,328167.0,星期二,0.0208,-0.0079
2026-03-23,22.04,21.19,22.5,21.01,332996.0,星期一,-0.0209,-0.0386
2026-03-20,24.09,22.51,24.1,22.51,409148.0,星期五,0.0037,-0.0656
2026-03-19,23.4,24.0,24.66,23.4,593121.0,星期四,-0.0299,0.0256
2026-03-18,22.8,24.12,24.92,22.48,736369.0,星期三,0.0066,0.0579
2026-03-17,23.63,22.65,23.79,22.6,305104.0,星期二,0.0094,-0.0415
2026-03-16,23.03,23.41,23.68,22.6,281597.0,星期一,-0.0229,0.0165
2026-03-13,24.3,23.57,24.45,23.46,502334.0,星期五,-0.0272,-0.03
2026-03-12,23.98,24.98,25.68,23.85,856220.0,星期四,0.0,0.0417
2026-03-11,23.83,23.98,24.25,23.79,455780.0,星期三,-0.0112,0.0063
2026-03-10,24.32,24.1,24.68,23.66,709026.0,星期二,0.0004,-0.009
2026-03-09,24.45,24.31,25.9,23.51,1068630.0,星期一,0.029,-0.0057
2026-03-06,21.47,23.76,23.76,21.4,432672.0,星期五,-0.006,0.1067
2026-03-05,22.02,21.6,22.15,21.12,311438.0,星期四,0.0157,-0.0191
2026-03-04,20.9,21.68,22.07,20.89,271472.0,星期三,-0.0202,0.0373
2026-03-03,23.2,21.33,23.3,21.03,443224.0,星期二,0.0043,-0.0806
2026-03-02,23.0,23.1,23.58,22.85,342304.0,星期一,-0.0352,0.0043
2026-02-27,22.57,23.84,24.2,22.51,506400.0,星期五,-0.0161,0.0563
2026-02-26,22.63,22.94,23.4,22.47,417373.0,星期四,-0.0009,0.0137
2026-02-25,23.07,22.65,23.25,22.43,374631.0,星期三,0.0017,-0.0182
2026-02-24,23.7,23.03,23.8,22.5,474065.0,星期二,-0.0247,-0.0283
2026-02-13,24.0,24.3,24.83,24.0,572802.0,星期五,-0.0128,0.0125
2026-02-12,23.99,24.31,24.99,23.35,830017.0,星期四,0.0097,0.0133
2026-02-11,23.09,23.76,24.04,22.91,784026.0,星期三,-0.0224,0.029
2026-02-10,21.61,23.62,23.62,21.48,561278.0,星期二,0.0065,0.093
2026-02-09,21.58,21.47,21.65,21.25,145343.0,星期一,0.0184,-0.0051
2026-02-06,20.48,21.19,21.6,20.08,259984.0,星期五,-0.0087,0.0347
