time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.45,4.37,4.49,4.35,403224.0,星期五,0.0,-0.018
2026-06-25,4.53,4.45,4.55,4.42,387084.0,星期四,-0.0066,-0.0177
2026-06-24,4.65,4.56,4.66,4.53,374867.0,星期三,-0.0021,-0.0194
2026-06-23,4.65,4.66,4.77,4.62,413028.0,星期二,-0.0043,0.0022
2026-06-22,4.64,4.67,4.68,4.54,523698.0,星期一,0.0,0.0065
2026-06-18,4.91,4.64,4.93,4.63,667919.0,星期四,-0.0061,-0.055
2026-06-17,4.98,4.94,5.04,4.92,447984.0,星期三,-0.006,-0.008
2026-06-16,5.01,5.01,5.1,4.98,470871.0,星期二,-0.002,0.0
2026-06-15,4.97,5.02,5.07,4.93,494466.0,星期一,-0.002,0.0101
2026-06-12,4.94,4.98,5.02,4.83,650619.0,星期五,-0.002,0.0081
2026-06-11,4.76,4.95,5.04,4.75,812165.0,星期四,-0.0021,0.0399
2026-06-10,4.88,4.77,4.91,4.76,544827.0,星期三,-0.0101,-0.0225
2026-06-09,4.88,4.93,4.95,4.75,532301.0,星期二,0.0041,0.0102
2026-06-08,4.9,4.86,5.02,4.82,595452.0,星期一,-0.02,-0.0082
2026-06-05,5.15,5.0,5.27,4.97,722658.0,星期五,-0.0058,-0.0291
2026-06-04,5.31,5.18,5.31,5.14,742305.0,星期四,0.0,-0.0245
2026-06-03,5.24,5.31,5.36,5.18,872109.0,星期三,-0.015,0.0134
2026-06-02,5.36,5.32,5.46,5.28,869965.0,星期二,-0.0111,-0.0075
2026-06-01,5.34,5.42,5.46,5.2,1098555.0,星期一,0.0019,0.015
2026-05-29,5.14,5.33,5.43,5.13,1038157.0,星期五,-0.0058,0.037
2026-05-28,5.13,5.17,5.26,5.12,766330.0,星期四,-0.0019,0.0078
2026-05-27,5.08,5.14,5.18,5.06,623419.0,星期三,-0.0059,0.0118
2026-05-26,5.08,5.11,5.12,5.0,518361.0,星期二,-0.0059,0.0059
2026-05-25,4.89,5.11,5.12,4.88,698888.0,星期一,0.0,0.045
2026-05-22,4.92,4.89,4.94,4.83,486915.0,星期五,-0.002,-0.0061
2026-05-21,4.89,4.93,5.02,4.89,605544.0,星期四,-0.0061,0.0082
2026-05-20,5.1,4.92,5.12,4.91,838999.0,星期三,-0.0116,-0.0353
2026-05-19,4.92,5.16,5.21,4.87,979934.0,星期二,-0.002,0.0488
2026-05-18,4.78,4.93,4.95,4.78,565234.0,星期一,-0.0042,0.0314
2026-05-15,4.86,4.8,4.86,4.71,637388.0,星期五,0.0021,-0.0123
2026-05-14,5.0,4.85,5.07,4.84,873208.0,星期四,0.0,-0.03
2026-05-13,4.98,5.0,5.06,4.94,847732.0,星期三,0.0,0.004
2026-05-12,4.95,4.98,5.05,4.92,600726.0,星期二,0.0,0.0061
2026-05-11,4.93,4.95,4.99,4.91,403246.0,星期一,-0.002,0.0041
2026-05-08,4.93,4.94,5.03,4.88,434286.0,星期五,-0.002,0.002
