time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.59,3.5,3.61,3.5,123566.0,星期五,-0.0028,-0.0251
2026-06-25,3.67,3.6,3.67,3.58,95558.0,星期四,-0.0027,-0.0191
2026-06-24,3.65,3.68,3.71,3.55,170046.0,星期三,0.0,0.0082
2026-06-23,3.61,3.65,3.7,3.6,117954.0,星期二,-0.0028,0.0111
2026-06-22,3.6,3.62,3.62,3.54,106852.0,星期一,-0.0055,0.0056
2026-06-18,3.6,3.62,3.63,3.56,81446.0,星期四,-0.0028,0.0056
2026-06-17,3.65,3.61,3.65,3.6,62860.0,星期三,0.0,-0.011
2026-06-16,3.69,3.65,3.69,3.63,64756.0,星期二,0.0027,-0.0108
2026-06-15,3.69,3.68,3.72,3.66,118995.0,星期一,0.0027,-0.0027
2026-06-12,3.62,3.68,3.68,3.61,93202.0,星期五,0.0028,0.0166
2026-06-11,3.66,3.61,3.67,3.6,82617.0,星期四,0.0,-0.0137
2026-06-10,3.67,3.66,3.68,3.62,72302.0,星期三,0.0,-0.0027
2026-06-09,3.69,3.67,3.69,3.65,52510.0,星期二,0.0027,-0.0054
2026-06-08,3.75,3.68,3.75,3.66,111460.0,星期一,-0.0053,-0.0187
2026-06-05,3.75,3.77,3.81,3.74,82624.0,星期五,0.0,0.0053
2026-06-04,3.82,3.75,3.86,3.72,132117.0,星期四,-0.0052,-0.0183
2026-06-03,3.86,3.84,3.87,3.78,122999.0,星期三,0.0,-0.0052
2026-06-02,3.89,3.86,3.91,3.83,125151.0,星期二,-0.0026,-0.0077
2026-06-01,3.84,3.9,3.91,3.77,138258.0,星期一,0.0,0.0156
2026-05-29,3.77,3.84,3.86,3.76,153500.0,星期五,0.0027,0.0186
2026-05-28,3.74,3.76,3.78,3.73,114408.0,星期四,-0.041,0.0053
2026-05-27,3.92,3.9,3.92,3.84,157775.0,星期三,0.0,-0.0051
2026-05-26,3.95,3.92,3.96,3.9,142178.0,星期二,-0.005,-0.0076
2026-05-25,3.95,3.97,3.98,3.92,133662.0,星期一,0.0025,0.0051
2026-05-22,3.96,3.94,3.98,3.9,159522.0,星期五,0.0051,-0.0051
2026-05-21,3.96,3.94,4.02,3.94,177841.0,星期四,0.0051,-0.0051
2026-05-20,4.02,3.94,4.02,3.92,163614.0,星期三,-0.0025,-0.0199
2026-05-19,3.96,4.03,4.04,3.95,165955.0,星期二,-0.0025,0.0177
2026-05-18,4.0,3.97,4.0,3.92,161634.0,星期一,0.0025,-0.0075
2026-05-15,4.05,3.99,4.06,3.98,188496.0,星期五,0.0025,-0.0148
2026-05-14,4.13,4.04,4.13,4.04,143997.0,星期四,0.0024,-0.0218
2026-05-13,4.16,4.12,4.17,4.11,138992.0,星期三,0.0024,-0.0096
2026-05-12,4.2,4.15,4.22,4.14,137486.0,星期二,-0.0024,-0.0119
2026-05-11,4.22,4.21,4.23,4.19,115326.0,星期一,-0.0024,-0.0024
2026-05-08,4.24,4.23,4.25,4.21,86670.0,星期五,0.0,-0.0024
2026-05-07,4.25,4.24,4.26,4.21,124953.0,星期四,0.0,-0.0024
2026-05-06,4.23,4.25,4.26,4.19,139438.0,星期三,0.0024,0.0047
2026-04-30,4.19,4.22,4.23,4.16,161215.0,星期四,-0.0024,0.0072
2026-04-29,4.12,4.2,4.23,4.11,302754.0,星期三,-0.0048,0.0194
2026-04-28,4.1,4.14,4.16,4.09,156003.0,星期二,0.0,0.0098
2026-04-27,4.12,4.1,4.13,4.07,97388.0,星期一,0.0024,-0.0049
2026-04-24,4.11,4.11,4.13,4.06,114181.0,星期五,0.0,0.0
2026-04-23,4.09,4.11,4.14,4.06,136649.0,星期四,0.0,0.0049
2026-04-22,4.08,4.09,4.11,4.08,100448.0,星期三,-0.0024,0.0025
2026-04-21,4.07,4.09,4.1,4.07,86091.0,星期二,-0.0025,0.0049
2026-04-20,4.08,4.08,4.09,4.06,62223.0,星期一,-0.0024,0.0
2026-04-17,4.11,4.09,4.11,4.07,68951.0,星期五,0.0,-0.0049
2026-04-16,4.1,4.11,4.13,4.08,89340.0,星期四,-0.0024,0.0024
2026-04-15,4.09,4.11,4.12,4.08,91363.0,星期三,-0.0024,0.0049
2026-04-14,4.09,4.1,4.1,4.04,79122.0,星期二,0.0049,0.0024
2026-04-13,4.07,4.07,4.08,4.03,102226.0,星期一,0.0,0.0
2026-04-10,4.05,4.07,4.1,4.05,102356.0,星期五,0.0,0.0049
2026-04-09,4.11,4.05,4.14,4.03,129023.0,星期四,-0.0048,-0.0146
2026-04-08,4.08,4.13,4.14,4.07,165573.0,星期三,0.0099,0.0123
2026-04-07,4.0,4.04,4.04,3.96,171961.0,星期二,0.0,0.01
2026-04-03,4.18,4.0,4.19,3.98,285107.0,星期五,0.0,-0.0431
2026-04-02,4.15,4.18,4.21,4.14,173532.0,星期四,0.0,0.0072
2026-04-01,4.16,4.15,4.21,4.13,102971.0,星期三,0.0073,-0.0024
2026-03-31,4.12,4.13,4.2,4.11,154195.0,星期二,-0.0024,0.0024
2026-03-30,4.1,4.13,4.13,4.04,127397.0,星期一,-0.0097,0.0073
2026-03-27,4.2,4.14,4.21,4.1,216710.0,星期五,-0.0047,-0.0143
2026-03-26,4.19,4.22,4.26,4.18,215248.0,星期四,-0.0024,0.0072
2026-03-25,4.06,4.2,4.22,4.03,285479.0,星期三,0.0025,0.0345
2026-03-24,3.98,4.05,4.06,3.93,169683.0,星期二,0.0127,0.0176
2026-03-23,4.16,3.93,4.16,3.9,319962.0,星期一,-0.0119,-0.0553
2026-03-20,4.26,4.21,4.29,4.2,150543.0,星期五,0.0024,-0.0117
2026-03-19,4.27,4.25,4.33,4.24,141331.0,星期四,-0.007,-0.0047
2026-03-18,4.34,4.3,4.37,4.25,174837.0,星期三,-0.0046,-0.0092
2026-03-17,4.36,4.36,4.42,4.35,220213.0,星期二,0.0023,0.0
2026-03-16,4.37,4.35,4.4,4.33,150759.0,星期一,0.0023,-0.0046
2026-03-13,4.37,4.36,4.41,4.35,179084.0,星期五,-0.0023,-0.0023
2026-03-12,4.34,4.38,4.4,4.32,212997.0,星期四,0.0,0.0092
2026-03-11,4.29,4.34,4.34,4.24,173852.0,星期三,0.0023,0.0117
2026-03-10,4.3,4.28,4.3,4.26,139473.0,星期二,0.0047,-0.0047
2026-03-09,4.27,4.28,4.33,4.25,183322.0,星期一,-0.007,0.0023
2026-03-06,4.25,4.3,4.32,4.23,206768.0,星期五,-0.0047,0.0118
2026-03-05,4.27,4.27,4.28,4.22,172879.0,星期四,0.0095,0.0
2026-03-04,4.29,4.23,4.29,4.21,179312.0,星期三,-0.0069,-0.014
2026-03-03,4.35,4.32,4.39,4.31,266446.0,星期二,0.0,-0.0069
2026-03-02,4.33,4.35,4.38,4.29,242236.0,星期一,-0.0069,0.0046
2026-02-27,4.29,4.36,4.37,4.27,191457.0,星期五,0.0023,0.0163
2026-02-26,4.3,4.28,4.3,4.25,92514.0,星期四,0.0047,-0.0047
2026-02-25,4.28,4.28,4.33,4.26,164024.0,星期三,0.0047,0.0
2026-02-24,4.19,4.26,4.28,4.17,164884.0,星期二,0.0048,0.0167
2026-02-13,4.19,4.17,4.21,4.17,85194.0,星期五,-0.0024,-0.0048
2026-02-12,4.28,4.2,4.28,4.2,147104.0,星期四,0.0023,-0.0187
2026-02-11,4.25,4.27,4.28,4.23,107510.0,星期三,0.0024,0.0047
2026-02-10,4.27,4.24,4.28,4.23,89452.0,星期二,0.0,-0.007
2026-02-09,4.26,4.27,4.29,4.25,98869.0,星期一,0.0047,0.0023
2026-02-06,4.25,4.24,4.28,4.24,112690.0,星期五,-0.0023,-0.0024
2026-02-05,4.27,4.26,4.29,4.24,114640.0,星期四,-0.0023,-0.0023
2026-02-04,4.2,4.28,4.28,4.19,179615.0,星期三,-0.0024,0.019
2026-02-03,4.22,4.21,4.25,4.18,114234.0,星期二,0.0048,-0.0024
2026-02-02,4.29,4.2,4.29,4.2,148978.0,星期一,0.0023,-0.021
2026-01-30,4.25,4.28,4.3,4.23,165848.0,星期五,-0.0023,0.0071
2026-01-29,4.25,4.26,4.27,4.21,148978.0,星期四,0.0,0.0024
2026-01-28,4.22,4.25,4.27,4.21,163983.0,星期三,0.0024,0.0071
2026-01-27,4.26,4.21,4.26,4.18,130679.0,星期二,0.0,-0.0117
2026-01-26,4.27,4.26,4.27,4.21,153081.0,星期一,0.0047,-0.0023
2026-01-23,4.23,4.25,4.26,4.22,125369.0,星期五,0.0,0.0047
2026-01-22,4.18,4.23,4.24,4.17,145502.0,星期四,0.0024,0.012
2026-01-21,4.19,4.17,4.2,4.16,146565.0,星期三,-0.0048,-0.0048
2026-01-20,4.16,4.21,4.21,4.15,207836.0,星期二,0.0,0.012
2026-01-19,4.14,4.16,4.16,4.11,124150.0,星期一,-0.0024,0.0048
2026-01-16,4.14,4.15,4.16,4.13,163523.0,星期五,0.0024,0.0024
2026-01-15,4.13,4.13,4.15,4.12,81395.0,星期四,-0.0024,0.0
2026-01-14,4.14,4.14,4.17,4.11,248325.0,星期三,-0.0024,0.0
2026-01-13,4.15,4.15,4.17,4.12,182658.0,星期二,0.0,0.0
2026-01-12,4.12,4.15,4.15,4.11,181131.0,星期一,-0.0024,0.0073
2026-01-09,4.12,4.13,4.14,4.1,143139.0,星期五,0.0024,0.0024
2026-01-08,4.1,4.11,4.13,4.09,91690.0,星期四,0.0,0.0024
2026-01-07,4.13,4.1,4.13,4.1,114342.0,星期三,0.0,-0.0073
2026-01-06,4.11,4.13,4.14,4.1,155940.0,星期二,0.0,0.0049
2026-01-05,4.1,4.11,4.12,4.09,111030.0,星期一,0.0024,0.0024
2025-12-31,4.08,4.09,4.1,4.07,87962.0,星期三,-0.0024,0.0025
2025-12-30,4.1,4.09,4.11,4.07,116866.0,星期二,-0.0024,-0.0024
2025-12-29,4.13,4.11,4.14,4.1,87245.0,星期一,-0.0024,-0.0048
2025-12-26,4.16,4.14,4.17,4.13,84031.0,星期五,0.0,-0.0048
2025-12-25,4.15,4.16,4.17,4.14,75242.0,星期四,0.0,0.0024
2025-12-24,4.14,4.15,4.15,4.11,55526.0,星期三,0.0024,0.0024
2025-12-23,4.16,4.13,4.16,4.12,63484.0,星期二,0.0,-0.0072
