time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,19.3,18.9,19.41,18.9,105767.0,星期五,-0.0193,-0.0207
2026-06-25,20.13,19.68,20.45,19.52,222300.0,星期四,-0.0064,-0.0224
2026-06-24,21.44,20.26,21.54,19.89,211835.0,星期三,-0.0051,-0.055
2026-06-23,22.26,21.55,22.9,21.45,121208.0,星期二,0.0032,-0.0319
2026-06-22,21.96,22.19,22.24,21.5,101424.0,星期一,-0.005,0.0105
2026-06-18,22.0,22.07,22.5,21.71,81985.0,星期四,0.0,0.0032
2026-06-17,21.92,22.0,22.74,21.13,110208.0,星期三,-0.0095,0.0036
2026-06-16,22.54,22.13,22.99,22.1,123978.0,星期二,-0.0027,-0.0182
2026-06-15,22.47,22.6,23.34,22.24,146961.0,星期一,0.0303,0.0058
2026-06-12,22.19,21.81,22.33,21.59,120044.0,星期五,0.0109,-0.0171
2026-06-11,22.25,21.95,22.26,21.54,91341.0,星期四,-0.0036,-0.0135
2026-06-10,23.26,22.33,23.32,21.8,141158.0,星期三,-0.0043,-0.04
2026-06-09,23.15,23.36,23.48,22.8,127852.0,星期二,-0.0047,0.0091
2026-06-08,21.93,23.26,23.45,21.9,189423.0,星期一,-0.0104,0.0606
2026-06-05,22.5,22.16,22.9,22.03,86738.0,星期五,0.0009,-0.0151
2026-06-04,22.71,22.48,23.22,22.29,159459.0,星期四,-0.0026,-0.0101
2026-06-03,22.7,22.77,23.39,22.1,150350.0,星期三,-0.0013,0.0031
2026-06-02,21.76,22.73,23.08,21.7,184970.0,星期二,0.0042,0.0446
2026-06-01,21.59,21.67,21.9,20.98,164646.0,星期一,0.0047,0.0037
2026-05-29,20.67,21.49,21.68,20.67,172499.0,星期五,0.0005,0.0397
2026-05-28,21.03,20.66,21.16,20.4,88730.0,星期四,0.0,-0.0176
2026-05-27,21.44,21.03,21.55,20.75,113287.0,星期三,-0.0005,-0.0191
2026-05-26,21.15,21.45,21.56,20.92,82007.0,星期二,-0.0038,0.0142
2026-05-25,21.05,21.23,21.45,20.93,100173.0,星期一,0.0077,0.0086
2026-05-22,21.04,20.89,21.1,20.74,75310.0,星期五,0.0115,-0.0071
2026-05-21,21.26,20.8,21.59,20.78,94937.0,星期四,0.0052,-0.0216
2026-05-20,21.28,21.15,21.47,20.93,107940.0,星期三,-0.0079,-0.0061
2026-05-19,21.32,21.45,21.51,21.12,92448.0,星期二,0.0,0.0061
2026-05-18,22.05,21.32,22.13,21.08,206454.0,星期一,-0.0085,-0.0331
2026-05-15,22.67,22.24,22.8,22.06,107801.0,星期五,0.004,-0.019
2026-05-14,23.26,22.58,23.48,22.58,172210.0,星期四,0.0048,-0.0292
2026-05-13,23.11,23.15,23.65,22.84,145225.0,星期三,0.0,0.0017
2026-05-12,22.8,23.11,23.31,22.58,154114.0,星期二,0.0,0.0136
2026-05-11,22.37,22.8,23.15,22.33,175854.0,星期一,0.0013,0.0192
2026-05-08,22.68,22.34,22.81,22.29,130059.0,星期五,-0.01,-0.015
2026-05-07,22.7,22.91,23.16,22.38,194799.0,星期四,0.0,0.0093
2026-05-06,22.07,22.7,22.85,22.05,268997.0,星期三,0.0101,0.0285
