time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.76,4.44,4.76,4.4,213265.0,星期五,0.0042,-0.0672
2026-06-25,4.98,4.74,5.02,4.72,223402.0,星期四,0.0,-0.0482
2026-06-24,4.99,4.98,5.08,4.87,202299.0,星期三,-0.0119,-0.002
2026-06-23,4.86,5.05,5.15,4.86,326396.0,星期二,0.0041,0.0391
2026-06-22,4.98,4.84,5.1,4.76,286102.0,星期一,0.002,-0.0281
2026-06-18,4.56,4.97,5.08,4.49,618666.0,星期四,-0.0151,0.0899
2026-06-17,4.16,4.63,4.63,4.04,447360.0,星期三,-0.0119,0.113
2026-06-16,3.99,4.21,4.26,3.91,225541.0,星期二,-0.0025,0.0551
2026-06-15,4.08,4.0,4.18,3.96,116036.0,星期一,0.0049,-0.0196
2026-06-12,4.0,4.06,4.09,3.93,116114.0,星期五,0.0025,0.015
2026-06-11,4.0,3.99,4.04,3.92,86020.0,星期四,-0.0074,-0.0025
2026-06-10,4.06,4.03,4.1,3.95,101949.0,星期三,-0.0025,-0.0074
2026-06-09,4.09,4.07,4.13,4.0,98555.0,星期二,0.0049,-0.0049
2026-06-08,4.05,4.07,4.22,3.98,145395.0,星期一,-0.0288,0.0049
2026-06-05,4.11,4.17,4.25,4.08,147004.0,星期五,0.0,0.0146
2026-06-04,4.17,4.11,4.21,4.08,101681.0,星期四,-0.0048,-0.0144
2026-06-03,4.21,4.19,4.25,4.15,93012.0,星期三,-0.0047,-0.0048
2026-06-02,4.45,4.23,4.48,4.2,188067.0,星期二,0.0,-0.0494
2026-06-01,4.28,4.45,4.46,4.19,190388.0,星期一,0.0023,0.0397
2026-05-29,4.33,4.27,4.76,4.22,238319.0,星期五,0.0,-0.0139
2026-05-28,4.24,4.33,4.35,4.18,124466.0,星期四,-0.0047,0.0212
2026-05-27,4.37,4.26,4.41,4.21,118121.0,星期三,0.0,-0.0252
2026-05-26,4.48,4.37,4.49,4.32,113911.0,星期二,0.0067,-0.0246
2026-05-25,4.62,4.45,4.67,4.42,108406.0,星期一,0.0109,-0.0368
2026-05-22,4.52,4.57,4.61,4.43,107818.0,星期五,0.0044,0.0111
2026-05-21,4.68,4.5,4.72,4.49,136006.0,星期四,0.0065,-0.0385
2026-05-20,4.69,4.65,4.72,4.59,117948.0,星期三,-0.0105,-0.0085
2026-05-19,4.78,4.74,4.81,4.65,108680.0,星期二,0.0,-0.0084
2026-05-18,4.77,4.78,4.8,4.62,125367.0,星期一,0.0106,0.0021
2026-05-15,4.8,4.72,4.84,4.7,143173.0,星期五,0.0,-0.0167
2026-05-14,5.0,4.8,5.02,4.79,132848.0,星期四,0.0101,-0.04
2026-05-13,4.86,4.95,5.0,4.79,231547.0,星期三,0.0083,0.0185
2026-05-12,5.15,4.82,5.15,4.68,390950.0,星期二,-0.0096,-0.0641
2026-05-11,5.24,5.2,5.26,5.1,153711.0,星期一,0.0019,-0.0076
2026-05-08,5.15,5.23,5.25,5.12,112374.0,星期五,0.0039,0.0155
2026-05-07,5.18,5.13,5.21,5.13,104707.0,星期四,0.0,-0.0097
2026-05-06,5.22,5.18,5.26,5.14,117921.0,星期三,0.0038,-0.0077
2026-04-30,5.21,5.2,5.28,5.15,95625.0,星期四,0.0058,-0.0019
2026-04-29,5.04,5.18,5.22,5.04,132887.0,星期三,-0.0079,0.0278
2026-04-28,5.11,5.08,5.15,5.04,95648.0,星期二,-0.0058,-0.0059
2026-04-27,5.0,5.14,5.16,4.88,179225.0,星期一,-0.0079,0.028
2026-04-24,4.96,5.04,5.08,4.88,119148.0,星期五,-0.006,0.0161
2026-04-23,5.02,4.99,5.19,4.95,128897.0,星期四,0.0,-0.006
2026-04-22,5.12,5.02,5.12,4.98,119604.0,星期三,0.0,-0.0195
2026-04-21,5.12,5.12,5.24,5.1,170932.0,星期二,-0.0039,0.0
2026-04-20,5.01,5.14,5.16,4.96,139337.0,星期一,-0.004,0.0259
2026-04-17,5.1,5.03,5.15,4.94,168848.0,星期五,0.0099,-0.0137
2026-04-16,4.91,5.05,5.08,4.86,134597.0,星期四,0.002,0.0285
2026-04-15,5.0,4.9,5.04,4.89,88811.0,星期三,-0.002,-0.02
2026-04-14,5.04,5.01,5.06,4.95,92553.0,星期二,0.004,-0.006
2026-04-13,4.94,5.02,5.04,4.91,100779.0,星期一,-0.006,0.0162
2026-04-10,4.93,4.97,5.02,4.91,84618.0,星期五,0.0041,0.0081
2026-04-09,5.0,4.91,5.07,4.89,110761.0,星期四,0.0,-0.018
2026-04-08,4.94,5.0,5.04,4.94,129328.0,星期三,0.0165,0.0121
