time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,29.26,28.65,30.6,28.4,330504.0,星期五,-0.0132,-0.0208
2026-06-25,29.99,29.65,30.48,29.19,308861.0,星期四,0.0115,-0.0113
2026-06-24,29.02,29.65,30.29,28.68,400049.0,星期三,-0.0463,0.0217
2026-06-23,32.3,30.43,32.67,30.43,391666.0,星期二,-0.0447,-0.0579
2026-06-22,32.03,33.81,34.42,31.38,759857.0,星期一,0.0022,0.0556
2026-06-18,32.01,31.96,33.35,31.16,588177.0,星期四,-0.0217,-0.0016
2026-06-17,35.0,32.72,36.92,31.88,864820.0,星期三,0.0429,-0.0651
2026-06-16,31.06,33.56,33.56,31.06,220955.0,星期二,0.018,0.0805
2026-06-15,29.9,30.51,30.51,29.5,485767.0,星期一,0.0779,0.0204
2026-06-12,27.74,27.74,27.74,27.74,143005.0,星期五,0.0999,0.0
2026-06-11,22.91,25.22,25.22,22.8,335168.0,星期四,-0.0009,0.1008
2026-06-10,22.91,22.93,23.14,22.27,161867.0,星期三,-0.0142,0.0009
2026-06-09,23.56,23.24,23.72,22.42,162542.0,星期二,0.0099,-0.0136
2026-06-08,23.21,23.33,24.07,22.8,178729.0,星期一,-0.0389,0.0052
2026-06-05,24.5,24.15,25.06,23.69,203105.0,星期五,-0.0081,-0.0143
2026-06-04,24.9,24.7,25.14,24.42,149645.0,星期四,-0.0178,-0.008
2026-06-03,24.76,25.35,25.89,24.51,233850.0,星期三,-0.0151,0.0238
2026-06-02,25.0,25.14,25.67,23.58,248793.0,星期二,0.0036,0.0056
2026-06-01,24.91,24.91,26.45,24.62,299020.0,星期一,-0.0115,0.0
2026-05-29,28.37,25.2,28.5,25.2,427167.0,星期五,0.0132,-0.1117
2026-05-28,28.42,28.0,29.48,27.3,651649.0,星期四,0.0004,-0.0148
2026-05-27,26.93,28.41,28.41,26.8,399287.0,星期三,0.0426,0.055
2026-05-26,23.2,25.83,25.83,22.64,380273.0,星期二,-0.0119,0.1134
2026-05-25,24.89,23.48,25.05,23.17,235420.0,星期一,0.0093,-0.0566
2026-05-22,24.38,24.66,24.96,24.19,166225.0,星期五,0.0201,0.0115
2026-05-21,25.0,23.9,25.77,23.81,259959.0,星期四,0.0081,-0.044
2026-05-20,25.17,24.8,25.58,24.2,209785.0,星期三,-0.0047,-0.0147
2026-05-19,24.63,25.29,26.76,24.55,351743.0,星期二,-0.0069,0.0268
2026-05-18,23.81,24.8,25.25,23.7,199803.0,星期一,-0.0165,0.0416
2026-05-15,25.2,24.21,25.3,23.88,218600.0,星期五,0.008,-0.0393
2026-05-14,26.99,25.0,27.04,25.0,292882.0,星期四,0.0019,-0.0737
2026-05-13,26.48,26.94,27.68,26.08,411322.0,星期三,0.0122,0.0174
2026-05-12,26.71,26.16,28.29,25.24,400092.0,星期二,0.0238,-0.0206
2026-05-11,26.21,26.09,26.89,25.85,250709.0,星期一,-0.0109,-0.0046
2026-05-08,26.09,26.5,26.77,25.65,347607.0,星期五,0.0031,0.0157
2026-05-07,24.75,26.01,27.16,24.75,476493.0,星期四,0.0016,0.0509
2026-05-06,22.59,24.71,24.77,22.52,403741.0,星期三,0.0031,0.0938
2026-04-30,22.44,22.52,22.76,22.23,153691.0,星期四,-0.011,0.0036
2026-04-29,21.75,22.69,22.91,21.68,219453.0,星期三,0.0,0.0432
2026-04-28,22.35,21.75,22.48,21.53,150840.0,星期二,0.0036,-0.0268
2026-04-27,22.6,22.27,22.6,21.86,145987.0,星期一,-0.0022,-0.0146
2026-04-24,22.76,22.65,22.87,22.31,173737.0,星期五,-0.0087,-0.0048
2026-04-23,24.12,22.96,24.36,22.9,319985.0,星期四,-0.0054,-0.0481
2026-04-22,24.21,24.25,24.35,23.8,250188.0,星期三,-0.0182,0.0017
2026-04-21,23.87,24.66,25.29,23.53,402617.0,星期二,0.0029,0.0331
2026-04-20,22.9,23.8,23.96,22.82,324897.0,星期一,-0.0095,0.0393
2026-04-17,23.25,23.12,23.96,22.93,255487.0,星期五,-0.0077,-0.0056
2026-04-16,23.61,23.43,23.76,22.88,291578.0,星期四,-0.0067,-0.0076
2026-04-15,23.32,23.77,24.69,23.32,427499.0,星期三,0.0179,0.0193
2026-04-14,23.14,22.91,23.74,22.72,296460.0,星期二,-0.003,-0.0099
2026-04-13,22.67,23.21,23.66,22.67,362141.0,星期一,0.0027,0.0238
2026-04-10,23.73,22.61,23.88,22.57,434655.0,星期五,0.0064,-0.0472
2026-04-09,24.21,23.58,24.26,22.5,418113.0,星期四,0.0037,-0.026
2026-04-08,22.8,24.12,25.4,22.8,643037.0,星期三,-0.016,0.0579
2026-04-07,21.49,23.17,24.41,21.49,585651.0,星期二,-0.0346,0.0782
2026-04-03,23.8,22.26,24.66,22.24,545231.0,星期五,-0.0395,-0.0647
2026-04-02,23.33,24.78,25.56,22.25,776449.0,星期四,-0.0566,0.0622
2026-04-01,24.92,24.73,28.88,24.1,854270.0,星期三,-0.0997,-0.0076
2026-03-31,23.46,27.68,30.0,20.8,1076705.0,星期二,,0.1799
