time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,21.07,21.85,22.7,20.79,94867.0,星期五,0.0,0.037
2026-06-25,22.11,21.07,22.2,20.91,70449.0,星期四,0.0,-0.047
2026-06-24,22.5,22.11,22.6,21.61,71087.0,星期三,-0.0066,-0.0173
2026-06-23,23.41,22.65,23.68,22.4,70633.0,星期二,0.0043,-0.0325
2026-06-22,23.3,23.31,23.6,22.03,109298.0,星期一,-0.0177,0.0004
2026-06-18,26.0,23.72,26.33,23.72,119372.0,星期四,-0.0133,-0.0877
2026-06-17,26.85,26.35,27.2,25.83,105356.0,星期三,-0.0179,-0.0186
2026-06-16,27.1,27.34,28.38,26.73,96498.0,星期二,-0.0117,0.0089
2026-06-15,27.35,27.42,27.75,26.6,89850.0,星期一,0.0167,0.0026
2026-06-12,28.81,26.9,29.41,26.8,113966.0,星期五,0.0173,-0.0663
2026-06-11,28.96,28.32,29.2,28.0,130177.0,星期四,-0.0082,-0.0221
2026-06-10,28.64,29.2,31.22,28.5,232652.0,星期三,0.0081,0.0196
2026-06-09,26.06,28.41,28.41,25.0,150388.0,星期二,0.0089,0.0902
2026-06-08,27.06,25.83,28.2,25.83,110054.0,星期一,-0.0051,-0.0455
2026-06-05,27.07,27.2,28.48,25.9,113042.0,星期五,-0.0167,0.0048
2026-06-04,27.92,27.53,28.2,27.0,102714.0,星期四,-0.0221,-0.014
2026-06-03,26.69,28.55,28.6,26.07,166232.0,星期三,-0.0089,0.0697
2026-06-02,25.53,26.93,27.25,24.91,141336.0,星期二,-0.0211,0.0548
2026-06-01,25.48,26.08,27.0,24.88,163713.0,星期一,-0.0113,0.0235
2026-05-29,24.22,25.77,25.77,24.0,61067.0,星期五,0.0337,0.064
2026-05-28,23.27,23.43,23.59,22.41,51287.0,星期四,-0.0056,0.0069
2026-05-27,23.96,23.4,24.93,23.27,44984.0,星期三,-0.012,-0.0234
2026-05-26,24.45,24.25,24.9,23.67,62827.0,星期二,-0.022,-0.0082
2026-05-25,23.96,25.0,25.3,23.4,110461.0,星期一,-0.0017,0.0434
2026-05-22,24.15,24.0,24.6,23.33,91144.0,星期五,-0.0021,-0.0062
2026-05-21,25.46,24.2,26.03,24.2,165879.0,星期四,0.0396,-0.0495
2026-05-20,23.03,24.49,24.49,23.03,51461.0,星期三,0.0346,0.0634
2026-05-19,22.23,22.26,22.57,21.65,32813.0,星期二,-0.0031,0.0013
2026-05-18,22.49,22.3,22.51,22.12,18857.0,星期一,-0.0004,-0.0084
2026-05-15,23.05,22.5,23.1,22.03,33485.0,星期五,0.0,-0.0239
2026-05-14,23.32,23.05,23.5,22.99,29583.0,星期四,0.0043,-0.0116
2026-05-13,22.59,23.22,23.5,22.4,37071.0,星期三,-0.0048,0.0279
2026-05-12,22.74,22.7,22.89,22.45,28370.0,星期二,0.0,-0.0018
2026-05-11,22.52,22.74,22.76,22.38,29378.0,星期一,0.0,0.0098
2026-05-08,22.33,22.52,22.62,22.22,25284.0,星期五,-0.0124,0.0085
2026-05-07,21.98,22.61,22.77,21.83,51420.0,星期四,-0.0018,0.0287
2026-05-06,21.57,22.02,22.37,21.42,35433.0,星期三,0.0005,0.0209
2026-04-30,21.3,21.56,21.59,21.23,15971.0,星期四,-0.0047,0.0122
2026-04-29,20.94,21.4,21.5,20.77,16638.0,星期三,-0.0043,0.022
