time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,881.1,951.0,980.0,872.31,218734.0,星期五,-0.0111,0.0793
2026-06-25,830.0,891.0,891.0,829.19,202888.0,星期四,0.0247,0.0735
2026-06-24,759.0,810.0,816.88,743.51,182022.0,星期三,0.0053,0.0672
2026-06-23,730.0,755.01,796.0,706.0,171855.0,星期二,-0.0096,0.0343
2026-06-22,726.0,737.07,740.0,706.0,151961.0,星期一,0.0197,0.0152
2026-06-18,702.0,712.0,736.0,698.08,160788.0,星期四,-0.0107,0.0142
2026-06-17,642.0,709.62,720.0,633.5,171738.0,星期三,-0.0208,0.1053
2026-06-16,649.66,655.66,664.99,633.2,120557.0,星期二,0.0122,0.0092
2026-06-15,632.0,641.86,643.68,608.14,112302.0,星期一,0.0236,0.0156
2026-06-12,662.1,617.43,664.0,617.43,152458.0,星期五,0.047,-0.0675
2026-06-11,630.0,632.35,638.05,617.0,86063.0,星期四,0.0033,0.0037
2026-06-10,619.75,627.95,640.63,612.63,96313.0,星期三,-0.0096,0.0132
2026-06-09,605.55,625.74,629.25,598.5,106237.0,星期二,0.0297,0.0333
2026-06-08,568.18,588.1,609.0,568.18,112051.0,星期一,-0.0988,0.0351
2026-06-05,655.55,630.5,665.38,623.82,165280.0,星期五,-0.0372,-0.0382
2026-06-04,612.58,680.85,680.85,612.58,191661.0,星期四,-0.0103,0.1114
2026-06-03,600.0,618.95,639.99,598.0,125917.0,星期三,-0.0097,0.0316
2026-06-02,600.0,605.9,611.66,583.0,110273.0,星期二,0.0043,0.0098
2026-06-01,641.4,597.41,646.0,597.0,121728.0,星期一,0.0022,-0.0686
2026-05-29,669.0,640.0,679.58,630.0,125844.0,星期五,0.0177,-0.0433
2026-05-28,655.02,657.35,669.5,633.89,109700.0,星期四,-0.015,0.0036
2026-05-27,680.0,665.0,703.0,660.8,158845.0,星期三,0.0317,-0.0221
2026-05-26,688.05,659.1,688.05,643.0,136401.0,星期二,-0.01,-0.0421
2026-05-25,669.99,695.0,698.5,657.01,133567.0,星期一,-0.0059,0.0373
2026-05-22,671.0,674.0,680.39,651.02,132272.0,星期五,0.0227,0.0045
2026-05-21,707.0,656.1,709.8,652.88,142761.0,星期四,0.0159,-0.072
2026-05-20,705.0,695.96,717.45,685.0,128465.0,星期三,0.0084,-0.0128
2026-05-19,712.0,699.16,716.0,672.94,150561.0,星期二,-0.0313,-0.018
2026-05-18,707.0,735.04,743.56,702.58,167160.0,星期一,-0.0071,0.0397
2026-05-15,722.01,712.06,759.99,697.62,213475.0,星期五,0.0005,-0.0138
2026-05-14,699.0,721.65,739.48,689.0,190781.0,星期四,0.0282,0.0324
2026-05-13,595.24,679.8,679.8,595.24,168739.0,星期三,-0.0368,0.1421
2026-05-12,630.56,618.0,633.5,610.0,150166.0,星期二,-0.0135,-0.0199
2026-05-11,631.11,639.21,644.96,616.13,180514.0,星期一,0.0559,0.0128
2026-05-08,599.23,597.71,609.98,592.9,150562.0,星期五,-0.028,-0.0025
2026-05-07,603.0,616.51,633.0,597.0,252913.0,星期四,0.0445,0.0224
2026-05-06,570.0,577.29,577.29,560.38,78830.0,星期三,0.0861,0.0128
2026-04-30,517.71,524.81,535.0,509.01,193544.0,星期四,-0.01,0.0137
2026-04-29,491.22,522.93,525.0,485.5,175813.0,星期三,-0.0104,0.0646
