time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,59.49,58.18,59.9,57.71,46206.0,星期五,-0.0085,-0.022
2026-06-25,61.68,60.0,62.98,58.19,74947.0,星期四,0.0135,-0.0272
2026-06-24,58.0,60.86,61.0,55.83,62788.0,星期三,-0.0089,0.0493
2026-06-23,59.2,58.52,59.78,57.85,43941.0,星期二,0.0,-0.0115
2026-06-22,58.61,59.2,60.2,56.8,51881.0,星期一,0.0003,0.0101
2026-06-18,57.61,58.59,59.63,56.7,52763.0,星期四,0.0016,0.017
2026-06-17,57.24,57.52,58.57,56.33,53836.0,星期三,-0.0037,0.0049
2026-06-16,53.16,57.45,58.46,53.16,67521.0,星期二,0.0002,0.0807
2026-06-15,51.01,53.15,53.2,51.0,40448.0,星期一,0.0024,0.042
2026-06-12,51.9,50.89,53.71,50.65,44664.0,星期五,0.0117,-0.0195
2026-06-11,52.72,51.3,53.0,50.75,46056.0,星期四,-0.0081,-0.0269
2026-06-10,52.42,53.15,55.17,52.11,54059.0,星期三,-0.0137,0.0139
2026-06-09,53.89,53.15,54.4,51.9,44692.0,星期二,0.0114,-0.0137
2026-06-08,53.57,53.28,55.74,52.82,51783.0,星期一,-0.05,-0.0054
2026-06-05,54.83,56.39,57.73,53.56,79799.0,星期五,-0.0112,0.0285
2026-06-04,57.44,55.45,58.9,55.26,103885.0,星期四,0.0003,-0.0346
2026-06-03,55.66,57.42,60.64,55.66,168172.0,星期三,-0.0716,0.0316
2026-06-02,64.0,59.95,64.0,57.85,184180.0,星期二,-0.0071,-0.0633
2026-06-01,62.0,64.46,64.46,60.97,45206.0,星期一,0.058,0.0397
2026-05-29,58.81,58.6,61.88,57.6,69869.0,星期五,0.0002,-0.0036
2026-05-28,57.58,58.8,61.08,57.25,54972.0,星期四,0.0049,0.0212
2026-05-27,61.0,57.3,61.5,56.77,72040.0,星期三,0.0163,-0.0607
2026-05-26,57.5,60.02,60.68,57.0,75263.0,星期二,-0.0086,0.0438
2026-05-25,55.0,58.0,58.37,54.2,57006.0,星期一,0.007,0.0545
2026-05-22,52.69,54.62,54.98,52.28,31977.0,星期五,0.0055,0.0366
2026-05-21,54.61,52.4,55.6,52.28,37110.0,星期四,0.0072,-0.0405
2026-05-20,54.5,54.22,55.14,54.0,23942.0,星期三,-0.0066,-0.0051
2026-05-19,53.97,54.86,55.12,53.15,29971.0,星期二,0.0,0.0165
2026-05-18,54.66,53.97,54.83,53.5,29968.0,星期一,-0.0031,-0.0126
2026-05-15,55.14,54.83,56.0,54.31,39689.0,星期五,-0.0014,-0.0056
2026-05-14,56.13,55.22,56.35,55.15,34011.0,星期四,0.005,-0.0162
2026-05-13,56.24,55.85,56.84,55.12,49312.0,星期三,-0.0014,-0.0069
2026-05-12,57.4,56.32,58.33,55.72,67573.0,星期二,-0.019,-0.0188
2026-05-11,57.67,58.51,59.28,57.0,75552.0,星期一,-0.0029,0.0146
2026-05-08,54.78,57.84,59.2,54.64,73882.0,星期五,-0.0139,0.0559
2026-05-07,52.13,55.55,56.0,51.5,78726.0,星期四,-0.0002,0.0656
2026-05-06,50.76,52.14,52.9,50.76,57419.0,星期三,0.0008,0.0272
2026-04-30,50.17,50.72,51.3,49.93,54089.0,星期四,0.0014,0.011
2026-04-29,48.6,50.1,51.96,48.5,65828.0,星期三,-0.0082,0.0309
2026-04-28,49.4,49.0,50.9,48.61,71364.0,星期二,-0.0214,-0.0081
2026-04-27,48.28,50.48,50.96,48.24,104046.0,星期一,-0.0037,0.0456
2026-04-24,49.37,48.46,49.37,46.8,124211.0,星期五,0.0179,-0.0184
2026-04-23,47.9,48.5,48.5,46.92,99845.0,星期四,0.0864,0.0125
2026-04-22,43.5,44.09,44.28,43.3,17996.0,星期三,-0.0016,0.0136
2026-04-21,43.82,43.57,44.11,43.14,16478.0,星期二,-0.0043,-0.0057
2026-04-20,43.55,44.01,44.14,43.41,13797.0,星期一,-0.0002,0.0106
2026-04-17,43.5,43.56,44.05,43.46,11802.0,星期五,-0.0023,0.0014
2026-04-16,42.94,43.6,43.74,42.85,12249.0,星期四,0.0002,0.0154
2026-04-15,43.46,42.93,43.69,42.82,16314.0,星期三,0.0007,-0.0122
2026-04-14,42.71,43.43,43.65,42.71,21295.0,星期二,0.0068,0.0169
2026-04-13,41.8,42.42,42.66,41.8,13281.0,星期一,-0.0085,0.0148
2026-04-10,41.94,42.16,42.57,41.86,17853.0,星期五,0.006,0.0052
2026-04-09,41.2,41.69,42.24,41.07,24664.0,星期四,-0.0089,0.0119
2026-04-08,40.4,41.57,41.6,40.27,23793.0,星期三,0.0223,0.029
2026-04-07,38.59,39.52,39.6,38.59,14945.0,星期二,0.0003,0.0241
2026-04-03,39.26,38.58,39.46,38.32,12940.0,星期五,0.0013,-0.0173
2026-04-02,39.99,39.21,40.25,38.91,14132.0,星期四,-0.0027,-0.0195
2026-04-01,40.0,40.1,40.4,39.57,19001.0,星期三,0.0155,0.0025
2026-03-31,39.41,39.39,40.28,39.2,15070.0,星期二,-0.0043,-0.0005
2026-03-30,39.0,39.58,39.77,38.67,13282.0,星期一,-0.0213,0.0149
2026-03-27,38.96,39.85,40.01,38.85,11947.0,星期五,-0.0154,0.0228
2026-03-26,40.65,39.57,40.88,39.43,19399.0,星期四,-0.0029,-0.0266
2026-03-25,39.9,40.77,41.17,39.77,25509.0,星期三,-0.0023,0.0218
2026-03-24,41.37,39.99,41.5,38.7,37488.0,星期二,0.0253,-0.0334
2026-03-23,42.71,40.35,43.14,40.22,24919.0,星期一,-0.017,-0.0553
2026-03-20,45.12,43.45,45.36,43.4,21564.0,星期五,0.0045,-0.037
2026-03-19,45.4,44.92,46.05,44.65,25008.0,星期四,-0.0283,-0.0106
2026-03-18,45.5,46.72,46.98,45.1,25128.0,星期三,0.0026,0.0268
2026-03-17,46.2,45.38,46.36,45.37,22100.0,星期二,0.0041,-0.0177
2026-03-16,45.78,46.01,46.1,45.3,21154.0,星期一,-0.0069,0.005
2026-03-13,46.63,46.1,47.6,45.94,33403.0,星期五,-0.0058,-0.0114
2026-03-12,48.0,46.9,48.5,46.89,47402.0,星期四,-0.0113,-0.0229
2026-03-11,48.24,48.55,48.63,47.63,58711.0,星期三,-0.0155,0.0064
2026-03-10,50.0,49.0,50.0,48.25,109021.0,星期二,-0.0223,-0.02
2026-03-09,48.0,51.14,51.14,47.47,121617.0,星期一,0.0008,0.0654
2026-03-06,45.4,47.96,48.84,45.16,37198.0,星期五,0.002,0.0564
2026-03-05,45.0,45.31,45.7,45.0,16420.0,星期四,0.0101,0.0069
2026-03-04,44.75,44.55,45.46,44.45,17571.0,星期三,-0.01,-0.0045
2026-03-03,46.45,45.2,47.1,45.17,33743.0,星期二,0.0002,-0.0269
2026-03-02,47.52,46.44,47.99,46.3,29349.0,星期一,-0.017,-0.0227
2026-02-27,47.77,48.34,48.45,47.33,22669.0,星期五,-0.0027,0.0119
2026-02-26,47.85,47.9,48.21,47.72,19350.0,星期四,0.0006,0.001
2026-02-25,48.4,47.82,48.48,47.42,24031.0,星期三,0.0039,-0.012
2026-02-24,48.65,48.21,48.65,46.74,27003.0,星期二,0.006,-0.009
2026-02-13,47.91,48.36,48.85,47.91,22641.0,星期五,-0.0025,0.0094
2026-02-12,47.99,48.03,48.33,47.47,21632.0,星期四,-0.0002,0.0008
2026-02-11,48.4,48.0,48.86,47.52,37955.0,星期三,0.0283,-0.0083
2026-02-10,46.73,47.07,47.64,46.73,13390.0,星期二,-0.0026,0.0073
2026-02-09,46.39,46.85,47.14,46.21,18014.0,星期一,0.0096,0.0099
2026-02-06,45.43,45.95,46.24,45.1,20526.0,星期五,-0.0059,0.0114
2026-02-05,46.5,45.7,46.5,45.61,16802.0,星期四,-0.0032,-0.0172
2026-02-04,47.0,46.65,47.18,46.26,19376.0,星期三,-0.0063,-0.0074
2026-02-03,47.04,47.3,47.5,46.51,20348.0,星期二,0.0116,0.0055
2026-02-02,47.09,46.5,49.19,46.5,31356.0,星期一,-0.0047,-0.0125
2026-01-30,47.5,47.31,47.7,46.55,24750.0,星期五,-0.0044,-0.004
2026-01-29,48.22,47.71,49.11,47.7,36718.0,星期四,-0.0119,-0.0106
2026-01-28,49.31,48.8,49.95,48.54,54219.0,星期三,-0.0212,-0.0103
2026-01-27,48.13,50.38,50.49,47.38,87244.0,星期二,-0.0064,0.0467
2026-01-26,48.76,48.44,48.9,47.8,50947.0,星期一,0.0072,-0.0066
2026-01-23,50.7,48.41,50.7,48.15,88603.0,星期五,0.0934,-0.0452
2026-01-22,46.37,46.37,47.34,46.26,16219.0,星期四,0.0002,0.0
2026-01-21,45.54,46.36,46.55,45.43,21987.0,星期三,-0.0094,0.018
2026-01-20,47.28,45.97,47.28,45.7,36476.0,星期二,-0.0055,-0.0277
2026-01-19,46.35,47.54,48.0,46.0,45784.0,星期一,-0.0075,0.0257
2026-01-16,46.5,46.7,47.0,45.78,30913.0,星期五,0.0041,0.0043
2026-01-15,46.5,46.31,47.1,45.9,27464.0,星期四,-0.0081,-0.0041
2026-01-14,46.56,46.88,47.87,46.14,51795.0,星期三,0.0106,0.0069
2026-01-13,47.63,46.07,47.94,45.9,41044.0,星期二,-0.0002,-0.0328
2026-01-12,45.49,47.64,48.02,45.49,66266.0,星期一,0.0022,0.0473
2026-01-09,45.2,45.39,45.4,44.84,24295.0,星期五,0.0044,0.0042
2026-01-08,44.82,45.0,45.48,44.8,18375.0,星期四,0.0036,0.004
2026-01-07,45.49,44.66,45.49,44.6,26518.0,星期三,0.0009,-0.0182
2026-01-06,45.8,45.45,45.99,45.01,31848.0,星期二,0.0028,-0.0076
2026-01-05,44.86,45.67,45.8,44.44,31241.0,星期一,0.0011,0.0181
2025-12-31,45.21,44.81,45.54,44.0,29695.0,星期三,0.0203,-0.0088
2025-12-30,43.38,44.31,45.3,43.19,35014.0,星期二,0.0,0.0214
2025-12-29,43.16,43.38,43.8,43.02,13573.0,星期一,-0.0002,0.0051
2025-12-26,43.39,43.17,43.68,43.01,13447.0,星期五,-0.0053,-0.0051
2025-12-25,43.38,43.62,43.72,43.17,11552.0,星期四,-0.0009,0.0055
2025-12-24,42.62,43.42,43.46,42.49,13057.0,星期三,0.0,0.0188
2025-12-23,43.03,42.62,43.17,42.46,10947.0,星期二,-0.0019,-0.0095
2025-12-22,43.03,43.11,43.47,43.03,10116.0,星期一,0.0,0.0019
2025-12-19,42.65,43.03,43.24,42.65,10862.0,星期五,0.0005,0.0089
2025-12-18,42.45,42.63,43.08,42.18,12815.0,星期四,-0.0075,0.0042
2025-12-17,42.74,42.77,42.99,41.91,18098.0,星期三,0.0,0.0007
2025-12-16,43.69,42.74,43.88,42.63,16884.0,星期二,0.0002,-0.0217
2025-12-15,43.86,43.68,44.2,43.6,13857.0,星期一,-0.0113,-0.0041
2025-12-12,44.4,44.36,44.86,43.98,13985.0,星期五,0.0,-0.0009
2025-12-11,45.68,44.4,45.78,44.36,20277.0,星期四,0.0002,-0.028
2025-12-10,46.0,45.67,46.09,45.43,13781.0,星期三,-0.0015,-0.0072
2025-12-09,46.18,46.07,46.7,46.01,15402.0,星期二,-0.0032,-0.0024
2025-12-08,46.2,46.33,46.5,45.88,17074.0,星期一,-0.0019,0.0028
2025-12-05,46.1,46.29,46.7,45.31,18308.0,星期五,0.0022,0.0041
2025-12-04,46.24,46.0,46.68,45.41,19116.0,星期四,-0.0039,-0.0052
2025-12-03,47.36,46.42,47.65,46.26,20845.0,星期三,-0.0004,-0.0198
2025-12-02,47.25,47.38,47.9,47.04,29827.0,星期二,-0.0008,0.0028
2025-12-01,46.13,47.29,47.8,45.88,43620.0,星期一,0.0044,0.0251
2025-11-28,46.28,45.93,46.33,45.73,14275.0,星期五,0.0067,-0.0076
2025-11-27,45.4,45.97,46.31,45.39,22244.0,星期四,-0.0011,0.0126
2025-11-26,45.22,45.45,46.25,45.18,17462.0,星期三,-0.0051,0.0051
2025-11-25,45.18,45.45,45.88,45.1,21208.0,星期二,0.004,0.006
2025-11-24,43.8,45.0,45.18,43.33,24760.0,星期一,0.0101,0.0274
2025-11-21,45.08,43.36,45.64,43.34,26614.0,星期五,-0.0094,-0.0382
2025-11-20,46.07,45.51,46.5,45.5,14309.0,星期四,0.0033,-0.0122
2025-11-19,46.61,45.92,46.73,45.82,19251.0,星期三,-0.0032,-0.0148
2025-11-18,46.14,46.76,46.9,46.14,19819.0,星期二,-0.0052,0.0134
2025-11-17,45.9,46.38,46.78,45.81,18067.0,星期一,-0.0002,0.0105
2025-11-14,45.9,45.91,46.3,45.86,13809.0,星期五,-0.0084,0.0002
2025-11-13,46.19,46.29,46.37,45.9,15628.0,星期四,0.0,0.0022
2025-11-12,47.15,46.19,47.31,45.68,25862.0,星期三,-0.0038,-0.0204
2025-11-11,47.02,47.33,47.4,46.96,20919.0,星期二,-0.003,0.0066
2025-11-10,46.76,47.16,47.18,46.55,21682.0,星期一,-0.0009,0.0086
2025-11-07,46.8,46.8,47.07,46.63,18251.0,星期五,-0.0066,0.0
2025-11-06,47.4,47.11,47.52,46.82,23032.0,星期四,0.0006,-0.0061
2025-11-05,47.21,47.37,47.6,47.0,25315.0,星期三,-0.013,0.0034
2025-11-04,48.63,47.83,48.9,47.21,30606.0,星期二,0.0,-0.0165
2025-11-03,48.12,48.63,48.69,47.86,29356.0,星期一,-0.0084,0.0106
2025-10-31,48.94,48.53,49.98,48.43,44934.0,星期五,0.0277,-0.0084
2025-10-30,48.47,47.62,48.51,47.6,34713.0,星期四,0.0002,-0.0175
2025-10-29,48.89,48.46,48.89,47.94,49423.0,星期三,-0.0127,-0.0088
2025-10-28,49.6,49.52,49.88,49.2,41084.0,星期二,-0.002,-0.0016
2025-10-27,49.3,49.7,49.77,48.81,49597.0,星期一,0.0,0.0081
2025-10-24,49.6,49.3,49.98,49.18,47353.0,星期五,-0.0016,-0.006
2025-10-23,51.01,49.68,51.17,49.18,66712.0,星期四,-0.0139,-0.0261
2025-10-22,51.07,51.73,53.5,49.97,111949.0,星期三,-0.0239,0.0129
2025-10-21,53.88,52.32,53.88,51.07,157791.0,星期二,-0.0384,-0.029
2025-10-20,56.03,56.03,56.03,55.02,66227.0,星期一,0.0999,0.0
2025-09-26,50.49,50.94,51.48,49.88,46282.0,星期五,-0.01,0.0089
2025-09-25,50.35,51.0,52.15,49.8,52051.0,星期四,0.0006,0.0129
2025-09-24,48.57,50.32,50.46,47.9,40670.0,星期三,-0.0035,0.036
2025-09-23,50.2,48.74,50.61,47.82,35776.0,星期二,0.002,-0.0291
2025-09-22,49.76,50.1,50.94,49.59,33593.0,星期一,0.0075,0.0068
2025-09-19,49.99,49.39,50.72,49.08,26217.0,星期五,0.0077,-0.012
2025-09-18,50.48,49.61,51.11,49.13,42051.0,星期四,-0.0034,-0.0172
2025-09-17,51.06,50.65,51.57,50.58,30494.0,星期三,0.0018,-0.008
2025-09-16,50.4,50.97,50.98,49.9,27644.0,星期二,0.0004,0.0113
2025-09-15,50.24,50.38,50.99,49.69,32511.0,星期一,0.0068,0.0028
2025-09-12,50.45,49.9,51.13,49.9,36842.0,星期五,0.0014,-0.0109
2025-09-11,48.6,50.38,50.39,48.11,45664.0,星期四,0.0,0.0366
2025-09-10,48.99,48.6,49.67,48.48,33713.0,星期三,-0.0002,-0.008
2025-09-09,50.45,49.0,50.69,48.77,39909.0,星期二,-0.0061,-0.0287
2025-09-08,49.7,50.76,51.0,49.12,44330.0,星期一,0.0024,0.0213
2025-09-05,48.68,49.58,49.7,48.15,35376.0,星期五,0.0058,0.0185
2025-09-04,49.8,48.4,50.58,47.52,45715.0,星期四,0.0061,-0.0281
2025-09-03,51.44,49.5,51.82,49.39,40424.0,星期三,0.0002,-0.0377
2025-09-02,53.57,51.43,53.81,50.9,58394.0,星期二,-0.0046,-0.0399
2025-09-01,54.59,53.82,55.08,53.5,58105.0,星期一,0.0002,-0.0141
2025-08-29,55.5,54.58,56.5,54.37,51660.0,星期五,-0.0061,-0.0166
2025-08-28,55.06,55.84,56.26,54.2,83912.0,星期四,0.0002,0.0142
2025-08-27,57.0,55.05,57.68,55.05,73097.0,星期三,0.0037,-0.0342
2025-08-26,55.72,56.79,57.95,54.98,79034.0,星期二,-0.0082,0.0192
2025-08-25,55.96,56.18,56.98,54.79,85878.0,星期一,0.0067,0.0039
2025-08-22,54.88,55.59,55.65,54.28,73602.0,星期五,-0.0016,0.0129
2025-08-21,53.96,54.97,58.0,53.8,98951.0,星期四,-0.0009,0.0187
2025-08-20,53.19,54.01,54.24,53.06,62401.0,星期三,-0.0226,0.0154
2025-08-19,53.29,54.42,55.8,52.7,119741.0,星期二,0.0051,0.0212
2025-08-18,51.11,53.02,54.0,50.8,115660.0,星期一,-0.0199,0.0374
2025-08-15,53.53,52.15,53.98,51.5,104304.0,星期五,0.0392,-0.0258
2025-08-14,53.0,51.51,53.96,51.01,92820.0,星期四,0.0192,-0.0281
2025-08-13,49.73,52.0,53.5,49.0,125081.0,星期三,-0.004,0.0456
2025-08-12,48.9,49.93,50.64,48.9,76752.0,星期二,-0.0008,0.0211
2025-08-11,48.39,48.94,50.3,48.11,83662.0,星期一,0.0117,0.0114
2025-08-08,48.16,47.83,48.65,47.57,51857.0,星期五,0.0086,-0.0069
2025-08-07,48.08,47.75,48.66,47.53,40249.0,星期四,0.0004,-0.0069
2025-08-06,47.23,48.06,48.38,46.98,47747.0,星期三,-0.0008,0.0176
