time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,16.45,15.89,16.5,15.8,22434.0,星期五,-0.0042,-0.034
2026-06-25,16.87,16.52,17.05,16.3,19748.0,星期四,-0.0041,-0.0207
2026-06-24,17.74,16.94,17.76,16.8,14878.0,星期三,0.004,-0.0451
2026-06-23,17.66,17.67,18.08,17.55,10510.0,星期二,-0.0067,0.0006
2026-06-22,17.67,17.78,17.82,17.25,8840.0,星期一,0.0,0.0062
2026-06-18,17.95,17.67,17.96,17.59,7579.0,星期四,-0.0006,-0.0156
2026-06-17,18.42,17.96,18.42,17.82,8933.0,星期三,-0.0027,-0.025
2026-06-16,18.63,18.47,18.77,18.36,8576.0,星期二,-0.0005,-0.0086
2026-06-15,18.88,18.64,18.97,18.56,8591.0,星期一,0.0059,-0.0127
2026-06-12,18.42,18.77,18.9,18.42,9441.0,星期五,0.0011,0.019
2026-06-11,18.36,18.4,18.67,18.1,8208.0,星期四,-0.0129,0.0022
2026-06-10,18.7,18.6,18.76,18.32,11349.0,星期三,0.0021,-0.0053
2026-06-09,19.11,18.66,19.21,18.57,15850.0,星期二,0.0042,-0.0235
2026-06-08,20.17,19.03,20.6,19.02,28149.0,星期一,-0.0882,-0.0565
2026-06-05,20.62,22.12,22.14,20.41,27721.0,星期五,0.0019,0.0727
2026-06-04,20.83,20.58,20.95,20.3,9041.0,星期四,-0.0024,-0.012
2026-06-03,20.9,20.88,21.07,20.57,7027.0,星期三,-0.0024,-0.001
2026-06-02,21.01,20.95,21.45,20.83,11633.0,星期二,-0.001,-0.0029
2026-06-01,20.77,21.03,21.17,20.14,18529.0,星期一,0.0206,0.0125
2026-05-29,20.1,20.35,20.56,20.02,12572.0,星期五,0.0,0.0124
2026-05-28,20.49,20.1,20.49,20.0,12967.0,星期四,0.0029,-0.019
2026-05-27,20.8,20.43,20.88,20.07,12315.0,星期三,0.0048,-0.0178
2026-05-26,20.74,20.7,21.03,20.45,13541.0,星期二,-0.0019,-0.0019
2026-05-25,21.52,20.78,21.55,20.58,14158.0,星期一,0.0,-0.0344
2026-05-22,22.23,21.52,22.35,21.41,13458.0,星期五,0.0014,-0.0319
2026-05-21,22.79,22.2,22.83,22.05,8442.0,星期四,0.0102,-0.0259
2026-05-20,23.21,22.56,23.23,22.5,8909.0,星期三,-0.0017,-0.028
2026-05-19,23.4,23.25,23.48,23.19,5536.0,星期二,-0.0004,-0.0064
