time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,41.91,40.19,41.91,40.0,28860.0,星期五,-0.0033,-0.041
2026-06-25,43.1,42.05,43.2,41.66,24546.0,星期四,-0.0023,-0.0244
2026-06-24,43.58,43.2,43.94,41.31,33247.0,星期三,-0.0005,-0.0087
2026-06-23,44.35,43.6,45.65,43.22,30920.0,星期二,0.0066,-0.0169
2026-06-22,45.99,44.06,46.73,42.9,42148.0,星期一,-0.0114,-0.042
2026-06-18,45.75,46.52,47.6,45.56,41939.0,星期四,-0.0117,0.0168
2026-06-17,45.9,46.29,46.37,44.45,33368.0,星期三,-0.0026,0.0085
2026-06-16,46.49,46.02,47.38,45.32,28261.0,星期二,-0.0019,-0.0101
2026-06-15,45.78,46.58,47.54,45.2,31718.0,星期一,0.011,0.0175
2026-06-12,46.95,45.28,47.16,45.05,27814.0,星期五,0.0187,-0.0356
2026-06-11,47.02,46.09,47.91,45.81,41413.0,星期四,-0.0097,-0.0198
2026-06-10,42.6,47.48,47.48,42.0,51488.0,星期三,-0.013,0.1146
2026-06-09,44.71,43.16,44.99,42.47,34064.0,星期二,0.012,-0.0347
2026-06-08,45.11,44.18,49.14,43.1,47462.0,星期一,-0.0503,-0.0206
2026-06-05,47.81,47.5,49.4,47.03,37007.0,星期五,-0.0138,-0.0065
2026-06-04,52.38,48.48,53.0,48.01,59067.0,星期四,-0.0108,-0.0745
2026-06-03,49.4,52.95,53.88,48.4,64546.0,星期三,0.0,0.0719
2026-06-02,47.8,49.4,50.3,47.16,57244.0,星期二,-0.004,0.0335
2026-06-01,46.28,47.99,48.39,44.2,58215.0,星期一,-0.0037,0.0369
2026-05-29,45.31,46.45,48.98,45.31,59884.0,星期五,-0.2917,0.0252
2026-05-28,64.26,63.97,65.52,62.49,20791.0,星期四,-0.0086,-0.0045
2026-05-27,65.29,64.82,67.5,64.05,22640.0,星期三,-0.0079,-0.0072
2026-05-26,69.09,65.81,69.17,64.0,38692.0,星期二,-0.0059,-0.0475
2026-05-25,67.1,69.5,71.36,66.51,40647.0,星期一,-0.0013,0.0358
2026-05-22,65.1,67.19,67.57,64.26,24219.0,星期五,0.0093,0.0321
2026-05-21,66.05,64.5,68.47,64.18,26096.0,星期四,-0.0005,-0.0235
2026-05-20,65.8,66.08,66.55,63.97,20782.0,星期三,-0.0057,0.0043
2026-05-19,65.95,66.18,66.88,64.33,18687.0,星期二,0.0058,0.0035
2026-05-18,66.51,65.57,67.88,64.51,25430.0,星期一,0.0,-0.0141
2026-05-15,64.44,66.51,68.36,64.05,33167.0,星期五,-0.0036,0.0321
2026-05-14,65.66,64.67,69.3,64.51,31257.0,星期四,0.0024,-0.0151
2026-05-13,63.91,65.5,66.6,63.4,22285.0,星期三,-0.0091,0.0249
2026-05-12,65.71,64.5,65.92,63.3,27145.0,星期二,-0.0032,-0.0184
2026-05-11,63.26,65.92,66.17,63.0,42240.0,星期一,0.0,0.042
2026-05-08,64.38,63.26,64.49,62.8,22211.0,星期五,-0.002,-0.0174
2026-05-07,64.05,64.51,65.66,63.1,24487.0,星期四,-0.0008,0.0072
2026-05-06,63.19,64.1,64.31,62.8,28219.0,星期三,0.0062,0.0144
2026-04-30,63.94,62.8,63.95,62.0,26019.0,星期四,-0.0005,-0.0178
2026-04-29,64.94,63.97,65.41,63.5,34069.0,星期三,0.01,-0.0149
