time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,24.17,23.23,24.3,23.16,21767.0,星期五,-0.0135,-0.0389
2026-06-25,25.5,24.5,25.5,24.25,16203.0,星期四,0.0079,-0.0392
2026-06-24,25.47,25.3,26.91,24.71,23330.0,星期三,0.0012,-0.0067
2026-06-23,24.3,25.44,26.26,24.3,21932.0,星期二,-0.0126,0.0469
2026-06-22,24.5,24.61,24.94,23.67,17234.0,星期一,-0.0101,0.0045
2026-06-18,25.45,24.75,25.45,24.63,16645.0,星期四,0.0016,-0.0275
2026-06-17,25.85,25.41,26.15,25.2,18371.0,星期三,-0.0077,-0.017
2026-06-16,25.5,26.05,26.23,24.54,16303.0,星期二,0.0119,0.0216
2026-06-15,25.5,25.2,25.86,24.47,18648.0,星期一,0.0387,-0.0118
2026-06-12,24.06,24.55,24.83,23.92,12270.0,星期五,0.0021,0.0204
2026-06-11,24.18,24.01,24.6,23.64,10084.0,星期四,-0.0062,-0.007
2026-06-10,24.01,24.33,24.78,23.56,19735.0,星期三,0.0046,0.0133
2026-06-09,23.93,23.9,24.38,23.51,10416.0,星期二,0.0021,-0.0013
2026-06-08,24.95,23.88,25.14,23.5,15786.0,星期一,-0.0123,-0.0429
2026-06-05,24.72,25.26,25.69,24.43,14733.0,星期五,0.0004,0.0218
2026-06-04,24.95,24.71,25.15,24.5,11204.0,星期四,0.0004,-0.0096
2026-06-03,25.29,24.94,25.36,24.71,12305.0,星期三,0.0032,-0.0138
2026-06-02,25.9,25.21,26.08,25.04,11982.0,星期二,0.0,-0.0266
2026-06-01,25.74,25.9,26.23,25.2,15558.0,星期一,-0.0039,0.0062
2026-05-29,26.45,25.84,26.98,25.6,11726.0,星期五,-0.0004,-0.0231
2026-05-28,26.25,26.46,26.8,26.06,13099.0,星期四,-0.0042,0.008
2026-05-27,26.99,26.36,27.08,26.02,12417.0,星期三,-0.0004,-0.0233
2026-05-26,27.6,27.0,27.6,26.57,14418.0,星期二,0.0066,-0.0217
2026-05-25,28.53,27.42,28.75,27.03,17794.0,星期一,-0.0004,-0.0389
2026-05-22,28.2,28.54,28.65,27.84,14351.0,星期五,0.0057,0.0121
2026-05-21,29.65,28.04,30.0,27.39,23584.0,星期四,0.0082,-0.0543
2026-05-20,29.87,29.41,29.92,28.3,16770.0,星期三,0.001,-0.0154
2026-05-19,29.96,29.84,30.19,29.51,14874.0,星期二,-0.0013,-0.004
2026-05-18,29.51,30.0,30.21,29.35,20674.0,星期一,0.0,0.0166
2026-05-15,29.58,29.51,30.47,29.36,18773.0,星期五,0.0068,-0.0024
2026-05-14,29.73,29.38,29.85,29.03,18455.0,星期四,0.0024,-0.0118
2026-05-13,29.88,29.66,30.15,29.5,15447.0,星期三,0.0003,-0.0074
2026-05-12,30.88,29.87,30.94,29.66,21040.0,星期二,-0.0023,-0.0327
2026-05-11,30.28,30.95,31.1,30.06,34596.0,星期一,0.0087,0.0221
2026-05-08,29.89,30.02,30.65,29.8,26091.0,星期五,0.001,0.0043
2026-05-07,29.45,29.86,30.23,29.05,41948.0,星期四,0.0044,0.0139
2026-05-06,28.99,29.32,29.5,28.7,38378.0,星期三,0.0098,0.0114
2026-04-30,29.16,28.71,29.2,28.66,30593.0,星期四,-0.0014,-0.0154
2026-04-29,30.69,29.2,30.69,29.2,69215.0,星期三,-0.0097,-0.0486
2026-04-28,28.22,30.99,30.99,28.22,74448.0,星期二,0.0018,0.0982
2026-04-27,28.17,28.17,28.32,27.87,7375.0,星期一,0.0014,0.0
2026-04-24,27.54,28.13,28.48,27.19,11181.0,星期五,-0.0033,0.0214
2026-04-23,27.8,27.63,28.72,27.27,19069.0,星期四,-0.0004,-0.0061
2026-04-22,27.98,27.81,28.18,27.78,7466.0,星期三,-0.0018,-0.0061
2026-04-21,27.63,28.03,28.6,27.5,14412.0,星期二,0.0014,0.0145
2026-04-20,27.09,27.59,27.69,27.08,10321.0,星期一,0.0,0.0185
2026-04-17,26.93,27.09,27.32,26.4,11719.0,星期五,-0.0015,0.0059
2026-04-16,25.9,26.97,27.55,25.75,21165.0,星期四,0.0023,0.0413
2026-04-15,26.37,25.84,26.5,25.78,9955.0,星期三,0.0065,-0.0201
2026-04-14,26.13,26.2,26.46,25.65,14873.0,星期二,0.0038,0.0027
2026-04-13,26.51,26.03,26.52,25.86,7742.0,星期一,0.0034,-0.0181
2026-04-10,26.71,26.42,26.78,26.19,9021.0,星期五,0.0106,-0.0109
2026-04-09,27.3,26.43,27.3,26.27,8903.0,星期四,-0.0015,-0.0319
2026-04-08,26.77,27.34,27.45,26.77,9702.0,星期三,0.006,0.0213
2026-04-07,26.0,26.61,26.65,25.75,11959.0,星期二,0.0004,0.0235
2026-04-03,26.1,25.99,26.49,25.8,11203.0,星期五,0.0,-0.0042
2026-04-02,25.91,26.1,26.24,25.51,11165.0,星期四,-0.0023,0.0073
2026-04-01,25.73,25.97,26.16,25.6,16532.0,星期三,0.0182,0.0093
2026-03-31,26.98,25.27,27.11,25.16,21877.0,星期二,-0.0044,-0.0634
2026-03-30,26.57,27.1,27.53,26.57,6942.0,星期一,-0.0217,0.0199
2026-03-27,26.31,27.16,27.18,26.31,12745.0,星期五,-0.0128,0.0323
2026-03-26,27.45,26.65,27.85,26.46,12835.0,星期四,0.0246,-0.0291
2026-03-25,26.73,26.79,27.31,26.17,7937.0,星期三,0.0049,0.0022
2026-03-24,26.48,26.6,26.66,25.61,9698.0,星期二,0.0344,0.0045
2026-03-23,26.85,25.6,26.93,25.4,12285.0,星期一,-0.0059,-0.0466
2026-03-20,28.24,27.01,28.26,27.0,10499.0,星期五,0.0079,-0.0436
2026-03-19,28.76,28.02,29.01,27.8,8458.0,星期四,-0.01,-0.0257
2026-03-18,28.94,29.05,29.2,28.51,11601.0,星期三,0.0049,0.0038
2026-03-17,29.66,28.8,29.84,28.7,10491.0,星期二,0.0047,-0.029
2026-03-16,29.87,29.52,30.33,29.26,8970.0,星期一,0.004,-0.0117
2026-03-13,30.16,29.75,30.66,29.51,10589.0,星期五,0.0,-0.0136
2026-03-12,31.0,30.16,31.2,29.96,15356.0,星期四,0.0094,-0.0271
2026-03-11,30.47,30.71,30.9,30.0,21517.0,星期三,0.0056,0.0079
2026-03-10,29.68,30.3,30.45,29.68,11487.0,星期二,-0.0084,0.0209
2026-03-09,29.96,29.93,30.3,29.21,10775.0,星期一,-0.0053,-0.001
2026-03-06,29.5,30.12,30.14,29.11,9937.0,星期五,0.0137,0.021
2026-03-05,29.31,29.1,29.88,28.93,7895.0,星期四,0.0174,-0.0072
2026-03-04,28.5,28.81,29.0,28.26,13810.0,星期三,0.0004,0.0109
