time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,13.99,13.57,14.09,13.56,121267.0,星期五,-0.0099,-0.03
2026-06-25,14.79,14.13,14.79,13.96,199378.0,星期四,0.0,-0.0446
2026-06-24,14.48,14.79,14.86,14.38,146522.0,星期三,-0.0021,0.0214
2026-06-23,14.9,14.51,15.15,14.37,177814.0,星期二,-0.0126,-0.0262
2026-06-22,15.18,15.09,15.4,14.65,200770.0,星期一,0.0013,-0.0059
2026-06-18,15.62,15.16,15.79,15.13,233965.0,星期四,-0.0076,-0.0294
2026-06-17,15.78,15.74,15.99,15.51,273088.0,星期三,-0.0075,-0.0025
2026-06-16,15.5,15.9,16.5,15.17,357241.0,星期二,-0.0159,0.0258
2026-06-15,15.16,15.75,15.97,15.1,343673.0,星期一,-0.0072,0.0389
2026-06-12,14.86,15.27,15.27,14.7,274152.0,星期五,0.0068,0.0276
2026-06-11,14.95,14.76,14.99,14.56,204631.0,星期四,-0.0145,-0.0127
2026-06-10,14.86,15.17,15.28,14.61,388434.0,星期三,-0.0013,0.0209
2026-06-09,13.61,14.88,14.88,13.2,296322.0,星期二,0.0059,0.0933
2026-06-08,13.8,13.53,13.99,13.44,137322.0,星期一,-0.0309,-0.0196
2026-06-05,13.69,14.24,14.65,13.48,231887.0,星期五,0.0059,0.0402
2026-06-04,13.95,13.61,14.08,13.44,161034.0,星期四,-0.0099,-0.0244
2026-06-03,14.4,14.09,14.4,13.99,144977.0,星期三,-0.0021,-0.0215
2026-06-02,14.37,14.43,14.65,14.09,127291.0,星期二,-0.0062,0.0042
2026-06-01,14.42,14.46,14.67,14.29,118487.0,星期一,-0.0117,0.0028
2026-05-29,14.93,14.59,15.86,14.52,222672.0,星期五,0.017,-0.0228
2026-05-28,14.19,14.68,14.79,14.16,148961.0,星期四,0.0007,0.0345
2026-05-27,14.53,14.18,14.64,14.13,115567.0,星期三,-0.0048,-0.0241
2026-05-26,14.74,14.6,14.78,14.36,122781.0,星期二,-0.0094,-0.0095
2026-05-25,15.14,14.88,15.29,14.77,106811.0,星期一,-0.0007,-0.0172
2026-05-22,14.73,15.15,15.21,14.58,140009.0,星期五,0.0096,0.0285
2026-05-21,15.1,14.59,15.45,14.58,163835.0,星期四,0.0007,-0.0338
2026-05-20,15.15,15.09,15.28,14.76,127337.0,星期三,-0.0046,-0.004
2026-05-19,15.42,15.22,15.53,15.06,125765.0,星期二,-0.0013,-0.013
2026-05-18,15.55,15.44,15.62,15.25,105586.0,星期一,-0.0051,-0.0071
2026-05-15,15.55,15.63,15.9,15.3,139262.0,星期五,0.0,0.0051
2026-05-14,16.17,15.55,16.25,15.55,153919.0,星期四,0.0012,-0.0383
2026-05-13,16.09,16.15,16.22,16.03,136774.0,星期三,-0.0049,0.0037
2026-05-12,16.5,16.17,16.57,16.06,177647.0,星期二,-0.0012,-0.02
2026-05-11,16.47,16.52,16.69,16.24,240873.0,星期一,0.0073,0.003
2026-05-08,15.95,16.35,16.43,15.85,238501.0,星期五,0.0006,0.0251
2026-05-07,15.65,15.94,16.03,15.5,155849.0,星期四,0.0006,0.0185
2026-05-06,15.3,15.64,15.73,15.24,135315.0,星期三,0.0059,0.0222
2026-04-30,15.35,15.21,15.48,15.14,89852.0,星期四,-0.002,-0.0091
2026-04-29,14.99,15.38,15.5,14.95,137897.0,星期三,-0.0086,0.026
2026-04-28,15.7,15.12,15.71,14.91,236438.0,星期二,-0.0163,-0.0369
2026-04-27,15.73,15.96,16.0,15.61,124824.0,星期一,0.0006,0.0146
2026-04-24,15.61,15.72,15.84,15.57,106069.0,星期五,-0.0101,0.007
2026-04-23,16.0,15.77,16.08,15.6,158826.0,星期四,-0.0056,-0.0144
2026-04-22,16.06,16.09,16.22,15.88,157150.0,星期三,-0.0031,0.0019
2026-04-21,16.2,16.11,16.33,15.91,171800.0,星期二,-0.0025,-0.0056
2026-04-20,16.03,16.24,16.29,15.95,185411.0,星期一,-0.0025,0.0131
2026-04-17,15.99,16.07,16.22,15.9,169602.0,星期五,-0.005,0.005
2026-04-16,15.83,16.07,16.28,15.66,207321.0,星期四,-0.0031,0.0152
2026-04-15,15.92,15.88,16.1,15.74,180043.0,星期三,-0.0006,-0.0025
2026-04-14,15.97,15.93,15.97,15.74,174027.0,星期二,-0.0037,-0.0025
2026-04-13,15.67,16.03,16.05,15.6,217137.0,星期一,-0.0082,0.023
2026-04-10,15.88,15.8,16.2,15.7,279684.0,星期五,0.0298,-0.005
2026-04-09,15.39,15.42,15.49,15.25,141539.0,星期四,-0.0071,0.0019
2026-04-08,15.31,15.5,15.56,15.2,218311.0,星期三,0.0007,0.0124
2026-04-07,14.66,15.3,15.35,14.66,232267.0,星期二,-0.002,0.0437
2026-04-03,15.2,14.69,15.27,14.62,154816.0,星期五,0.0073,-0.0336
2026-04-02,15.69,15.09,15.71,15.0,242711.0,星期四,-0.0063,-0.0382
2026-04-01,15.69,15.79,16.19,15.64,228795.0,星期三,0.0142,0.0064
2026-03-31,16.3,15.47,16.36,15.44,293901.0,星期二,0.0012,-0.0509
2026-03-30,16.47,16.28,16.79,16.0,260096.0,星期一,-0.0066,-0.0115
2026-03-27,15.65,16.58,16.76,15.6,381499.0,星期五,-0.0095,0.0594
2026-03-26,16.66,15.8,16.7,15.68,360293.0,星期四,-0.0042,-0.0516
2026-03-25,16.44,16.73,17.07,16.44,357121.0,星期三,-0.012,0.0176
2026-03-24,16.83,16.64,16.88,16.05,397862.0,星期二,0.0139,-0.0113
2026-03-23,15.83,16.6,17.38,15.83,499437.0,星期一,-0.03,0.0486
