time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,10.95,10.43,10.98,10.42,103146.0,星期五,0.0055,-0.0475
2026-06-25,11.23,10.89,11.23,10.85,98758.0,星期四,0.0009,-0.0303
2026-06-24,11.59,11.22,11.62,11.1,97711.0,星期三,0.0017,-0.0319
2026-06-23,11.6,11.57,11.91,11.42,123617.0,星期二,-0.0085,-0.0026
2026-06-22,11.51,11.7,11.73,11.01,146854.0,星期一,-0.006,0.0165
2026-06-18,11.87,11.58,12.29,11.48,102842.0,星期四,-0.005,-0.0244
2026-06-17,12.21,11.93,12.35,11.86,130070.0,星期三,-0.0113,-0.0229
2026-06-16,12.7,12.35,12.7,12.34,118513.0,星期二,0.0016,-0.0276
2026-06-15,12.14,12.68,13.25,12.12,184059.0,星期一,0.0041,0.0445
2026-06-12,11.79,12.09,12.41,11.71,162076.0,星期五,0.012,0.0254
2026-06-11,11.74,11.65,11.99,11.53,117340.0,星期四,-0.0118,-0.0077
2026-06-10,12.08,11.88,12.23,11.76,152481.0,星期三,-0.0219,-0.0166
2026-06-09,12.9,12.35,12.9,12.22,162231.0,星期二,0.0182,-0.0426
2026-06-08,13.47,12.67,13.8,12.56,230209.0,星期一,-0.0175,-0.0594
2026-06-05,14.24,13.71,14.47,13.45,316470.0,星期五,-0.0097,-0.0372
2026-06-04,13.04,14.38,14.38,12.9,170106.0,星期四,-0.0023,0.1028
2026-06-03,14.0,13.07,14.02,12.8,318344.0,星期三,-0.0106,-0.0664
2026-06-02,14.47,14.15,14.51,13.9,151527.0,星期二,-0.0082,-0.0221
2026-06-01,14.5,14.59,14.93,14.13,199830.0,星期一,-0.0041,0.0062
2026-05-29,14.73,14.56,15.16,14.52,245563.0,星期五,-0.0007,-0.0115
2026-05-28,15.0,14.74,15.2,14.49,247502.0,星期四,0.0,-0.0173
2026-05-27,15.49,15.0,15.6,14.92,355956.0,星期三,0.0137,-0.0316
2026-05-26,13.78,15.28,15.28,13.6,300639.0,星期二,-0.0079,0.1089
2026-05-25,14.1,13.89,14.4,13.75,128368.0,星期一,-0.0007,-0.0149
2026-05-22,13.19,14.11,14.48,13.07,218994.0,星期五,0.0,0.0697
2026-05-21,13.88,13.19,14.07,13.18,125196.0,星期四,-0.0036,-0.0497
2026-05-20,13.84,13.93,14.29,13.67,130230.0,星期三,-0.0156,0.0065
2026-05-19,13.6,14.06,14.16,13.36,137647.0,星期二,-0.0029,0.0338
2026-05-18,13.7,13.64,13.83,13.28,109963.0,星期一,-0.0101,-0.0044
2026-05-15,14.59,13.84,14.73,13.75,198050.0,星期五,-0.0088,-0.0514
2026-05-14,15.61,14.72,15.61,14.51,249524.0,星期四,0.0019,-0.057
2026-05-13,15.52,15.58,15.84,15.35,115806.0,星期三,0.0045,0.0039
2026-05-12,15.75,15.45,16.0,15.4,109290.0,星期二,0.0032,-0.019
2026-05-11,15.94,15.7,16.07,15.52,110706.0,星期一,0.0038,-0.0151
2026-05-08,15.56,15.88,16.2,15.47,117333.0,星期五,-0.0006,0.0206
2026-05-07,15.23,15.57,15.69,15.13,118965.0,星期四,0.0026,0.0223
2026-05-06,15.2,15.19,15.32,15.05,110083.0,星期三,0.002,-0.0007
2026-04-30,15.26,15.17,15.38,15.05,77375.0,星期四,0.0007,-0.0059
2026-04-29,14.98,15.25,15.53,14.95,87689.0,星期三,-0.004,0.018
2026-04-28,15.35,15.04,15.48,14.86,99162.0,星期二,-0.0116,-0.0202
2026-04-27,15.47,15.53,15.63,15.26,99975.0,星期一,-0.0026,0.0039
2026-04-24,15.68,15.51,15.98,15.47,87413.0,星期五,-0.012,-0.0108
2026-04-23,16.16,15.87,16.25,15.51,110226.0,星期四,0.0006,-0.0179
2026-04-22,15.68,16.15,16.21,15.57,79154.0,星期三,-0.0063,0.03
2026-04-21,15.95,15.78,15.95,15.43,74685.0,星期二,-0.0006,-0.0107
2026-04-20,16.08,15.96,16.14,15.72,84823.0,星期一,0.0,-0.0075
2026-04-17,16.3,16.08,16.3,15.87,74548.0,星期五,-0.0018,-0.0135
2026-04-16,15.68,16.33,16.39,15.5,127397.0,星期四,-0.0032,0.0415
2026-04-15,16.22,15.73,16.29,15.69,94912.0,星期三,0.0037,-0.0302
2026-04-14,16.43,16.16,16.82,15.91,117361.0,星期二,0.018,-0.0164
2026-04-13,15.81,16.14,16.48,15.73,109368.0,星期一,-0.0094,0.0209
2026-04-10,15.96,15.96,16.21,15.79,84371.0,星期五,0.0044,0.0
2026-04-09,15.65,15.89,16.04,15.18,107928.0,星期四,-0.0157,0.0153
2026-04-08,15.92,15.9,16.1,15.48,138635.0,星期三,0.0474,-0.0013
2026-04-07,14.75,15.2,15.58,14.68,139004.0,星期二,0.0068,0.0305
2026-04-03,15.23,14.65,15.28,14.6,116149.0,星期五,0.0,-0.0381
2026-04-02,15.79,15.23,15.92,15.18,150968.0,星期四,0.0,-0.0355
2026-04-01,16.04,15.79,16.35,15.5,197390.0,星期三,0.0178,-0.0156
2026-03-31,16.0,15.76,17.44,15.7,260849.0,星期二,0.0,-0.015
2026-03-30,17.86,16.0,17.92,15.9,273945.0,星期一,0.0644,-0.1041
