time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,14.72,14.35,14.82,14.35,31890.0,星期五,-0.0088,-0.0251
2026-06-25,14.66,14.85,14.99,14.51,31647.0,星期四,-0.0128,0.013
2026-06-24,15.4,14.85,15.52,14.79,32200.0,星期三,-0.0013,-0.0357
2026-06-23,15.59,15.42,15.82,15.36,26326.0,星期二,-0.0026,-0.0109
2026-06-22,15.55,15.63,15.65,15.17,28385.0,星期一,-0.0051,0.0051
2026-06-18,16.02,15.63,16.03,15.56,29248.0,星期四,0.0006,-0.0243
2026-06-17,16.03,16.01,16.15,15.87,25578.0,星期三,-0.0062,-0.0012
2026-06-16,16.6,16.13,16.6,16.07,40840.0,星期二,0.0012,-0.0283
2026-06-15,16.33,16.58,16.68,16.21,51978.0,星期一,-0.0037,0.0153
2026-06-12,15.7,16.39,16.48,15.46,108191.0,星期五,0.0168,0.0439
2026-06-11,15.25,15.44,15.47,15.08,37138.0,星期四,-0.0085,0.0125
2026-06-10,15.37,15.38,15.51,15.26,29872.0,星期三,-0.0166,0.0007
2026-06-09,15.53,15.63,15.72,15.29,37227.0,星期二,0.0197,0.0064
2026-06-08,15.42,15.23,15.72,15.01,31613.0,星期一,-0.0228,-0.0123
2026-06-05,15.71,15.78,15.95,15.63,30424.0,星期五,0.0026,0.0045
2026-06-04,15.8,15.67,15.93,15.44,37891.0,星期四,-0.0063,-0.0082
2026-06-03,16.23,15.9,16.39,15.79,35607.0,星期三,-0.0006,-0.0203
2026-06-02,16.61,16.24,16.65,16.16,29428.0,星期二,0.0012,-0.0223
2026-06-01,16.27,16.59,16.72,16.2,38338.0,星期一,-0.0079,0.0197
2026-05-29,16.21,16.4,17.08,16.21,66914.0,星期五,0.0031,0.0117
2026-05-28,16.41,16.16,16.44,15.93,37423.0,星期四,0.0043,-0.0152
2026-05-27,16.82,16.34,16.82,16.2,38395.0,星期三,0.0,-0.0285
2026-05-26,17.06,16.82,17.06,16.59,38384.0,星期二,0.0012,-0.0141
2026-05-25,17.17,17.04,17.39,16.94,33167.0,星期一,0.0023,-0.0076
2026-05-22,17.3,17.13,17.37,17.05,36857.0,星期五,0.0035,-0.0098
2026-05-21,17.83,17.24,18.03,17.22,45423.0,星期四,0.0062,-0.0331
2026-05-20,17.96,17.72,17.96,17.59,39274.0,星期三,-0.005,-0.0134
2026-05-19,17.96,18.05,18.21,17.92,35444.0,星期二,0.0006,0.005
2026-05-18,18.42,17.95,18.47,17.66,70957.0,星期一,-0.0097,-0.0255
2026-05-15,18.82,18.6,19.12,18.42,58341.0,星期五,0.0053,-0.0117
2026-05-14,19.14,18.72,19.45,18.5,76643.0,星期四,0.0058,-0.0219
2026-05-13,19.67,19.03,19.68,19.03,83139.0,星期三,0.0103,-0.0325
2026-05-12,19.2,19.47,20.17,19.06,123241.0,星期二,-0.0005,0.0141
