time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,25.26,23.78,25.4,23.6,901352.0,星期五,0.0,-0.0586
2026-06-25,23.4,25.26,25.74,23.2,1400198.0,星期四,0.0,0.0795
2026-06-24,22.2,23.4,23.9,20.51,1629859.0,星期三,-0.0089,0.0541
2026-06-23,24.87,22.4,25.7,21.63,1726915.0,星期二,0.035,-0.0993
2026-06-22,24.06,24.03,24.31,22.67,1174497.0,星期一,-0.0103,-0.0012
2026-06-18,24.22,24.31,25.16,23.34,1242408.0,星期四,0.0,0.0037
2026-06-17,23.0,24.22,24.37,22.7,1534072.0,星期三,-0.0295,0.053
2026-06-16,22.6,23.7,23.9,21.74,1839053.0,星期二,-0.0109,0.0487
2026-06-15,22.05,22.85,23.05,21.06,1708512.0,星期一,-0.0346,0.0363
2026-06-12,21.31,22.84,22.84,21.24,936725.0,星期五,0.0167,0.0718
2026-06-11,19.0,20.96,20.96,18.87,1468197.0,星期四,-0.0026,0.1032
2026-06-10,18.01,19.05,19.31,17.8,1808351.0,星期三,0.0262,0.0577
2026-06-09,16.21,17.55,17.55,16.0,693425.0,星期二,0.0163,0.0827
2026-06-08,14.3,15.95,15.95,14.29,401346.0,星期一,-0.0138,0.1154
2026-06-05,14.3,14.5,14.83,13.98,290510.0,星期五,0.0028,0.014
2026-06-04,14.45,14.26,14.62,14.15,150497.0,星期四,-0.0076,-0.0131
2026-06-03,14.6,14.56,14.77,14.41,153168.0,星期三,0.0,-0.0027
2026-06-02,14.9,14.6,14.9,14.41,167002.0,星期二,0.0027,-0.0201
2026-06-01,14.7,14.86,15.0,14.65,163458.0,星期一,-0.0027,0.0109
2026-05-29,15.27,14.74,15.48,14.72,191343.0,星期五,0.0053,-0.0347
2026-05-28,15.24,15.19,15.32,14.82,201845.0,星期四,-0.0013,-0.0033
2026-05-27,15.6,15.26,15.79,15.18,209210.0,星期三,-0.0051,-0.0218
2026-05-26,15.71,15.68,15.84,15.5,178542.0,星期二,-0.0088,-0.0019
