time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.08,2.07,2.11,2.05,133732.0,星期五,-0.0095,-0.0048
2026-06-25,2.16,2.1,2.16,2.06,249213.0,星期四,-0.0046,-0.0278
2026-06-24,2.17,2.17,2.2,2.15,98216.0,星期三,-0.0091,0.0
2026-06-23,2.2,2.19,2.26,2.18,131758.0,星期二,-0.009,-0.0045
2026-06-22,2.16,2.22,2.22,2.14,129284.0,星期一,0.0,0.0278
2026-06-18,2.18,2.16,2.19,2.15,92241.0,星期四,-0.0046,-0.0092
2026-06-17,2.22,2.19,2.25,2.18,98722.0,星期三,0.0091,-0.0135
2026-06-16,2.24,2.2,2.25,2.19,120154.0,星期二,0.0,-0.0179
2026-06-15,2.25,2.24,2.28,2.23,93779.0,星期一,0.0045,-0.0044
2026-06-12,2.24,2.24,2.29,2.2,125859.0,星期五,-0.0044,0.0
2026-06-11,2.2,2.25,2.32,2.19,186464.0,星期四,-0.0045,0.0227
2026-06-10,2.23,2.21,2.23,2.18,108673.0,星期三,0.0,-0.009
2026-06-09,2.23,2.23,2.25,2.2,96941.0,星期二,-0.0045,0.0
2026-06-08,2.25,2.24,2.28,2.21,138115.0,星期一,-0.0088,-0.0044
2026-06-05,2.26,2.27,2.29,2.23,118113.0,星期五,0.0,0.0044
2026-06-04,2.32,2.26,2.35,2.23,161900.0,星期四,0.0043,-0.0259
2026-06-03,2.41,2.31,2.41,2.3,205540.0,星期三,0.0042,-0.0415
2026-06-02,2.35,2.4,2.43,2.35,202829.0,星期二,0.0,0.0213
2026-06-01,2.33,2.35,2.38,2.27,290838.0,星期一,0.0043,0.0086
2026-05-29,2.22,2.32,2.32,2.21,271526.0,星期五,0.0045,0.045
2026-05-28,2.16,2.21,2.26,2.15,216135.0,星期四,-0.0092,0.0231
2026-05-27,2.3,2.18,2.3,2.18,339227.0,星期三,0.0044,-0.0522
2026-05-26,2.26,2.29,2.33,2.25,227003.0,星期二,-0.0044,0.0133
2026-05-25,2.37,2.27,2.39,2.25,294603.0,星期一,0.0,-0.0422
2026-05-22,2.34,2.37,2.39,2.32,143828.0,星期五,0.0,0.0128
2026-05-21,2.42,2.34,2.43,2.32,204570.0,星期四,0.0168,-0.0331
2026-05-20,2.48,2.38,2.49,2.36,294245.0,星期三,0.0,-0.0403
2026-05-19,2.46,2.48,2.52,2.46,206731.0,星期二,0.0041,0.0081
