time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.17,6.81,7.24,6.8,151910.0,星期五,-0.0069,-0.0502
2026-06-25,7.53,7.22,7.72,7.19,166776.0,星期四,-0.0092,-0.0412
2026-06-24,7.69,7.6,7.86,7.36,222938.0,星期三,-0.0052,-0.0117
2026-06-23,8.32,7.73,8.44,7.66,364824.0,星期二,0.0097,-0.0709
2026-06-22,7.82,8.24,8.24,7.5,205332.0,星期一,0.0441,0.0537
2026-06-18,7.67,7.49,7.95,7.41,140651.0,星期四,-0.0026,-0.0235
2026-06-17,8.0,7.69,8.02,7.63,141824.0,星期三,-0.0062,-0.0387
2026-06-16,7.73,8.05,8.33,7.7,163339.0,星期二,-0.0102,0.0414
2026-06-15,7.71,7.81,7.92,7.61,152064.0,星期一,0.0225,0.013
2026-06-12,7.29,7.54,7.8,7.23,158495.0,星期五,0.0196,0.0343
2026-06-11,6.96,7.15,7.23,6.95,86053.0,星期四,-0.01,0.0273
2026-06-10,7.11,7.03,7.17,6.88,69527.0,星期三,-0.018,-0.0113
2026-06-09,7.16,7.24,7.25,6.97,81032.0,星期二,0.0085,0.0112
2026-06-08,7.27,7.1,7.42,6.94,98795.0,星期一,-0.0307,-0.0234
2026-06-05,7.49,7.5,7.69,7.34,95836.0,星期五,-0.0013,0.0013
2026-06-04,7.96,7.5,7.97,7.42,148711.0,星期四,-0.005,-0.0578
2026-06-03,7.7,8.0,8.05,7.66,119592.0,星期三,-0.0339,0.039
2026-06-02,8.03,7.97,8.06,7.7,90683.0,星期二,0.0075,-0.0075
2026-06-01,7.88,7.97,8.17,7.68,98685.0,星期一,-0.0038,0.0114
2026-05-29,8.33,7.91,8.6,7.89,131007.0,星期五,0.0048,-0.0504
2026-05-28,8.14,8.29,8.36,8.04,108140.0,星期四,0.0012,0.0184
2026-05-27,8.68,8.13,8.68,8.12,149388.0,星期三,-0.0034,-0.0634
2026-05-26,8.66,8.71,8.76,8.46,104952.0,星期二,-0.008,0.0058
