time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,49.31,50.02,51.5,47.4,664049.0,星期五,0.0053,0.0144
2026-06-25,48.8,49.05,49.98,47.81,425636.0,星期四,-0.0187,0.0051
2026-06-24,48.6,49.73,50.52,47.25,523770.0,星期三,-0.0112,0.0233
2026-06-23,52.88,49.15,53.06,49.15,602357.0,星期二,-0.0317,-0.0705
2026-06-22,56.66,54.61,56.66,53.1,622358.0,星期一,-0.0112,-0.0362
2026-06-18,58.2,57.3,59.18,56.36,625260.0,星期四,-0.0308,-0.0155
2026-06-17,58.0,60.05,61.8,58.0,616550.0,星期三,-0.0141,0.0353
2026-06-16,61.01,58.83,61.86,58.82,613742.0,星期二,0.0202,-0.0357
2026-06-15,57.53,59.8,61.0,55.88,570155.0,星期一,-0.038,0.0395
2026-06-12,62.5,59.8,64.29,59.8,619127.0,星期五,0.0099,-0.0432
2026-06-11,56.63,61.89,62.59,55.88,597413.0,星期四,-0.0058,0.0929
2026-06-10,59.67,56.96,60.98,56.65,401326.0,星期三,-0.0095,-0.0454
2026-06-09,62.29,60.24,63.02,58.81,513661.0,星期二,-0.0172,-0.0329
2026-06-08,61.5,63.38,66.66,61.5,563923.0,星期一,-0.0538,0.0306
2026-06-05,63.8,65.0,66.0,61.7,654795.0,星期五,0.0206,0.0188
2026-06-04,60.52,62.51,63.45,59.75,510426.0,星期四,-0.0191,0.0329
2026-06-03,58.32,61.7,62.88,57.44,640459.0,星期三,-0.0065,0.058
2026-06-02,57.0,58.7,58.99,54.51,514690.0,星期二,0.0062,0.0298
2026-06-01,59.0,56.65,61.17,56.64,399284.0,星期一,-0.0176,-0.0398
2026-05-29,64.08,60.06,65.0,59.68,594019.0,星期五,-0.0336,-0.0627
2026-05-28,64.29,66.31,67.36,62.62,581925.0,星期四,-0.02,0.0314
2026-05-27,63.99,65.6,66.12,59.6,771549.0,星期三,0.0061,0.0252
2026-05-26,68.06,63.6,68.08,62.98,728128.0,星期二,-0.0274,-0.0655
2026-05-25,73.98,69.98,73.98,69.0,675764.0,星期一,0.0258,-0.0541
