time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.52,4.43,4.56,4.39,124583.0,星期五,-0.0022,-0.0199
2026-06-25,4.65,4.53,4.67,4.5,126052.0,星期四,-0.0043,-0.0258
2026-06-24,4.94,4.67,4.96,4.64,139198.0,星期三,-0.004,-0.0547
2026-06-23,4.88,4.96,5.01,4.88,98762.0,星期二,-0.0141,0.0164
2026-06-22,4.9,4.95,4.95,4.74,133324.0,星期一,-0.0061,0.0102
2026-06-18,5.1,4.93,5.1,4.93,122774.0,星期四,-0.002,-0.0333
2026-06-17,5.27,5.11,5.3,5.1,148656.0,星期三,-0.0113,-0.0304
2026-06-16,5.35,5.33,5.38,5.27,83546.0,星期二,-0.0074,-0.0037
2026-06-15,5.33,5.39,5.39,5.32,82006.0,星期一,0.0,0.0113
2026-06-12,5.3,5.33,5.44,5.27,98406.0,星期五,0.0057,0.0057
2026-06-11,5.38,5.27,5.45,5.22,101277.0,星期四,-0.0182,-0.0204
2026-06-10,5.5,5.48,5.58,5.39,165377.0,星期三,-0.0351,-0.0036
2026-06-09,5.46,5.7,5.7,5.42,287982.0,星期二,0.0074,0.044
2026-06-08,5.3,5.42,5.42,5.15,146412.0,星期一,-0.0221,0.0226
2026-06-05,5.45,5.42,5.52,5.36,127098.0,星期五,0.0055,-0.0055
2026-06-04,5.51,5.42,5.59,5.37,139425.0,星期四,-0.0018,-0.0163
2026-06-03,5.58,5.52,5.61,5.45,141608.0,星期三,-0.0053,-0.0108
2026-06-02,5.81,5.61,5.82,5.56,184657.0,星期二,-0.0034,-0.0344
2026-06-01,5.65,5.83,5.89,5.62,184021.0,星期一,-0.0122,0.0319
2026-05-29,6.08,5.72,6.1,5.66,351555.0,星期五,-0.0082,-0.0592
2026-05-28,5.98,6.13,6.14,5.9,294421.0,星期四,-0.0099,0.0251
2026-05-27,6.16,6.04,6.42,6.04,358131.0,星期三,0.0,-0.0195
2026-05-26,6.1,6.16,6.36,6.01,742376.0,星期二,-0.0193,0.0098
2026-05-25,5.77,6.22,6.37,5.74,896219.0,星期一,-0.0035,0.078
2026-05-22,5.71,5.79,5.83,5.63,197976.0,星期五,-0.0035,0.014
2026-05-21,5.91,5.73,5.93,5.67,249194.0,星期四,-0.0051,-0.0305
2026-05-20,6.03,5.94,6.08,5.88,419910.0,星期三,-0.0179,-0.0149
2026-05-19,5.58,6.14,6.14,5.57,269507.0,星期二,0.0,0.1004
2026-05-18,5.41,5.58,5.68,5.37,176648.0,星期一,-0.0055,0.0314
2026-05-15,5.51,5.44,5.53,5.37,142911.0,星期五,-0.009,-0.0127
2026-05-14,5.74,5.56,5.74,5.55,125218.0,星期四,0.0017,-0.0314
2026-05-13,5.72,5.73,5.75,5.64,103222.0,星期三,0.0,0.0017
2026-05-12,5.84,5.72,5.85,5.67,168003.0,星期二,-0.0034,-0.0205
2026-05-11,5.9,5.86,5.91,5.82,149427.0,星期一,-0.0017,-0.0068
2026-05-08,5.83,5.91,5.93,5.82,120718.0,星期五,-0.0051,0.0137
2026-05-07,5.9,5.86,5.92,5.85,107874.0,星期四,0.0017,-0.0068
2026-05-06,5.84,5.89,5.93,5.83,119409.0,星期三,0.0017,0.0086
2026-04-30,5.98,5.83,6.02,5.8,239335.0,星期四,-0.0132,-0.0251
2026-04-29,6.01,6.06,6.1,5.98,117335.0,星期三,0.0017,0.0083
2026-04-28,6.12,6.0,6.12,5.99,136905.0,星期二,-0.0016,-0.0196
2026-04-27,6.06,6.13,6.15,5.98,153144.0,星期一,-0.0066,0.0116
2026-04-24,6.03,6.1,6.12,6.01,154005.0,星期五,0.0101,0.0116
2026-04-23,6.06,5.97,6.12,5.93,117210.0,星期四,0.0017,-0.0149
2026-04-22,6.0,6.05,6.06,5.97,91435.0,星期三,-0.005,0.0083
2026-04-21,6.02,6.03,6.04,5.93,126623.0,星期二,-0.0033,0.0017
2026-04-20,6.02,6.04,6.08,6.0,89943.0,星期一,-0.0066,0.0033
2026-04-17,6.11,6.06,6.15,6.02,108228.0,星期五,-0.0049,-0.0082
2026-04-16,6.05,6.14,6.16,6.01,114443.0,星期四,0.0033,0.0149
2026-04-15,6.15,6.03,6.17,6.03,117759.0,星期三,0.0,-0.0195
2026-04-14,6.26,6.15,6.28,6.08,138996.0,星期二,0.0113,-0.0176
2026-04-13,6.19,6.19,6.22,6.11,88654.0,星期一,0.0032,0.0
2026-04-10,6.25,6.17,6.26,6.16,104367.0,星期五,0.0113,-0.0128
2026-04-09,6.29,6.18,6.31,6.16,128296.0,星期四,-0.0047,-0.0175
2026-04-08,6.19,6.32,6.33,6.16,170278.0,星期三,0.0198,0.021
2026-04-07,6.0,6.07,6.09,5.95,91910.0,星期二,0.0,0.0117
2026-04-03,6.2,6.0,6.24,5.96,134070.0,星期五,0.0032,-0.0323
2026-04-02,6.26,6.18,6.38,6.15,129246.0,星期四,-0.0095,-0.0128
2026-04-01,6.25,6.32,6.47,6.19,214693.0,星期三,0.0196,0.0112
2026-03-31,6.25,6.13,6.32,6.13,139696.0,星期二,0.0064,-0.0192
2026-03-30,6.03,6.21,6.22,5.98,172741.0,星期一,-0.0115,0.0299
2026-03-27,5.96,6.1,6.12,5.93,115490.0,星期五,-0.0067,0.0235
2026-03-26,6.19,6.0,6.23,5.98,173470.0,星期四,0.0,-0.0307
2026-03-25,6.11,6.19,6.22,6.09,157247.0,星期三,0.0016,0.0131
2026-03-24,6.02,6.1,6.13,5.87,210394.0,星期二,0.0308,0.0133
2026-03-23,6.06,5.84,6.11,5.8,258755.0,星期一,-0.0242,-0.0363
2026-03-20,6.59,6.21,6.64,6.21,294499.0,星期五,-0.0015,-0.0577
2026-03-19,6.6,6.6,6.74,6.55,211192.0,星期四,-0.009,0.0
2026-03-18,6.55,6.66,6.73,6.5,209497.0,星期三,0.0092,0.0168
2026-03-17,6.77,6.49,6.78,6.48,246141.0,星期二,0.0,-0.0414
2026-03-16,6.57,6.77,6.79,6.56,333059.0,星期一,0.0046,0.0304
2026-03-13,6.7,6.54,6.73,6.51,247559.0,星期五,-0.0015,-0.0239
2026-03-12,6.78,6.71,6.84,6.66,279820.0,星期四,-0.0088,-0.0103
2026-03-11,6.81,6.84,6.92,6.74,411681.0,星期三,-0.0044,0.0044
2026-03-10,6.94,6.84,6.97,6.8,496109.0,星期二,0.0014,-0.0144
2026-03-09,6.66,6.93,6.99,6.66,752138.0,星期一,-0.0277,0.0405
2026-03-06,6.59,6.85,6.99,6.59,826958.0,星期五,-0.0309,0.0395
2026-03-05,7.34,6.8,7.34,6.71,1265622.0,星期四,0.0988,-0.0736
2026-03-04,5.94,6.68,6.68,5.94,498444.0,星期三,-0.0214,0.1246
2026-03-03,6.28,6.07,6.38,6.06,216073.0,星期二,-0.0016,-0.0334
2026-03-02,6.52,6.29,6.55,6.28,302752.0,星期一,-0.021,-0.0353
2026-02-27,6.57,6.66,6.66,6.53,148429.0,星期五,-0.0045,0.0137
2026-02-26,6.6,6.6,6.69,6.57,199398.0,星期四,0.003,0.0
2026-02-25,6.69,6.58,6.69,6.56,193700.0,星期三,0.006,-0.0164
2026-02-24,6.53,6.65,6.68,6.51,170892.0,星期二,0.0031,0.0184
2026-02-13,6.52,6.51,6.58,6.49,113966.0,星期五,-0.0031,-0.0015
2026-02-12,6.6,6.54,6.61,6.5,136488.0,星期四,0.0015,-0.0091
2026-02-11,6.57,6.59,6.63,6.56,102129.0,星期三,-0.003,0.003
2026-02-10,6.57,6.59,6.65,6.54,156824.0,星期二,0.0,0.003
2026-02-09,6.48,6.57,6.58,6.47,151989.0,星期一,0.0093,0.0139
2026-02-06,6.46,6.42,6.48,6.36,97047.0,星期五,-0.0015,-0.0062
2026-02-05,6.45,6.47,6.51,6.41,115632.0,星期四,0.0016,0.0031
2026-02-04,6.46,6.44,6.46,6.39,113083.0,星期三,-0.0015,-0.0031
2026-02-03,6.4,6.47,6.47,6.35,128970.0,星期二,0.0079,0.0109
2026-02-02,6.39,6.35,6.49,6.33,153833.0,星期一,0.0079,-0.0063
2026-01-30,6.32,6.34,6.43,6.3,125615.0,星期五,-0.0078,0.0032
2026-01-29,6.36,6.37,6.49,6.25,163386.0,星期四,-0.0047,0.0016
2026-01-28,6.48,6.39,6.53,6.37,135789.0,星期三,0.0015,-0.0139
2026-01-27,6.5,6.47,6.56,6.34,149561.0,星期二,-0.0031,-0.0046
2026-01-26,6.69,6.52,6.71,6.44,264923.0,星期一,-0.003,-0.0254
2026-01-23,6.71,6.71,6.73,6.68,189504.0,星期五,0.0015,0.0
2026-01-22,6.65,6.7,6.7,6.61,158152.0,星期四,0.003,0.0075
2026-01-21,6.61,6.63,6.66,6.56,120893.0,星期三,-0.0045,0.003
2026-01-20,6.68,6.64,6.74,6.59,160324.0,星期二,-0.0015,-0.006
2026-01-19,6.6,6.69,6.69,6.57,144269.0,星期一,-0.009,0.0136
2026-01-16,6.8,6.66,6.83,6.6,263772.0,星期五,-0.0015,-0.0206
2026-01-15,7.01,6.81,7.01,6.73,313981.0,星期四,0.0029,-0.0285
2026-01-14,6.93,6.99,7.04,6.81,514778.0,星期三,0.0073,0.0087
2026-01-13,7.08,6.88,7.1,6.79,477368.0,星期二,0.0129,-0.0282
2026-01-12,6.8,6.99,7.04,6.8,508897.0,星期一,0.0119,0.0279
2026-01-09,6.55,6.72,6.75,6.54,332524.0,星期五,-0.003,0.026
2026-01-08,6.45,6.57,6.58,6.42,226519.0,星期四,-0.0015,0.0186
2026-01-07,6.53,6.46,6.53,6.43,195657.0,星期三,0.0,-0.0107
2026-01-06,6.48,6.53,6.54,6.47,208082.0,星期二,-0.0031,0.0077
2026-01-05,6.39,6.5,6.52,6.37,220633.0,星期一,0.0,0.0172
2025-12-31,6.32,6.39,6.42,6.28,152675.0,星期三,0.0016,0.0111
2025-12-30,6.33,6.31,6.37,6.28,124314.0,星期二,-0.0016,-0.0032
2025-12-29,6.36,6.34,6.41,6.32,106708.0,星期一,-0.0031,-0.0031
2025-12-26,6.37,6.38,6.44,6.35,145457.0,星期五,-0.0016,0.0016
2025-12-25,6.3,6.38,6.4,6.28,128980.0,星期四,-0.0032,0.0127
