time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,12.58,13.38,13.88,12.43,601398.0,星期五,-0.0032,0.0636
2026-06-25,12.84,12.62,12.91,12.51,231064.0,星期四,-0.0093,-0.0171
2026-06-24,13.07,12.96,13.17,12.72,233196.0,星期三,-0.0068,-0.0084
2026-06-23,14.25,13.16,14.25,13.09,369412.0,星期二,-0.0028,-0.0765
2026-06-22,13.51,14.29,14.3,13.38,333772.0,星期一,-0.0066,0.0577
2026-06-18,13.7,13.6,14.06,13.49,188630.0,星期四,-0.0015,-0.0073
2026-06-17,13.97,13.72,13.99,13.6,172529.0,星期三,0.0,-0.0179
2026-06-16,13.7,13.97,14.12,13.51,228753.0,星期二,-0.0094,0.0197
2026-06-15,13.53,13.83,14.03,13.4,318859.0,星期一,0.025,0.0222
2026-06-12,12.95,13.2,13.62,12.92,295701.0,星期五,0.0157,0.0193
2026-06-11,12.7,12.75,13.0,12.61,183975.0,星期四,-0.0055,0.0039
2026-06-10,12.97,12.77,13.04,12.48,251469.0,星期三,-0.0152,-0.0154
2026-06-09,13.28,13.17,13.33,12.96,214132.0,星期二,0.0114,-0.0083
2026-06-08,13.56,13.13,13.75,12.93,286402.0,星期一,-0.0314,-0.0317
2026-06-05,13.95,14.0,14.36,13.51,247168.0,星期五,-0.0071,0.0036
2026-06-04,14.21,14.05,14.46,13.9,203034.0,星期四,-0.0146,-0.0113
2026-06-03,14.33,14.42,14.96,14.2,232828.0,星期三,-0.0021,0.0063
2026-06-02,14.18,14.36,14.51,13.8,217971.0,星期二,0.0014,0.0127
2026-06-01,14.29,14.16,14.56,14.14,227508.0,星期一,0.0,-0.0091
2026-05-29,15.19,14.29,15.32,14.19,302117.0,星期五,0.0013,-0.0592
2026-05-28,15.06,15.17,15.39,14.69,295834.0,星期四,-0.0033,0.0073
2026-05-27,15.91,15.11,15.97,15.06,308585.0,星期三,-0.0075,-0.0503
2026-05-26,15.65,16.03,16.4,15.64,341652.0,星期二,-0.0051,0.0243
2026-05-25,15.38,15.73,16.04,15.29,266103.0,星期一,0.0079,0.0228
2026-05-22,15.14,15.26,15.44,15.01,256607.0,星期五,0.0033,0.0079
2026-05-21,15.68,15.09,16.02,15.03,301922.0,星期四,0.009,-0.0376
2026-05-20,15.51,15.54,15.67,15.09,219269.0,星期三,-0.0032,0.0019
2026-05-19,15.43,15.56,15.9,15.23,172781.0,星期二,-0.0045,0.0084
2026-05-18,15.48,15.5,15.69,14.9,230176.0,星期一,-0.0032,0.0013
2026-05-15,15.7,15.53,16.23,15.33,285917.0,星期五,-0.0082,-0.0108
2026-05-14,16.48,15.83,16.5,15.78,207397.0,星期四,0.0024,-0.0394
2026-05-13,16.31,16.44,16.58,16.27,197589.0,星期三,0.0031,0.008
2026-05-12,16.65,16.26,16.69,16.15,218995.0,星期二,0.0067,-0.0234
2026-05-11,16.66,16.54,16.83,16.36,262183.0,星期一,0.0,-0.0072
2026-05-08,16.4,16.66,16.83,16.32,207854.0,星期五,-0.0073,0.0159
2026-05-07,16.35,16.52,16.62,16.12,232083.0,星期四,0.0062,0.0104
2026-05-06,15.8,16.25,16.3,15.74,266152.0,星期三,0.007,0.0285
2026-04-30,15.66,15.69,16.05,15.3,179846.0,星期四,0.0019,0.0019
2026-04-29,15.16,15.63,15.75,15.09,214976.0,星期三,-0.02,0.031
2026-04-28,15.73,15.47,15.79,15.3,194445.0,星期二,-0.0082,-0.0165
2026-04-27,16.0,15.86,16.2,15.79,163290.0,星期一,-0.0062,-0.0088
2026-04-24,15.89,16.1,16.33,15.66,260842.0,星期五,-0.0013,0.0132
2026-04-23,16.68,15.91,16.7,15.7,325630.0,星期四,0.0006,-0.0462
2026-04-22,16.37,16.67,16.85,16.23,235642.0,星期三,-0.0043,0.0183
2026-04-21,16.51,16.44,16.58,16.28,147016.0,星期二,-0.0054,-0.0042
2026-04-20,16.54,16.6,16.89,16.46,216311.0,星期一,-0.0054,0.0036
2026-04-17,16.6,16.63,16.78,16.5,157739.0,星期五,-0.0054,0.0018
2026-04-16,16.33,16.69,16.77,16.33,221702.0,星期四,0.0037,0.022
2026-04-15,16.83,16.27,16.88,16.14,246195.0,星期三,0.0108,-0.0333
2026-04-14,16.99,16.65,17.08,16.49,240904.0,星期二,0.036,-0.02
2026-04-13,16.12,16.4,16.58,16.0,223027.0,星期一,-0.0025,0.0174
2026-04-10,16.4,16.16,16.55,16.13,202397.0,星期五,0.0111,-0.0146
2026-04-09,16.4,16.22,16.44,16.18,170711.0,星期四,-0.0103,-0.011
2026-04-08,16.47,16.57,16.63,16.04,248760.0,星期三,0.0365,0.0061
2026-04-07,15.62,15.89,16.07,15.62,136969.0,星期二,0.0051,0.0173
2026-04-03,16.09,15.54,16.15,15.51,165623.0,星期五,0.0037,-0.0342
2026-04-02,16.5,16.03,16.5,15.8,279510.0,星期四,0.0098,-0.0285
2026-04-01,15.85,16.34,16.58,15.73,382522.0,星期三,0.0292,0.0309
2026-03-31,15.75,15.4,15.84,15.36,258729.0,星期二,0.0,-0.0222
