time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.94,3.81,3.95,3.81,364736.0,星期五,-0.0175,-0.033
2026-06-25,4.1,4.01,4.16,3.94,641932.0,星期四,-0.0238,-0.022
2026-06-24,3.96,4.2,4.27,3.86,1008743.0,星期三,0.018,0.0606
2026-06-23,3.97,3.89,4.05,3.87,309376.0,星期二,-0.0075,-0.0202
2026-06-22,4.0,4.0,4.05,3.89,285817.0,星期一,-0.005,0.0
2026-06-18,3.95,4.02,4.03,3.89,346746.0,星期四,-0.0125,0.0177
2026-06-17,3.84,4.0,4.03,3.75,536330.0,星期三,0.0,0.0417
2026-06-16,3.76,3.84,3.85,3.7,208876.0,星期二,0.0,0.0213
2026-06-15,3.82,3.76,3.9,3.74,257236.0,星期一,0.0026,-0.0157
2026-06-12,3.9,3.81,3.91,3.74,286572.0,星期五,0.0052,-0.0231
2026-06-11,3.95,3.88,3.95,3.82,214380.0,星期四,-0.005,-0.0177
2026-06-10,3.93,3.97,4.05,3.9,289743.0,星期三,-0.0076,0.0102
2026-06-09,3.85,3.96,3.96,3.82,289478.0,星期二,0.0,0.0286
2026-06-08,3.79,3.85,3.86,3.74,218540.0,星期一,-0.0207,0.0158
2026-06-05,3.73,3.87,3.87,3.69,256571.0,星期五,0.0,0.0375
2026-06-04,3.76,3.73,3.81,3.66,169325.0,星期四,-0.0079,-0.008
2026-06-03,3.73,3.79,3.98,3.73,256658.0,星期三,-0.0027,0.0161
2026-06-02,3.77,3.74,3.79,3.66,162810.0,星期二,0.0053,-0.008
2026-06-01,3.63,3.75,3.77,3.63,160335.0,星期一,-0.0136,0.0331
2026-05-29,3.66,3.68,3.76,3.62,219921.0,星期五,0.0083,0.0055
2026-05-28,3.63,3.63,3.66,3.56,131127.0,星期四,0.0,0.0
2026-05-27,3.68,3.63,3.72,3.58,160441.0,星期三,-0.0081,-0.0136
2026-05-26,3.78,3.71,3.84,3.66,181668.0,星期二,0.0,-0.0185
2026-05-25,3.75,3.78,3.81,3.71,163888.0,星期一,-0.0053,0.008
2026-05-22,3.78,3.77,3.79,3.69,140709.0,星期五,0.008,-0.0026
2026-05-21,3.88,3.75,3.89,3.73,191855.0,星期四,0.0,-0.0335
2026-05-20,3.85,3.88,3.93,3.82,137225.0,星期三,-0.0128,0.0078
2026-05-19,3.93,3.9,3.93,3.84,150292.0,星期二,0.0026,-0.0076
2026-05-18,3.95,3.92,3.96,3.85,209175.0,星期一,-0.0075,-0.0076
2026-05-15,3.82,3.98,4.07,3.82,385271.0,星期五,-0.0052,0.0419
