time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,6.05,6.3,6.46,5.93,163033.0,星期五,-0.0242,0.0413
2026-06-25,6.3,6.2,6.37,6.2,115746.0,星期四,-0.0352,-0.0159
2026-06-24,6.7,6.53,6.83,6.53,171071.0,星期三,-0.0247,-0.0254
2026-06-23,6.58,6.87,6.92,6.53,235138.0,星期二,-0.0015,0.0441
2026-06-22,6.69,6.59,6.75,6.58,178076.0,星期一,-0.0346,-0.0149
2026-06-18,7.54,6.93,7.54,6.92,303672.0,星期四,0.0501,-0.0809
2026-06-17,7.37,7.18,7.47,7.18,109610.0,星期三,-0.0251,-0.0258
2026-06-16,7.55,7.56,7.56,7.25,241998.0,星期二,0.0486,0.0013
2026-06-15,7.14,7.2,7.6,6.98,182172.0,星期一,-0.0179,0.0084
2026-06-12,7.89,7.27,7.95,7.27,204418.0,星期五,0.0314,-0.0786
2026-06-11,7.55,7.65,7.84,7.37,220646.0,星期四,-0.0271,0.0132
2026-06-10,7.99,7.76,8.0,7.76,110034.0,星期三,-0.022,-0.0288
2026-06-09,8.56,8.17,8.82,8.1,230646.0,星期二,0.0178,-0.0456
2026-06-08,8.54,8.41,8.9,8.41,173905.0,星期一,-0.035,-0.0152
2026-06-05,8.87,8.85,9.06,8.62,250647.0,星期五,-0.0221,-0.0023
2026-06-04,9.2,9.07,9.3,9.07,122514.0,星期四,-0.0366,-0.0141
2026-06-03,9.6,9.55,9.86,9.35,345905.0,星期三,0.0224,-0.0052
2026-06-02,9.75,9.39,9.75,8.98,429320.0,星期二,0.0495,-0.0369
2026-06-01,9.21,9.29,9.29,9.15,45575.0,星期一,0.0407,0.0087
2026-05-29,8.42,8.85,8.85,8.31,274940.0,星期五,-0.0012,0.0511
2026-05-28,8.18,8.43,8.68,8.06,275751.0,星期四,-0.0109,0.0306
2026-05-27,8.33,8.27,8.48,8.27,276586.0,星期三,-0.0436,-0.0072
2026-05-26,9.15,8.71,9.42,8.66,344364.0,星期二,0.0033,-0.0481
2026-05-25,9.09,9.12,9.12,9.05,134562.0,星期一,0.046,0.0033
2026-05-22,9.0,8.69,9.24,8.67,306679.0,星期五,-0.0142,-0.0344
2026-05-21,9.21,9.13,9.3,9.13,231135.0,星期四,-0.0416,-0.0087
2026-05-20,10.3,9.61,10.63,9.61,480334.0,星期三,0.0178,-0.067
2026-05-19,9.5,10.12,10.12,9.5,353861.0,星期二,-0.0145,0.0653
2026-05-18,9.64,9.64,9.64,9.64,20556.0,星期一,-0.0502,0.0
2026-05-15,10.15,10.15,10.15,9.83,232363.0,星期五,0.0496,0.0
2026-05-14,9.67,9.67,9.67,9.67,17510.0,星期四,0.0499,0.0
2026-05-13,9.21,9.21,9.21,9.21,71141.0,星期三,0.0502,0.0
2026-05-12,8.77,8.77,8.77,8.77,12113.0,星期二,0.0503,0.0
2026-05-11,8.35,8.35,8.35,8.35,11935.0,星期一,0.0503,0.0
2026-05-08,7.7,7.95,7.95,7.7,136177.0,星期五,0.0172,0.0325
2026-05-07,7.38,7.57,7.57,7.22,273121.0,星期四,0.0236,0.0257
2026-05-06,7.21,7.21,7.21,6.75,458153.0,星期三,0.0495,0.0
2026-04-30,6.76,6.87,6.87,6.7,387182.0,星期四,0.0336,0.0163
2026-04-29,6.55,6.54,6.65,6.54,649414.0,星期三,-0.048,-0.0015
2026-04-27,6.52,6.88,6.92,6.37,227277.0,星期一,-0.0121,0.0552
2026-04-24,6.6,6.6,6.83,6.48,280442.0,星期五,-0.0517,0.0
2026-04-23,7.1,6.96,7.33,6.76,370248.0,星期四,0.0,-0.0197
2026-04-22,7.18,7.1,7.27,7.07,118114.0,星期三,-0.0055,-0.0111
2026-04-21,7.29,7.22,7.32,7.06,154775.0,星期二,0.0014,-0.0096
2026-04-20,7.15,7.28,7.35,7.08,205044.0,星期一,0.0014,0.0182
2026-04-17,7.51,7.14,7.54,7.02,315099.0,星期五,-0.0013,-0.0493
2026-04-16,7.6,7.52,7.6,7.23,235909.0,星期四,-0.0065,-0.0105
2026-04-15,7.85,7.65,7.9,7.65,214223.0,星期三,-0.0113,-0.0255
2026-04-14,8.07,7.94,8.1,7.88,257038.0,星期二,-0.0159,-0.0161
2026-04-13,8.03,8.2,8.25,7.7,435998.0,星期一,0.0282,0.0212
2026-04-10,7.71,7.81,7.89,7.55,353586.0,星期五,-0.035,0.013
2026-04-09,7.64,7.99,8.14,7.55,608608.0,星期四,-0.0268,0.0458
2026-04-08,7.52,7.85,7.95,7.52,779736.0,星期三,-0.1005,0.0439
2026-04-07,8.36,8.36,8.36,8.36,65324.0,星期二,-0.1001,0.0
2026-04-03,9.84,9.29,9.97,9.14,332002.0,星期五,0.0041,-0.0559
